Bank Number	VREF	"PinName/Function (2), (3)"	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	F1517 (4)	DQS for X8/X9 	DQS for X16/ X18	DQS for X32/ X36 	HMC pin assignment for DDR3 (5)	HMC pin assignment for LPDDR2	HPS Pin Mux Select 3	HPS Pin Mux Select 2	HPS Pin Mux Select 1	HPS Pin Mux Select 0
6B	VREFB6BN0_HPS	HPS_DDR					G2				HPS_DQ_28	HPS_DQ_28				
6B	VREFB6BN0_HPS	VREFB6BN0_HPS					M4									
6B	VREFB6BN0_HPS	HPS_DDR					C2				HPS_DQS_3	HPS_DQS_3				
6B	VREFB6BN0_HPS	HPS_GPI9					B1									
6B	VREFB6BN0_HPS	HPS_DDR					D2				HPS_DQS#_3	HPS_DQS#_3				
6B	VREFB6BN0_HPS	HPS_DDR					C1				HPS_DQ_27	HPS_DQ_27				
6B	VREFB6BN0_HPS	HPS_DDR					A3				HPS_DQ_25	HPS_DQ_25				
6B	VREFB6BN0_HPS	HPS_DDR					P7				HPS_DQ_26	HPS_DQ_26				
6B	VREFB6BN0_HPS	HPS_DDR					A2				HPS_DQ_24	HPS_DQ_24				
6B	VREFB6BN0_HPS	HPS_GPI8					N6									
6B	VREFB6BN0_HPS	HPS_GPI7					K3									
6B	VREFB6BN0_HPS	HPS_DDR					D3				HPS_DM_2	HPS_DM_2				
6B	VREFB6BN0_HPS	HPS_GPI6					K4									
6B	VREFB6BN0_HPS	HPS_DDR					C3				HPS_DQ_23	HPS_DQ_23				
6B	VREFB6BN0_HPS	HPS_DDR					J4				HPS_DQ_21	HPS_DQ_21				
6B	VREFB6BN0_HPS	HPS_DDR					M5				HPS_DQ_22	HPS_DQ_22				
6B	VREFB6BN0_HPS	HPS_DDR					H3				HPS_DQ_20	HPS_DQ_20				
6B	VREFB6BN0_HPS	HPS_GPI5					L4									
6B	VREFB6BN0_HPS	HPS_DDR					G4				HPS_DQS_2	HPS_DQS_2				
6B	VREFB6BN0_HPS	HPS_DDR					E3				HPS_RESET#	HPS_RESET#				
6B	VREFB6BN0_HPS	HPS_DDR					H4				HPS_DQS#_2	HPS_DQS#_2				
6B	VREFB6BN0_HPS	HPS_DDR					F3				HPS_DQ_19	HPS_DQ_19				
6B	VREFB6BN0_HPS	HPS_DDR					K5				HPS_DQ_17	HPS_DQ_17				
6B	VREFB6BN0_HPS	HPS_DDR					N7				HPS_DQ_18	HPS_DQ_18				
6B	VREFB6BN0_HPS	HPS_DDR					J5				HPS_DQ_16	HPS_DQ_16				
6B	VREFB6BN0_HPS	HPS_GPI4					M6									
6A	VREFB6AN0_HPS	HPS_GPI3					C4									
6A	VREFB6AN0_HPS	HPS_DDR					E4				HPS_DM_1	HPS_DM_1				
6A	VREFB6AN0_HPS	HPS_GPI2					B4									
6A	VREFB6AN0_HPS	HPS_DDR					F4				HPS_DQ_15	HPS_DQ_15				
6A	VREFB6AN0_HPS	HPS_DDR					A5				HPS_DQ_13	HPS_DQ_13				
6A	VREFB6AN0_HPS	HPS_DDR					R9				HPS_DQ_14	HPS_DQ_14				
6A	VREFB6AN0_HPS	HPS_DDR					A4				HPS_DQ_12	HPS_DQ_12				
6A	VREFB6AN0_HPS	HPS_DDR					R8				HPS_CKE_0	HPS_CKE_0				
6A	VREFB6AN0_HPS	HPS_DDR					D5				HPS_DQS_1	HPS_DQS_1				
6A	VREFB6AN0_HPS	HPS_DDR					F5				HPS_CKE_1	HPS_CKE_1				
6A	VREFB6AN0_HPS	HPS_DDR					E6				HPS_DQS#_1	HPS_DQS#_1				
6A	VREFB6AN0_HPS	HPS_DDR					G5				HPS_DQ_11	HPS_DQ_11				
6A	VREFB6AN0_HPS	HPS_DDR					G6				HPS_DQ_9	HPS_DQ_9				
6A	VREFB6AN0_HPS	HPS_DDR					N8				HPS_DQ_10	HPS_DQ_10				
6A	VREFB6AN0_HPS	HPS_DDR					H6				HPS_DQ_8	HPS_DQ_8				
6A	VREFB6AN0_HPS	HPS_GPI1					M7									
6A	VREFB6AN0_HPS	HPS_GPI0					B6									
6A	VREFB6AN0_HPS	HPS_DDR					C6				HPS_DM_0	HPS_DM_0				
6A	VREFB6AN0_HPS	HPS_DDR					D6				HPS_DQ_7	HPS_DQ_7				
6A	VREFB6AN0_HPS	HPS_DDR					A7				HPS_DQ_5	HPS_DQ_5				
6A	VREFB6AN0_HPS	HPS_DDR					L6				HPS_DQ_6	HPS_DQ_6				
6A	VREFB6AN0_HPS	HPS_DDR					A6				HPS_DQ_4	HPS_DQ_4				
6A	VREFB6AN0_HPS	HPS_DDR					K6				HPS_ODT_1	HPS_ODT_1				
6A	VREFB6AN0_HPS	HPS_DDR					F7				HPS_DQS_0	HPS_DQS_0				
6A	VREFB6AN0_HPS	HPS_DDR					H7				HPS_ODT_0	HPS_ODT_0				
6A	VREFB6AN0_HPS	HPS_DDR					E7				HPS_DQS#_0	HPS_DQS#_0				
6A	VREFB6AN0_HPS	HPS_DDR					G7				HPS_DQ_3	HPS_DQ_3				
6A	VREFB6AN0_HPS	HPS_DDR					C7				HPS_DQ_1	HPS_DQ_1				
6A	VREFB6AN0_HPS	HPS_DDR					R10				HPS_DQ_2	HPS_DQ_2				
6A	VREFB6AN0_HPS	HPS_DDR					D7				HPS_DQ_0	HPS_DQ_0				
6A	VREFB6AN0_HPS	VREFB6AN0_HPS					P10									
6A	VREFB6AN0_HPS	HPS_DDR					N9				HPS_A_0	HPS_CA_0				
6A	VREFB6AN0_HPS	HPS_DDR					M9				HPS_A_1	HPS_CA_1				
6A	VREFB6AN0_HPS	HPS_DDR					A8				HPS_A_4	HPS_CA_4				
6A	VREFB6AN0_HPS	HPS_DDR					N10				HPS_A_2	HPS_CA_2				
6A	VREFB6AN0_HPS	HPS_DDR					B7				HPS_A_5	HPS_CA_5				
6A	VREFB6AN0_HPS	HPS_DDR					M10				HPS_A_3	HPS_CA_3				
6A	VREFB6AN0_HPS	HPS_DDR					A11				HPS_CK	HPS_CK				
6A	VREFB6AN0_HPS	HPS_DDR					B9				HPS_A_6	HPS_CA_6				
6A	VREFB6AN0_HPS	HPS_DDR					B10				HPS_CK#	HPS_CK#				
6A	VREFB6AN0_HPS	HPS_DDR					A9				HPS_A_7	HPS_CA_7				
6A	VREFB6AN0_HPS	HPS_DDR					C9				HPS_BA_1					
6A	VREFB6AN0_HPS	HPS_DDR					L7				HPS_BA_0					
6A	VREFB6AN0_HPS	HPS_DDR					D8				HPS_BA_2					
6A	VREFB6AN0_HPS	HPS_DDR					G9				HPS_CAS#					
6A	VREFB6AN0_HPS	HPS_DDR					G8				HPS_RAS#					
6A	VREFB6AN0_HPS	HPS_DDR					D9				HPS_A_8	HPS_CA_8				
6A	VREFB6AN0_HPS	HPS_DDR					K7				HPS_A_10					
6A	VREFB6AN0_HPS	HPS_DDR					C10				HPS_A_9	HPS_CA_9				
6A	VREFB6AN0_HPS	HPS_DDR					J7				HPS_A_11					
6A	VREFB6AN0_HPS	HPS_DDR					H9				HPS_CS#_0	HPS_CS#_0				
6A	VREFB6AN0_HPS	HPS_DDR					F9				HPS_A_12					
6A	VREFB6AN0_HPS	HPS_DDR					J9				HPS_CS#_1	HPS_CS#_1				
6A	VREFB6AN0_HPS	HPS_DDR					E9				HPS_A_13					
6A	VREFB6AN0_HPS	HPS_DDR					D11				HPS_A_14					
6A	VREFB6AN0_HPS	HPS_DDR					J8				HPS_WE#					
6A	VREFB6AN0_HPS	HPS_DDR					D10				HPS_A_15					
6A	VREFB6AN0_HPS	HPS_RZQ_0					K9									
		DNU					B12									
		GND					C11									
		GND					A12									
7A		HPS_nRST					R11									
7A		HPS_nPOR					K10									
7A		HPS_TDO					T11									
		VCCRSTCLK_HPS					J10									
7A		HPS_TMS					F10									
7A		HPS_TCK					G10									
7A		HPS_TRST					F11									
7A		HPS_TDI					H10									
		GND					M11									
7A		HPS_PORSEL					C12									
7A		HPS_CLK1					N11									
7A		HPS_CLK2					D12									
7A	VREFB7A7B7C7D7EN0_HPS	TRACE_CLK					J11						TRACE_CLK			HPS_GPIO48
7A	VREFB7A7B7C7D7EN0_HPS	TRACE_D0					K12						TRACE_D0	SPIS0_CLK	UART0_RX	HPS_GPIO49
7A	VREFB7A7B7C7D7EN0_HPS	TRACE_D1					K11						TRACE_D1	SPIS0_MOSI	UART0_TX	HPS_GPIO50
7A	VREFB7A7B7C7D7EN0_HPS	TRACE_D2					J12						TRACE_D2	SPIS0_MISO	I2C1_SDA	HPS_GPIO51
7A	VREFB7A7B7C7D7EN0_HPS	TRACE_D3					H12						TRACE_D3	SPIS0_SS0	I2C1_SCL	HPS_GPIO52
7A	VREFB7A7B7C7D7EN0_HPS	TRACE_D4					E12						TRACE_D4	SPIS1_CLK		HPS_GPIO53
7A	VREFB7A7B7C7D7EN0_HPS	TRACE_D5					G11						TRACE_D5	SPIS1_MOSI		HPS_GPIO54
7A	VREFB7A7B7C7D7EN0_HPS	TRACE_D6					F12						TRACE_D6	SPIS1_SS0	I2C0_SDA	HPS_GPIO55
7A	VREFB7A7B7C7D7EN0_HPS	TRACE_D7					A13						TRACE_D7	SPIS1_MISO	I2C0_SCL	HPS_GPIO56
7A	VREFB7A7B7C7D7EN0_HPS	SPIM0_CLK					P12						SPIM0_CLK	I2C1_SDA	UART0_CTS	HPS_GPIO57
7A	VREFB7A7B7C7D7EN0_HPS	SPIM0_MOSI					A14						SPIM0_MOSI	I2C1_SCL	UART0_RTS	HPS_GPIO58
7A	VREFB7A7B7C7D7EN0_HPS	SPIM0_MISO					N12						SPIM0_MISO		UART1_CTS	HPS_GPIO59
7A	VREFB7A7B7C7D7EN0_HPS	"SPIM0_SS0,BOOTSEL0"					B15						SPIM0_SS0		UART1_RTS	HPS_GPIO60
7A	VREFB7A7B7C7D7EN0_HPS	UART0_RX					B14						UART0_RX		SPIM0_SS1	HPS_GPIO61
7A	VREFB7A7B7C7D7EN0_HPS	"UART0_TX,CLKSEL1"					A15						UART0_TX		SPIM1_SS1	HPS_GPIO62
7A	VREFB7A7B7C7D7EN0_HPS	I2C0_SDA					C13						I2C0_SDA	UART1_RX	SPIM1_CLK	HPS_GPIO63
7A	VREFB7A7B7C7D7EN0_HPS	I2C0_SCL					L13						I2C0_SCL	UART1_TX	SPIM1_MOSI	HPS_GPIO64
7A	VREFB7A7B7C7D7EN0_HPS	UART0_RX*					M12							UART0_RX	SPIM1_MISO	HPS_GPIO65
7A	VREFB7A7B7C7D7EN0_HPS	"UART0_TX*,CLKSEL0"					M13							UART0_TX	SPIM1_SS0	HPS_GPIO66
7A	VREFB7A7B7C7D7EN0_HPS	SPIS1_CLK					L12						SPIS1_CLK	SPIM1_CLK		HPS_GPIO67
7A	VREFB7A7B7C7D7EN0_HPS	SPIS1_MOSI					E13						SPIS1_MOSI	SPIM1_MOSI		HPS_GPIO68
7A	VREFB7A7B7C7D7EN0_HPS	SPIS1_MISO					F13						SPIS1_MISO	SPIM1_MISO		HPS_GPIO69
7A	VREFB7A7B7C7D7EN0_HPS	SPIS1_SS0					D13						SPIS1_SS0	SPIM1_SS0		HPS_GPIO70
7A	VREFB7A7B7C7D7EN0_HPS	UART1_RX					G13						UART1_RX	SPIM1_SS1		HPS_GPIO62
7A	VREFB7A7B7C7D7EN0_HPS	UART1_TX					N13						UART1_TX	SPIM0_CLK		HPS_GPIO63
7A	VREFB7A7B7C7D7EN0_HPS	I2C1_SDA					R13						I2C1_SDA	SPIM0_MOSI		HPS_GPIO64
7A	VREFB7A7B7C7D7EN0_HPS	I2C1_SCL					M14						I2C1_SCL	SPIM0_MISO		HPS_GPIO65
7A	VREFB7A7B7C7D7EN0_HPS	SPIM0_SS0					P13							SPIM0_SS0		HPS_GPIO66
7A	VREFB7A7B7C7D7EN0_HPS	SPIS0_CLK					H13						SPIS0_CLK	SPIM0_SS1		HPS_GPIO67
7A	VREFB7A7B7C7D7EN0_HPS	SPIS0_MOSI					C14						SPIS0_MOSI			HPS_GPIO68
7A	VREFB7A7B7C7D7EN0_HPS	SPIS0_MISO					J13						SPIS0_MISO			HPS_GPIO69
7A	VREFB7A7B7C7D7EN0_HPS	SPIS0_SS0					D14						SPIS0_SS0			HPS_GPIO70
7B	VREFB7A7B7C7D7EN0_HPS	NAND_ALE					A16						NAND_ALE	RGMII1_TX_CLK	QSPI_SS3	HPS_GPIO14
7B	VREFB7A7B7C7D7EN0_HPS	NAND_CE					P15						NAND_CE	RGMII1_TXD0	USB1_D0	HPS_GPIO15
7B	VREFB7A7B7C7D7EN0_HPS	NAND_CLE					A17						NAND_CLE	RGMII1_TXD1	USB1_D1	HPS_GPIO16
7B	VREFB7A7B7C7D7EN0_HPS	NAND_RE					R15						NAND_RE	RGMII1_TXD2	USB1_D2	HPS_GPIO17
7B	VREFB7A7B7C7D7EN0_HPS	NAND_RB					C16						NAND_RB	RGMII1_TXD3	USB1_D3	HPS_GPIO18
7B	VREFB7A7B7C7D7EN0_HPS	NAND_DQ0					G14						NAND_DQ0	RGMII1_RXD0		HPS_GPIO19
7B	VREFB7A7B7C7D7EN0_HPS	NAND_DQ1					B17						NAND_DQ1	RGMII1_MDIO	I2C3_SDA	HPS_GPIO20
7B	VREFB7A7B7C7D7EN0_HPS	NAND_DQ2					H14						NAND_DQ2	RGMII1_MDC	I2C3_SCL	HPS_GPIO21
7B	VREFB7A7B7C7D7EN0_HPS	NAND_DQ3					L15						NAND_DQ3	RGMII1_RX_CTL	USB1_D4	HPS_GPIO22
7B	VREFB7A7B7C7D7EN0_HPS	NAND_DQ4					P14						NAND_DQ4	RGMII1_TX_CTL	USB1_D5	HPS_GPIO23
7B	VREFB7A7B7C7D7EN0_HPS	NAND_DQ5					K15						NAND_DQ5	RGMII1_RX_CLK	USB1_D6	HPS_GPIO24
7B	VREFB7A7B7C7D7EN0_HPS	NAND_DQ6					R14						NAND_DQ6	RGMII1_RXD1	USB1_D7	HPS_GPIO25
7B	VREFB7A7B7C7D7EN0_HPS	NAND_DQ7					K14						NAND_DQ7	RGMII1_RXD2		HPS_GPIO26
7B	VREFB7A7B7C7D7EN0_HPS	NAND_WP					C15						NAND_WP	RGMII1_RXD3	QSPI_SS2	HPS_GPIO27
7B	VREFB7A7B7C7D7EN0_HPS	"NAND_WE,BOOTSEL2"					L14						NAND_WE	QSPI_SS1		HPS_GPIO28
7B	VREFB7A7B7C7D7EN0_HPS	QSPI_IO0					D15						QSPI_IO0		USB1_CLK	HPS_GPIO29
7B	VREFB7A7B7C7D7EN0_HPS	QSPI_IO1					G15						QSPI_IO1		USB1_STP	HPS_GPIO30
7B	VREFB7A7B7C7D7EN0_HPS	QSPI_IO2					M15						QSPI_IO2		USB1_DIR	HPS_GPIO31
7B	VREFB7A7B7C7D7EN0_HPS	QSPI_IO3					H15						QSPI_IO3		USB1_NXT	HPS_GPIO32
7B	VREFB7A7B7C7D7EN0_HPS	"QSPI_SS0,BOOTSEL1"					N15						QSPI_SS0			HPS_GPIO33
7B	VREFB7A7B7C7D7EN0_HPS	QSPI_CLK					F15						QSPI_CLK			HPS_GPIO34
7B	VREFB7A7B7C7D7EN0_HPS	QSPI_SS1					E15						QSPI_SS1			HPS_GPIO35
7C	VREFB7A7B7C7D7EN0_HPS	SDMMC_CMD					D16						SDMMC_CMD	USB0_D0		HPS_GPIO36
7C	VREFB7A7B7C7D7EN0_HPS	SDMMC_PWREN					P16						SDMMC_PWREN	USB0_D1		HPS_GPIO37
7C	VREFB7A7B7C7D7EN0_HPS	SDMMC_D0					C17						SDMMC_D0	USB0_D2		HPS_GPIO38
7C	VREFB7A7B7C7D7EN0_HPS	SDMMC_D1					N16						SDMMC_D1	USB0_D3		HPS_GPIO39
7C	VREFB7A7B7C7D7EN0_HPS	SDMMC_D4					F16						SDMMC_D4	USB0_D4		HPS_GPIO40
7C	VREFB7A7B7C7D7EN0_HPS	SDMMC_D5					G16						SDMMC_D5	USB0_D5		HPS_GPIO41
7C	VREFB7A7B7C7D7EN0_HPS	SDMMC_D6					E16						SDMMC_D6	USB0_D6		HPS_GPIO42
7C	VREFB7A7B7C7D7EN0_HPS	SDMMC_D7					H16						SDMMC_D7	USB0_D7		HPS_GPIO43
7C	VREFB7A7B7C7D7EN0_HPS	HPS_GPIO44					K16							USB0_CLK		HPS_GPIO44
7C	VREFB7A7B7C7D7EN0_HPS	SDMMC_CCLK_OUT					L16						SDMMC_CCLK_OUT	USB0_STP		HPS_GPIO45
7C	VREFB7A7B7C7D7EN0_HPS	SDMMC_D2					J16						SDMMC_D2	USB0_DIR		HPS_GPIO46
7C	VREFB7A7B7C7D7EN0_HPS	SDMMC_D3					M16						SDMMC_D3	USB0_NXT		HPS_GPIO47
7D	VREFB7A7B7C7D7EN0_HPS	RGMII0_TX_CLK					R17						RGMII0_TX_CLK			HPS_GPIO0
7D	VREFB7A7B7C7D7EN0_HPS	RGMII0_TXD0					F17						RGMII0_TXD0	USB1_D0		HPS_GPIO1
7D	VREFB7A7B7C7D7EN0_HPS	RGMII0_TXD1					P17						RGMII0_TXD1	USB1_D1		HPS_GPIO2
7D	VREFB7A7B7C7D7EN0_HPS	RGMII0_TXD2					F18						RGMII0_TXD2	USB1_D2		HPS_GPIO3
7D	VREFB7A7B7C7D7EN0_HPS	RGMII0_TXD3					E18						RGMII0_TXD3	USB1_D3		HPS_GPIO4
7D	VREFB7A7B7C7D7EN0_HPS	RGMII0_RXD0					J17						RGMII0_RXD0	USB1_D4		HPS_GPIO5
7D	VREFB7A7B7C7D7EN0_HPS	RGMII0_MDIO					D18						RGMII0_MDIO	USB1_D5	I2C2_SDA	HPS_GPIO6
7D	VREFB7A7B7C7D7EN0_HPS	RGMII0_MDC 					K17						RGMII0_MDC	USB1_D6	I2C2_SCL	HPS_GPIO7
7D	VREFB7A7B7C7D7EN0_HPS	RGMII0_RX_CTL					B19						RGMII0_RX_CTL	USB1_D7		HPS_GPIO8
7D	VREFB7A7B7C7D7EN0_HPS	RGMII0_TX_CTL					A18						RGMII0_TX_CTL			HPS_GPIO9
7D	VREFB7A7B7C7D7EN0_HPS	RGMII0_RX_CLK					C18						RGMII0_RX_CLK	USB1_CLK		HPS_GPIO10
7D	VREFB7A7B7C7D7EN0_HPS	RGMII0_RXD1					A19						RGMII0_RXD1	USB1_STP		HPS_GPIO11
7D	VREFB7A7B7C7D7EN0_HPS	RGMII0_RXD2					C19						RGMII0_RXD2	USB1_DIR		HPS_GPIO12
7D	VREFB7A7B7C7D7EN0_HPS	RGMII0_RXD3					G18						RGMII0_RXD3	USB1_NXT		HPS_GPIO13
7D	VREFB7A7B7C7D7EN0_HPS	RGMII1_TX_CLK					D19						RGMII1_TX_CLK			HPS_GPIO48
7D	VREFB7A7B7C7D7EN0_HPS	RGMII1_TXD0					H18						RGMII1_TXD0			HPS_GPIO49
7D	VREFB7A7B7C7D7EN0_HPS	RGMII1_TXD1					F19						RGMII1_TXD1			HPS_GPIO50
7D	VREFB7A7B7C7D7EN0_HPS	RGMII1_TX_CTL					N18						RGMII1_TX_CTL			HPS_GPIO51
7D	VREFB7A7B7C7D7EN0_HPS	RGMII1_RXD0					E19						RGMII1_RXD0			HPS_GPIO52
7D	VREFB7A7B7C7D7EN0_HPS	RGMII1_RXD1					M17						RGMII1_RXD1			HPS_GPIO53
7E	VREFB7A7B7C7D7EN0_HPS	RGMII1_MDIO					J18						RGMII1_MDIO	SPIM0_CLK	SPIS0_CLK	HPS_GPIO54
7E	VREFB7A7B7C7D7EN0_HPS	RGMII1_MDC					L18						RGMII1_MDC	SPIM0_MOSI	SPIS0_MOSI	HPS_GPIO55
7E	VREFB7A7B7C7D7EN0_HPS	RGMII1_TXD2					K18						RGMII1_TXD2	SPIM0_MISO	SPIS0_MISO	HPS_GPIO56
7E	VREFB7A7B7C7D7EN0_HPS	RGMII1_TXD3					M18						RGMII1_TXD3	SPIM0_SS0	SPIS0_SS0	HPS_GPIO57
7E	VREFB7A7B7C7D7EN0_HPS	RGMII1_RX_CLK					G21						RGMII1_RX_CLK	SPIS1_CLK	SPIM1_CLK	HPS_GPIO58
7E	VREFB7A7B7C7D7EN0_HPS	RGMII1_RX_CTL					H19						RGMII1_RX_CTL	SPIS1_MOSI	SPIM1_MOSI	HPS_GPIO59
7E	VREFB7A7B7C7D7EN0_HPS	RGMII1_RXD2					G20						RGMII1_RXD2	SPIS1_MISO	SPIM1_MISO	HPS_GPIO60
7E	VREFB7A7B7C7D7EN0_HPS	RGMII1_RXD3					G19						RGMII1_RXD3	SPIS1_SS0	SPIM1_SS0	HPS_GPIO61
7G	VREFB7GN0	IO			DIFFIO_RX_T16p	DIFFOUT_T16p	R19									
7G	VREFB7GN0	IO			DIFFIO_RX_T16n	DIFFOUT_T16n	T19									
7G	VREFB7GN0	IO					N19									
7G	VREFB7GN0	IO	VREFB7GN0				P19									
7G	VREFB7GN0	IO			DIFFIO_RX_T17p	DIFFOUT_T17p	U19									
7G	VREFB7GN0	IO			DIFFIO_RX_T17n	DIFFOUT_T17n	U20									
7G	VREFB7GN0	IO			DIFFIO_TX_T18p	DIFFOUT_T18p	L19									
7G	VREFB7GN0	IO			DIFFIO_RX_T19p	DIFFOUT_T19p	P20									
7G	VREFB7GN0	IO			DIFFIO_RX_T19n	DIFFOUT_T19n	R20									
7G	VREFB7GN0	IO			DIFFIO_TX_T20p	DIFFOUT_T20p	M19									
7G	VREFB7GN0	IO			DIFFIO_RX_T21p	DIFFOUT_T21p	L20									
7G	VREFB7GN0	IO			DIFFIO_RX_T21n	DIFFOUT_T21n	M20									
		VCCA_FPLL					V20									
		VCCD_FPLL					V19									
		DNU					F20									
8D	VREFB8DN0	IO	CLK19p		DIFFIO_RX_T31p	DIFFOUT_T31p	C20	DQ1T	DQ1T	DQ1T						
8D	VREFB8DN0	IO	CLK19n		DIFFIO_RX_T31n	DIFFOUT_T31n	D20	DQ1T	DQ1T	DQ1T						
8D	VREFB8DN0	IO			DIFFIO_TX_T32p	DIFFOUT_T32p	N21	DQ1T	DQ1T	DQ1T						
8D	VREFB8DN0	IO			DIFFIO_TX_T32n	DIFFOUT_T32n	P21									
8D	VREFB8DN0	IO	CLK18p		DIFFIO_RX_T33p	DIFFOUT_T33p	H21	DQ1T	DQ1T	DQ1T						
8D	VREFB8DN0	IO	CLK18n		DIFFIO_RX_T33n	DIFFOUT_T33n	J21	DQ1T	DQ1T	DQ1T						
8D	VREFB8DN0	IO			DIFFIO_TX_T34p	DIFFOUT_T34p	D21	DQ1T	DQ1T	DQ1T						
8D	VREFB8DN0	IO			DIFFIO_TX_T34n	DIFFOUT_T34n	E21									
8D	VREFB8DN0	IO	"FPLL_TC_CLKOUT2,FPLL_TC_FBp,FPLL_TC_FB1"		DIFFIO_RX_T35p	DIFFOUT_T35p	A20	DQS1T/CQ1T/CQn1T/QKn1T	DQS1T/CQ1T/CQn1T/QKn1T	DQ1T						
8D	VREFB8DN0	IO	"FPLL_TC_CLKOUT3,FPLL_TC_FBn"		DIFFIO_RX_T35n	DIFFOUT_T35n	B21	DQSn1T/QK1T	DQSn1T/QK1T	DQ1T						
8D	VREFB8DN0	IO	"FPLL_TC_CLKOUT0,FPLL_TC_CLKOUTp,FPLL_TC_FB0"		DIFFIO_TX_T36p	DIFFOUT_T36p	K21	DQ1T	DQ1T	DQ1T						
8D	VREFB8DN0	IO	"FPLL_TC_CLKOUT1,FPLL_TC_CLKOUTn"		DIFFIO_TX_T36n	DIFFOUT_T36n	L21									
8D	VREFB8DN0	IO	CLK17p		DIFFIO_RX_T37p	DIFFOUT_T37p	A22	DQ1T	DQ1T	DQ1T						
8D	VREFB8DN0	IO	CLK17n		DIFFIO_RX_T37n	DIFFOUT_T37n	A21	DQ1T	DQ1T	DQ1T						
8D	VREFB8DN0	IO			DIFFIO_TX_T38p	DIFFOUT_T38p	R21	DQ1T	DQ1T	DQ1T						
8D	VREFB8DN0	IO			DIFFIO_TX_T38n	DIFFOUT_T38n	T21									
8D	VREFB8DN0	IO	CLK16p		DIFFIO_RX_T39p	DIFFOUT_T39p	B22	DQ2T	DQ1T	DQ1T						
8D	VREFB8DN0	IO	CLK16n		DIFFIO_RX_T39n	DIFFOUT_T39n	C22	DQ2T	DQ1T	DQ1T						
8D	VREFB8DN0	IO					J22	DQ2T	DQ1T	DQ1T						
8D	VREFB8DN0	IO	VREFB8DN0				H22									
8D	VREFB8DN0	IO			DIFFIO_RX_T40p	DIFFOUT_T40p	E22	DQ2T	DQ1T	DQ1T						
8D	VREFB8DN0	IO			DIFFIO_RX_T40n	DIFFOUT_T40n	F22	DQ2T	DQ1T	DQ1T						
8D	VREFB8DN0	IO			DIFFIO_TX_T41p	DIFFOUT_T41p	A23	DQ2T	DQ1T	DQ1T						
8D	VREFB8DN0	IO			DIFFIO_TX_T41n	DIFFOUT_T41n	A24									
8D	VREFB8DN0	IO			DIFFIO_RX_T42p	DIFFOUT_T42p	C23	DQS2T/CQ2T/CQn2T/QKn2T	DQ1T	DQS1T/CQ1T/CQn1T/QKn1T						
8D	VREFB8DN0	IO			DIFFIO_RX_T42n	DIFFOUT_T42n	D23	DQSn2T/QK2T	DQ1T	DQSn1T/QK1T						
8D	VREFB8DN0	IO			DIFFIO_TX_T43p	DIFFOUT_T43p	L22	DQ2T	DQ1T	DQ1T						
8D	VREFB8DN0	IO			DIFFIO_TX_T43n	DIFFOUT_T43n	M22									
8D	VREFB8DN0	IO			DIFFIO_RX_T44p	DIFFOUT_T44p	N22	DQ2T	DQ1T	DQ1T						
8D	VREFB8DN0	IO			DIFFIO_RX_T44n	DIFFOUT_T44n	P22	DQ2T	DQ1T	DQ1T						
8D	VREFB8DN0	IO			DIFFIO_TX_T45p	DIFFOUT_T45p	R22	DQ2T	DQ1T	DQ1T						
8D	VREFB8DN0	IO			DIFFIO_TX_T45n	DIFFOUT_T45n	T22									
8D	VREFB8DN0	IO			DIFFIO_RX_T46p	DIFFOUT_T46p	F23	DQ3T	DQ2T	DQ1T						
8D	VREFB8DN0	IO			DIFFIO_RX_T46n	DIFFOUT_T46n	G23	DQ3T	DQ2T	DQ1T						
8D	VREFB8DN0	IO			DIFFIO_TX_T47p	DIFFOUT_T47p	R23	DQ3T	DQ2T	DQ1T						
8D	VREFB8DN0	IO			DIFFIO_TX_T47n	DIFFOUT_T47n	T23									
8D	VREFB8DN0	IO			DIFFIO_RX_T48p	DIFFOUT_T48p	B24	DQ3T	DQ2T	DQ1T						
8D	VREFB8DN0	IO			DIFFIO_RX_T48n	DIFFOUT_T48n	C24	DQ3T	DQ2T	DQ1T						
8D	VREFB8DN0	IO			DIFFIO_TX_T49p	DIFFOUT_T49p	M23	DQ3T	DQ2T	DQ1T						
8D	VREFB8DN0	IO			DIFFIO_TX_T49n	DIFFOUT_T49n	N23									
8D	VREFB8DN0	IO			DIFFIO_RX_T50p	DIFFOUT_T50p	D24	DQS3T/CQ3T/CQn3T/QKn3T	DQS2T/CQ2T/CQn2T/QKn2T	DQ1T						
8D	VREFB8DN0	IO			DIFFIO_RX_T50n	DIFFOUT_T50n	E24	DQSn3T/QK3T	DQSn2T/QK2T	DQ1T						
8D	VREFB8DN0	IO			DIFFIO_TX_T51p	DIFFOUT_T51p	J23	DQ3T	DQ2T	DQ1T						
8D	VREFB8DN0	IO			DIFFIO_TX_T51n	DIFFOUT_T51n	K23									
8D	VREFB8DN0	IO			DIFFIO_RX_T52p	DIFFOUT_T52p	F24	DQ3T	DQ2T	DQ1T						
8D	VREFB8DN0	IO			DIFFIO_RX_T52n	DIFFOUT_T52n	G24	DQ3T	DQ2T	DQ1T						
8D	VREFB8DN0	IO			DIFFIO_TX_T53p	DIFFOUT_T53p	H24	DQ3T	DQ2T	DQ1T						
