Bank Number	VREF	"PinName/Function (2), (3)"	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	F1152 (4)	DQS for X8/X9 	DQS for X16/ X18	DQS for X32/ X36 	HMC pin assignment for DDR3 (5)	HMC pin assignment for LPDDR2	HPS Pin Mux Select 3	HPS Pin Mux Select 2	HPS Pin Mux Select 1	HPS Pin Mux Select 0
GXB_L0		GXB_TX_L4n					AA31									
GXB_L0		GXB_TX_L4p					AA32									
GXB_L0		"GXB_RX_L4p,GXB_REFCLK_L4p"					AB34									
GXB_L0		"GXB_RX_L4n,GXB_REFCLK_L4n"					AB33									
GXB_L0		GXB_TX_L3n					AC31									
GXB_L0		GXB_TX_L3p					AC32									
GXB_L0		"GXB_RX_L3p,GXB_REFCLK_L3p"					AD34									
GXB_L0		"GXB_RX_L3n,GXB_REFCLK_L3n"					AD33									
GXB_L0		GXB_TX_L2n					AE31									
GXB_L0		GXB_TX_L2p					AE32									
GXB_L0		"GXB_RX_L2p,GXB_REFCLK_L2p"					AF34									
GXB_L0		"GXB_RX_L2n,GXB_REFCLK_L2n"					AF33									
GXB_L0		GXB_TX_L1n					AG31									
GXB_L0		GXB_TX_L1p					AG32									
GXB_L0		"GXB_RX_L1p,GXB_REFCLK_L1p"					AH34									
GXB_L0		"GXB_RX_L1n,GXB_REFCLK_L1n"					AH33									
GXB_L0		GXB_TX_L0n					AJ31									
GXB_L0		GXB_TX_L0p					AJ32									
GXB_L0		"GXB_RX_L0p,GXB_REFCLK_L0p"					AK34									
GXB_L0		"GXB_RX_L0n,GXB_REFCLK_L0n"					AK33									
GXB_L0		REFCLK0Ln					AA28									
GXB_L0		REFCLK0Lp					AA27									
		DNU					AL32									
3A		TDO		TDO			AM33									
3A		TMS		TMS			AD30									
3A		TCK		TCK			AM34									
3A		TDI		TDI			AN34									
3A		DCLK		DCLK			AP33									
3A		nCSO		DATA4			AC26									
3A		AS_DATA3		DATA3			AL31									
3A		AS_DATA2		DATA2			AM32									
3A		AS_DATA1		DATA1			AN33									
3A		"AS_DATA0,ASDO"		DATA0			AL30									
3A	VREFB3AN0	IO	RZQ_0		DIFFIO_TX_B1n	DIFFOUT_B1n	AM30									
3A	VREFB3AN0	IO	CLK0n		DIFFIO_RX_B2n	DIFFOUT_B2n	AF29									
3A	VREFB3AN0	IO	CLK0p		DIFFIO_RX_B2p	DIFFOUT_B2p	AG29									
3A	VREFB3AN0	IO	CLK1n		DIFFIO_RX_B4n	DIFFOUT_B4n	AH29									
3A	VREFB3AN0	IO	CLK1p		DIFFIO_RX_B4p	DIFFOUT_B4p	AH28									
3A	VREFB3AN0	IO	"FPLL_BL_CLKOUT1,FPLL_BL_CLKOUTn"		DIFFIO_TX_B5n	DIFFOUT_B5n	AJ29									
3A	VREFB3AN0	IO	"FPLL_BL_CLKOUT0,FPLL_BL_CLKOUTp,FPLL_BL_FB0"		DIFFIO_TX_B5p	DIFFOUT_B5p	AK29									
3A	VREFB3AN0	IO	"FPLL_BL_CLKOUT3,FPLL_BL_FBn"		DIFFIO_RX_B6n	DIFFOUT_B6n	AM31									
3A	VREFB3AN0	IO	"FPLL_BL_CLKOUT2,FPLL_BL_FBp,FPLL_BL_FB1"		DIFFIO_RX_B6p	DIFFOUT_B6p	AN32									
3A	VREFB3AN0	IO	VREFB3AN0				AC27									
3A	VREFB3AN0	IO	CLK2n		DIFFIO_RX_B7n	DIFFOUT_B7n	AG27									
3A	VREFB3AN0	IO	CLK2p		DIFFIO_RX_B7p	DIFFOUT_B7p	AH27									
3A	VREFB3AN0	IO			DIFFIO_TX_B8n	DIFFOUT_B8n	AP32				CS#_3A_1	CS#_3A_1				
3A	VREFB3AN0	IO			DIFFIO_TX_B8p	DIFFOUT_B8p	AP31	DQ1B	DQ1B		CS#_3A_0	CS#_3A_0				
3A	VREFB3AN0	IO	CLK3n		DIFFIO_RX_B9n	DIFFOUT_B9n	AG26	DQ1B	DQ1B							
3A	VREFB3AN0	IO	CLK3p		DIFFIO_RX_B9p	DIFFOUT_B9p	AH26	DQ1B	DQ1B							
3A	VREFB3AN0	IO			DIFFIO_TX_B10n	DIFFOUT_B10n	AE26				ODT_3A_1	ODT_3A_1				
3A	VREFB3AN0	IO			DIFFIO_TX_B10p	DIFFOUT_B10p	AF26	DQ1B	DQ1B		ODT_3A_0	ODT_3A_0				
3A	VREFB3AN0	IO			DIFFIO_RX_B11n	DIFFOUT_B11n	AL29	DQSn1B/QK1B	DQ1B		WE#_3A					
3A	VREFB3AN0	IO			DIFFIO_RX_B11p	DIFFOUT_B11p	AL28	DQS1B/CQ1B/CQn1B/QKn1B	DQ1B		CAS#_3A					
3A	VREFB3AN0	IO			DIFFIO_TX_B12n	DIFFOUT_B12n	AN30				RAS#_3A					
3A	VREFB3AN0	IO			DIFFIO_TX_B12p	DIFFOUT_B12p	AP30	DQ1B	DQ1B		BA_3A_2					
3A	VREFB3AN0	IO			DIFFIO_RX_B13n	DIFFOUT_B13n	AM28	DQ1B	DQ1B		BA_3A_1					
3A	VREFB3AN0	IO			DIFFIO_RX_B13p	DIFFOUT_B13p	AM29	DQ1B	DQ1B		BA_3A_0					
3A	VREFB3AN0	IO			DIFFIO_TX_B14n	DIFFOUT_B14n	AD27				A_3A_15					
3A	VREFB3AN0	IO			DIFFIO_TX_B14p	DIFFOUT_B14p	AE27	DQ1B	DQ1B		A_3A_14					
3A	VREFB3AN0	IO			DIFFIO_RX_B15n	DIFFOUT_B15n	AJ27	DQ1B	DQ1B		A_3A_13					
3A	VREFB3AN0	IO			DIFFIO_RX_B15p	DIFFOUT_B15p	AK27	DQ1B	DQ1B		A_3A_12					
3A	VREFB3AN0	IO			DIFFIO_TX_B16n	DIFFOUT_B16n	AP29				A_3A_11					
3A	VREFB3AN0	IO			DIFFIO_TX_B16p	DIFFOUT_B16p	AP28	DQ2B	DQ1B		A_3A_10					
3A	VREFB3AN0	IO			DIFFIO_RX_B17n	DIFFOUT_B17n	AL27	DQ2B	DQ1B		A_3A_9	CA_3A_9				
3A	VREFB3AN0	IO			DIFFIO_RX_B17p	DIFFOUT_B17p	AM27	DQ2B	DQ1B		A_3A_8	CA_3A_8				
3A	VREFB3AN0	IO			DIFFIO_TX_B18n	DIFFOUT_B18n	AE28				A_3A_7	CA_3A_7				
3A	VREFB3AN0	IO			DIFFIO_TX_B18p	DIFFOUT_B18p	AF28	DQ2B	DQ1B		A_3A_6	CA_3A_6				
3A	VREFB3AN0	IO			DIFFIO_RX_B19n	DIFFOUT_B19n	AJ26	DQSn2B/QK2B	DQSn1B/QK1B		A_3A_5	CA_3A_5				
3A	VREFB3AN0	IO			DIFFIO_RX_B19p	DIFFOUT_B19p	AK26	DQS2B/CQ2B/CQn2B/QKn2B	DQS1B/CQ1B/CQn1B/QKn1B		A_3A_4	CA_3A_4				
3A	VREFB3AN0	IO			DIFFIO_TX_B20n	DIFFOUT_B20n	AN27				A_3A_3	CA_3A_3				
3A	VREFB3AN0	IO			DIFFIO_TX_B20p	DIFFOUT_B20p	AP27	DQ2B	DQ1B		A_3A_2	CA_3A_2				
3A	VREFB3AN0	IO			DIFFIO_RX_B21n	DIFFOUT_B21n	AL26	DQ2B	DQ1B		A_3A_1	CA_3A_1				
3A	VREFB3AN0	IO			DIFFIO_RX_B21p	DIFFOUT_B21p	AM26	DQ2B	DQ1B		A_3A_0	CA_3A_0				
3A	VREFB3AN0	IO			DIFFIO_TX_B22n	DIFFOUT_B22n	AD29				CKE_3A_1	CKE_3A_1				
3A	VREFB3AN0	IO			DIFFIO_TX_B22p	DIFFOUT_B22p	AE29	DQ2B	DQ1B		CKE_3A_0	CKE_3A_0				
3A	VREFB3AN0	IO			DIFFIO_RX_B23n	DIFFOUT_B23n	AN26	DQ2B	DQ1B		CK#_3A	CK#_3A				
3A	VREFB3AN0	IO			DIFFIO_RX_B23p	DIFFOUT_B23p	AP26	DQ2B	DQ1B		CK_3A	CK_3A				
3B	VREFB3BN0	IO			DIFFIO_TX_B24n	DIFFOUT_B24n	AD26				RESET#_3A					
3B	VREFB3BN0	IO			DIFFIO_TX_B24p	DIFFOUT_B24p	AE25	DQ3B	DQ2B	DQ1B	DQ1_3B_8	DQ1_3B_8				
3B	VREFB3BN0	IO			DIFFIO_RX_B25n	DIFFOUT_B25n	AE24	DQ3B	DQ2B	DQ1B	DQ1_3B_7	DQ1_3B_7				
3B	VREFB3BN0	IO			DIFFIO_RX_B25p	DIFFOUT_B25p	AF24	DQ3B	DQ2B	DQ1B	DQ1_3B_6	DQ1_3B_6				
3B	VREFB3BN0	IO			DIFFIO_TX_B26n	DIFFOUT_B26n	AB24									
3B	VREFB3BN0	IO			DIFFIO_TX_B26p	DIFFOUT_B26p	AB25	DQ3B	DQ2B	DQ1B	DM1_3B	DM1_3B				
3B	VREFB3BN0	IO			DIFFIO_RX_B27n	DIFFOUT_B27n	AC24	DQSn3B/QK3B	DQ2B	DQ1B	DQS#1_3B	DQS#1_3B				
3B	VREFB3BN0	IO			DIFFIO_RX_B27p	DIFFOUT_B27p	AD24	DQS3B/CQ3B/CQn3B/QKn3B	DQ2B	DQ1B	DQS1_3B	DQS1_3B				
3B	VREFB3BN0	IO			DIFFIO_TX_B28n	DIFFOUT_B28n	AH25									
3B	VREFB3BN0	IO			DIFFIO_TX_B28p	DIFFOUT_B28p	AJ25	DQ3B	DQ2B	DQ1B	DQ1_3B_5	DQ1_3B_5				
3B	VREFB3BN0	IO			DIFFIO_RX_B29n	DIFFOUT_B29n	AG24	DQ3B	DQ2B	DQ1B	DQ1_3B_4	DQ1_3B_4				
3B	VREFB3BN0	IO			DIFFIO_RX_B29p	DIFFOUT_B29p	AH24	DQ3B	DQ2B	DQ1B	DQ1_3B_3	DQ1_3B_3				
3B	VREFB3BN0	IO	VREFB3BN0				AC25									
3B	VREFB3BN0	IO					AC23	DQ3B	DQ2B	DQ1B	DQ1_3B_2	DQ1_3B_2				
3B	VREFB3BN0	IO			DIFFIO_RX_B30n	DIFFOUT_B30n	AL25	DQ3B	DQ2B	DQ1B	DQ1_3B_1	DQ1_3B_1				
3B	VREFB3BN0	IO			DIFFIO_RX_B30p	DIFFOUT_B30p	AL24	DQ3B	DQ2B	DQ1B	DQ1_3B_0	DQ1_3B_0				
3B	VREFB3BN0	IO			DIFFIO_TX_B31p	DIFFOUT_B31p	AJ24	DQ4B	DQ2B	DQ1B	DQ2_3B_8	DQ2_3B_8				
3B	VREFB3BN0	IO			DIFFIO_RX_B32n	DIFFOUT_B32n	AE23	DQ4B	DQ2B	DQ1B	DQ2_3B_7	DQ2_3B_7				
3B	VREFB3BN0	IO			DIFFIO_RX_B32p	DIFFOUT_B32p	AF23	DQ4B	DQ2B	DQ1B	DQ2_3B_6	DQ2_3B_6				
3B	VREFB3BN0	IO			DIFFIO_TX_B33p	DIFFOUT_B33p	AD23	DQ4B	DQ2B	DQ1B	DM2_3B	DM2_3B				
3B	VREFB3BN0	IO			DIFFIO_RX_B34n	DIFFOUT_B34n	AP25	DQSn4B/QK4B	DQSn2B/QK2B	DQ1B	DQS#2_3B	DQS#2_3B				
3B	VREFB3BN0	IO			DIFFIO_RX_B34p	DIFFOUT_B34p	AP24	DQS4B/CQ4B/CQn4B/QKn4B	DQS2B/CQ2B/CQn2B/QKn2B	DQ1B	DQS2_3B	DQS2_3B				
3B	VREFB3BN0	IO			DIFFIO_TX_B35p	DIFFOUT_B35p	AM25	DQ4B	DQ2B	DQ1B	DQ2_3B_5	DQ2_3B_5				
3B	VREFB3BN0	IO			DIFFIO_RX_B36n	DIFFOUT_B36n	AM23	DQ4B	DQ2B	DQ1B	DQ2_3B_4	DQ2_3B_4				
3B	VREFB3BN0	IO			DIFFIO_RX_B36p	DIFFOUT_B36p	AM24	DQ4B	DQ2B	DQ1B	DQ2_3B_3	DQ2_3B_3				
3B	VREFB3BN0	IO			DIFFIO_TX_B37p	DIFFOUT_B37p	AB23	DQ4B	DQ2B	DQ1B	DQ2_3B_2	DQ2_3B_2				
3B	VREFB3BN0	IO			DIFFIO_RX_B38n	DIFFOUT_B38n	AN23	DQ4B	DQ2B	DQ1B	DQ2_3B_1	DQ2_3B_1				
3B	VREFB3BN0	IO			DIFFIO_RX_B38p	DIFFOUT_B38p	AP23	DQ4B	DQ2B	DQ1B	DQ2_3B_0	DQ2_3B_0				
3C	VREFB3CN0	IO			DIFFIO_TX_B39p	DIFFOUT_B39p	AF22	DQ5B	DQ3B	DQ1B	DQ3_3C_8	DQ3_3C_8				
3C	VREFB3CN0	IO			DIFFIO_RX_B40n	DIFFOUT_B40n	AG23	DQ5B	DQ3B	DQ1B	DQ3_3C_7	DQ3_3C_7				
3C	VREFB3CN0	IO			DIFFIO_RX_B40p	DIFFOUT_B40p	AH23	DQ5B	DQ3B	DQ1B	DQ3_3C_6	DQ3_3C_6				
3C	VREFB3CN0	IO			DIFFIO_TX_B41p	DIFFOUT_B41p	AE22	DQ5B	DQ3B	DQ1B	DM3_3C	DM3_3C				
3C	VREFB3CN0	IO			DIFFIO_RX_B42n	DIFFOUT_B42n	AJ23	DQSn5B/QK5B	DQ3B	DQSn1B/QK1B	DQS#3_3C	DQS#3_3C				
3C	VREFB3CN0	IO			DIFFIO_RX_B42p	DIFFOUT_B42p	AJ22	DQS5B/CQ5B/CQn5B/QKn5B	DQ3B	DQS1B/CQ1B/CQn1B/QKn1B	DQS3_3C	DQS3_3C				
3C	VREFB3CN0	IO			DIFFIO_TX_B43p	DIFFOUT_B43p	AH22	DQ5B	DQ3B	DQ1B	DQ3_3C_5	DQ3_3C_5				
3C	VREFB3CN0	IO			DIFFIO_RX_B44n	DIFFOUT_B44n	AG21	DQ5B	DQ3B	DQ1B	DQ3_3C_4	DQ3_3C_4				
3C	VREFB3CN0	IO			DIFFIO_RX_B44p	DIFFOUT_B44p	AH21	DQ5B	DQ3B	DQ1B	DQ3_3C_3	DQ3_3C_3				
3C	VREFB3CN0	IO			DIFFIO_TX_B45p	DIFFOUT_B45p	AC22	DQ5B	DQ3B	DQ1B	DQ3_3C_2	DQ3_3C_2				
3C	VREFB3CN0	IO			DIFFIO_RX_B46n	DIFFOUT_B46n	AK23	DQ5B	DQ3B	DQ1B	DQ3_3C_1	DQ3_3C_1				
3C	VREFB3CN0	IO			DIFFIO_RX_B46p	DIFFOUT_B46p	AL23	DQ5B	DQ3B	DQ1B	DQ3_3C_0	DQ3_3C_0				
3C	VREFB3CN0	IO			DIFFIO_TX_B47n	DIFFOUT_B47n	AL22									
3C	VREFB3CN0	IO			DIFFIO_TX_B47p	DIFFOUT_B47p	AM22	DQ6B	DQ3B	DQ1B	DQ4_3C_8	DQ4_3C_8				
3C	VREFB3CN0	IO			DIFFIO_RX_B48n	DIFFOUT_B48n	AN21	DQ6B	DQ3B	DQ1B	DQ4_3C_7	DQ4_3C_7				
3C	VREFB3CN0	IO			DIFFIO_RX_B48p	DIFFOUT_B48p	AP22	DQ6B	DQ3B	DQ1B	DQ4_3C_6	DQ4_3C_6				
3C	VREFB3CN0	IO			DIFFIO_TX_B49p	DIFFOUT_B49p	AB21	DQ6B	DQ3B	DQ1B	DM4_3C	DM4_3C				
3C	VREFB3CN0	IO			DIFFIO_RX_B50n	DIFFOUT_B50n	AE21	DQSn6B/QK6B	DQSn3B/QK3B	DQ1B	DQS#4_3C	DQS#4_3C				
3C	VREFB3CN0	IO			DIFFIO_RX_B50p	DIFFOUT_B50p	AE20	DQS6B/CQ6B/CQn6B/QKn6B	DQS3B/CQ3B/CQn3B/QKn3B	DQ1B	DQS4_3C	DQS4_3C				
3C	VREFB3CN0	IO			DIFFIO_TX_B51p	DIFFOUT_B51p	AL20	DQ6B	DQ3B	DQ1B	DQ4_3C_5	DQ4_3C_5				
3C	VREFB3CN0	IO			DIFFIO_RX_B52n	DIFFOUT_B52n	AF20	DQ6B	DQ3B	DQ1B	DQ4_3C_4	DQ4_3C_4				
3C	VREFB3CN0	IO			DIFFIO_RX_B52p	DIFFOUT_B52p	AG20	DQ6B	DQ3B	DQ1B	DQ4_3C_3	DQ4_3C_3				
3C	VREFB3CN0	IO	VREFB3CN0				AB22									
3C	VREFB3CN0	IO					AB20	DQ6B	DQ3B	DQ1B	DQ4_3C_2	DQ4_3C_2				
3C	VREFB3CN0	IO			DIFFIO_RX_B53n	DIFFOUT_B53n	AK21	DQ6B	DQ3B	DQ1B	DQ4_3C_1	DQ4_3C_1				
3C	VREFB3CN0	IO			DIFFIO_RX_B53p	DIFFOUT_B53p	AL21	DQ6B	DQ3B	DQ1B	DQ4_3C_0	DQ4_3C_0				
3C	VREFB3CN0	IO			DIFFIO_TX_B54p	DIFFOUT_B54p	AH20	DQ7B			DQ5_3C_8	DQ5_3C_8				
3C	VREFB3CN0	IO			DIFFIO_RX_B55n	DIFFOUT_B55n	AJ20	DQ7B			DQ5_3C_7	DQ5_3C_7				
3C	VREFB3CN0	IO			DIFFIO_RX_B55p	DIFFOUT_B55p	AK20	DQ7B			DQ5_3C_6	DQ5_3C_6				
3C	VREFB3CN0	IO			DIFFIO_TX_B56p	DIFFOUT_B56p	AC21	DQ7B			DM5_3C	DM5_3C				
3C	VREFB3CN0	IO			DIFFIO_RX_B57n	DIFFOUT_B57n	AP21	DQSn7B/QK7B			DQS#5_3C	DQS#5_3C				
3C	VREFB3CN0	IO			DIFFIO_RX_B57p	DIFFOUT_B57p	AP20	DQS7B/CQ7B/CQn7B/QKn7B			DQS5_3C	DQS5_3C				
3C	VREFB3CN0	IO			DIFFIO_TX_B58p	DIFFOUT_B58p	AM20	DQ7B			DQ5_3C_5	DQ5_3C_5				
3C	VREFB3CN0	IO			DIFFIO_RX_B59n	DIFFOUT_B59n	AN20	DQ7B			DQ5_3C_4	DQ5_3C_4				
3C	VREFB3CN0	IO			DIFFIO_RX_B59p	DIFFOUT_B59p	AP19	DQ7B			DQ5_3C_3	DQ5_3C_3				
3C	VREFB3CN0	IO			DIFFIO_TX_B60p	DIFFOUT_B60p	AC19	DQ7B			DQ5_3C_2	DQ5_3C_2				
3C	VREFB3CN0	IO			DIFFIO_RX_B61n	DIFFOUT_B61n	AC20	DQ7B			DQ5_3C_1	DQ5_3C_1				
3C	VREFB3CN0	IO			DIFFIO_RX_B61p	DIFFOUT_B61p	AD20	DQ7B			DQ5_3C_0	DQ5_3C_0				
3D	VREFB3DN0	IO	VREFB3DN0				AD18									
3D	VREFB3DN0	IO	CLK4n		DIFFIO_RX_B76n	DIFFOUT_B76n	AH19									
3D	VREFB3DN0	IO	CLK4p		DIFFIO_RX_B76p	DIFFOUT_B76p	AJ19									
3D	VREFB3DN0	IO	CLK5n		DIFFIO_RX_B78n	DIFFOUT_B78n	AL19									
3D	VREFB3DN0	IO	CLK5p		DIFFIO_RX_B78p	DIFFOUT_B78p	AM19									
3D	VREFB3DN0	IO	"FPLL_BC_CLKOUT1,FPLL_BC_CLKOUTn"		DIFFIO_TX_B79n	DIFFOUT_B79n	AE19									
3D	VREFB3DN0	IO	"FPLL_BC_CLKOUT0,FPLL_BC_CLKOUTp,FPLL_BC_FB0"		DIFFIO_TX_B79p	DIFFOUT_B79p	AF19									
3D	VREFB3DN0	IO	"FPLL_BC_CLKOUT3,FPLL_BC_FBn"		DIFFIO_RX_B80n	DIFFOUT_B80n	AM18									
3D	VREFB3DN0	IO	"FPLL_BC_CLKOUT2,FPLL_BC_FBp,FPLL_BC_FB1"		DIFFIO_RX_B80p	DIFFOUT_B80p	AN18									
3D	VREFB3DN0	IO	CLK6n		DIFFIO_RX_B82n	DIFFOUT_B82n	AJ18									
3D	VREFB3DN0	IO	CLK6p		DIFFIO_RX_B82p	DIFFOUT_B82p	AK18									
3D	VREFB3DN0	IO	CLK7n		DIFFIO_RX_B84n	DIFFOUT_B84n	AF18									
3D	VREFB3DN0	IO	CLK7p		DIFFIO_RX_B84p	DIFFOUT_B84p	AG18									
		VCCD_FPLL					AA17									
		VCCA_FPLL					AA18									
		DNU					AB19									
4D	VREFB4DN0	IO			DIFFIO_TX_B93n	DIFFOUT_B93n	AD17				CS#_4D_1	CS#_4D_1				
4D	VREFB4DN0	IO			DIFFIO_TX_B93p	DIFFOUT_B93p	AE17	DQ8B	DQ4B		CS#_4D_0	CS#_4D_0				
4D	VREFB4DN0	IO			DIFFIO_RX_B94n	DIFFOUT_B94n	AE16	DQ8B	DQ4B							
4D	VREFB4DN0	IO			DIFFIO_RX_B94p	DIFFOUT_B94p	AF16	DQ8B	DQ4B		A_4D_15					
4D	VREFB4DN0	IO			DIFFIO_TX_B95n	DIFFOUT_B95n	AB18				ODT_4D_1	ODT_4D_1				
4D	VREFB4DN0	IO			DIFFIO_TX_B95p	DIFFOUT_B95p	AC18	DQ8B	DQ4B		ODT_4D_0	ODT_4D_0				
4D	VREFB4DN0	IO			DIFFIO_RX_B96n	DIFFOUT_B96n	AF17	DQSn8B/QK8B	DQ4B		WE#_4D					
4D	VREFB4DN0	IO			DIFFIO_RX_B96p	DIFFOUT_B96p	AG17	DQS8B/CQ8B/CQn8B/QKn8B	DQ4B		CAS#_4D					
4D	VREFB4DN0	IO			DIFFIO_TX_B97n	DIFFOUT_B97n	AH17				RAS#_4D					
4D	VREFB4DN0	IO			DIFFIO_TX_B97p	DIFFOUT_B97p	AH16	DQ8B	DQ4B		BA_4D_2					
4D	VREFB4DN0	IO			DIFFIO_RX_B98n	DIFFOUT_B98n	AJ16	DQ8B	DQ4B		BA_4D_1					
4D	VREFB4DN0	IO			DIFFIO_RX_B98p	DIFFOUT_B98p	AJ17	DQ8B	DQ4B		BA_4D_0					
4D	VREFB4DN0	IO	VREFB4DN0				AB17									
4D	VREFB4DN0	IO					AC17	DQ8B	DQ4B		A_4D_14					
4D	VREFB4DN0	IO			DIFFIO_RX_B99n	DIFFOUT_B99n	AK17	DQ8B	DQ4B		A_4D_13					
4D	VREFB4DN0	IO			DIFFIO_RX_B99p	DIFFOUT_B99p	AL16	DQ8B	DQ4B		A_4D_12					
4D	VREFB4DN0	IO			DIFFIO_TX_B100n	DIFFOUT_B100n	AL17				A_4D_11					
4D	VREFB4DN0	IO			DIFFIO_TX_B100p	DIFFOUT_B100p	AM17	DQ9B	DQ4B		A_4D_10					
4D	VREFB4DN0	IO			DIFFIO_RX_B101n	DIFFOUT_B101n	AP17	DQ9B	DQ4B		A_4D_9	CA_4D_9				
4D	VREFB4DN0	IO			DIFFIO_RX_B101p	DIFFOUT_B101p	AP18	DQ9B	DQ4B		A_4D_8	CA_4D_8				
4D	VREFB4DN0	IO			DIFFIO_TX_B102n	DIFFOUT_B102n	AB16				A_4D_7	CA_4D_7				
4D	VREFB4DN0	IO			DIFFIO_TX_B102p	DIFFOUT_B102p	AC16	DQ9B	DQ4B		A_4D_6	CA_4D_6				
4D	VREFB4DN0	IO			DIFFIO_RX_B103n	DIFFOUT_B103n	AP16	DQSn9B/QK9B	DQSn4B/QK4B		A_4D_5	CA_4D_5				
4D	VREFB4DN0	IO			DIFFIO_RX_B103p	DIFFOUT_B103p	AP15	DQS9B/CQ9B/CQn9B/QKn9B	DQS4B/CQ4B/CQn4B/QKn4B		A_4D_4	CA_4D_4				
4D	VREFB4DN0	IO			DIFFIO_TX_B104n	DIFFOUT_B104n	AG15				A_4D_3	CA_4D_3				
4D	VREFB4DN0	IO			DIFFIO_TX_B104p	DIFFOUT_B104p	AH15	DQ9B	DQ4B		A_4D_2	CA_4D_2				
4D	VREFB4DN0	IO			DIFFIO_RX_B105n	DIFFOUT_B105n	AK15	DQ9B	DQ4B		A_4D_1	CA_4D_1				
4D	VREFB4DN0	IO			DIFFIO_RX_B105p	DIFFOUT_B105p	AL15	DQ9B	DQ4B		A_4D_0	CA_4D_0				
4D	VREFB4DN0	IO			DIFFIO_TX_B106n	DIFFOUT_B106n	AD15				CKE_4D_1	CKE_4D_1				
4D	VREFB4DN0	IO			DIFFIO_TX_B106p	DIFFOUT_B106p	AE15	DQ9B	DQ4B		CKE_4D_0	CKE_4D_0				
4D	VREFB4DN0	IO			DIFFIO_RX_B107n	DIFFOUT_B107n	AM16	DQ9B	DQ4B		CK#_4D	CK#_4D				
4D	VREFB4DN0	IO			DIFFIO_RX_B107p	DIFFOUT_B107p	AN15	DQ9B	DQ4B		CK_4D	CK_4D				
4C	VREFB4CN0	IO			DIFFIO_TX_B108n	DIFFOUT_B108n	AN14				RESET#_4D					
4C	VREFB4CN0	IO			DIFFIO_TX_B108p	DIFFOUT_B108p	AP14	DQ10B	DQ5B	DQ2B	DQ1_4C_8	DQ1_4C_8				
4C	VREFB4CN0	IO			DIFFIO_RX_B109n	DIFFOUT_B109n	AL14	DQ10B	DQ5B	DQ2B	DQ1_4C_7	DQ1_4C_7				
4C	VREFB4CN0	IO			DIFFIO_RX_B109p	DIFFOUT_B109p	AM14	DQ10B	DQ5B	DQ2B	DQ1_4C_6	DQ1_4C_6				
4C	VREFB4CN0	IO			DIFFIO_TX_B110p	DIFFOUT_B110p	AC15	DQ10B	DQ5B	DQ2B	DM1_4C	DM1_4C				
4C	VREFB4CN0	IO			DIFFIO_RX_B111n	DIFFOUT_B111n	AJ14	DQSn10B/QK10B	DQ5B	DQ2B	DQS#1_4C	DQS#1_4C				
