"Pin Information For The Stratix™ GX EP1SGX25D Device, ver 1.7   "								
								
								
Bank Number	VREF Bank	Pin Name/Function	Optional Function(s)	Configuration Function	F672	F1020	DQS for x16	DQS for x32
B2	VREF1B2	INPUT	DIFFIO_RX28p		H25	L31		
B2	VREF1B2	INPUT	DIFFIO_RX28n		H26	L32		
B2	VREF1B2	IO	DIFFIO_TX28p		K21	M25		
B2	VREF1B2	IO	DIFFIO_TX28n		K22	M26		
B2	VREF1B2	INPUT	DIFFIO_RX27p		J23	M29		
B2	VREF1B2	INPUT	DIFFIO_RX27n		J24	M30		
B2	VREF1B2	IO	DIFFIO_TX27p		J19	M27		
B2	VREF1B2	IO	DIFFIO_TX27n		J20	M28		
B2	VREF1B2	INPUT	DIFFIO_RX26p		H23	N29		
B2	VREF1B2	INPUT	DIFFIO_RX26n		H24	N30		
B2	VREF1B2	IO	DIFFIO_TX26p		K19	N25		
B2	VREF1B2	IO	DIFFIO_TX26n		K20	N26		
B2	VREF1B2	INPUT	DIFFIO_RX25p		J25	K31		
B2	VREF1B2	INPUT	DIFFIO_RX25n		J26	K32		
B2	VREF1B2	IO	DIFFIO_TX25p		L21	N27		
B2	VREF1B2	IO	DIFFIO_TX25n		L22	N28		
B2	VREF1B2	INPUT	DIFFIO_RX24p		K25	M31		
B2	VREF1B2	INPUT	DIFFIO_RX24n		K26	M32		
B2	VREF1B2	IO	DIFFIO_TX24p		K17	P25		
B2	VREF1B2	IO	DIFFIO_TX24n		K18	P26		
B2	VREF1B2	VREF1B2			L18	P23		
B2	VREF1B2	INPUT	DIFFIO_RX23p		K23	P29		
B2	VREF1B2	INPUT	DIFFIO_RX23n		K24	P30		
B2	VREF1B2	IO	DIFFIO_TX23p		L19	P24		
B2	VREF1B2	IO	DIFFIO_TX23n		L20	R24		
B2	VREF1B2	INPUT	DIFFIO_RX22p		L23	N31		
B2	VREF1B2	INPUT	DIFFIO_RX22n		L24	N32		
B2	VREF1B2	IO	DIFFIO_TX22p		M21	P27		
B2	VREF1B2	IO	DIFFIO_TX22n		M22	P28		
B2	VREF1B2	INPUT	DIFFIO_RX21p		M23	P31		
B2	VREF1B2	INPUT	DIFFIO_RX21n		M24	R31		
B2	VREF1B2	IO	DIFFIO_TX21p		M19	R27		
B2	VREF1B2	IO	DIFFIO_TX21n		M20	R28		
B2	VREF1B2	INPUT	DIFFIO_RX20p		L25	R29		
B2	VREF1B2	INPUT	DIFFIO_RX20n		M25	R30		
B2	VREF1B2	IO	DIFFIO_TX20p		M17	R25		
B2	VREF1B2	IO	DIFFIO_TX20n		M18	R26		
B2	VREF1B2	CLK0n			N26	T32		
B2	VREF1B2	CLK0p			N25	T31		
B2	VREF1B2	IO	CLK1n		N24	T30		
B2	VREF1B2	CLK1p			N23	T29		
		VCCA_PLL1			N20	T27		
		GND						
		GNDA_PLL1			N22	T28		
		VCCG_PLL1			N21	T25		
		GNDG_PLL1			N19	T26		
		VCCA_PLL2			P21	U27		
		GND						
		GNDA_PLL2			P22	U28		
		VCCG_PLL2			P20	U25		
		GNDG_PLL2			P19	U26		
B1	VREF0B1	CLK2p			P25	U31		
B1	VREF0B1	CLK2n			P26	U32		
B1	VREF0B1	CLK3p			P23	U29		
B1	VREF0B1	IO	CLK3n		P24	U30		
B1	VREF0B1	INPUT	DIFFIO_RX19p		R25	V29		
B1	VREF0B1	INPUT	DIFFIO_RX19n		T25	V30		
B1	VREF0B1	IO	DIFFIO_TX19p		R17	V27		
B1	VREF0B1	IO	DIFFIO_TX19n		R18	V28		
B1	VREF0B1	INPUT	DIFFIO_RX18p		U25	V31		
B1	VREF0B1	INPUT	DIFFIO_RX18n		U26	W31		
B1	VREF0B1	IO	DIFFIO_TX18p		R19	V25		
B1	VREF0B1	IO	DIFFIO_TX18n		R20	V26		
B1	VREF0B1	INPUT	DIFFIO_RX17p		R23	Y31		
B1	VREF0B1	INPUT	DIFFIO_RX17n		R24	Y32		
B1	VREF0B1	IO	DIFFIO_TX17p		R21	V24		
B1	VREF0B1	IO	DIFFIO_TX17n		R22	W24		
B1	VREF0B1	VREF0B1			R16	V23		
B1	VREF0B1	INPUT	DIFFIO_RX16p		V25	W29		
B1	VREF0B1	INPUT	DIFFIO_RX16n		V26	W30		
B1	VREF0B1	IO	DIFFIO_TX16p		T19	W27		
B1	VREF0B1	IO	DIFFIO_TX16n		T20	W28		
B1	VREF0B1	INPUT	DIFFIO_RX15p		T23	AA31		
B1	VREF0B1	INPUT	DIFFIO_RX15n		T24	AA32		
B1	VREF0B1	IO	DIFFIO_TX15p		T21	W25		
B1	VREF0B1	IO	DIFFIO_TX15n		T22	W26		
B1	VREF0B1	INPUT	DIFFIO_RX14p		W25	AC31		
B1	VREF0B1	INPUT	DIFFIO_RX14n		W26	AC32		
B1	VREF0B1	IO	DIFFIO_TX14p		U17	Y25		
B1	VREF0B1	IO	DIFFIO_TX14n		U18	Y26		
B1	VREF1B1	INPUT	DIFFIO_RX13p		U23	Y29		
B1	VREF1B1	INPUT	DIFFIO_RX13n		U24	Y30		
B1	VREF1B1	IO	DIFFIO_TX13p		U19	Y27		
B1	VREF1B1	IO	DIFFIO_TX13n		U20	Y28		
B1	VREF1B1	INPUT	DIFFIO_RX12p		W23	AB31		
B1	VREF1B1	INPUT	DIFFIO_RX12n		W24	AB32		
B1	VREF1B1	IO	DIFFIO_TX12p		V19	AA25		
B1	VREF1B1	IO	DIFFIO_TX12n		V20	AA26		
B1	VREF1B1	INPUT	DIFFIO_RX11p		V23	AA29		
B1	VREF1B1	INPUT	DIFFIO_RX11n		V24	AA30		
B1	VREF1B1	IO	DIFFIO_TX11p		U21	AA27		
B1	VREF1B1	IO	DIFFIO_TX11n		U22	AA28		
B1	VREF1B1	INPUT	DIFFIO_RX10p/RUP1		Y25	AB29		
B1	VREF1B1	INPUT	DIFFIO_RX10n/RDN1		Y26	AB30		
B1	VREF1B1	IO	DIFFIO_TX10p		V21	AB26		
B1	VREF1B1	IO	DIFFIO_TX10n		V22	AB27		
B1	VREF1B1	VREF1B1			T18	W23		
B1	VREF1B1	INPUT	DIFFIO_RX9p		Y23	AC29		
B1	VREF1B1	INPUT	DIFFIO_RX9n		Y24	AC30		
B1	VREF1B1	IO	DIFFIO_TX9p		W19	AB24		
B1	VREF1B1	IO	DIFFIO_TX9n		W20	AB25		
B1	VREF1B1	INPUT	DIFFIO_RX8p		AA25	AD31		
B1	VREF1B1	INPUT	DIFFIO_RX8n		AA26	AD32		
B1	VREF1B1	IO	DIFFIO_TX8p		Y19	AC24		
B1	VREF1B1	IO	DIFFIO_TX8n		Y20	AC25		
B1	VREF1B1	INPUT	DIFFIO_RX7p		AA23	AE31		
B1	VREF1B1	INPUT	DIFFIO_RX7n		AA24	AE32		
B1	VREF1B1	IO	DIFFIO_TX7p		AA19	AD24		
B1	VREF1B1	IO	DIFFIO_TX7n		AA20	AD25		
B1	VREF2B1	INPUT	DIFFIO_RX6p		AB25	AE29		
B1	VREF2B1	INPUT	DIFFIO_RX6n		AB26	AE30		
B1	VREF2B1	IO	DIFFIO_TX6p		AB19	AB28		
B1	VREF2B1	IO	DIFFIO_TX6n		AB20	AC28		
B1	VREF2B1	INPUT	DIFFIO_RX5p		AB23	AD29		
B1	VREF2B1	INPUT	DIFFIO_RX5n		AB24	AD30		
B1	VREF2B1	IO	DIFFIO_TX5p		AC19	AE24		
B1	VREF2B1	IO	DIFFIO_TX5n		AC20	AE25		
B1	VREF2B1	INPUT	DIFFIO_RX4p		AC25	AF29		
B1	VREF2B1	INPUT	DIFFIO_RX4n		AC26	AF30		
B1	VREF2B1	IO	DIFFIO_TX4p		W21	AE26		
B1	VREF2B1	IO	DIFFIO_TX4n		W22	AE27		
B1	VREF2B1	INPUT	DIFFIO_RX3p		AC23	AF31		
B1	VREF2B1	INPUT	DIFFIO_RX3n		AC24	AF32		
B1	VREF2B1	IO	DIFFIO_TX3p		Y21	AD28		
B1	VREF2B1	IO	DIFFIO_TX3n		Y22	AE28		
B1	VREF2B1	VREF2B1			T17	AA24		
B1	VREF2B1	INPUT	DIFFIO_RX2p		AE23	AG31		
B1	VREF2B1	INPUT	DIFFIO_RX2n		AE24	AG32		
B1	VREF2B1	IO	DIFFIO_TX2p		AA21	AF25		
B1	VREF2B1	IO	DIFFIO_TX2n		AA22	AF26		
B1	VREF2B1	INPUT	DIFFIO_RX1p		AD23	AG29		
B1	VREF2B1	INPUT	DIFFIO_RX1n		AD24	AG30		
B1	VREF2B1	IO	DIFFIO_TX1p		AB21	AF27		
B1	VREF2B1	IO	DIFFIO_TX1n		AB22	AF28		
B1	VREF2B1	INPUT	DIFFIO_RX0p		AD25	AH31		
B1	VREF2B1	INPUT	DIFFIO_RX0n		AE25	AH32		
B1	VREF2B1	IO	DIFFIO_TX0p		AC21	AG27		
B1	VREF2B1	IO	DIFFIO_TX0n		AC22	AG28		
B8	VREF0B8	IO				AH30		
B8	VREF0B8	IO	DQ9B7		AF23	AK29	DQ3B15	DQ1B31
B8	VREF0B8	IO				AJ30		
B8	VREF0B8	IO	DQ9B6		AE22	AL29	DQ3B14	DQ1B30
B8	VREF0B8	IO	DQ9B5		AD22	AM29	DQ3B13	DQ1B29
B8	VREF0B8	IO	DQ9B4		AF22	AK28	DQ3B12	DQ1B28
B8	VREF0B8	IO				AK31		
B8	VREF0B8	IO	DQ9B3		AF21	AL28	DQ3B11	DQ1B27
B8	VREF0B8	IO				AH29		
B8	VREF0B8	IO	DQS9B		AE21	AM28		
B8	VREF0B8	IO	DQ9B2		AD21	AK27	DQ3B10	DQ1B26
B8	VREF0B8	IO				AK30		
B8	VREF0B8	IO	DQ9B1		AD20	AL27	DQ3B9	DQ1B25
B8	VREF0B8	IO				AB23		
B8	VREF0B8	IO	DQ9B0		AE20	AM27	DQ3B8	DQ1B24
B8	VREF0B8	IO				AJ29		
B8	VREF0B8	IO				AH28		
B8	VREF0B8	IO	DQ8B7		AF20	AJ26	DQ3B7	DQ1B23
B8	VREF0B8	VREF0B8			V18	AA22		
B8	VREF0B8	IO	DQ8B6		AE19	AK26	DQ3B6	DQ1B22
B8	VREF0B8	IO	DQ8B5		AD18	AL26	DQ3B5	DQ1B21
B8	VREF0B8	IO				AL31		
B8	VREF0B8	IO	DQ8B4		AD19	AH25	DQ3B4	DQ1B20
B8	VREF0B8	IO	DQ8B3		AF19	AM26	DQ3B3	DQ1B19
B8	VREF0B8	IO				AL30		
B8	VREF0B8	IO	DQS8B		AE18	AJ25	DQS3B	
B8	VREF0B8	IO	DQ8B2		AF17	AK25	DQ3B2	DQ1B18
B8	VREF0B8	IO				AC23		
B8	VREF0B8	IO	DQ8B1		AC18	AL25	DQ3B1	DQ1B17
B8	VREF0B8	IO	DQ8B0		AF18	AM25	DQ3B0	DQ1B16
B8	VREF0B8	IO				AG26		
B8	VREF1B8	IO				AB22		
B8	VREF1B8	IO	DQ7B7		Y18	AJ24	DQ2B15	DQ1B15
B8	VREF1B8	IO				AJ28		
B8	VREF1B8	IO	DQ7B6		AA18	AK24	DQ2B14	DQ1B14
B8	VREF1B8	IO	DQ7B5		AB18	AL24	DQ2B13	DQ1B13
B8	VREF1B8	IO				AH27		
B8	VREF1B8	IO	DQ7B4		W18	AM24	DQ2B12	DQ1B12
B8	VREF1B8	IO	DQ7B3		AB16	AH23	DQ2B11	DQ1B11
B8	VREF1B8	IO				AD23		
B8	VREF1B8	IO	DQS7B		AA17	AJ23		DQS1B
B8	VREF1B8	IO	DQ7B2		AB17	AK23	DQ2B10	DQ1B10
B8	VREF1B8	IO				AF24		
B8	VREF1B8	IO	DQ7B1		W17	AL23	DQ2B9	DQ1B9
B8	VREF1B8	IO				AC22		
B8	VREF1B8	IO	DQ7B0		Y17	AM23	DQ2B8	DQ1B8
B8	VREF1B8	IO	DQ6B7		AE17	AH22	DQ2B7	DQ1B7
B8	VREF1B8	IO	FCLK3		T16	AE22		
B8	VREF1B8	IO	FCLK2		U16	AF22		
B8	VREF1B8	VREF1B8			V17	AA21		
B8	VREF1B8	IO	DQ6B6		AD17	AL22	DQ2B6	DQ1B6
B8	VREF1B8	IO	DQ6B5		AD15	AJ22	DQ2B5	DQ1B5
B8	VREF1B8	IO				AD22		
B8	VREF1B8	IO	DQ6B4		AE16	AK22	DQ2B4	DQ1B4
B8	VREF1B8	IO		PGM2	T15	AF21		
B8	VREF1B8	IO	DQ6B3		AC17	AM22	DQ2B3	DQ1B3
B8	VREF1B8	IO				AA23		
B8	VREF1B8	IO	DQS6B		AD16	AL21	DQS2B	
B8	VREF1B8	IO	DQ6B2		AC15	AM21	DQ2B2	DQ1B2
B8	VREF1B8	IO		CRC_ERROR	U15	AE21		
B8	VREF1B8	IO	DQ6B1		AC16	AJ21	DQ2B1	DQ1B1
B8	VREF1B8	IO	DQ6B0		AE15	AK21	DQ2B0	DQ1B0
B8	VREF1B8	IO	RDN8		R15	AD21		
B8	VREF1B8	IO	RUP8		V16	AF20		
B8	VREF1B8	IO	DQ5B7		Y16	AH21		
B8	VREF1B8	IO				AH26		
B8	VREF1B8	IO	DQ5B6		AA16	AJ20		
B8	VREF1B8	IO	DQ5B5		AB15	AK20		
B8	VREF2B8	IO				AE23		
B8	VREF2B8	IO	DQ5B4		W14	AL20		
B8	VREF2B8	IO		RDYnBSY	W16	AC21		
B8	VREF2B8	IO	DQ5B3		Y15	AJ19		
B8	VREF2B8	IO				AF23		
B8	VREF2B8	IO	DQS5B		AA15	AG20		
B8	VREF2B8	IO	DQ5B2		W13	AH20		
B8	VREF2B8	IO		nCS	R13	AB21		
B8	VREF2B8	IO	DQ5B1		Y13	AG19		
B8	VREF2B8	IO	DQ5B0		Y14	AH19		
B8	VREF2B8	IO				AG24		
B8	VREF2B8	IO				AG22		
B8	VREF2B8	IO				AG25		
B8	VREF2B8	IO				AJ27		
B8	VREF2B8	IO		CS	U14	AE20		
B8	VREF2B8	IO				AH24		
B8	VREF2B8	IO				AG23		
B8	VREF2B8	IO				AG21		
B8	VREF2B8	VREF2B8			V15	AA20		
B8	VREF2B8	IO	CLK5n		AD14	AL19		
B8	VREF2B8	CLK5p			AC14	AK19		
B8	VREF2B8	IO	CLK4n		AF14	AM18		
B8	VREF2B8	CLK4p			AE14	AL18		
B8	VREF2B8	PLL_ENA		PLL_ENA	W15	AC20		
B8	VREF2B8	MSEL0		MSEL0	U13	AD20		
B8	VREF2B8	MSEL1		MSEL1	T13	AB20		
B8	VREF2B8	MSEL2		MSEL2	V14	AB19		
B12	VREF2B8	IO	PLL6_OUT3n		AF13	AH18		
B12	VREF2B8	IO	PLL6_OUT3p		AE13	AG18		
B12	VREF2B8	IO	PLL6_OUT2n		AB14	AK18		
B12	VREF2B8	IO	PLL6_OUT2p		AA14	AJ18		
B11	VREF2B8	IO	PLL6_FBn		AE12	AH17		
B11	VREF2B8	IO	PLL6_FBp		AD12	AG17		
B11	VREF2B8	IO	PLL6_OUT1n		AB13	AK17		
B11	VREF2B8	IO	PLL6_OUT1p		AA13	AJ17		
B11	VREF2B8	IO	PLL6_OUT0n		AD13	AM17		
B11	VREF2B8	IO	PLL6_OUT0p		AC13	AL17		
B12		VCC_PLL6_OUTB			R11	AA18		
B11		VCC_PLL6_OUTA			V13	AB18		
		VCCA_PLL6			T11	AC18		
		GND						
		GNDA_PLL6			W12	AB17		
		VCCG_PLL6			V12	AC17		
		GNDG_PLL6			U12	AA17		
B7	VREF0B7	CLK7p			Y12	AG16		
B7	VREF0B7	IO	CLK7n		AA12	AH16		
B7	VREF0B7	CLK6p			AB12	AJ16		
B7	VREF0B7	IO	CLK6n		AC12	AK16		
B7	VREF0B7	nCE		nCE	P9	AD16		
B7	VREF0B7	nCEO		nCEO	T9	AE16		
B7	VREF0B7	IO				Y18		
B7	VREF0B7	IO				AC19		
B7	VREF0B7	IO		PGM0	R10	AD18		
B7	VREF0B7	nIO_PULLUP		nIO_PULLUP	T10	AB15		
B7	VREF0B7	VCCSEL		VCCSEL	R9	AA15		
B7	VREF0B7	PORSEL		PORSEL	U10	AC15		
B7	VREF0B7	IO				Y17		
B7	VREF0B7	IO				V14		
B7	VREF0B7	IO				AE19		
B7	VREF0B7	IO				AE15		
B7	VREF0B7	IO				AE18		
B7	VREF0B7	IO				AF16		
B7	VREF0B7	VREF0B7			V11	Y16		
B7	VREF0B7	IO		INIT_DONE	U11	AD19		
B7	VREF0B7	IO				W14		
B7	VREF0B7	IO	DQ4B7		AC11	AG15		
B7	VREF0B7	IO	DQ4B6		AB11	AJ15		
B7	VREF0B7	IO		nRS	U9	AE17		
B7	VREF0B7	IO	DQ4B5		AD11	AH15		
B7	VREF0B7	IO				Y14		
B7	VREF0B7	IO	DQ4B4		AA11	AK15		
B7	VREF0B7	IO	DQ4B3		AD10	AL15		
B7	VREF0B7	IO		RUnLU	W11	AF18		
B7	VREF0B7	IO	DQS4B		AC10	AL14		
B7	VREF0B7	IO			Y11	AD15		
B7	VREF1B7	IO	DQ4B2		AA9	AM14		
B7	VREF1B7	IO	DQ4B1		AA10	AM15		
B7	VREF1B7	IO		PGM1	U8	AF17		
B7	VREF1B7	IO	DQ4B0		AB10	AK14		
B7	VREF1B7	IO	RDN7		V8	AC14		
B7	VREF1B7	IO	RUP7		Y10	AF19		
B7	VREF1B7	IO	DQ3B7		AF8	AG14	DQ1B15	DQ0B31
B7	VREF1B7	IO				AA14		
B7	VREF1B7	IO	DQ3B6		AE11	AH14	DQ1B14	DQ0B30
B7	VREF1B7	IO	DQ3B5		AE10	AL13	DQ1B13	DQ0B29
B7	VREF1B7	IO	DEV_CLRn		W10	AD14		
B7	VREF1B7	IO	DQ3B4		AF10	AM13	DQ1B12	DQ0B28
B7	VREF1B7	IO	DQ3B3		AE8	AJ14	DQ1B11	DQ0B27
B7	VREF1B7	IO				AB14		
B7	VREF1B7	IO	DQS3B		AE9	AH13	DQS1B	
B7	VREF1B7	IO				U13		
B7	VREF1B7	IO	DQ3B2		AF9	AJ13	DQ1B10	DQ0B26
B7	VREF1B7	IO	DQ3B1		AD9	AK13	DQ1B9	DQ0B25
B7	VREF1B7	VREF1B7			V10	Y15		
B7	VREF1B7	IO	DQ3B0		AD8	AG13	DQ1B8	DQ0B24
B7	VREF1B7	IO				AA13		
B7	VREF1B7	IO				V13		
B7	VREF1B7	IO	DQ2B7		AC9	AD13	DQ1B7	DQ0B23
B7	VREF1B7	IO	FCLK5		W9	AF15		
B7	VREF1B7	IO	FCLK4		Y9	U14		
B7	VREF1B7	IO	DQ2B6		Y7	AC13	DQ1B6	DQ0B22
B7	VREF1B7	IO	DQ2B5		AA7	AE13	DQ1B5	DQ0B21
B7	VREF1B7	IO				W13		
B7	VREF1B7	IO	DQ2B4		AC8	AF13	DQ1B4	DQ0B20
B7	VREF1B7	IO	DQ2B3		AB9	AB13	DQ1B3	DQ0B19
B7	VREF1B7	IO				AE14		
B7	VREF2B7	IO	DQS2B		AB7	AE12		DQS0B
B7	VREF2B7	IO	DQ2B2		Y8	AF12	DQ1B2	DQ0B18
B7	VREF2B7	IO			V7	V12		
B7	VREF2B7	IO	DQ2B1		AA8	AC12	DQ1B1	DQ0B17
B7	VREF2B7	IO	DQ2B0		AB8	AD12	DQ1B0	DQ0B16
B7	VREF2B7	IO				AF14		
B7	VREF2B7	IO				AA12		
B7	VREF2B7	IO	DQ1B7		AF5	AF11	DQ0B15	DQ0B15
B7	VREF2B7	IO	DQ1B6		AD7	AB11	DQ0B14	DQ0B14
B7	VREF2B7	IO				W12		
B7	VREF2B7	IO	DQ1B5		AF7	AB12	DQ0B13	DQ0B13
B7	VREF2B7	IO	DQ1B4		AE7	AE11	DQ0B12	DQ0B12
B7	VREF2B7	IO				V11		
B7	VREF2B7	IO	DQ1B3		AD6	AC11	DQ0B11	DQ0B11
B7	VREF2B7	IO	DQS1B		AE6	AD11	DQS0B	
B7	VREF2B7	IO			W8	W11		
B7	VREF2B7	IO	DQ1B2		AF6	AE10	DQ0B10	DQ0B10
B7	VREF2B7	IO	DQ1B1		AC7	AC10	DQ0B9	DQ0B9
B7	VREF2B7	VREF2B7			V9	Y13		
B7	VREF2B7	IO	DQ1B0		AC6	AD10	DQ0B8	DQ0B8
B7	VREF2B7	IO				AA11		
B7	VREF2B7	IO				Y11		
B7	VREF2B7	IO	DQ0B7		AF4	AC9	DQ0B7	DQ0B7
B7	VREF2B7	IO				V10		
B7	VREF2B7	IO	DQ0B6		AE5	AF8	DQ0B6	DQ0B6
B7	VREF2B7	IO				W10		
B7	VREF2B7	IO	DQ0B5		AC4	AF10	DQ0B5	DQ0B5
B7	VREF2B7	IO	DQ0B4		AD4	AC8	DQ0B4	DQ0B4
B7	VREF2B7	IO				AA10		
B7	VREF2B7	IO	DQ0B3		AD5	AE8	DQ0B3	DQ0B3
B7	VREF2B7	IO	DQS0B		AE4	AF9		
B7	VREF2B7	IO				Y10		
B7	VREF2B7	IO	DQ0B2		AE2	AD8	DQ0B2	DQ0B2
B7	VREF2B7	IO	DQ0B1		AE3	AD9	DQ0B1	DQ0B1
B7	VREF2B7	IO			W7	AB10		
B7	VREF2B7	IO	DQ0B0		AC5	AE9	DQ0B0	DQ0B0
B7	VREF2B7	IO				AD7		
B15		GND/NC				AL11		
B15		GND/NC				AM11		
B15		GND/NC				AH11		
B15		GND/NC				AJ11		
B15		GND/NC				AL9		
B15		GND/NC				AM9		
B15		GND/NC				AH9		
B15		GND/NC				AJ9		
B15		VCCA_B15				AD6		
B15		GND/NC				AL7		
B15		GND/NC				AM7		
		VCCG_B15				AC6		
		GND				AB6		
B15		RREFB15A				AC7		
B15		GND/NC				AL5		
B15		GND/NC				AM5		
B15		GND/NC				AH7		
B15		GND/NC				AJ7		
B15		GND/NC				AM3		
B15		GND/NC				AM2		
B15		GND/NC				AJ5		
B15		GND/NC				AJ4		
B15		GXB_RX11n			AC2	AK2		
B15		GXB_RX11p			AC1	AK1		
B15		GXB_TX11n			AA5	AG5		
B15		GXB_TX11p			AA4	AG4		
B15		GXB_RX10n			AA2	AH2		
B15		GXB_RX10p			AA1	AH1		
B15		GXB_TX10n			W5	AE5		
B15		GXB_TX10p			W4	AE4		
B15		VCCA_B15			P8	AA6		
B15		REFCLKB15n			W2	AF2		
B15		REFCLKB15p			W1	AF1		
		VCCG_B15			P7	W6		
		GND			P6	Y6		
B15		RREFB15			U7	T8		
B15		GXB_RX8n			U2	AD2		
B15		GXB_RX8p			U1	AD1		
B15		GXB_TX8n			U5	AC5		
B15		GXB_TX8p			U4	AC4		
B15		GXB_RX9n			R2	AB2		
B15		GXB_RX9p			R1	AB1		
B15		GXB_TX9n			R5	AA5		
B15		GXB_TX9p			R4	AA4		
B14		GXB_RX7n			N2	K2		
B14		GXB_RX7p			N1	K1		
B14		GXB_TX7n			N5	L5		
B14		GXB_TX7p			N4	L4		
B14		GXB_RX6n			L2	H2		
B14		GXB_RX6p			L1	H1		
B14		GXB_TX6n			L5	J5		
B14		GXB_TX6p			L4	J4		
B14		VCCA_B14			N7	R6		
B14		REFCLKB14n			J2	F2		
B14		REFCLKB14p			J1	F1		
		VCCG_B14			N8	N6		
		GND			N6	P6		
B14		RREFB14			K7	L7		
B14		GXB_RX4n			G2	D2		
B14		GXB_RX4p			G1	D1		
B14		GXB_TX4n			J5	G5		
B14		GXB_TX4p			J4	G4		
B14		GXB_RX5n			E2	B2		
B14		GXB_RX5p			E1	B1		
B14		GXB_TX5n			G5	E4		
B14		GXB_TX5p			G4	D4		
B14		GND/NC				B4		
B14		GND/NC				A4		
B14		GND/NC				E6		
B14		GND/NC				D6		
B14		GND/NC				B6		
B14		GND/NC				A6		
B14		GND/NC				E8		
B14		GND/NC				D8		
B14		VCCA_B14				M6		
B14		GND/NC				B8		
B14		GND/NC				A8		
		VCCG_B14				K6		
		GND				L6		
B14		RREFB14A				J7		
B14		GND/NC				B10		
B14		GND/NC				A10		
B14		GND/NC				E10		
B14		GND/NC				D10		
B14		GND/NC				B12		
B14		GND/NC				A12		
B14		GND/NC				E12		
B14		GND/NC				D12		
B4	VREF0B4	IO				K7		
B4	VREF0B4	IO	DQ0T0		B2	H9	DQ0T0	DQ0T0
B4	VREF0B4	IO				L8		
B4	VREF0B4	IO	DQ0T1		C2	J8	DQ0T1	DQ0T1
B4	VREF0B4	IO	DQ0T2		C1	K8	DQ0T2	DQ0T2
B4	VREF0B4	IO	DQS0T		C3	G8		
B4	VREF0B4	IO			H7	H7		
B4	VREF0B4	IO	DQ0T3		B3	J9	DQ0T3	DQ0T3
B4	VREF0B4	IO				L10		
B4	VREF0B4	IO	DQ0T4		D4	K9	DQ0T4	DQ0T4
B4	VREF0B4	IO	DQ0T5		E4	G9	DQ0T5	DQ0T5
B4	VREF0B4	IO				N10		
B4	VREF0B4	IO	DQ0T6		B4	H8	DQ0T6	DQ0T6
B4	VREF0B4	IO				M10		
