"Pin Information for the Stratix® IV GT EP4S40G5ES1 Device
 Version 1.3 
Notes (1), (2), (3), (4) 
6A	VREFB6AN0	IO			DIFFIO_TX_R51p	DIFFOUT_R102p	K9	Yes	DQ32R	DQ33R	DQ34R
6A	VREFB6AN0	IO			DIFFIO_TX_R51n	DIFFOUT_R102n	J9	Yes	DQ32R	DQ33R	DQ34R
6A	VREFB6AN0	IO			DIFFIO_RX_R52p	DIFFOUT_R103p	D8	Yes	DQS32R	DQ33R/CQn33R	DQS34R/CQ34R
6A	VREFB6AN0	IO			DIFFIO_RX_R52n	DIFFOUT_R103n	C8	Yes	DQSn32R	DQ33R	DQSn34R/DQ34R
6A	VREFB6AN0	IO			DIFFIO_TX_R52p	DIFFOUT_R104p	K8	Yes	DQ32R	DQ33R	DQ34R
6A	VREFB6AN0	IO			DIFFIO_TX_R52n	DIFFOUT_R104n	J8	Yes	DQ32R	DQ33R	DQ34R
6A	VREFB6AN0	IO			DIFFIO_RX_R53p	DIFFOUT_R105p	D9	Yes	DQ33R	DQ34R	DQ34R
6A	VREFB6AN0	IO			DIFFIO_RX_R53n	DIFFOUT_R105n	C9	Yes	DQ33R	DQ34R	DQ34R
6A	VREFB6AN0	IO			DIFFIO_TX_R53p	DIFFOUT_R106p	M11	Yes	DQ33R	DQ34R	DQ34R
6A	VREFB6AN0	IO			DIFFIO_TX_R53n	DIFFOUT_R106n	L11	Yes	DQ33R	DQ34R	DQ34R
6A	VREFB6AN0	IO			DIFFIO_TX_R54p	DIFFOUT_R108p	N12	Yes	DQ34R	DQ34R	DQ34R
6A	VREFB6AN0	IO			DIFFIO_TX_R54n	DIFFOUT_R108n	M12	Yes	DQ34R	DQ34R	DQ34R
6A	VREFB6AN0	IO			DIFFIO_RX_R55p	DIFFOUT_R109p	D10	Yes	DQS34R	DQ34R/CQn34R	DQ34R
6A	VREFB6AN0	IO			DIFFIO_RX_R55n	DIFFOUT_R109n	C10	Yes	DQSn34R	DQ34R	DQ34R
6A	VREFB6AN0	IO			DIFFIO_TX_R55p	DIFFOUT_R110p	K10	Yes	DQ34R	DQ34R	DQ34R
6A	VREFB6AN0	IO			DIFFIO_TX_R55n	DIFFOUT_R110n	J10	Yes	DQ34R	DQ34R	DQ34R
6A	VREFB6AN0	IO	RUP6A		DIFFIO_RX_R56p	DIFFOUT_R111p	D6	Yes			
6A	VREFB6AN0	IO	RDN6A		DIFFIO_RX_R56n	DIFFOUT_R111n	C6	Yes			
6A	VREFB6AN0	IO	PLL_R1_FB_CLKOUT0p		DIFFIO_TX_R56p	DIFFOUT_R112p	H10	Yes			
6A	VREFB6AN0	IO	PLL_R1_CLKOUT0n		DIFFIO_TX_R56n	DIFFOUT_R112n	G10	Yes			
		MSEL2		MSEL2			A8	No			
		MSEL1		MSEL1			H11	No			
		MSEL0		MSEL0			J11	No			
7A	VREFB7AN0	IO				DIFFOUT_T1n	M13	Yes	DQ1T	DQ1T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T1p	N13	Yes	DQ1T	DQ1T	DQ1T
7A	VREFB7AN0	IO	RDN7A		DIFFIO_RX_T1n	DIFFOUT_T2n	N14	Yes	DQSn1T	DQ1T	DQ1T
7A	VREFB7AN0	IO	RUP7A		DIFFIO_RX_T1p	DIFFOUT_T2p	P14	Yes	DQS1T	DQ1T/CQn1T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T3n	N15	Yes	DQ1T	DQ1T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T3p	R14	Yes	DQ1T	DQ1T	DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T2n	DIFFOUT_T4n	K13	Yes	DQSn2T	DQSn1T/DQ1T	DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T2p	DIFFOUT_T4p	L13	Yes	DQS2T	DQS1T/CQ1T	DQ1T/CQn1T
7A	VREFB7AN0	IO				DIFFOUT_T5n	K12	Yes	DQ2T	DQ1T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T5p	M14	Yes	DQ2T	DQ1T	DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T3n	DIFFOUT_T6n	K14	Yes	DQ2T	DQ1T	DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T3p	DIFFOUT_T6p	L14	Yes	DQ2T	DQ1T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T7n	J13	Yes	DQ3T	DQ2T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T7p	J12	Yes	DQ3T	DQ2T	DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T4n	DIFFOUT_T8n	G13	Yes	DQSn3T	DQ2T	DQSn1T/DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T4p	DIFFOUT_T8p	H13	Yes	DQS3T	DQ2T/CQn2T	DQS1T/CQ1T
7A	VREFB7AN0	IO				DIFFOUT_T9n	G14	Yes	DQ3T	DQ2T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T9p	H14	Yes	DQ3T	DQ2T	DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T5n	DIFFOUT_T10n	E13	Yes	DQSn4T	DQSn2T/DQ2T	DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T5p	DIFFOUT_T10p	F13	Yes	DQS4T	DQS2T/CQ2T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T11n	D13	Yes	DQ4T	DQ2T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T11p	F12	Yes	DQ4T	DQ2T	DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T6n	DIFFOUT_T12n	E14	Yes	DQ4T	DQ2T	DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T6p	DIFFOUT_T12p	F14	Yes	DQ4T	DQ2T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T13n	C11	Yes	DQ5T	DQ3T	
7A	VREFB7AN0	IO				DIFFOUT_T13p	A10	Yes	DQ5T	DQ3T	
7A	VREFB7AN0	IO			DIFFIO_RX_T7n	DIFFOUT_T14n	A11	Yes	DQSn5T	DQ3T	
7A	VREFB7AN0	IO			DIFFIO_RX_T7p	DIFFOUT_T14p	B11	Yes	DQS5T	DQ3T/CQn3T	
7A	VREFB7AN0	IO				DIFFOUT_T15n	B10	Yes	DQ5T	DQ3T	
7A	VREFB7AN0	IO				DIFFOUT_T15p	D11	Yes	DQ5T	DQ3T	
7A	VREFB7AN0	IO			DIFFIO_RX_T8n	DIFFOUT_T16n	C14	Yes	DQSn6T	DQSn3T/DQ3T	
7A	VREFB7AN0	IO			DIFFIO_RX_T8p	DIFFOUT_T16p	D14	Yes	DQS6T	DQS3T/CQ3T	
7A	VREFB7AN0	IO				DIFFOUT_T17n	C13	Yes	DQ6T	DQ3T	
7A	VREFB7AN0	IO				DIFFOUT_T17p	C12	Yes	DQ6T	DQ3T	
7A	VREFB7AN0	IO			DIFFIO_RX_T9n	DIFFOUT_T18n	A13	Yes	DQ6T	DQ3T	
7A	VREFB7AN0	IO			DIFFIO_RX_T9p	DIFFOUT_T18p	B13	Yes	DQ6T	DQ3T	
7A	VREFB7AN0	IO				DIFFOUT_T19n	J15	Yes			
7A	VREFB7AN0	IO				DIFFOUT_T19p	K15	Yes			
7A	VREFB7AN0	IO			DIFFIO_RX_T10n	DIFFOUT_T20n	A14	Yes			
7A	VREFB7AN0	IO			DIFFIO_RX_T10p	DIFFOUT_T20p	B14	Yes			
7B	VREFB7BN0	IO				DIFFOUT_T25n	G15	Yes	DQ9T	DQ9T	DQ9T
7B	VREFB7BN0	IO				DIFFOUT_T25p	E16	Yes	DQ9T	DQ9T	DQ9T
7B	VREFB7BN0	IO			DIFFIO_RX_T13n	DIFFOUT_T26n	F16	Yes	DQSn9T	DQ9T	DQ9T
7B	VREFB7BN0	IO			DIFFIO_RX_T13p	DIFFOUT_T26p	G16	Yes	DQS9T	DQ9T/CQn9T	DQ9T
7B	VREFB7BN0	IO				DIFFOUT_T27n	G17	Yes	DQ9T	DQ9T	DQ9T
7B	VREFB7BN0	IO				DIFFOUT_T27p	F15	Yes	DQ9T	DQ9T	DQ9T
7B	VREFB7BN0	IO			DIFFIO_RX_T14n	DIFFOUT_T28n	C15	Yes	DQSn10T	DQSn9T/DQ9T	DQ9T
7B	VREFB7BN0	IO			DIFFIO_RX_T14p	DIFFOUT_T28p	D15	Yes	DQS10T	DQS9T/CQ9T	DQ9T/CQn9T
7B	VREFB7BN0	IO				DIFFOUT_T29n	A16	Yes	DQ10T	DQ9T	DQ9T
7B	VREFB7BN0	IO				DIFFOUT_T29p	D16	Yes	DQ10T	DQ9T	DQ9T
7B	VREFB7BN0	IO			DIFFIO_RX_T15n	DIFFOUT_T30n	B16	Yes	DQ10T	DQ9T	DQ9T
7B	VREFB7BN0	IO			DIFFIO_RX_T15p	DIFFOUT_T30p	C16	Yes	DQ10T	DQ9T	DQ9T
7B	VREFB7BN0	IO				DIFFOUT_T31n	P16	Yes	DQ11T	DQ10T	DQ9T
7B	VREFB7BN0	IO				DIFFOUT_T31p	P17	Yes	DQ11T	DQ10T	DQ9T
7B	VREFB7BN0	IO			DIFFIO_RX_T16n	DIFFOUT_T32n	M16	Yes	DQSn11T	DQ10T	DQSn9T/DQ9T
7B	VREFB7BN0	IO			DIFFIO_RX_T16p	DIFFOUT_T32p	N16	Yes	DQS11T	DQ10T/CQn10T	DQS9T/CQ9T
7B	VREFB7BN0	IO				DIFFOUT_T33n	N17	Yes	DQ11T	DQ10T	DQ9T
7B	VREFB7BN0	IO				DIFFOUT_T33p	M17	Yes	DQ11T	DQ10T	DQ9T
7B	VREFB7BN0	IO			DIFFIO_RX_T17n	DIFFOUT_T34n	J16	Yes	DQSn12T	DQSn10T/DQ10T	DQ9T
7B	VREFB7BN0	IO			DIFFIO_RX_T17p	DIFFOUT_T34p	K16	Yes	DQS12T	DQS10T/CQ10T	DQ9T
7B	VREFB7BN0	IO				DIFFOUT_T35n	K17	Yes	DQ12T	DQ10T	DQ9T
7B	VREFB7BN0	IO				DIFFOUT_T35p	L16	Yes	DQ12T	DQ10T	DQ9T
7B	VREFB7BN0	IO			DIFFIO_RX_T18n	DIFFOUT_T36n	H17	Yes	DQ12T	DQ10T	DQ9T
7B	VREFB7BN0	IO			DIFFIO_RX_T18p	DIFFOUT_T36p	J17	Yes	DQ12T	DQ10T	DQ9T
7C	VREFB7CN0	IO				DIFFOUT_T49n	C17	Yes	DQ17T	DQ17T	
7C	VREFB7CN0	IO				DIFFOUT_T49p	F17	Yes	DQ17T	DQ17T	
7C	VREFB7CN0	IO			DIFFIO_RX_T25n	DIFFOUT_T50n	D17	Yes	DQSn17T	DQ17T	
7C	VREFB7CN0	IO			DIFFIO_RX_T25p	DIFFOUT_T50p	E17	Yes	DQS17T	DQ17T/CQn17T	
7C	VREFB7CN0	IO				DIFFOUT_T51n	C18	Yes	DQ17T	DQ17T	
7C	VREFB7CN0	IO				DIFFOUT_T51p	D18	Yes	DQ17T	DQ17T	
7C	VREFB7CN0	IO			DIFFIO_RX_T26n	DIFFOUT_T52n	F18	Yes	DQSn18T	DQSn17T/DQ17T	
7C	VREFB7CN0	IO			DIFFIO_RX_T26p	DIFFOUT_T52p	G18	Yes	DQS18T	DQS17T/CQ17T	
7C	VREFB7CN0	IO				DIFFOUT_T53n	G20	Yes	DQ18T	DQ17T	
7C	VREFB7CN0	IO				DIFFOUT_T53p	F20	Yes	DQ18T	DQ17T	
7C	VREFB7CN0	IO			DIFFIO_RX_T27n	DIFFOUT_T54n	F19	Yes	DQ18T	DQ17T	
7C	VREFB7CN0	IO			DIFFIO_RX_T27p	DIFFOUT_T54p	G19	Yes	DQ18T	DQ17T	
7C	VREFB7CN0	IO				DIFFOUT_T55n	R18	Yes	DQ19T		
7C	VREFB7CN0	IO				DIFFOUT_T55p	J18	Yes	DQ19T		
7C	VREFB7CN0	IO			DIFFIO_RX_T28n	DIFFOUT_T56n	A17	Yes	DQSn19T		
7C	VREFB7CN0	IO			DIFFIO_RX_T28p	DIFFOUT_T56p	B17	Yes	DQS19T		
7C	VREFB7CN0	IO				DIFFOUT_T57n	H19	Yes	DQ19T		
7C	VREFB7CN0	IO				DIFFOUT_T57p	P18	Yes	DQ19T		
7C	VREFB7CN0	IO			DIFFIO_RX_T29n	DIFFOUT_T58n	A18	Yes			
7C	VREFB7CN0	IO			DIFFIO_RX_T29p	DIFFOUT_T58p	B19	Yes			
7C	VREFB7CN0	IO	PLL_T2_CLKOUT4			DIFFOUT_T59n	M19	No			
7C	VREFB7CN0	IO	PLL_T2_CLKOUT3			DIFFOUT_T59p	L19	No			
7C	VREFB7CN0	IO			DIFFIO_RX_T30n	DIFFOUT_T60n	C19	No			
7C	VREFB7CN0	IO			DIFFIO_RX_T30p	DIFFOUT_T60p	D19	No			
7C	VREFB7CN0	IO	PLL_T2_CLKOUT0n			DIFFOUT_T61n	N19	No			
7C	VREFB7CN0	IO	PLL_T2_CLKOUT0p			DIFFOUT_T61p	P19	No			
7C	VREFB7CN0	IO	PLL_T2_FBn/CLKOUT2		DIFFIO_RX_T31n	DIFFOUT_T62n	C20	No			
7C	VREFB7CN0	IO	PLL_T2_FBp/CLKOUT1		DIFFIO_RX_T31p	DIFFOUT_T62p	D20	No			
7C	VREFB7CN0	IO	CLK13n			DIFFOUT_T63n	A19	No			
7C	VREFB7CN0	IO	CLK13p			DIFFOUT_T63p	B20	No			
7C	VREFB7CN0	IO	CLK12n		DIFFIO_RX_T32n	DIFFOUT_T64n	A20	No			
7C	VREFB7CN0	IO	CLK12p		DIFFIO_RX_T32p	DIFFOUT_T64p	A21	No			
8C	VREFB8CN0	IO	CLK14p		DIFFIO_RX_T33p	DIFFOUT_T65p	B22	No			
8C	VREFB8CN0	IO	CLK14n		DIFFIO_RX_T33n	DIFFOUT_T65n	A22	No			
8C	VREFB8CN0	IO	CLK15p			DIFFOUT_T66p	B23	No			
8C	VREFB8CN0	IO	CLK15n			DIFFOUT_T66n	A23	No			
8C	VREFB8CN0	IO	PLL_T1_FBp/CLKOUT1		DIFFIO_RX_T34p	DIFFOUT_T67p	G21	No			
8C	VREFB8CN0	IO	PLL_T1_FBn/CLKOUT2		DIFFIO_RX_T34n	DIFFOUT_T67n	F21	No			
8C	VREFB8CN0	IO	PLL_T1_CLKOUT0p			DIFFOUT_T68p	M20	No			
8C	VREFB8CN0	IO	PLL_T1_CLKOUT0n			DIFFOUT_T68n	L20	No			
8C	VREFB8CN0	IO			DIFFIO_RX_T35p	DIFFOUT_T69p	D21	No			
8C	VREFB8CN0	IO			DIFFIO_RX_T35n	DIFFOUT_T69n	C22	No			
8C	VREFB8CN0	IO	PLL_T1_CLKOUT3			DIFFOUT_T70p	N20	No			
8C	VREFB8CN0	IO	PLL_T1_CLKOUT4			DIFFOUT_T70n	P20	No			
8C	VREFB8CN0	IO			DIFFIO_RX_T36p	DIFFOUT_T71p	A25	Yes			
8C	VREFB8CN0	IO			DIFFIO_RX_T36n	DIFFOUT_T71n	A24	Yes			
8C	VREFB8CN0	IO				DIFFOUT_T72p	M21	Yes	DQ20T		
8C	VREFB8CN0	IO				DIFFOUT_T72n	R20	Yes	DQ20T		
8C	VREFB8CN0	IO			DIFFIO_RX_T37p	DIFFOUT_T73p	D24	Yes	DQS20T		
8C	VREFB8CN0	IO			DIFFIO_RX_T37n	DIFFOUT_T73n	C24	Yes	DQSn20T		
8C	VREFB8CN0	IO				DIFFOUT_T74p	N21	Yes	DQ20T		
8C	VREFB8CN0	IO				DIFFOUT_T74n	M22	Yes	DQ20T		
8C	VREFB8CN0	IO			DIFFIO_RX_T38p	DIFFOUT_T75p	J22	Yes	DQ21T	DQ22T	
8C	VREFB8CN0	IO			DIFFIO_RX_T38n	DIFFOUT_T75n	H22	Yes	DQ21T	DQ22T	
8C	VREFB8CN0	IO				DIFFOUT_T76p	G22	Yes	DQ21T	DQ22T	
8C	VREFB8CN0	IO				DIFFOUT_T76n	K22	Yes	DQ21T	DQ22T	
8C	VREFB8CN0	IO			DIFFIO_RX_T39p	DIFFOUT_T77p	J23	Yes	DQS21T	DQS22T/CQ22T	
8C	VREFB8CN0	IO			DIFFIO_RX_T39n	DIFFOUT_T77n	H23	Yes	DQSn21T	DQSn22T/DQ22T	
8C	VREFB8CN0	IO				DIFFOUT_T78p	E22	Yes	DQ22T	DQ22T	
8C	VREFB8CN0	IO				DIFFOUT_T78n	D22	Yes	DQ22T	DQ22T	
8C	VREFB8CN0	IO	RUP8C		DIFFIO_RX_T40p	DIFFOUT_T79p	E23	Yes	DQS22T	DQ22T/CQn22T	
8C	VREFB8CN0	IO	RDN8C		DIFFIO_RX_T40n	DIFFOUT_T79n	D23	Yes	DQSn22T	DQ22T	
8C	VREFB8CN0	IO				DIFFOUT_T80p	G23	Yes	DQ22T	DQ22T	
8C	VREFB8CN0	IO				DIFFOUT_T80n	F23	Yes	DQ22T	DQ22T	
8B	VREFB8BN0	IO			DIFFIO_RX_T47p	DIFFOUT_T93p	K24	Yes	DQ27T	DQ29T	DQ30T
8B	VREFB8BN0	IO			DIFFIO_RX_T47n	DIFFOUT_T93n	J24	Yes	DQ27T	DQ29T	DQ30T
8B	VREFB8BN0	IO				DIFFOUT_T94p	M24	Yes	DQ27T	DQ29T	DQ30T
8B	VREFB8BN0	IO				DIFFOUT_T94n	J25	Yes	DQ27T	DQ29T	DQ30T
8B	VREFB8BN0	IO			DIFFIO_RX_T48p	DIFFOUT_T95p	L23	Yes	DQS27T	DQS29T/CQ29T	DQ30T
8B	VREFB8BN0	IO			DIFFIO_RX_T48n	DIFFOUT_T95n	K23	Yes	DQSn27T	DQSn29T/DQ29T	DQ30T
8B	VREFB8BN0	IO				DIFFOUT_T96p	N22	Yes	DQ28T	DQ29T	DQ30T
8B	VREFB8BN0	IO				DIFFOUT_T96n	M23	Yes	DQ28T	DQ29T	DQ30T
8B	VREFB8BN0	IO			DIFFIO_RX_T49p	DIFFOUT_T97p	P23	Yes	DQS28T	DQ29T/CQn29T	DQS30T/CQ30T
8B	VREFB8BN0	IO			DIFFIO_RX_T49n	DIFFOUT_T97n	N23	Yes	DQSn28T	DQ29T	DQSn30T/DQ30T
8B	VREFB8BN0	IO				DIFFOUT_T98p	R22	Yes	DQ28T	DQ29T	DQ30T
8B	VREFB8BN0	IO				DIFFOUT_T98n	P22	Yes	DQ28T	DQ29T	DQ30T
8B	VREFB8BN0	IO			DIFFIO_RX_T50p	DIFFOUT_T99p	G24	Yes	DQ29T	DQ30T	DQ30T
8B	VREFB8BN0	IO			DIFFIO_RX_T50n	DIFFOUT_T99n	F24	Yes	DQ29T	DQ30T	DQ30T
8B	VREFB8BN0	IO				DIFFOUT_T100p	G25	Yes	DQ29T	DQ30T	DQ30T
8B	VREFB8BN0	IO				DIFFOUT_T100n	D25	Yes	DQ29T	DQ30T	DQ30T
8B	VREFB8BN0	IO			DIFFIO_RX_T51p	DIFFOUT_T101p	F25	Yes	DQS29T	DQS30T/CQ30T	DQ30T/CQn30T
8B	VREFB8BN0	IO			DIFFIO_RX_T51n	DIFFOUT_T101n	E25	Yes	DQSn29T	DQSn30T/DQ30T	DQ30T
8B	VREFB8BN0	IO				DIFFOUT_T102p	C25	Yes	DQ30T	DQ30T	DQ30T
8B	VREFB8BN0	IO				DIFFOUT_T102n	B25	Yes	DQ30T	DQ30T	DQ30T
8B	VREFB8BN0	IO			DIFFIO_RX_T52p	DIFFOUT_T103p	C26	Yes	DQS30T	DQ30T/CQn30T	DQ30T
8B	VREFB8BN0	IO			DIFFIO_RX_T52n	DIFFOUT_T103n	B26	Yes	DQSn30T	DQ30T	DQ30T
8B	VREFB8BN0	IO				DIFFOUT_T104p	A26	Yes	DQ30T	DQ30T	DQ30T
8B	VREFB8BN0	IO				DIFFOUT_T104n	D26	Yes	DQ30T	DQ30T	DQ30T
8A	VREFB8AN0	IO			DIFFIO_RX_T55p	DIFFOUT_T109p	G26	Yes			
8A	VREFB8AN0	IO			DIFFIO_RX_T55n	DIFFOUT_T109n	F26	Yes			
8A	VREFB8AN0	IO				DIFFOUT_T110p	P24	Yes			
8A	VREFB8AN0	IO				DIFFOUT_T110n	R24	Yes			
8A	VREFB8AN0	IO			DIFFIO_RX_T56p	DIFFOUT_T111p	A28	Yes	DQ33T	DQ36T	
8A	VREFB8AN0	IO			DIFFIO_RX_T56n	DIFFOUT_T111n	A27	Yes	DQ33T	DQ36T	
8A	VREFB8AN0	IO				DIFFOUT_T112p	C27	Yes	DQ33T	DQ36T	
8A	VREFB8AN0	IO				DIFFOUT_T112n	D27	Yes	DQ33T	DQ36T	
8A	VREFB8AN0	IO			DIFFIO_RX_T57p	DIFFOUT_T113p	C28	Yes	DQS33T	DQS36T/CQ36T	
8A	VREFB8AN0	IO			DIFFIO_RX_T57n	DIFFOUT_T113n	B28	Yes	DQSn33T	DQSn36T/DQ36T	
8A	VREFB8AN0	IO				DIFFOUT_T114p	B31	Yes	DQ34T	DQ36T	
8A	VREFB8AN0	IO				DIFFOUT_T114n	A31	Yes	DQ34T	DQ36T	
8A	VREFB8AN0	IO			DIFFIO_RX_T58p	DIFFOUT_T115p	B29	Yes	DQS34T	DQ36T/CQn36T	
8A	VREFB8AN0	IO			DIFFIO_RX_T58n	DIFFOUT_T115n	A29	Yes	DQSn34T	DQ36T	
8A	VREFB8AN0	IO				DIFFOUT_T116p	C29	Yes	DQ34T	DQ36T	
8A	VREFB8AN0	IO				DIFFOUT_T116n	C30	Yes	DQ34T	DQ36T	
8A	VREFB8AN0	IO			DIFFIO_RX_T59p	DIFFOUT_T117p	F28	Yes	DQ35T	DQ37T	DQ38T
8A	VREFB8AN0	IO			DIFFIO_RX_T59n	DIFFOUT_T117n	E28	Yes	DQ35T	DQ37T	DQ38T
8A	VREFB8AN0	IO				DIFFOUT_T118p	D28	Yes	DQ35T	DQ37T	DQ38T
8A	VREFB8AN0	IO				DIFFOUT_T118n	F27	Yes	DQ35T	DQ37T	DQ38T
8A	VREFB8AN0	IO			DIFFIO_RX_T60p	DIFFOUT_T119p	E29	Yes	DQS35T	DQS37T/CQ37T	DQ38T
8A	VREFB8AN0	IO			DIFFIO_RX_T60n	DIFFOUT_T119n	D29	Yes	DQSn35T	DQSn37T/DQ37T	DQ38T
8A	VREFB8AN0	IO				DIFFOUT_T120p	G27	Yes	DQ36T	DQ37T	DQ38T
8A	VREFB8AN0	IO				DIFFOUT_T120n	H26	Yes	DQ36T	DQ37T	DQ38T
8A	VREFB8AN0	IO			DIFFIO_RX_T61p	DIFFOUT_T121p	H28	Yes	DQS36T	DQ37T/CQn37T	DQS38T/CQ38T
8A	VREFB8AN0	IO			DIFFIO_RX_T61n	DIFFOUT_T121n	G28	Yes	DQSn36T	DQ37T	DQSn38T/DQ38T
8A	VREFB8AN0	IO				DIFFOUT_T122p	J26	Yes	DQ36T	DQ37T	DQ38T
8A	VREFB8AN0	IO				DIFFOUT_T122n	G29	Yes	DQ36T	DQ37T	DQ38T
8A	VREFB8AN0	IO			DIFFIO_RX_T62p	DIFFOUT_T123p	L26	Yes	DQ37T	DQ38T	DQ38T
8A	VREFB8AN0	IO			DIFFIO_RX_T62n	DIFFOUT_T123n	K26	Yes	DQ37T	DQ38T	DQ38T
8A	VREFB8AN0	IO				DIFFOUT_T124p	L25	Yes	DQ37T	DQ38T	DQ38T
8A	VREFB8AN0	IO				DIFFOUT_T124n	K28	Yes	DQ37T	DQ38T	DQ38T
8A	VREFB8AN0	IO			DIFFIO_RX_T63p	DIFFOUT_T125p	K27	Yes	DQS37T	DQS38T/CQ38T	DQ38T/CQn38T
8A	VREFB8AN0	IO			DIFFIO_RX_T63n	DIFFOUT_T125n	J27	Yes	DQSn37T	DQSn38T/DQ38T	DQ38T
8A	VREFB8AN0	IO				DIFFOUT_T126p	M25	Yes	DQ38T	DQ38T	DQ38T
8A	VREFB8AN0	IO				DIFFOUT_T126n	N25	Yes	DQ38T	DQ38T	DQ38T
8A	VREFB8AN0	IO	RUP8A		DIFFIO_RX_T64p	DIFFOUT_T127p	P26	Yes	DQS38T	DQ38T/CQn38T	DQ38T
8A	VREFB8AN0	IO	RDN8A		DIFFIO_RX_T64n	DIFFOUT_T127n	N26	Yes	DQSn38T	DQ38T	DQ38T
8A	VREFB8AN0	IO				DIFFOUT_T128p	P25	Yes	DQ38T	DQ38T	DQ38T
8A	VREFB8AN0	IO				DIFFOUT_T128n	M27	Yes	DQ38T	DQ38T	DQ38T
QL2		GXB_TX_L11p					B36	No			
QL2		GXB_TX_L11n					B37	No			
QL2		GXB_RX_L11p					C38	No			
QL2		GXB_RX_L11n					C39	No			
QL2		GXB_TX_L10p					D36	No			
QL2		GXB_TX_L10n					D37	No			
QL2		GXB_RX_L10p					E38	No			
QL2		GXB_RX_L10n					E39	No			
QL2		GXB_CMUTX_L5p					F36	No			
QL2		GXB_CMUTX_L5n					F37	No			
QL2		"REFCLK_L5p,GXB_CMURX_L5p"					G38	No			
QL2		"REFCLK_L5n,GXB_CMURX_L5n"					G39	No			
QL2		GXB_CMUTX_L4p					H36	No			
QL2		GXB_CMUTX_L4n					H37	No			
QL2		"REFCLK_L4p,GXB_CMURX_L4p"					J38	No			
QL2		"REFCLK_L4n,GXB_CMURX_L4n"					J39	No			
QL2		GXB_TX_L9p					K36	No			
QL2		GXB_TX_L9n					K37	No			
QL2		GXB_RX_L9p					L38	No			
QL2		GXB_RX_L9n					L39	No			
QL2		GXB_TX_L8p					M36	No			
QL2		GXB_TX_L8n					M37	No			
QL2		GXB_RX_L8p					N38	No			
QL2		GXB_RX_L8n					N39	No			
QL1		GXB_TX_L7p					P36	No			
QL1		GXB_TX_L7n					P37	No			
QL1		GXB_RX_L7p					R38	No			
QL1		GXB_RX_L7n					R39	No			
QL1		GXB_TX_L6p					T36	No			
QL1		GXB_TX_L6n					T37	No			
QL1		GXB_RX_L6p					U38	No			
QL1		GXB_RX_L6n					U39	No			
QL1		GXB_CMUTX_L3p					V36	No			
QL1		GXB_CMUTX_L3n					V37	No			
QL1		"REFCLK_L3p,GXB_CMURX_L3p"					W38	No			
QL1		"REFCLK_L3n,GXB_CMURX_L3n"					W39	No			
QL1		GXB_CMUTX_L2p					Y36	No			
QL1		GXB_CMUTX_L2n					Y37	No			
QL1		"REFCLK_L2p,GXB_CMURX_L2p"					AA38	No			
QL1		"REFCLK_L2n,GXB_CMURX_L2n"					AA39	No			
QL1		GXB_TX_L5p					AB36	No			
QL1		GXB_TX_L5n					AB37	No			
QL1		GXB_RX_L5p					AC38	No			
QL1		GXB_RX_L5n					AC39	No			
QL1		GXB_TX_L4p					AD36	No			
QL1		GXB_TX_L4n					AD37	No			
QL1		GXB_RX_L4p					AE38	No			
QL1		GXB_RX_L4n					AE39	No			
QL0		GXB_TX_L3p					AF36	No			
QL0		GXB_TX_L3n					AF37	No			
QL0		GXB_RX_L3p					AG38	No			
QL0		GXB_RX_L3n					AG39	No			
QL0		GXB_TX_L2p					AH36	No			
QL0		GXB_TX_L2n					AH37	No			
QL0		GXB_RX_L2p					AJ38	No			
QL0		GXB_RX_L2n					AJ39	No			
QL0		GXB_CMUTX_L1p					AK36	No			
QL0		GXB_CMUTX_L1n					AK37	No			
QL0		"REFCLK_L1p,GXB_CMURX_L1p"					AL38	No			
QL0		"REFCLK_L1n,GXB_CMURX_L1n"					AL39	No			
QL0		GXB_CMUTX_L0p					AM36	No			
QL0		GXB_CMUTX_L0n					AM37	No			
QL0		"REFCLK_L0p,GXB_CMURX_L0p"					AN38	No			
QL0		"REFCLK_L0n,GXB_CMURX_L0n"					AN39	No			
QL0		GXB_TX_L1p					AP36	No			
QL0		GXB_TX_L1n					AP37	No			
QL0		GXB_RX_L1p					AR38	No			
