Bank Number	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	M484	DQS for X8	DQS for X16									
3B	VREFB3BN0	IO	"CLK0p,FPLL_BL_FBp"		DIFFIO_RX_B31p	DIFFOUT_B31p	W10											
3B	VREFB3BN0	IO			DIFFIO_TX_B32p	DIFFOUT_B32p	AD9	DQ4B										
3B	VREFB3BN0	IO			DIFFIO_TX_B33n	DIFFOUT_B33n	AC9											
3B	VREFB3BN0	IO			DIFFIO_RX_B34n	DIFFOUT_B34n	AA10	DQ5B										
3B	VREFB3BN0	IO			DIFFIO_TX_B33p	DIFFOUT_B33p	AB10	DQ5B										
3B	VREFB3BN0	IO			DIFFIO_RX_B34p	DIFFOUT_B34p	Y10	DQ5B										
3B	VREFB3BN0	IO			DIFFIO_RX_B35n	DIFFOUT_B35n	AB12	DQSn5B										
3B	VREFB3BN0	IO			DIFFIO_TX_B36n	DIFFOUT_B36n	AH12	DQ5B										
3B	VREFB3BN0	IO			DIFFIO_RX_B35p	DIFFOUT_B35p	AA12	DQS5B										
3B	VREFB3BN0	IO			DIFFIO_TX_B36p	DIFFOUT_B36p	AF12											
3B	VREFB3BN0	IO	"FPLL_BL_CLKOUT1,FPLL_BL_CLKOUTn"		DIFFIO_TX_B37n	DIFFOUT_B37n	AD13	DQ5B										
3B	VREFB3BN0	IO			DIFFIO_RX_B38n	DIFFOUT_B38n	AF13	DQ5B										
3B	VREFB3BN0	IO	"FPLL_BL_CLKOUT0,FPLL_BL_CLKOUTp,FPLL_BL_FB"		DIFFIO_TX_B37p	DIFFOUT_B37p	AC12	DQ5B										
3B	VREFB3BN0	IO			DIFFIO_RX_B38p	DIFFOUT_B38p	AE13	DQ5B										
3B	VREFB3BN0	IO	CLK1n		DIFFIO_RX_B39n	DIFFOUT_B39n	AA16											
3B	VREFB3BN0	IO			DIFFIO_TX_B40n	DIFFOUT_B40n	AA13	DQ5B										
3B	VREFB3BN0	IO	CLK1p		DIFFIO_RX_B39p	DIFFOUT_B39p	Y16											
3B	VREFB3BN0	IO			DIFFIO_TX_B40p	DIFFOUT_B40p	Y13	DQ5B										
4A	VREFB4AN0	IO	RZQ_0		DIFFIO_TX_B41n	DIFFOUT_B41n	AB17											
4A	VREFB4AN0	IO			DIFFIO_RX_B42n	DIFFOUT_B42n	AC17	DQ6B										
4A	VREFB4AN0	IO			DIFFIO_TX_B41p	DIFFOUT_B41p	AB16	DQ6B										
4A	VREFB4AN0	IO			DIFFIO_RX_B42p	DIFFOUT_B42p	AC16	DQ6B										
4A	VREFB4AN0	IO			DIFFIO_RX_B43n	DIFFOUT_B43n	Y17	DQSn6B										
4A	VREFB4AN0	IO			DIFFIO_TX_B44n	DIFFOUT_B44n	AH16	DQ6B										
4A	VREFB4AN0	IO			DIFFIO_RX_B43p	DIFFOUT_B43p	W17	DQS6B										
4A	VREFB4AN0	IO			DIFFIO_TX_B44p	DIFFOUT_B44p	AH17											
4A	VREFB4AN0	IO			DIFFIO_TX_B45n	DIFFOUT_B45n	AE16	DQ6B										
4A	VREFB4AN0	IO			DIFFIO_RX_B46n	DIFFOUT_B46n	AA20	DQ6B										
4A	VREFB4AN0	IO			DIFFIO_TX_B45p	DIFFOUT_B45p	AE17	DQ6B										
4A	VREFB4AN0	IO			DIFFIO_RX_B46p	DIFFOUT_B46p	Y19	DQ6B										
4A	VREFB4AN0	IO	CLK2n		DIFFIO_RX_B47n	DIFFOUT_B47n	U20											
4A	VREFB4AN0	IO			DIFFIO_TX_B48n	DIFFOUT_B48n	AB19	DQ6B										
4A	VREFB4AN0	IO	CLK2p		DIFFIO_RX_B47p	DIFFOUT_B47p	U19											
4A	VREFB4AN0	IO			DIFFIO_TX_B48p	DIFFOUT_B48p	AA19	DQ6B										
4A	VREFB4AN0	IO			DIFFIO_TX_B49n	DIFFOUT_B49n	AH20											
4A	VREFB4AN0	IO			DIFFIO_RX_B50n	DIFFOUT_B50n	AH19	DQ7B	DQ1B									
4A	VREFB4AN0	IO			DIFFIO_TX_B49p	DIFFOUT_B49p	AF21	DQ7B	DQ1B									
4A	VREFB4AN0	IO			DIFFIO_RX_B50p	DIFFOUT_B50p	AF20	DQ7B	DQ1B									
4A	VREFB4AN0	IO			DIFFIO_RX_B51n	DIFFOUT_B51n	W20	DQSn7B	DQ1B									
4A	VREFB4AN0	IO			DIFFIO_TX_B52n	DIFFOUT_B52n	AE21	DQ7B	DQ1B									
4A	VREFB4AN0	IO			DIFFIO_RX_B51p	DIFFOUT_B51p	W19	DQS7B	DQ1B									
4A	VREFB4AN0	IO			DIFFIO_TX_B52p	DIFFOUT_B52p	AD21											
4A	VREFB4AN0	IO			DIFFIO_TX_B53n	DIFFOUT_B53n	AH22	DQ7B	DQ1B									
4A	VREFB4AN0	IO			DIFFIO_RX_B54n	DIFFOUT_B54n	AF19	DQ7B	DQ1B									
4A	VREFB4AN0	IO			DIFFIO_TX_B53p	DIFFOUT_B53p	AF22	DQ7B	DQ1B									
4A	VREFB4AN0	IO			DIFFIO_RX_B54p	DIFFOUT_B54p	AE19	DQ7B	DQ1B									
4A	VREFB4AN0	IO	CLK3n		DIFFIO_RX_B55n	DIFFOUT_B55n	AA21											
4A	VREFB4AN0	IO			DIFFIO_TX_B56n	DIFFOUT_B56n	AH25	DQ7B	DQ1B									
4A	VREFB4AN0	IO	CLK3p		DIFFIO_RX_B55p	DIFFOUT_B55p	Y21											
4A	VREFB4AN0	IO			DIFFIO_TX_B56p	DIFFOUT_B56p	AH24	DQ7B	DQ1B									
4A	VREFB4AN0	IO			DIFFIO_TX_B57n	DIFFOUT_B57n	AH28											
4A	VREFB4AN0	IO			DIFFIO_RX_B58n	DIFFOUT_B58n	AC22	DQ8B	DQ1B									
4A	VREFB4AN0	IO			DIFFIO_TX_B57p	DIFFOUT_B57p	AG28	DQ8B	DQ1B									
4A	VREFB4AN0	IO			DIFFIO_RX_B58p	DIFFOUT_B58p	AC21	DQ8B	DQ1B									
4A	VREFB4AN0	IO			DIFFIO_RX_B59n	DIFFOUT_B59n	AC20	DQSn8B	DQSn1B									
4A	VREFB4AN0	IO			DIFFIO_TX_B60n	DIFFOUT_B60n	AF28	DQ8B	DQ1B									
4A	VREFB4AN0	IO			DIFFIO_RX_B59p	DIFFOUT_B59p	AB20	DQS8B	DQS1B									
4A	VREFB4AN0	IO			DIFFIO_TX_B60p	DIFFOUT_B60p	AE28											
4A	VREFB4AN0	IO			DIFFIO_TX_B61n	DIFFOUT_B61n	AH26	DQ8B	DQ1B									
4A	VREFB4AN0	IO			DIFFIO_RX_B62n	DIFFOUT_B62n	AE24	DQ8B	DQ1B									
4A	VREFB4AN0	IO			DIFFIO_TX_B61p	DIFFOUT_B61p	AF25	DQ8B	DQ1B									
4A	VREFB4AN0	IO			DIFFIO_RX_B62p	DIFFOUT_B62p	AD24	DQ8B	DQ1B									
4A	VREFB4AN0	IO			DIFFIO_RX_B63n	DIFFOUT_B63n	AB22											
4A	VREFB4AN0	IO			DIFFIO_TX_B64n	DIFFOUT_B64n	AF26	DQ8B	DQ1B									
4A	VREFB4AN0	IO			DIFFIO_RX_B63p	DIFFOUT_B63p	AA22											
4A	VREFB4AN0	IO			DIFFIO_TX_B64p	DIFFOUT_B64p	AE25	DQ8B	DQ1B									
5A	VREFB5AN0	IO	RZQ_1		DIFFIO_TX_R1p	DIFFOUT_R1p	AC28	DQ1R										
5A	VREFB5AN0	IO		INIT_DONE	DIFFIO_RX_R2p	DIFFOUT_R2p	AB24											
5A	VREFB5AN0	IO		PR_REQUEST	DIFFIO_TX_R1n	DIFFOUT_R1n	AB28	DQ1R										
5A	VREFB5AN0	IO		CRC_ERROR	DIFFIO_RX_R2n	DIFFOUT_R2n	AB25											
5A	VREFB5AN0	IO		nCEO	DIFFIO_TX_R3p	DIFFOUT_R3p	AA26	DQ1R										
5A	VREFB5AN0	IO			DIFFIO_RX_R4p	DIFFOUT_R4p	AB23	DQ1R										
5A	VREFB5AN0	IO		CvP_CONFDONE	DIFFIO_TX_R3n	DIFFOUT_R3n	Y26	DQ1R										
5A	VREFB5AN0	IO			DIFFIO_RX_R4n	DIFFOUT_R4n	AA24	DQ1R										
5A	VREFB5AN0	IO		DEV_OE	DIFFIO_TX_R5p	DIFFOUT_R5p	AA28											
5A	VREFB5AN0	IO			DIFFIO_RX_R6p	DIFFOUT_R6p	Y23	DQS1R										
5A	VREFB5AN0	IO		DEV_CLRn	DIFFIO_TX_R5n	DIFFOUT_R5n	Y28	DQ1R										
5A	VREFB5AN0	IO			DIFFIO_RX_R6n	DIFFOUT_R6n	Y24	DQSn1R										
5A	VREFB5AN0	IO			DIFFIO_TX_R7p	DIFFOUT_R7p	W25	DQ1R										
5A	VREFB5AN0	IO			DIFFIO_RX_R8p	DIFFOUT_R8p	W23	DQ1R										
5A	VREFB5AN0	IO			DIFFIO_TX_R7n	DIFFOUT_R7n	W26											
5A	VREFB5AN0	IO			DIFFIO_RX_R8n	DIFFOUT_R8n	W24	DQ1R										
5B	VREFB5BN0	IO	CLK6p		DIFFIO_RX_R33p	DIFFOUT_R33p	T20											
5B	VREFB5BN0	IO			DIFFIO_TX_R34p	DIFFOUT_R34p	U22	DQ5R										
5B	VREFB5BN0	IO	CLK6n		DIFFIO_RX_R33n	DIFFOUT_R33n	U21											
5B	VREFB5BN0	IO			DIFFIO_TX_R34n	DIFFOUT_R34n	T22	DQ5R										
5B	VREFB5BN0	IO			DIFFIO_RX_R35p	DIFFOUT_R35p	T25	DQ5R										
5B	VREFB5BN0	IO	"FPLL_BR_CLKOUT0,FPLL_BR_CLKOUTp,FPLL_BR_FB"		DIFFIO_TX_R36p	DIFFOUT_R36p	U26	DQ5R										
5B	VREFB5BN0	IO			DIFFIO_RX_R35n	DIFFOUT_R35n	U25	DQ5R										
5B	VREFB5BN0	IO	"FPLL_BR_CLKOUT1,FPLL_BR_CLKOUTn"		DIFFIO_TX_R36n	DIFFOUT_R36n	V28	DQ5R										
5B	VREFB5BN0	IO			DIFFIO_RX_R37p	DIFFOUT_R37p	N21	DQS5R										
5B	VREFB5BN0	IO			DIFFIO_TX_R38p	DIFFOUT_R38p	U28											
5B	VREFB5BN0	IO			DIFFIO_RX_R37n	DIFFOUT_R37n	M21	DQSn5R										
5B	VREFB5BN0	IO			DIFFIO_TX_R38n	DIFFOUT_R38n	T28	DQ5R										
5B	VREFB5BN0	IO			DIFFIO_RX_R39p	DIFFOUT_R39p	N22	DQ5R										
5B	VREFB5BN0	IO			DIFFIO_TX_R40p	DIFFOUT_R40p	T23	DQ5R										
5B	VREFB5BN0	IO			DIFFIO_RX_R39n	DIFFOUT_R39n	M22	DQ5R										
5B	VREFB5BN0	IO			DIFFIO_TX_R40n	DIFFOUT_R40n	T24											
6A	VREFB6AN0	IO	CLK5p		DIFFIO_RX_R41p	DIFFOUT_R41p	J19											
6A	VREFB6AN0	IO			DIFFIO_TX_R42p	DIFFOUT_R42p	N26	DQ6R										
6A	VREFB6AN0	IO	CLK5n		DIFFIO_RX_R41n	DIFFOUT_R41n	K20											
6A	VREFB6AN0	IO			DIFFIO_TX_R42n	DIFFOUT_R42n	M26	DQ6R										
6A	VREFB6AN0	IO			DIFFIO_RX_R43p	DIFFOUT_R43p	M24	DQ6R										
6A	VREFB6AN0	IO	"FPLL_TR_CLKOUT0,FPLL_TR_CLKOUTp,FPLL_TR_FB"		DIFFIO_TX_R44p	DIFFOUT_R44p	K25	DQ6R										
6A	VREFB6AN0	IO			DIFFIO_RX_R43n	DIFFOUT_R43n	N25	DQ6R										
6A	VREFB6AN0	IO	"FPLL_TR_CLKOUT1,FPLL_TR_CLKOUTn"		DIFFIO_TX_R44n	DIFFOUT_R44n	K26	DQ6R										
6A	VREFB6AN0	IO			DIFFIO_RX_R45p	DIFFOUT_R45p	J20	DQS6R										
6A	VREFB6AN0	IO			DIFFIO_TX_R46p	DIFFOUT_R46p	M28											
6A	VREFB6AN0	IO			DIFFIO_RX_R45n	DIFFOUT_R45n	K21	DQSn6R										
6A	VREFB6AN0	IO			DIFFIO_TX_R46n	DIFFOUT_R46n	L28	DQ6R										
6A	VREFB6AN0	IO			DIFFIO_RX_R47p	DIFFOUT_R47p	K23	DQ6R										
6A	VREFB6AN0	IO			DIFFIO_TX_R48p	DIFFOUT_R48p	K28	DQ6R										
6A	VREFB6AN0	IO			DIFFIO_RX_R47n	DIFFOUT_R47n	J23	DQ6R										
6A	VREFB6AN0	IO			DIFFIO_TX_R48n	DIFFOUT_R48n	J28											
6A	VREFB6AN0	IO			DIFFIO_RX_R57p	DIFFOUT_R57p	H19											
6A	VREFB6AN0	IO			DIFFIO_TX_R58p	DIFFOUT_R58p	E26	DQ8R										
6A	VREFB6AN0	IO			DIFFIO_RX_R57n	DIFFOUT_R57n	H20											
6A	VREFB6AN0	IO			DIFFIO_TX_R58n	DIFFOUT_R58n	D26	DQ8R										
6A	VREFB6AN0	IO			DIFFIO_RX_R59p	DIFFOUT_R59p	J24	DQ8R										
6A	VREFB6AN0	IO			DIFFIO_TX_R60p	DIFFOUT_R60p	C28	DQ8R										
6A	VREFB6AN0	IO			DIFFIO_RX_R59n	DIFFOUT_R59n	J25	DQ8R										
6A	VREFB6AN0	IO			DIFFIO_TX_R60n	DIFFOUT_R60n	B28	DQ8R										
6A	VREFB6AN0	IO			DIFFIO_RX_R61p	DIFFOUT_R61p	H21	DQS8R										
6A	VREFB6AN0	IO			DIFFIO_TX_R62p	DIFFOUT_R62p	G26											
6A	VREFB6AN0	IO			DIFFIO_RX_R61n	DIFFOUT_R61n	H22	DQSn8R										
6A	VREFB6AN0	IO			DIFFIO_TX_R62n	DIFFOUT_R62n	G28	DQ8R										
6A	VREFB6AN0	IO			DIFFIO_RX_R63p	DIFFOUT_R63p	H24	DQ8R										
6A	VREFB6AN0	IO			DIFFIO_TX_R64p	DIFFOUT_R64p	F28	DQ8R										
6A	VREFB6AN0	IO			DIFFIO_RX_R63n	DIFFOUT_R63n	H25	DQ8R										
6A	VREFB6AN0	IO			DIFFIO_TX_R64n	DIFFOUT_R64n	E28											
		GND					D25											
7A	VREFB7AN0	IO			DIFFIO_RX_T17p	DIFFOUT_T17p	F20											
7A	VREFB7AN0	IO			DIFFIO_TX_T18p	DIFFOUT_T18p	G23	DQ3T	DQ2T									
7A	VREFB7AN0	IO			DIFFIO_RX_T17n	DIFFOUT_T17n	E20											
7A	VREFB7AN0	IO			DIFFIO_TX_T18n	DIFFOUT_T18n	G22	DQ3T	DQ2T									
7A	VREFB7AN0	IO			DIFFIO_RX_T19p	DIFFOUT_T19p	G21	DQ3T	DQ2T									
7A	VREFB7AN0	IO			DIFFIO_TX_T20p	DIFFOUT_T20p	E22	DQ3T	DQ2T									
7A	VREFB7AN0	IO			DIFFIO_RX_T19n	DIFFOUT_T19n	F21	DQ3T	DQ2T									
7A	VREFB7AN0	IO			DIFFIO_TX_T20n	DIFFOUT_T20n	D22	DQ3T	DQ2T									
7A	VREFB7AN0	IO			DIFFIO_RX_T21p	DIFFOUT_T21p	G19	DQS3T	DQS2T									
7A	VREFB7AN0	IO			DIFFIO_TX_T22p	DIFFOUT_T22p	A28											
7A	VREFB7AN0	IO			DIFFIO_RX_T21n	DIFFOUT_T21n	F19	DQSn3T	DQSn2T									
7A	VREFB7AN0	IO			DIFFIO_TX_T22n	DIFFOUT_T22n	A27	DQ3T	DQ2T									
7A	VREFB7AN0	IO			DIFFIO_RX_T23p	DIFFOUT_T23p	A22	DQ3T	DQ2T									
7A	VREFB7AN0	IO			DIFFIO_TX_T24p	DIFFOUT_T24p	A26	DQ3T	DQ2T									
7A	VREFB7AN0	IO			DIFFIO_RX_T23n	DIFFOUT_T23n	A21	DQ3T	DQ2T									
7A	VREFB7AN0	IO			DIFFIO_TX_T24n	DIFFOUT_T24n	A25											
7A	VREFB7AN0	IO	CLK11p		DIFFIO_RX_T25p	DIFFOUT_T25p	K17											
7A	VREFB7AN0	IO			DIFFIO_TX_T26p	DIFFOUT_T26p	E24	DQ4T	DQ2T									
7A	VREFB7AN0	IO	CLK11n		DIFFIO_RX_T25n	DIFFOUT_T25n	J17											
7A	VREFB7AN0	IO			DIFFIO_TX_T26n	DIFFOUT_T26n	D24	DQ4T	DQ2T									
7A	VREFB7AN0	IO			DIFFIO_RX_T27p	DIFFOUT_T27p	D20	DQ4T	DQ2T									
7A	VREFB7AN0	IO			DIFFIO_TX_T28p	DIFFOUT_T28p	A20	DQ4T	DQ2T									
7A	VREFB7AN0	IO			DIFFIO_RX_T27n	DIFFOUT_T27n	C19	DQ4T	DQ2T									
7A	VREFB7AN0	IO			DIFFIO_TX_T28n	DIFFOUT_T28n	A19	DQ4T	DQ2T									
7A	VREFB7AN0	IO			DIFFIO_RX_T29p	DIFFOUT_T29p	K16	DQS4T	DQ2T									
7A	VREFB7AN0	IO			DIFFIO_TX_T30p	DIFFOUT_T30p	C22											
7A	VREFB7AN0	IO			DIFFIO_RX_T29n	DIFFOUT_T29n	J16	DQSn4T	DQ2T									
7A	VREFB7AN0	IO			DIFFIO_TX_T30n	DIFFOUT_T30n	C21	DQ4T	DQ2T									
7A	VREFB7AN0	IO			DIFFIO_RX_T31p	DIFFOUT_T31p	E17	DQ4T	DQ2T									
7A	VREFB7AN0	IO			DIFFIO_TX_T32p	DIFFOUT_T32p	G17	DQ4T	DQ2T									
7A	VREFB7AN0	IO			DIFFIO_RX_T31n	DIFFOUT_T31n	E16	DQ4T	DQ2T									
7A	VREFB7AN0	IO			DIFFIO_TX_T32n	DIFFOUT_T32n	F17											
7A	VREFB7AN0	IO	CLK10p		DIFFIO_RX_T33p	DIFFOUT_T33p	H16											
7A	VREFB7AN0	IO			DIFFIO_TX_T34p	DIFFOUT_T34p	K13	DQ5T										
7A	VREFB7AN0	IO	CLK10n		DIFFIO_RX_T33n	DIFFOUT_T33n	G16											
7A	VREFB7AN0	IO			DIFFIO_TX_T34n	DIFFOUT_T34n	K12	DQ5T										
7A	VREFB7AN0	IO			DIFFIO_RX_T35p	DIFFOUT_T35p	D16	DQ5T										
7A	VREFB7AN0	IO			DIFFIO_TX_T36p	DIFFOUT_T36p	J12	DQ5T										
7A	VREFB7AN0	IO			DIFFIO_RX_T35n	DIFFOUT_T35n	C17	DQ5T										
7A	VREFB7AN0	IO			DIFFIO_TX_T36n	DIFFOUT_T36n	H13	DQ5T										
7A	VREFB7AN0	IO			DIFFIO_RX_T37p	DIFFOUT_T37p	J10	DQS5T										
7A	VREFB7AN0	IO			DIFFIO_TX_T38p	DIFFOUT_T38p	F13											
7A	VREFB7AN0	IO			DIFFIO_RX_T37n	DIFFOUT_T37n	H10	DQSn5T										
7A	VREFB7AN0	IO			DIFFIO_TX_T38n	DIFFOUT_T38n	F12	DQ5T										
7A	VREFB7AN0	IO			DIFFIO_RX_T39p	DIFFOUT_T39p	G10	DQ5T										
7A	VREFB7AN0	IO			DIFFIO_TX_T40p	DIFFOUT_T40p	E12	DQ5T										
7A	VREFB7AN0	IO			DIFFIO_RX_T39n	DIFFOUT_T39n	G9	DQ5T										
7A	VREFB7AN0	IO	RZQ_2		DIFFIO_TX_T40n	DIFFOUT_T40n	D13											
8A	VREFB8AN0	IO	CLK9p		DIFFIO_RX_T41p	DIFFOUT_T41p	N9											
8A	VREFB8AN0	IO			DIFFIO_TX_T42p	DIFFOUT_T42p	C9	DQ6T										
8A	VREFB8AN0	IO	CLK9n		DIFFIO_RX_T41n	DIFFOUT_T41n	M10											
8A	VREFB8AN0	IO			DIFFIO_TX_T42n	DIFFOUT_T42n	C8	DQ6T										
8A	VREFB8AN0	IO			DIFFIO_RX_T43p	DIFFOUT_T43p	D12	DQ6T										
8A	VREFB8AN0	IO	"FPLL_TL_CLKOUT0,FPLL_TL_CLKOUTp,FPLL_TL_FB"		DIFFIO_TX_T44p	DIFFOUT_T44p	A13	DQ6T										
8A	VREFB8AN0	IO			DIFFIO_RX_T43n	DIFFOUT_T43n	C13	DQ6T										
8A	VREFB8AN0	IO	"FPLL_TL_CLKOUT1,FPLL_TL_CLKOUTn"		DIFFIO_TX_T44n	DIFFOUT_T44n	A12	DQ6T										
8A	VREFB8AN0	IO			DIFFIO_RX_T45p	DIFFOUT_T45p	K9	DQS6T										
8A	VREFB8AN0	IO			DIFFIO_TX_T46p	DIFFOUT_T46p	D8											
8A	VREFB8AN0	IO			DIFFIO_RX_T45n	DIFFOUT_T45n	J9	DQSn6T										
8A	VREFB8AN0	IO			DIFFIO_TX_T46n	DIFFOUT_T46n	C7	DQ6T										
8A	VREFB8AN0	IO			DIFFIO_RX_T47p	DIFFOUT_T47p	E10	DQ6T										
8A	VREFB8AN0	IO			DIFFIO_TX_T48p	DIFFOUT_T48p	A10	DQ6T										
8A	VREFB8AN0	IO			DIFFIO_RX_T47n	DIFFOUT_T47n	E9	DQ6T										
8A	VREFB8AN0	IO			DIFFIO_TX_T48n	DIFFOUT_T48n	A9											
8A	VREFB8AN0	IO	"CLK8p,FPLL_TL_FBp"		DIFFIO_RX_T49p	DIFFOUT_T49p	N8											
8A	VREFB8AN0	IO			DIFFIO_TX_T50p	DIFFOUT_T50p	A5	DQ7T										
8A	VREFB8AN0	IO	"CLK8n,FPLL_TL_FBn"		DIFFIO_RX_T49n	DIFFOUT_T49n	M9											
8A	VREFB8AN0	IO			DIFFIO_TX_T50n	DIFFOUT_T50n	A4	DQ7T										
8A	VREFB8AN0	IO			DIFFIO_RX_T51p	DIFFOUT_T51p	D10	DQ7T										
8A	VREFB8AN0	IO			DIFFIO_TX_T52p	DIFFOUT_T52p	K7	DQ7T										
8A	VREFB8AN0	IO			DIFFIO_RX_T51n	DIFFOUT_T51n	C10	DQ7T										
8A	VREFB8AN0	IO			DIFFIO_TX_T52n	DIFFOUT_T52n	K6	DQ7T										
8A	VREFB8AN0	IO			DIFFIO_RX_T53p	DIFFOUT_T53p	K8	DQS7T										
8A	VREFB8AN0	IO			DIFFIO_TX_T54p	DIFFOUT_T54p	J6											
8A	VREFB8AN0	IO			DIFFIO_RX_T53n	DIFFOUT_T53n	J8	DQSn7T										
8A	VREFB8AN0	IO			DIFFIO_TX_T54n	DIFFOUT_T54n	H6	DQ7T										
8A	VREFB8AN0	IO			DIFFIO_RX_T55p	DIFFOUT_T55p	H8	DQ7T										
8A	VREFB8AN0	IO			DIFFIO_TX_T56p	DIFFOUT_T56p	F8	DQ7T										
8A	VREFB8AN0	IO			DIFFIO_RX_T55n	DIFFOUT_T55n	H7	DQ7T										
8A	VREFB8AN0	IO			DIFFIO_TX_T56n	DIFFOUT_T56n	E8											
9A		MSEL0		MSEL0			F7											
9A		CONF_DONE		CONF_DONE			D4											
9A		MSEL1		MSEL1			G7											
9A		nSTATUS		nSTATUS			A3											
9A		nCE		nCE			C3											
9A		MSEL2		MSEL2			A2											
9A		MSEL3		MSEL3			E4											
9A		nCONFIG		nCONFIG			G3											
9A		MSEL4		MSEL4			E5											
		GND					G4											
		GND					C26											
		GND					M11											
		GND					Y3											
		GND					G12											
		GND					J7											
		GND					K24											
		GND					AB7											
		GND					K5											
		GND					E25											
		GND					N1											
		GND					V13											
		GND					H28											
		GND					N12											
		GND					K22											
		GND					AB21											
		GND					N18											
		GND					AD8											
		GND					AD3											
		GND					AC19											
		GND					M4											
		GND					G24											
		GND					E1											
		GND					D3											
		GND					M13											
		GND					K1											
		GND					F10											
		GND					AB1											
		GND					L16											
		GND					N16											
		GND					C5											
		GND					AB5											
		GND					AF3											
		GND					A8											
		GND					J21											
		GND					T19											
		GND					V17											
		GND					D28											
		GND					U5											
		GND					H23											
		GND					H5											
		GND					A1											
		GND					G1											
		GND					AA23											
		GND					W8											
		GND					W22											
		GND					T11											
		GND					T17											
		GND					J3											
		GND					AD16											
		GND					AE1											
		GND					G20											
		GND					L12											
		GND					N7											
		GND					AH7											
		GND					U18											
		GND					M3											
		GND					Y25											
		GND					AH1											
		GND					N28											
		GND					U10											
		GND					T13											
		GND					M17											
		GND					K10											
