Bank Number	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	M301	DQS for X8							
5B	VREFB5BN0	IO			DIFFIO_TX_R22n	DIFFOUT_R22n	E5								
5B	VREFB5BN0	IO			DIFFIO_RX_R23p	DIFFOUT_R23p	F1								
5B	VREFB5BN0	IO			DIFFIO_TX_R24p	DIFFOUT_R24p	E1								
5B	VREFB5BN0	IO			DIFFIO_RX_R23n	DIFFOUT_R23n	F2								
		GND					D2								
7A	VREFB7AN0	IO			DIFFIO_RX_T17p	DIFFOUT_T17p	C1								
7A	VREFB7AN0	IO			DIFFIO_RX_T17n	DIFFOUT_T17n	C2								
7A	VREFB7AN0	IO			DIFFIO_RX_T19p	DIFFOUT_T19p	A1								
7A	VREFB7AN0	IO			DIFFIO_RX_T19n	DIFFOUT_T19n	B2								
7A	VREFB7AN0	IO			DIFFIO_RX_T23p	DIFFOUT_T23p	A2								
7A	VREFB7AN0	IO			DIFFIO_RX_T23n	DIFFOUT_T23n	A3								
7A	VREFB7AN0	IO			DIFFIO_RX_T27p	DIFFOUT_T27p	B3								
7A	VREFB7AN0	IO			DIFFIO_RX_T27n	DIFFOUT_T27n	C4								
7A	VREFB7AN0	IO			DIFFIO_RX_T31p	DIFFOUT_T31p	A5								
7A	VREFB7AN0	IO			DIFFIO_RX_T31n	DIFFOUT_T31n	B4								
7A	VREFB7AN0	IO			DIFFIO_TX_T34p	DIFFOUT_T34p	C5								
7A	VREFB7AN0	IO			DIFFIO_TX_T34n	DIFFOUT_T34n	D6								
7A	VREFB7AN0	IO			DIFFIO_RX_T35p	DIFFOUT_T35p	B5								
7A	VREFB7AN0	IO			DIFFIO_TX_T36p	DIFFOUT_T36p	C6								
7A	VREFB7AN0	IO			DIFFIO_RX_T35n	DIFFOUT_T35n	A6								
7A	VREFB7AN0	IO			DIFFIO_TX_T36n	DIFFOUT_T36n	D7								
7A	VREFB7AN0	IO			DIFFIO_RX_T37p	DIFFOUT_T37p	A7								
7A	VREFB7AN0	IO			DIFFIO_RX_T37n	DIFFOUT_T37n	B7								
7A	VREFB7AN0	IO			DIFFIO_TX_T38n	DIFFOUT_T38n	D9								
7A	VREFB7AN0	IO			DIFFIO_RX_T39p	DIFFOUT_T39p	A8								
7A	VREFB7AN0	IO			DIFFIO_TX_T40p	DIFFOUT_T40p	C7								
7A	VREFB7AN0	IO			DIFFIO_RX_T39n	DIFFOUT_T39n	B8								
7A	VREFB7AN0	IO	RZQ_2		DIFFIO_TX_T40n	DIFFOUT_T40n	D8								
8A	VREFB8AN0	IO	CLK9p		DIFFIO_RX_T41p	DIFFOUT_T41p	C12								
8A	VREFB8AN0	IO			DIFFIO_TX_T42p	DIFFOUT_T42p	D14	DQ6T							
8A	VREFB8AN0	IO	CLK9n		DIFFIO_RX_T41n	DIFFOUT_T41n	D11								
8A	VREFB8AN0	IO			DIFFIO_TX_T42n	DIFFOUT_T42n	D13	DQ6T							
8A	VREFB8AN0	IO			DIFFIO_RX_T43p	DIFFOUT_T43p	C10	DQ6T							
8A	VREFB8AN0	IO	"FPLL_TL_CLKOUT0,FPLL_TL_CLKOUTp,FPLL_TL_FB"		DIFFIO_TX_T44p	DIFFOUT_T44p	C17	DQ6T							
8A	VREFB8AN0	IO			DIFFIO_RX_T43n	DIFFOUT_T43n	B11	DQ6T							
8A	VREFB8AN0	IO	"FPLL_TL_CLKOUT1,FPLL_TL_CLKOUTn"		DIFFIO_TX_T44n	DIFFOUT_T44n	D17	DQ6T							
8A	VREFB8AN0	IO			DIFFIO_RX_T45p	DIFFOUT_T45p	A10	DQS6T							
8A	VREFB8AN0	IO			DIFFIO_RX_T45n	DIFFOUT_T45n	B10	DQSn6T							
8A	VREFB8AN0	IO			DIFFIO_TX_T46n	DIFFOUT_T46n	D16	DQ6T							
8A	VREFB8AN0	IO			DIFFIO_RX_T47p	DIFFOUT_T47p	B12	DQ6T							
8A	VREFB8AN0	IO			DIFFIO_TX_T48p	DIFFOUT_T48p	C16	DQ6T							
8A	VREFB8AN0	IO			DIFFIO_RX_T47n	DIFFOUT_T47n	A13	DQ6T							
8A	VREFB8AN0	IO	"CLK8p,FPLL_TL_FBp"		DIFFIO_RX_T49p	DIFFOUT_T49p	A11								
8A	VREFB8AN0	IO	"CLK8n,FPLL_TL_FBn"		DIFFIO_RX_T49n	DIFFOUT_T49n	A12								
8A	VREFB8AN0	IO			DIFFIO_RX_T51p	DIFFOUT_T51p	B13								
8A	VREFB8AN0	IO			DIFFIO_RX_T53n	DIFFOUT_T53n	B14								
8A	VREFB8AN0	IO			DIFFIO_RX_T55p	DIFFOUT_T55p	A15								
8A	VREFB8AN0	IO			DIFFIO_RX_T55n	DIFFOUT_T55n	B15								
9A		MSEL0		MSEL0			A17								
9A		CONF_DONE		CONF_DONE			A16								
9A		MSEL1		MSEL1			A19								
9A		nSTATUS		nSTATUS			A18								
9A		nCE		nCE			A20								
9A		MSEL2		MSEL2			A21								
9A		MSEL3		MSEL3			B20								
9A		nCONFIG		nCONFIG			D19								
9A		MSEL4		MSEL4			B19								
		GND					C19								
		GND					M21								
		GND					M9								
		GND					A9								
		GND					D10								
		GND					J19								
		GND					K13								
		GND					J10								
		GND					M11								
		GND					G20								
		GND					F19								
		GND					A4								
		GND					J12								
		GND					W5								
		GND					U18								
		GND					H20								
		GND					P18								
		GND					V13								
		GND					N12								
		GND					M1								
		GND					R19								
		GND					L4								
		GND					K11								
		GND					P20								
		GND					D15								
		GND					N10								
		GND					L18								
		GND					F4								
		GND					M13								
		GND					B16								
		GND					W10								
		GND					E2								
		GND					U20								
		GND					L20								
		GND					H18								
		GND					B1								
		GND					K9								
		GND					E18								
		GND					D21								
		GND					H3								
		GND					R21								
		GND					K19								
		GND					G19								
		GND					F21								
		GND					U1								
		GND					J21								
		GND					T19								
		GND					M19								
		GND					D5								
		GND					V21								
		GND					T4								
		GND					V8								
		GND					C18								
		GND					AA14								
		GND					T20								
		GND					V3								
		GND					N20								
		GND					N19								
		GND					K20								
		GND					B21								
		VCC					L9								
		VCC					N11								
		VCC					L13								
		VCC					J9								
		VCC					J11								
		VCC					M10								
		VCC					L12								
		VCC					M12								
		VCC					K10								
		VCC					N13								
		VCC					L10								
		VCC					K12								
		VCC					N9								
		VCC					L11								
		VCC					J13								
		DNU					C20								
		DNU					D20								
		DNU					D4								
		DNU					D12								
		VCCPGM					Y18								
		VCCPGM					T1								
		VCCPGM					B17								
		VCCBAT					D18								
		VCCIO3A					W15								
		VCCIO3A					Y17								
		VCCIO3B					AA9								
		VCCIO3B					Y12								
		VCCIO4A					Y2								
		VCCIO4A					AA4								
		VCCIO4A					Y7								
		VCCIO5A					R2								
		VCCIO5A					N3								
		VCCIO5B					G1								
		VCCIO5B					K2								
		VCCIO7A					C8								
		VCCIO7A					B6								
		VCCIO7A					C3								
		VCCIO8A					A14								
		VCCIO8A					C13								
		VCCPD3A					W17								
		VCCPD3B4A					V14								
		VCCPD3B4A					W9								
		VCCPD5A					P1								
		VCCPD5B					J1								
		VCCPD7A8A					C14								
		VCCPD7A8A					B9								
3A	VREFB3AN0	VREFB3AN0					V18								
3B	VREFB3BN0	VREFB3BN0					W12								
4A	VREFB4AN0	VREFB4AN0					W8								
5A	VREFB5AN0	VREFB5AN0					P4								
5B	VREFB5BN0	VREFB5BN0					L3								
7A	VREFB7AN0	VREFB7AN0					C9								
8A	VREFB8AN0	VREFB8AN0					C15								
		VCCH_GXBL					M20								
		VCCH_GXBL					E19								
		VCCL_GXBL					J20								
		VCCL_GXBL					R20								
		RREF_TL					C21								
		VCCA_FPLL					U17								
		VCCA_FPLL					E17								
		VCCA_FPLL					U2								
		VCCA_FPLL					D1								
		VCC_AUX					B18								
		VCC_AUX					W18								
		VCC_AUX					C11								
		VCC_AUX					W11								
		VCC_AUX					D3								
		VCC_AUX					W3								
		VCCE_GXBL					P19								
		VCCE_GXBL					L19								
		VCCE_GXBL					F20								
		VCCE_GXBL					H19								
Note:															
"(1) For more information about pin definition and pin connection guidelines, refer to the"												
Cyclone V Device Family Pin Connection Guidelines.															
															

"Pin Information for the Cyclone® V 5CGXFC4 Device
 Version 1.3
 Note (1)"																	
