Bank Number	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	F672	DQS for X8	DQS for X16	HMC Pin Assignment for DDR3/DDR2 (2)	HMC Pin Assignment for LPDDR2									
3B	VREFB3BN0	IO			DIFFIO_TX_B32n	DIFFOUT_B32n	Y10	DQ2B		B_RAS#										
3B	VREFB3BN0	IO	"CLK0p,FPLL_BL_FBp"		DIFFIO_RX_B31p	DIFFOUT_B31p	T13													
3B	VREFB3BN0	IO			DIFFIO_TX_B32p	DIFFOUT_B32p	W10	DQ2B		B_CAS#										
3B	VREFB3BN0	IO			DIFFIO_TX_B33n	DIFFOUT_B33n	V9			GND	GND									
3B	VREFB3BN0	IO			DIFFIO_RX_B34n	DIFFOUT_B34n	AE8	DQ3B		B_BA_2										
3B	VREFB3BN0	IO			DIFFIO_TX_B33p	DIFFOUT_B33p	V10	DQ3B		B_BA_0										
3B	VREFB3BN0	IO			DIFFIO_RX_B34p	DIFFOUT_B34p	AD8	DQ3B		B_BA_1										
3B	VREFB3BN0	IO			DIFFIO_RX_B35n	DIFFOUT_B35n	P10	DQSn3B		B_CK#	B_CK#									
3B	VREFB3BN0	IO			DIFFIO_TX_B36n	DIFFOUT_B36n	AF9	DQ3B		B_A_7	B_CA_7									
3B	VREFB3BN0	IO			DIFFIO_RX_B35p	DIFFOUT_B35p	N10	DQS3B		B_CK	B_CK									
3B	VREFB3BN0	IO			DIFFIO_TX_B36p	DIFFOUT_B36p	AE9			B_A_6	B_CA_6									
3B	VREFB3BN0	IO	"FPLL_BL_CLKOUT1,FPLL_BL_CLKOUTn"		DIFFIO_TX_B37n	DIFFOUT_B37n	AF8	DQ3B		B_A_3	B_CA_3									
3B	VREFB3BN0	IO			DIFFIO_RX_B38n	DIFFOUT_B38n	U11	DQ3B		B_A_5	B_CA_5									
3B	VREFB3BN0	IO	"FPLL_BL_CLKOUT0,FPLL_BL_CLKOUTp,FPLL_BL_FB"		DIFFIO_TX_B37p	DIFFOUT_B37p	AF7	DQ3B		B_A_2	B_CA_2									
3B	VREFB3BN0	IO			DIFFIO_RX_B38p	DIFFOUT_B38p	U10	DQ3B		B_A_4	B_CA_4									
3B	VREFB3BN0	IO	CLK1n		DIFFIO_RX_B39n	DIFFOUT_B39n	P12													
3B	VREFB3BN0	IO			DIFFIO_TX_B40n	DIFFOUT_B40n	AF6	DQ3B		B_A_1	B_CA_1									
3B	VREFB3BN0	IO	CLK1p		DIFFIO_RX_B39p	DIFFOUT_B39p	P11													
3B	VREFB3BN0	IO			DIFFIO_TX_B40p	DIFFOUT_B40p	AE6	DQ3B		B_A_0	B_CA_0									
4A	VREFB4AN0	IO	RZQ_0		DIFFIO_TX_B41n	DIFFOUT_B41n	AE11													
4A	VREFB4AN0	IO			DIFFIO_RX_B42n	DIFFOUT_B42n	AA14	DQ4B		B_DQ_0	B_DQ_0									
4A	VREFB4AN0	IO			DIFFIO_TX_B41p	DIFFOUT_B41p	AD11	DQ4B		B_DQ_2	B_DQ_2									
4A	VREFB4AN0	IO			DIFFIO_RX_B42p	DIFFOUT_B42p	Y14	DQ4B		B_DQ_1	B_DQ_1									
4A	VREFB4AN0	IO			DIFFIO_RX_B43n	DIFFOUT_B43n	W13	DQSn4B		B_DQS#_0	B_DQS#_0									
4A	VREFB4AN0	IO			DIFFIO_TX_B44n	DIFFOUT_B44n	AD12	DQ4B		B_DQ_3	B_DQ_3									
4A	VREFB4AN0	IO			DIFFIO_RX_B43p	DIFFOUT_B43p	V13	DQS4B		B_DQS_0	B_DQS_0									
4A	VREFB4AN0	IO			DIFFIO_TX_B44p	DIFFOUT_B44p	AD13			B_ODT_0	B_ODT_0									
4A	VREFB4AN0	IO			DIFFIO_TX_B45n	DIFFOUT_B45n	AE10	DQ4B		B_ODT_1	B_ODT_1									
4A	VREFB4AN0	IO			DIFFIO_RX_B46n	DIFFOUT_B46n	Y13	DQ4B		B_DQ_4	B_DQ_4									
4A	VREFB4AN0	IO			DIFFIO_TX_B45p	DIFFOUT_B45p	AD10	DQ4B		B_DQ_6	B_DQ_6									
4A	VREFB4AN0	IO			DIFFIO_RX_B46p	DIFFOUT_B46p	W12	DQ4B		B_DQ_5	B_DQ_5									
4A	VREFB4AN0	IO	CLK2n		DIFFIO_RX_B47n	DIFFOUT_B47n	V12													
4A	VREFB4AN0	IO			DIFFIO_TX_B48n	DIFFOUT_B48n	AF12	DQ4B		B_DQ_7	B_DQ_7									
4A	VREFB4AN0	IO	CLK2p		DIFFIO_RX_B47p	DIFFOUT_B47p	U12													
4A	VREFB4AN0	IO			DIFFIO_TX_B48p	DIFFOUT_B48p	AF11	DQ4B		B_DM_0	B_DM_0									
4A	VREFB4AN0	IO			DIFFIO_TX_B49n	DIFFOUT_B49n	AC13			GND	GND									
4A	VREFB4AN0	IO			DIFFIO_RX_B50n	DIFFOUT_B50n	AC15	DQ5B	DQ1B	B_DQ_8	B_DQ_8									
4A	VREFB4AN0	IO			DIFFIO_TX_B49p	DIFFOUT_B49p	AC14	DQ5B	DQ1B	B_DQ_10	B_DQ_10									
4A	VREFB4AN0	IO			DIFFIO_RX_B50p	DIFFOUT_B50p	AB15	DQ5B	DQ1B	B_DQ_9	B_DQ_9									
4A	VREFB4AN0	IO			DIFFIO_RX_B51n	DIFFOUT_B51n	V14	DQSn5B	DQ1B	B_DQS#_1	B_DQS#_1									
4A	VREFB4AN0	IO			DIFFIO_TX_B52n	DIFFOUT_B52n	AF13	DQ5B	DQ1B	B_DQ_11	B_DQ_11									
4A	VREFB4AN0	IO			DIFFIO_RX_B51p	DIFFOUT_B51p	U14	DQS5B	DQ1B	B_DQS_1	B_DQS_1									
4A	VREFB4AN0	IO			DIFFIO_TX_B52p	DIFFOUT_B52p	AE13			B_CKE_1	B_CKE_1									
4A	VREFB4AN0	IO			DIFFIO_TX_B53n	DIFFOUT_B53n	AF14	DQ5B	DQ1B	B_CKE_0	B_CKE_0									
4A	VREFB4AN0	IO			DIFFIO_RX_B54n	DIFFOUT_B54n	AB16	DQ5B	DQ1B	B_DQ_12	B_DQ_12									
4A	VREFB4AN0	IO			DIFFIO_TX_B53p	DIFFOUT_B53p	AE14	DQ5B	DQ1B	B_DQ_14	B_DQ_14									
4A	VREFB4AN0	IO			DIFFIO_RX_B54p	DIFFOUT_B54p	AA16	DQ5B	DQ1B	B_DQ_13	B_DQ_13									
4A	VREFB4AN0	IO	CLK3n		DIFFIO_RX_B55n	DIFFOUT_B55n	Y16													
4A	VREFB4AN0	IO			DIFFIO_TX_B56n	DIFFOUT_B56n	AF18	DQ5B	DQ1B	B_DQ_15	B_DQ_15									
4A	VREFB4AN0	IO	CLK3p		DIFFIO_RX_B55p	DIFFOUT_B55p	Y15													
4A	VREFB4AN0	IO			DIFFIO_TX_B56p	DIFFOUT_B56p	AE18	DQ5B	DQ1B	B_DM_1	B_DM_1									
4A	VREFB4AN0	IO			DIFFIO_TX_B57n	DIFFOUT_B57n	AD18			GND	GND									
4A	VREFB4AN0	IO			DIFFIO_RX_B58n	DIFFOUT_B58n	AD16	DQ6B	DQ1B	B_DQ_16	B_DQ_16									
4A	VREFB4AN0	IO			DIFFIO_TX_B57p	DIFFOUT_B57p	AC18	DQ6B	DQ1B	B_DQ_18	B_DQ_18									
4A	VREFB4AN0	IO			DIFFIO_RX_B58p	DIFFOUT_B58p	AD17	DQ6B	DQ1B	B_DQ_17	B_DQ_17									
4A	VREFB4AN0	IO			DIFFIO_RX_B59n	DIFFOUT_B59n	W15	DQSn6B	DQSn1B	B_DQS#_2	B_DQS#_2									
4A	VREFB4AN0	IO			DIFFIO_TX_B60n	DIFFOUT_B60n	AF19	DQ6B	DQ1B	B_DQ_19	B_DQ_19									
4A	VREFB4AN0	IO			DIFFIO_RX_B59p	DIFFOUT_B59p	V15	DQS6B	DQS1B	B_DQS_2	B_DQS_2									
4A	VREFB4AN0	IO			DIFFIO_TX_B60p	DIFFOUT_B60p	AE19			B_RESET#	B_RESET#									
4A	VREFB4AN0	IO			DIFFIO_TX_B61n	DIFFOUT_B61n	AF22	DQ6B	DQ1B	GND	GND									
4A	VREFB4AN0	IO			DIFFIO_RX_B62n	DIFFOUT_B62n	AC17	DQ6B	DQ1B	B_DQ_20	B_DQ_20									
4A	VREFB4AN0	IO			DIFFIO_TX_B61p	DIFFOUT_B61p	AF21	DQ6B	DQ1B	B_DQ_22	B_DQ_22									
4A	VREFB4AN0	IO			DIFFIO_RX_B62p	DIFFOUT_B62p	AB17	DQ6B	DQ1B	B_DQ_21	B_DQ_21									
4A	VREFB4AN0	IO			DIFFIO_RX_B63n	DIFFOUT_B63n	U17			GND	GND									
4A	VREFB4AN0	IO			DIFFIO_TX_B64n	DIFFOUT_B64n	AE21	DQ6B	DQ1B	B_DQ_23	B_DQ_23									
4A	VREFB4AN0	IO			DIFFIO_RX_B63p	DIFFOUT_B63p	T17			GND	GND									
4A	VREFB4AN0	IO			DIFFIO_TX_B64p	DIFFOUT_B64p	AE20	DQ6B	DQ1B	B_DM_2	B_DM_2									
4A	VREFB4AN0	IO			DIFFIO_TX_B65n	DIFFOUT_B65n	AD20			GND	GND									
4A	VREFB4AN0	IO			DIFFIO_RX_B66n	DIFFOUT_B66n	AE15	DQ7B	DQ2B	B_DQ_24	B_DQ_24									
4A	VREFB4AN0	IO			DIFFIO_TX_B65p	DIFFOUT_B65p	AC20	DQ7B	DQ2B	B_DQ_26	B_DQ_26									
4A	VREFB4AN0	IO			DIFFIO_RX_B66p	DIFFOUT_B66p	AE16	DQ7B	DQ2B	B_DQ_25	B_DQ_25									
4A	VREFB4AN0	IO			DIFFIO_RX_B67n	DIFFOUT_B67n	W17	DQSn7B	DQ2B	B_DQS#_3	B_DQS#_3									
4A	VREFB4AN0	IO			DIFFIO_TX_B68n	DIFFOUT_B68n	AD21	DQ7B	DQ2B	B_DQ_27	B_DQ_27									
4A	VREFB4AN0	IO			DIFFIO_RX_B67p	DIFFOUT_B67p	W16	DQS7B	DQ2B	B_DQS_3	B_DQS_3									
4A	VREFB4AN0	IO			DIFFIO_TX_B68p	DIFFOUT_B68p	AD22			GND	GND									
4A	VREFB4AN0	IO			DIFFIO_TX_B69n	DIFFOUT_B69n	AE23	DQ7B	DQ2B	GND	GND									
4A	VREFB4AN0	IO			DIFFIO_RX_B70n	DIFFOUT_B70n	AF16	DQ7B	DQ2B	B_DQ_28	B_DQ_28									
4A	VREFB4AN0	IO			DIFFIO_TX_B69p	DIFFOUT_B69p	AD23	DQ7B	DQ2B	B_DQ_30	B_DQ_30									
4A	VREFB4AN0	IO			DIFFIO_RX_B70p	DIFFOUT_B70p	AF17	DQ7B	DQ2B	B_DQ_29	B_DQ_29									
4A	VREFB4AN0	IO			DIFFIO_RX_B71n	DIFFOUT_B71n	U16			GND	GND									
4A	VREFB4AN0	IO			DIFFIO_TX_B72n	DIFFOUT_B72n	AF23	DQ7B	DQ2B	B_DQ_31	B_DQ_31									
4A	VREFB4AN0	IO			DIFFIO_RX_B71p	DIFFOUT_B71p	U15			GND	GND									
4A	VREFB4AN0	IO			DIFFIO_TX_B72p	DIFFOUT_B72p	AE24	DQ7B	DQ2B	B_DM_3	B_DM_3									
4A	VREFB4AN0	IO			DIFFIO_TX_B73n	DIFFOUT_B73n	AF24			GND	GND									
4A	VREFB4AN0	IO			DIFFIO_RX_B74n	DIFFOUT_B74n	AA18	DQ8B	DQ2B	B_DQ_32	B_DQ_32									
4A	VREFB4AN0	IO			DIFFIO_TX_B73p	DIFFOUT_B73p	AE25	DQ8B	DQ2B	B_DQ_34	B_DQ_34									
4A	VREFB4AN0	IO			DIFFIO_RX_B74p	DIFFOUT_B74p	Y18	DQ8B	DQ2B	B_DQ_33	B_DQ_33									
4A	VREFB4AN0	IO			DIFFIO_RX_B75n	DIFFOUT_B75n	V17	DQSn8B	DQSn2B	B_DQS#_4	B_DQS#_4									
4A	VREFB4AN0	IO			DIFFIO_TX_B76n	DIFFOUT_B76n	AE26	DQ8B	DQ2B	B_DQ_35	B_DQ_35									
4A	VREFB4AN0	IO			DIFFIO_RX_B75p	DIFFOUT_B75p	V18	DQS8B	DQS2B	B_DQS_4	B_DQS_4									
4A	VREFB4AN0	IO			DIFFIO_TX_B76p	DIFFOUT_B76p	AD26			GND	GND									
4A	VREFB4AN0	IO			DIFFIO_TX_B77n	DIFFOUT_B77n	AC19	DQ8B	DQ2B	GND	GND									
4A	VREFB4AN0	IO			DIFFIO_RX_B78n	DIFFOUT_B78n	Y19	DQ8B	DQ2B	B_DQ_36	B_DQ_36									
4A	VREFB4AN0	IO			DIFFIO_TX_B77p	DIFFOUT_B77p	AB19	DQ8B	DQ2B	B_DQ_38	B_DQ_38									
4A	VREFB4AN0	IO			DIFFIO_RX_B78p	DIFFOUT_B78p	Y20	DQ8B	DQ2B	B_DQ_37	B_DQ_37									
4A	VREFB4AN0	IO			DIFFIO_RX_B79n	DIFFOUT_B79n	W18			GND	GND									
4A	VREFB4AN0	IO			DIFFIO_TX_B80n	DIFFOUT_B80n	AA21	DQ8B	DQ2B	B_DQ_39	B_DQ_39									
4A	VREFB4AN0	IO			DIFFIO_RX_B79p	DIFFOUT_B79p	V19			GND	GND									
4A	VREFB4AN0	IO			DIFFIO_TX_B80p	DIFFOUT_B80p	AB22	DQ8B	DQ2B	B_DM_4	B_DM_4									
5A	VREFB5AN0	IO	RZQ_1		DIFFIO_TX_R1p	DIFFOUT_R1p	AC22	DQ1R												
5A	VREFB5AN0	IO		INIT_DONE	DIFFIO_RX_R2p	DIFFOUT_R2p	U19													
5A	VREFB5AN0	IO		PR_REQUEST	DIFFIO_TX_R1n	DIFFOUT_R1n	AC23	DQ1R												
5A	VREFB5AN0	IO		CRC_ERROR	DIFFIO_RX_R2n	DIFFOUT_R2n	V20													
5A	VREFB5AN0	IO		nCEO	DIFFIO_TX_R3p	DIFFOUT_R3p	AA22	DQ1R												
5A	VREFB5AN0	IO			DIFFIO_RX_R4p	DIFFOUT_R4p	W20	DQ1R												
5A	VREFB5AN0	IO		CvP_CONFDONE	DIFFIO_TX_R3n	DIFFOUT_R3n	AA23	DQ1R												
5A	VREFB5AN0	IO			DIFFIO_RX_R4n	DIFFOUT_R4n	W21	DQ1R												
5A	VREFB5AN0	IO		DEV_OE	DIFFIO_TX_R5p	DIFFOUT_R5p	AC24													
5A	VREFB5AN0	IO			DIFFIO_RX_R6p	DIFFOUT_R6p	V22	DQS1R												
5A	VREFB5AN0	IO		DEV_CLRn	DIFFIO_TX_R5n	DIFFOUT_R5n	AB24	DQ1R												
5A	VREFB5AN0	IO			DIFFIO_RX_R6n	DIFFOUT_R6n	U22	DQSn1R												
5A	VREFB5AN0	IO			DIFFIO_TX_R7p	DIFFOUT_R7p	Y23	DQ1R												
5A	VREFB5AN0	IO			DIFFIO_RX_R8p	DIFFOUT_R8p	T19	DQ1R												
5A	VREFB5AN0	IO			DIFFIO_TX_R7n	DIFFOUT_R7n	Y24													
5A	VREFB5AN0	IO			DIFFIO_RX_R8n	DIFFOUT_R8n	U20	DQ1R												
5B	VREFB5BN0	IO	"CLK7p,FPLL_BR_FBp"		DIFFIO_RX_R25p	DIFFOUT_R25p	T21													
5B	VREFB5BN0	IO			DIFFIO_TX_R26p	DIFFOUT_R26p	V23	DQ2R												
5B	VREFB5BN0	IO	"CLK7n,FPLL_BR_FBn"		DIFFIO_RX_R25n	DIFFOUT_R25n	T22													
5B	VREFB5BN0	IO			DIFFIO_TX_R26n	DIFFOUT_R26n	V24	DQ2R												
5B	VREFB5BN0	IO			DIFFIO_RX_R27p	DIFFOUT_R27p	T23	DQ2R												
5B	VREFB5BN0	IO			DIFFIO_TX_R28p	DIFFOUT_R28p	AA24	DQ2R												
5B	VREFB5BN0	IO			DIFFIO_RX_R27n	DIFFOUT_R27n	T24	DQ2R												
5B	VREFB5BN0	IO			DIFFIO_TX_R28n	DIFFOUT_R28n	AB25	DQ2R												
5B	VREFB5BN0	IO			DIFFIO_RX_R29p	DIFFOUT_R29p	R23	DQS2R												
5B	VREFB5BN0	IO			DIFFIO_TX_R30p	DIFFOUT_R30p	AD25													
5B	VREFB5BN0	IO			DIFFIO_RX_R29n	DIFFOUT_R29n	P23	DQSn2R												
5B	VREFB5BN0	IO			DIFFIO_TX_R30n	DIFFOUT_R30n	AC25	DQ2R												
5B	VREFB5BN0	IO			DIFFIO_RX_R31p	DIFFOUT_R31p	R24	DQ2R												
5B	VREFB5BN0	IO			DIFFIO_TX_R32p	DIFFOUT_R32p	U24	DQ2R												
5B	VREFB5BN0	IO			DIFFIO_RX_R31n	DIFFOUT_R31n	R25	DQ2R												
5B	VREFB5BN0	IO			DIFFIO_TX_R32n	DIFFOUT_R32n	V25													
5B	VREFB5BN0	IO	CLK6p		DIFFIO_RX_R33p	DIFFOUT_R33p	R20													
5B	VREFB5BN0	IO			DIFFIO_TX_R34p	DIFFOUT_R34p	AB26	DQ3R												
5B	VREFB5BN0	IO	CLK6n		DIFFIO_RX_R33n	DIFFOUT_R33n	P20													
5B	VREFB5BN0	IO			DIFFIO_TX_R34n	DIFFOUT_R34n	AA26	DQ3R												
5B	VREFB5BN0	IO			DIFFIO_RX_R35p	DIFFOUT_R35p	T26	DQ3R												
5B	VREFB5BN0	IO	"FPLL_BR_CLKOUT0,FPLL_BR_CLKOUTp,FPLL_BR_FB"		DIFFIO_TX_R36p	DIFFOUT_R36p	Y25	DQ3R												
5B	VREFB5BN0	IO			DIFFIO_RX_R35n	DIFFOUT_R35n	R26	DQ3R												
5B	VREFB5BN0	IO	"FPLL_BR_CLKOUT1,FPLL_BR_CLKOUTn"		DIFFIO_TX_R36n	DIFFOUT_R36n	Y26	DQ3R												
5B	VREFB5BN0	IO			DIFFIO_RX_R37p	DIFFOUT_R37p	P21	DQS3R												
5B	VREFB5BN0	IO			DIFFIO_TX_R38p	DIFFOUT_R38p	W25													
5B	VREFB5BN0	IO			DIFFIO_RX_R37n	DIFFOUT_R37n	P22	DQSn3R												
5B	VREFB5BN0	IO			DIFFIO_TX_R38n	DIFFOUT_R38n	W26	DQ3R												
5B	VREFB5BN0	IO			DIFFIO_RX_R39p	DIFFOUT_R39p	N25	DQ3R												
5B	VREFB5BN0	IO			DIFFIO_TX_R40p	DIFFOUT_R40p	U25	DQ3R												
5B	VREFB5BN0	IO			DIFFIO_RX_R39n	DIFFOUT_R39n	P26	DQ3R												
5B	VREFB5BN0	IO			DIFFIO_TX_R40n	DIFFOUT_R40n	U26													
6A	VREFB6AN0	IO	CLK5p		DIFFIO_RX_R41p	DIFFOUT_R41p	N20													
6A	VREFB6AN0	IO			DIFFIO_TX_R42p	DIFFOUT_R42p	J25	DQ4R												
6A	VREFB6AN0	IO	CLK5n		DIFFIO_RX_R41n	DIFFOUT_R41n	M21													
6A	VREFB6AN0	IO			DIFFIO_TX_R42n	DIFFOUT_R42n	J26	DQ4R												
6A	VREFB6AN0	IO			DIFFIO_RX_R43p	DIFFOUT_R43p	N24	DQ4R												
6A	VREFB6AN0	IO	"FPLL_TR_CLKOUT0,FPLL_TR_CLKOUTp,FPLL_TR_FB"		DIFFIO_TX_R44p	DIFFOUT_R44p	F26	DQ4R												
6A	VREFB6AN0	IO			DIFFIO_RX_R43n	DIFFOUT_R43n	M24	DQ4R												
6A	VREFB6AN0	IO	"FPLL_TR_CLKOUT1,FPLL_TR_CLKOUTn"		DIFFIO_TX_R44n	DIFFOUT_R44n	G26	DQ4R												
6A	VREFB6AN0	IO			DIFFIO_RX_R45p	DIFFOUT_R45p	N23	DQS4R												
6A	VREFB6AN0	IO			DIFFIO_TX_R46p	DIFFOUT_R46p	G25													
6A	VREFB6AN0	IO			DIFFIO_RX_R45n	DIFFOUT_R45n	M22	DQSn4R												
6A	VREFB6AN0	IO			DIFFIO_TX_R46n	DIFFOUT_R46n	H25	DQ4R												
6A	VREFB6AN0	IO			DIFFIO_RX_R47p	DIFFOUT_R47p	M25	DQ4R												
6A	VREFB6AN0	IO			DIFFIO_TX_R48p	DIFFOUT_R48p	D26	DQ4R												
6A	VREFB6AN0	IO			DIFFIO_RX_R47n	DIFFOUT_R47n	M26	DQ4R												
6A	VREFB6AN0	IO			DIFFIO_TX_R48n	DIFFOUT_R48n	E26													
6A	VREFB6AN0	IO	"CLK4p,FPLL_TR_FBp"		DIFFIO_RX_R49p	DIFFOUT_R49p	K25													
6A	VREFB6AN0	IO			DIFFIO_TX_R50p	DIFFOUT_R50p	E24	DQ5R												
6A	VREFB6AN0	IO	"CLK4n,FPLL_TR_FBn"		DIFFIO_RX_R49n	DIFFOUT_R49n	K26													
6A	VREFB6AN0	IO			DIFFIO_TX_R50n	DIFFOUT_R50n	E25	DQ5R												
6A	VREFB6AN0	IO			DIFFIO_RX_R51p	DIFFOUT_R51p	K24	DQ5R												
6A	VREFB6AN0	IO			DIFFIO_TX_R52p	DIFFOUT_R52p	F24	DQ5R												
6A	VREFB6AN0	IO			DIFFIO_RX_R51n	DIFFOUT_R51n	K23	DQ5R												
6A	VREFB6AN0	IO			DIFFIO_TX_R52n	DIFFOUT_R52n	G24	DQ5R												
6A	VREFB6AN0	IO			DIFFIO_RX_R53p	DIFFOUT_R53p	L23	DQS5R												
6A	VREFB6AN0	IO			DIFFIO_TX_R54p	DIFFOUT_R54p	H23													
6A	VREFB6AN0	IO			DIFFIO_RX_R53n	DIFFOUT_R53n	L24	DQSn5R												
6A	VREFB6AN0	IO			DIFFIO_TX_R54n	DIFFOUT_R54n	H24	DQ5R												
6A	VREFB6AN0	IO			DIFFIO_RX_R55p	DIFFOUT_R55p	H22	DQ5R												
6A	VREFB6AN0	IO			DIFFIO_TX_R56p	DIFFOUT_R56p	F23	DQ5R												
6A	VREFB6AN0	IO			DIFFIO_RX_R55n	DIFFOUT_R55n	J23	DQ5R												
6A	VREFB6AN0	IO			DIFFIO_TX_R56n	DIFFOUT_R56n	G22													
6A	VREFB6AN0	IO			DIFFIO_RX_R65p	DIFFOUT_R65p	L22													
6A	VREFB6AN0	IO			DIFFIO_TX_R66p	DIFFOUT_R66p	B25	DQ6R												
6A	VREFB6AN0	IO			DIFFIO_RX_R65n	DIFFOUT_R65n	K21													
6A	VREFB6AN0	IO			DIFFIO_TX_R66n	DIFFOUT_R66n	B26	DQ6R												
6A	VREFB6AN0	IO			DIFFIO_RX_R67p	DIFFOUT_R67p	H19	DQ6R												
6A	VREFB6AN0	IO			DIFFIO_TX_R68p	DIFFOUT_R68p	D25	DQ6R												
6A	VREFB6AN0	IO			DIFFIO_RX_R67n	DIFFOUT_R67n	H20	DQ6R												
6A	VREFB6AN0	IO			DIFFIO_TX_R68n	DIFFOUT_R68n	C25	DQ6R												
6A	VREFB6AN0	IO			DIFFIO_RX_R69p	DIFFOUT_R69p	J20	DQS6R												
6A	VREFB6AN0	IO			DIFFIO_TX_R70p	DIFFOUT_R70p	D22													
6A	VREFB6AN0	IO			DIFFIO_RX_R69n	DIFFOUT_R69n	J21	DQSn6R												
6A	VREFB6AN0	IO			DIFFIO_TX_R70n	DIFFOUT_R70n	E23	DQ6R												
6A	VREFB6AN0	IO			DIFFIO_RX_R71p	DIFFOUT_R71p	G20	DQ6R												
6A	VREFB6AN0	IO			DIFFIO_TX_R72p	DIFFOUT_R72p	E21	DQ6R												
6A	VREFB6AN0	IO			DIFFIO_RX_R71n	DIFFOUT_R71n	F21	DQ6R												
6A	VREFB6AN0	IO			DIFFIO_TX_R72n	DIFFOUT_R72n	F22													
7A		GND					D23													
7A	VREFB7AN0	IO			DIFFIO_RX_T1p	DIFFOUT_T1p	H15			GND	GND									
7A	VREFB7AN0	IO			DIFFIO_TX_T2p	DIFFOUT_T2p	C23	DQ1T	DQ1T	T_DM_4	T_DM_4									
