Bank Number	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	F1152	DQS for X8	DQS for X16									
3A	VREFB3AN0	IO		PR_READY	DIFFIO_TX_B8n	DIFFOUT_B8n	AK9	DQ1B										
3A	VREFB3AN0	IO		PR_ERROR	DIFFIO_RX_B7p	DIFFOUT_B7p	AC13											
3A	VREFB3AN0	IO			DIFFIO_TX_B8p	DIFFOUT_B8p	AJ9	DQ1B										
3A	VREFB3AN0	IO			DIFFIO_TX_B9n	DIFFOUT_B9n	AM6											
3A	VREFB3AN0	IO			DIFFIO_RX_B10n	DIFFOUT_B10n	AK10	DQ2B	DQ1B									
3A	VREFB3AN0	IO			DIFFIO_TX_B9p	DIFFOUT_B9p	AL6	DQ2B	DQ1B									
3A	VREFB3AN0	IO			DIFFIO_RX_B10p	DIFFOUT_B10p	AJ10	DQ2B	DQ1B									
3A	VREFB3AN0	IO			DIFFIO_RX_B11n	DIFFOUT_B11n	AB13	DQSn2B	DQ1B									
3A	VREFB3AN0	IO			DIFFIO_TX_B12n	DIFFOUT_B12n	AN4	DQ2B	DQ1B									
3A	VREFB3AN0	IO			DIFFIO_RX_B11p	DIFFOUT_B11p	AB14	DQS2B	DQ1B									
3A	VREFB3AN0	IO			DIFFIO_TX_B12p	DIFFOUT_B12p	AN5											
3A	VREFB3AN0	IO			DIFFIO_TX_B13n	DIFFOUT_B13n	AP5	DQ2B	DQ1B									
3A	VREFB3AN0	IO			DIFFIO_RX_B14n	DIFFOUT_B14n	AJ12	DQ2B	DQ1B									
3A	VREFB3AN0	IO			DIFFIO_TX_B13p	DIFFOUT_B13p	AP6	DQ2B	DQ1B									
3A	VREFB3AN0	IO			DIFFIO_RX_B14p	DIFFOUT_B14p	AH13	DQ2B	DQ1B									
3A	VREFB3AN0	IO			DIFFIO_RX_B15n	DIFFOUT_B15n	AE14											
3A	VREFB3AN0	IO			DIFFIO_TX_B16n	DIFFOUT_B16n	AP7	DQ2B	DQ1B									
3A	VREFB3AN0	IO			DIFFIO_RX_B15p	DIFFOUT_B15p	AD14											
3A	VREFB3AN0	IO			DIFFIO_TX_B16p	DIFFOUT_B16p	AN7	DQ2B	DQ1B									
3A	VREFB3AN0	IO			DIFFIO_TX_B17n	DIFFOUT_B17n	AN8											
3A	VREFB3AN0	IO			DIFFIO_RX_B18n	DIFFOUT_B18n	AH14	DQ3B	DQ1B									
3A	VREFB3AN0	IO			DIFFIO_TX_B17p	DIFFOUT_B17p	AM8	DQ3B	DQ1B									
3A	VREFB3AN0	IO			DIFFIO_RX_B18p	DIFFOUT_B18p	AG14	DQ3B	DQ1B									
3A	VREFB3AN0	IO			DIFFIO_RX_B19n	DIFFOUT_B19n	AC14	DQSn3B	DQSn1B									
3A	VREFB3AN0	IO			DIFFIO_TX_B20n	DIFFOUT_B20n	AN9	DQ3B	DQ1B									
3A	VREFB3AN0	IO			DIFFIO_RX_B19p	DIFFOUT_B19p	AD15	DQS3B	DQS1B									
3A	VREFB3AN0	IO			DIFFIO_TX_B20p	DIFFOUT_B20p	AM9											
3A	VREFB3AN0	IO			DIFFIO_TX_B21n	DIFFOUT_B21n	AM10	DQ3B	DQ1B									
3A	VREFB3AN0	IO			DIFFIO_RX_B22n	DIFFOUT_B22n	AK14	DQ3B	DQ1B									
3A	VREFB3AN0	IO			DIFFIO_TX_B21p	DIFFOUT_B21p	AL10	DQ3B	DQ1B									
3A	VREFB3AN0	IO			DIFFIO_RX_B22p	DIFFOUT_B22p	AJ14	DQ3B	DQ1B									
3A	VREFB3AN0	IO			DIFFIO_RX_B23n	DIFFOUT_B23n	AB15											
3A	VREFB3AN0	IO			DIFFIO_TX_B24n	DIFFOUT_B24n	AK12	DQ3B	DQ1B									
3A	VREFB3AN0	IO			DIFFIO_RX_B23p	DIFFOUT_B23p	AA15											
3A	VREFB3AN0	IO			DIFFIO_TX_B24p	DIFFOUT_B24p	AK13	DQ3B	DQ1B									
3B	VREFB3BN0	IO			DIFFIO_TX_B25n	DIFFOUT_B25n	AM11											
3B	VREFB3BN0	IO			DIFFIO_RX_B26n	DIFFOUT_B26n	AM15	DQ4B	DQ2B									
3B	VREFB3BN0	IO			DIFFIO_TX_B25p	DIFFOUT_B25p	AL11	DQ4B	DQ2B									
3B	VREFB3BN0	IO			DIFFIO_RX_B26p	DIFFOUT_B26p	AL15	DQ4B	DQ2B									
3B	VREFB3BN0	IO			DIFFIO_RX_B27n	DIFFOUT_B27n	AG15	DQSn4B	DQ2B									
3B	VREFB3BN0	IO			DIFFIO_TX_B28n	DIFFOUT_B28n	AP9	DQ4B	DQ2B									
3B	VREFB3BN0	IO			DIFFIO_RX_B27p	DIFFOUT_B27p	AG16	DQS4B	DQ2B									
3B	VREFB3BN0	IO			DIFFIO_TX_B28p	DIFFOUT_B28p	AP10											
3B	VREFB3BN0	IO			DIFFIO_TX_B29n	DIFFOUT_B29n	AP11	DQ4B	DQ2B									
3B	VREFB3BN0	IO			DIFFIO_RX_B30n	DIFFOUT_B30n	AK15	DQ4B	DQ2B									
3B	VREFB3BN0	IO			DIFFIO_TX_B29p	DIFFOUT_B29p	AN11	DQ4B	DQ2B									
3B	VREFB3BN0	IO			DIFFIO_RX_B30p	DIFFOUT_B30p	AJ15	DQ4B	DQ2B									
3B	VREFB3BN0	IO			DIFFIO_RX_B31n	DIFFOUT_B31n	AD16											
3B	VREFB3BN0	IO			DIFFIO_TX_B32n	DIFFOUT_B32n	AL13	DQ4B	DQ2B									
3B	VREFB3BN0	IO			DIFFIO_RX_B31p	DIFFOUT_B31p	AC16											
3B	VREFB3BN0	IO			DIFFIO_TX_B32p	DIFFOUT_B32p	AL12	DQ4B	DQ2B									
3B	VREFB3BN0	IO			DIFFIO_TX_B33n	DIFFOUT_B33n	AP12											
3B	VREFB3BN0	IO			DIFFIO_RX_B34n	DIFFOUT_B34n	AN14	DQ5B	DQ2B									
3B	VREFB3BN0	IO			DIFFIO_TX_B33p	DIFFOUT_B33p	AN12	DQ5B	DQ2B									
3B	VREFB3BN0	IO			DIFFIO_RX_B34p	DIFFOUT_B34p	AM14	DQ5B	DQ2B									
3B	VREFB3BN0	IO			DIFFIO_RX_B35n	DIFFOUT_B35n	AB16	DQSn5B	DQSn2B									
3B	VREFB3BN0	IO			DIFFIO_TX_B36n	DIFFOUT_B36n	AN13	DQ5B	DQ2B									
3B	VREFB3BN0	IO			DIFFIO_RX_B35p	DIFFOUT_B35p	AA16	DQS5B	DQS2B									
3B	VREFB3BN0	IO			DIFFIO_TX_B36p	DIFFOUT_B36p	AM13											
3B	VREFB3BN0	IO			DIFFIO_TX_B37n	DIFFOUT_B37n	AM16	DQ5B	DQ2B									
3B	VREFB3BN0	IO			DIFFIO_RX_B38n	DIFFOUT_B38n	AJ16	DQ5B	DQ2B									
3B	VREFB3BN0	IO			DIFFIO_TX_B37p	DIFFOUT_B37p	AL16	DQ5B	DQ2B									
3B	VREFB3BN0	IO			DIFFIO_RX_B38p	DIFFOUT_B38p	AH16	DQ5B	DQ2B									
3B	VREFB3BN0	IO	"CLK0n,FPLL_BL_FBn"		DIFFIO_RX_B39n	DIFFOUT_B39n	AC17											
3B	VREFB3BN0	IO			DIFFIO_TX_B40n	DIFFOUT_B40n	AP14	DQ5B	DQ2B									
3B	VREFB3BN0	IO	"CLK0p,FPLL_BL_FBp"		DIFFIO_RX_B39p	DIFFOUT_B39p	AD17											
3B	VREFB3BN0	IO			DIFFIO_TX_B40p	DIFFOUT_B40p	AP15	DQ5B	DQ2B									
3B	VREFB3BN0	IO			DIFFIO_TX_B41n	DIFFOUT_B41n	AP16											
3B	VREFB3BN0	IO			DIFFIO_RX_B42n	DIFFOUT_B42n	AP17	DQ6B										
3B	VREFB3BN0	IO			DIFFIO_TX_B41p	DIFFOUT_B41p	AN16	DQ6B										
3B	VREFB3BN0	IO			DIFFIO_RX_B42p	DIFFOUT_B42p	AN17	DQ6B										
3B	VREFB3BN0	IO			DIFFIO_RX_B43n	DIFFOUT_B43n	AA17	DQSn6B										
3B	VREFB3BN0	IO			DIFFIO_TX_B44n	DIFFOUT_B44n	AL17	DQ6B										
3B	VREFB3BN0	IO			DIFFIO_RX_B43p	DIFFOUT_B43p	AA18	DQS6B										
3B	VREFB3BN0	IO			DIFFIO_TX_B44p	DIFFOUT_B44p	AK17											
3B	VREFB3BN0	IO	"FPLL_BL_CLKOUT1,FPLL_BL_CLKOUTn"		DIFFIO_TX_B45n	DIFFOUT_B45n	AN18	DQ6B										
3B	VREFB3BN0	IO			DIFFIO_RX_B46n	DIFFOUT_B46n	AJ17	DQ6B										
3B	VREFB3BN0	IO	"FPLL_BL_CLKOUT0,FPLL_BL_CLKOUTp,FPLL_BL_FB"		DIFFIO_TX_B45p	DIFFOUT_B45p	AM18	DQ6B										
3B	VREFB3BN0	IO			DIFFIO_RX_B46p	DIFFOUT_B46p	AH17	DQ6B										
3B	VREFB3BN0	IO	CLK1n		DIFFIO_RX_B47n	DIFFOUT_B47n	AB18											
3B	VREFB3BN0	IO			DIFFIO_TX_B48n	DIFFOUT_B48n	AL18	DQ6B										
3B	VREFB3BN0	IO	CLK1p		DIFFIO_RX_B47p	DIFFOUT_B47p	AC18											
3B	VREFB3BN0	IO			DIFFIO_TX_B48p	DIFFOUT_B48p	AK18	DQ6B										
4A	VREFB4AN0	IO	RZQ_0		DIFFIO_TX_B49n	DIFFOUT_B49n	AP19											
4A	VREFB4AN0	IO			DIFFIO_RX_B50n	DIFFOUT_B50n	AN19	DQ7B										
4A	VREFB4AN0	IO			DIFFIO_TX_B49p	DIFFOUT_B49p	AP20	DQ7B										
4A	VREFB4AN0	IO			DIFFIO_RX_B50p	DIFFOUT_B50p	AM19	DQ7B										
4A	VREFB4AN0	IO			DIFFIO_RX_B51n	DIFFOUT_B51n	AC19	DQSn7B										
4A	VREFB4AN0	IO			DIFFIO_TX_B52n	DIFFOUT_B52n	AP21	DQ7B										
4A	VREFB4AN0	IO			DIFFIO_RX_B51p	DIFFOUT_B51p	AB19	DQS7B										
4A	VREFB4AN0	IO			DIFFIO_TX_B52p	DIFFOUT_B52p	AN21											
4A	VREFB4AN0	IO			DIFFIO_TX_B53n	DIFFOUT_B53n	AK19	DQ7B										
4A	VREFB4AN0	IO			DIFFIO_RX_B54n	DIFFOUT_B54n	AH19	DQ7B										
4A	VREFB4AN0	IO			DIFFIO_TX_B53p	DIFFOUT_B53p	AJ19	DQ7B										
4A	VREFB4AN0	IO			DIFFIO_RX_B54p	DIFFOUT_B54p	AG19	DQ7B										
4A	VREFB4AN0	IO	CLK2n		DIFFIO_RX_B55n	DIFFOUT_B55n	AG18											
4A	VREFB4AN0	IO			DIFFIO_TX_B56n	DIFFOUT_B56n	AM21	DQ7B										
4A	VREFB4AN0	IO	CLK2p		DIFFIO_RX_B55p	DIFFOUT_B55p	AF18											
4A	VREFB4AN0	IO			DIFFIO_TX_B56p	DIFFOUT_B56p	AL21	DQ7B										
4A	VREFB4AN0	IO			DIFFIO_TX_B57n	DIFFOUT_B57n	AP22											
4A	VREFB4AN0	IO			DIFFIO_RX_B58n	DIFFOUT_B58n	AM20	DQ8B	DQ3B									
4A	VREFB4AN0	IO			DIFFIO_TX_B57p	DIFFOUT_B57p	AN22	DQ8B	DQ3B									
4A	VREFB4AN0	IO			DIFFIO_RX_B58p	DIFFOUT_B58p	AL20	DQ8B	DQ3B									
4A	VREFB4AN0	IO			DIFFIO_RX_B59n	DIFFOUT_B59n	AE19	DQSn8B	DQ3B									
4A	VREFB4AN0	IO			DIFFIO_TX_B60n	DIFFOUT_B60n	AN23	DQ8B	DQ3B									
4A	VREFB4AN0	IO			DIFFIO_RX_B59p	DIFFOUT_B59p	AD19	DQS8B	DQ3B									
4A	VREFB4AN0	IO			DIFFIO_TX_B60p	DIFFOUT_B60p	AM23											
4A	VREFB4AN0	IO			DIFFIO_TX_B61n	DIFFOUT_B61n	AP26	DQ8B	DQ3B									
4A	VREFB4AN0	IO			DIFFIO_RX_B62n	DIFFOUT_B62n	AP24	DQ8B	DQ3B									
4A	VREFB4AN0	IO			DIFFIO_TX_B61p	DIFFOUT_B61p	AN26	DQ8B	DQ3B									
4A	VREFB4AN0	IO			DIFFIO_RX_B62p	DIFFOUT_B62p	AP25	DQ8B	DQ3B									
4A	VREFB4AN0	IO	CLK3n		DIFFIO_RX_B63n	DIFFOUT_B63n	AE20											
4A	VREFB4AN0	IO			DIFFIO_TX_B64n	DIFFOUT_B64n	AN24	DQ8B	DQ3B									
4A	VREFB4AN0	IO	CLK3p		DIFFIO_RX_B63p	DIFFOUT_B63p	AD20											
4A	VREFB4AN0	IO			DIFFIO_TX_B64p	DIFFOUT_B64p	AM24	DQ8B	DQ3B									
4A	VREFB4AN0	IO			DIFFIO_TX_B65n	DIFFOUT_B65n	AL22											
4A	VREFB4AN0	IO			DIFFIO_RX_B66n	DIFFOUT_B66n	AP27	DQ9B	DQ3B									
4A	VREFB4AN0	IO			DIFFIO_TX_B65p	DIFFOUT_B65p	AK22	DQ9B	DQ3B									
4A	VREFB4AN0	IO			DIFFIO_RX_B66p	DIFFOUT_B66p	AN27	DQ9B	DQ3B									
4A	VREFB4AN0	IO			DIFFIO_RX_B67n	DIFFOUT_B67n	AK20	DQSn9B	DQSn3B									
4A	VREFB4AN0	IO			DIFFIO_TX_B68n	DIFFOUT_B68n	AJ21	DQ9B	DQ3B									
4A	VREFB4AN0	IO			DIFFIO_RX_B67p	DIFFOUT_B67p	AJ20	DQS9B	DQS3B									
4A	VREFB4AN0	IO			DIFFIO_TX_B68p	DIFFOUT_B68p	AJ22											
4A	VREFB4AN0	IO			DIFFIO_TX_B69n	DIFFOUT_B69n	AP29	DQ9B	DQ3B									
4A	VREFB4AN0	IO			DIFFIO_RX_B70n	DIFFOUT_B70n	AH21	DQ9B	DQ3B									
4A	VREFB4AN0	IO			DIFFIO_TX_B69p	DIFFOUT_B69p	AP30	DQ9B	DQ3B									
4A	VREFB4AN0	IO			DIFFIO_RX_B70p	DIFFOUT_B70p	AH22	DQ9B	DQ3B									
4A	VREFB4AN0	IO			DIFFIO_RX_B71n	DIFFOUT_B71n	AB20											
4A	VREFB4AN0	IO			DIFFIO_TX_B72n	DIFFOUT_B72n	AN28	DQ9B	DQ3B									
4A	VREFB4AN0	IO			DIFFIO_RX_B71p	DIFFOUT_B71p	AB21											
4A	VREFB4AN0	IO			DIFFIO_TX_B72p	DIFFOUT_B72p	AM28	DQ9B	DQ3B									
4A	VREFB4AN0	IO			DIFFIO_TX_B73n	DIFFOUT_B73n	AM25											
4A	VREFB4AN0	IO			DIFFIO_RX_B74n	DIFFOUT_B74n	AL23	DQ10B	DQ4B									
4A	VREFB4AN0	IO			DIFFIO_TX_B73p	DIFFOUT_B73p	AL25	DQ10B	DQ4B									
4A	VREFB4AN0	IO			DIFFIO_RX_B74p	DIFFOUT_B74p	AK23	DQ10B	DQ4B									
4A	VREFB4AN0	IO			DIFFIO_RX_B75n	DIFFOUT_B75n	AA20	DQSn10B	DQ4B									
4A	VREFB4AN0	IO			DIFFIO_TX_B76n	DIFFOUT_B76n	AM26	DQ10B	DQ4B									
4A	VREFB4AN0	IO			DIFFIO_RX_B75p	DIFFOUT_B75p	Y20	DQS10B	DQ4B									
4A	VREFB4AN0	IO			DIFFIO_TX_B76p	DIFFOUT_B76p	AL26											
4A	VREFB4AN0	IO			DIFFIO_TX_B77n	DIFFOUT_B77n	AP31	DQ10B	DQ4B									
4A	VREFB4AN0	IO			DIFFIO_RX_B78n	DIFFOUT_B78n	AK24	DQ10B	DQ4B									
4A	VREFB4AN0	IO			DIFFIO_TX_B77p	DIFFOUT_B77p	AN31	DQ10B	DQ4B									
4A	VREFB4AN0	IO			DIFFIO_RX_B78p	DIFFOUT_B78p	AJ24	DQ10B	DQ4B									
4A	VREFB4AN0	IO			DIFFIO_RX_B79n	DIFFOUT_B79n	AG21											
4A	VREFB4AN0	IO			DIFFIO_TX_B80n	DIFFOUT_B80n	AL28	DQ10B	DQ4B									
4A	VREFB4AN0	IO			DIFFIO_RX_B79p	DIFFOUT_B79p	AF22											
4A	VREFB4AN0	IO			DIFFIO_TX_B80p	DIFFOUT_B80p	AL27	DQ10B	DQ4B									
4A	VREFB4AN0	IO			DIFFIO_TX_B81n	DIFFOUT_B81n	AP32											
4A	VREFB4AN0	IO			DIFFIO_RX_B82n	DIFFOUT_B82n	AH23	DQ11B	DQ4B									
4A	VREFB4AN0	IO			DIFFIO_TX_B81p	DIFFOUT_B81p	AN32	DQ11B	DQ4B									
4A	VREFB4AN0	IO			DIFFIO_RX_B82p	DIFFOUT_B82p	AG23	DQ11B	DQ4B									
4A	VREFB4AN0	IO			DIFFIO_RX_B83n	DIFFOUT_B83n	AD21	DQSn11B	DQSn4B									
4A	VREFB4AN0	IO			DIFFIO_TX_B84n	DIFFOUT_B84n	AN29	DQ11B	DQ4B									
4A	VREFB4AN0	IO			DIFFIO_RX_B83p	DIFFOUT_B83p	AC21	DQS11B	DQS4B									
4A	VREFB4AN0	IO			DIFFIO_TX_B84p	DIFFOUT_B84p	AM29											
4A	VREFB4AN0	IO			DIFFIO_TX_B85n	DIFFOUT_B85n	AK27	DQ11B	DQ4B									
4A	VREFB4AN0	IO			DIFFIO_RX_B86n	DIFFOUT_B86n	AK25	DQ11B	DQ4B									
4A	VREFB4AN0	IO			DIFFIO_TX_B85p	DIFFOUT_B85p	AK28	DQ11B	DQ4B									
4A	VREFB4AN0	IO			DIFFIO_RX_B86p	DIFFOUT_B86p	AJ25	DQ11B	DQ4B									
4A	VREFB4AN0	IO			DIFFIO_RX_B87n	DIFFOUT_B87n	AF23											
4A	VREFB4AN0	IO			DIFFIO_TX_B88n	DIFFOUT_B88n	AM30	DQ11B	DQ4B									
4A	VREFB4AN0	IO			DIFFIO_RX_B87p	DIFFOUT_B87p	AE23											
4A	VREFB4AN0	IO			DIFFIO_TX_B88p	DIFFOUT_B88p	AL30	DQ11B	DQ4B									
4A	VREFB4AN0	IO			DIFFIO_TX_B89n	DIFFOUT_B89n	AK29											
4A	VREFB4AN0	IO			DIFFIO_RX_B90n	DIFFOUT_B90n	AH24	DQ12B										
4A	VREFB4AN0	IO			DIFFIO_TX_B89p	DIFFOUT_B89p	AJ29	DQ12B										
4A	VREFB4AN0	IO			DIFFIO_RX_B90p	DIFFOUT_B90p	AG24	DQ12B										
4A	VREFB4AN0	IO			DIFFIO_RX_B91n	DIFFOUT_B91n	AD22	DQSn12B										
4A	VREFB4AN0	IO			DIFFIO_TX_B92n	DIFFOUT_B92n	AM31	DQ12B										
4A	VREFB4AN0	IO			DIFFIO_RX_B91p	DIFFOUT_B91p	AC22	DQS12B										
4A	VREFB4AN0	IO			DIFFIO_TX_B92p	DIFFOUT_B92p	AL31											
4A	VREFB4AN0	IO			DIFFIO_TX_B93n	DIFFOUT_B93n	AJ26	DQ12B										
4A	VREFB4AN0	IO			DIFFIO_RX_B94n	DIFFOUT_B94n	AG26	DQ12B										
4A	VREFB4AN0	IO			DIFFIO_TX_B93p	DIFFOUT_B93p	AH26	DQ12B										
4A	VREFB4AN0	IO			DIFFIO_RX_B94p	DIFFOUT_B94p	AG25	DQ12B										
4A	VREFB4AN0	IO			DIFFIO_RX_B95n	DIFFOUT_B95n	AE25											
4A	VREFB4AN0	IO			DIFFIO_TX_B96n	DIFFOUT_B96n	AJ27	DQ12B										
4A	VREFB4AN0	IO			DIFFIO_RX_B95p	DIFFOUT_B95p	AF25											
4A	VREFB4AN0	IO			DIFFIO_TX_B96p	DIFFOUT_B96p	AH27	DQ12B										
5A	VREFB5AN0	IO	RZQ_1		DIFFIO_TX_R1p	DIFFOUT_R1p	AD24	DQ1R										
5A	VREFB5AN0	IO		INIT_DONE	DIFFIO_RX_R2p	DIFFOUT_R2p	AC23											
5A	VREFB5AN0	IO		PR_REQUEST	DIFFIO_TX_R1n	DIFFOUT_R1n	AD25	DQ1R										
5A	VREFB5AN0	IO		CRC_ERROR	DIFFIO_RX_R2n	DIFFOUT_R2n	AC24											
5A	VREFB5AN0	IO		nCEO	DIFFIO_TX_R3p	DIFFOUT_R3p	AC27	DQ1R										
5A	VREFB5AN0	IO			DIFFIO_RX_R4p	DIFFOUT_R4p	AB24	DQ1R										
5A	VREFB5AN0	IO		CvP_CONFDONE	DIFFIO_TX_R3n	DIFFOUT_R3n	AC26	DQ1R										
5A	VREFB5AN0	IO			DIFFIO_RX_R4n	DIFFOUT_R4n	AB23	DQ1R										
5A	VREFB5AN0	IO		DEV_OE	DIFFIO_TX_R5p	DIFFOUT_R5p	AE29											
5A	VREFB5AN0	IO			DIFFIO_RX_R6p	DIFFOUT_R6p	AA21	DQS1R										
5A	VREFB5AN0	IO		DEV_CLRn	DIFFIO_TX_R5n	DIFFOUT_R5n	AD29	DQ1R										
5A	VREFB5AN0	IO			DIFFIO_RX_R6n	DIFFOUT_R6n	AA22	DQSn1R										
5A	VREFB5AN0	IO			DIFFIO_TX_R7p	DIFFOUT_R7p	AC28	DQ1R										
5A	VREFB5AN0	IO			DIFFIO_RX_R8p	DIFFOUT_R8p	Y24	DQ1R										
5A	VREFB5AN0	IO			DIFFIO_TX_R7n	DIFFOUT_R7n	AC29											
5A	VREFB5AN0	IO			DIFFIO_RX_R8n	DIFFOUT_R8n	Y25	DQ1R										
5A	VREFB5AN0	IO			DIFFIO_RX_R9p	DIFFOUT_R9p	AB25											
5A	VREFB5AN0	IO			DIFFIO_TX_R10p	DIFFOUT_R10p	AF27	DQ2R	DQ1R									
5A	VREFB5AN0	IO			DIFFIO_RX_R9n	DIFFOUT_R9n	AA25											
5A	VREFB5AN0	IO			DIFFIO_TX_R10n	DIFFOUT_R10n	AF26	DQ2R	DQ1R									
5A	VREFB5AN0	IO			DIFFIO_RX_R11p	DIFFOUT_R11p	AB28	DQ2R	DQ1R									
5A	VREFB5AN0	IO			DIFFIO_TX_R12p	DIFFOUT_R12p	AE28	DQ2R	DQ1R									
5A	VREFB5AN0	IO			DIFFIO_RX_R11n	DIFFOUT_R11n	AB29	DQ2R	DQ1R									
5A	VREFB5AN0	IO			DIFFIO_TX_R12n	DIFFOUT_R12n	AF28	DQ2R	DQ1R									
5A	VREFB5AN0	IO			DIFFIO_RX_R13p	DIFFOUT_R13p	AA23	DQS2R	DQS1R									
5A	VREFB5AN0	IO			DIFFIO_TX_R14p	DIFFOUT_R14p	AG28											
