*******************************************************************								
* PT-EP1S40-3.6.txt
* PIN-OUT INFORMATION FOR EP1S40               								
* Ver. 3.6                                            								
*******************************************************************										
											
											
Bank Number	VREF Bank	Pin Name/Function	Optional Function(s)	Configuration Function	F780	B956	F1020	F1508	DQS for x16	DQS for x32	DIFFIO Speed (1)
B2	VREF2B2	IO	DIFFIO_RX26n		L26	M30	P32	V37			HIGH
B2	VREF2B2	IO	DIFFIO_TX26p		N22	N23	R23	U33			HIGH
B2	VREF2B2	IO	DIFFIO_TX26n		N21	P23	R24	U32			HIGH
B2	VREF2B2	VREF2B2			P19	N22	R21	P29			
B2	VREF2B2	IO	DIFFIO_RX25p		L27	L31	R32	V38			HIGH
B2	VREF2B2	IO	DIFFIO_RX25n		L28	K31	R31	V39			HIGH
B2	VREF2B2	IO	DIFFIO_TX25p		N20	T25	R25	V35			HIGH
B2	VREF2B2	IO	DIFFIO_TX25n		N19	R25	R26	V34			HIGH
B2	VREF2B2	IO	DIFFIO_RX24p		M25	R30	R30	W39			HIGH
B2	VREF2B2	IO	DIFFIO_RX24n		M26	P30	R29	W38			HIGH
B2	VREF2B2	IO	DIFFIO_TX24p				M23	V32			LOW
B2	VREF2B2	IO	DIFFIO_TX24n				M22	V31			LOW
B2	VREF2B2	IO	DIFFIO_RX23p		M27	P31	T32	W37			HIGH
B2	VREF2B2	IO	DIFFIO_RX23n		N28	R31	T31	W36			HIGH
B2	VREF2B2	IO	DIFFIO_TX23p				N22	W31			LOW
B2	VREF2B2	IO	DIFFIO_TX23n				P22	W32			LOW
B2	VREF2B2	CLK0n			N27	R28	T30	Y39			
B2	VREF2B2	CLK0p			P27	R29	T29	Y38			
B2	VREF2B2	IO	CLK1n		P26	T30	T28	Y34			
B2	VREF2B2	CLK1p			P25	T31	T27	Y35			
		VCCA_PLL1			P23	R24	T25	AA32			
		GND									
		GNDA_PLL1			P24	T24	T26	Y31			
		VCCG_PLL1			P21	R22	R22	Y28			
		GNDG_PLL1			P22	R23	T22	Y29			
		VCCA_PLL2			R23	U24	U25	AA30			
		GND									
		GNDA_PLL2			R24	V24	U26	AA31			
		VCCG_PLL2			R21	U23	U24	AA28			
		GNDG_PLL2			R22	V23	T24	AA29			
B1	VREF0B1	CLK2p			R27	T29	U31	Y37			
B1	VREF0B1	CLK2n			T27	T28	U32	Y36			
B1	VREF0B1	CLK3p			R25	U29	U29	AA35			
B1	VREF0B1	IO	CLK3n		R26	U28	U30	AA34			
B1	VREF0B1	IO	DIFFIO_RX22p		T28	U31	U28	AA39			HIGH
B1	VREF0B1	IO	DIFFIO_RX22n		U27	V31	U27	AA38			HIGH
B1	VREF0B1	IO	DIFFIO_TX22p				U22	Y33			LOW
B1	VREF0B1	IO	DIFFIO_TX22n				V22	AA33			LOW
B1	VREF0B1	IO	DIFFIO_RX21p		U26	AB31	V32	AA37			HIGH
B1	VREF0B1	IO	DIFFIO_RX21n		U25	AA31	V31	AA36			HIGH
B1	VREF0B1	IO	DIFFIO_TX21p				W21	AB33			LOW
B1	VREF0B1	IO	DIFFIO_TX21n				W22	AB32			LOW
B1	VREF0B1	IO	DIFFIO_RX20p		V27	V30	V30	AB38			HIGH
B1	VREF0B1	IO	DIFFIO_RX20n		V28	U30	V29	AB39			HIGH
B1	VREF0B1	IO	DIFFIO_TX20p				Y21	AB31			LOW
B1	VREF0B1	IO	DIFFIO_TX20n				Y22	AB30			LOW
B1	VREF0B1	VREF0B1			R19	V22	V21	AE29			
B1	VREF0B1	IO	DIFFIO_RX19p		V26	W30	W32	AB37			HIGH
B1	VREF0B1	IO	DIFFIO_RX19n		V25	Y30	W31	AB36			HIGH
B1	VREF0B1	IO	DIFFIO_TX19p		T21	V25	V26	AB34			HIGH
B1	VREF0B1	IO	DIFFIO_TX19n		T22	U25	V25	AB35			HIGH
B1	VREF0B1	IO	DIFFIO_RX18p		W28	AA30	W30	AC39			HIGH
B1	VREF0B1	IO	DIFFIO_RX18n		W27	AB30	W29	AC38			HIGH
B1	VREF0B1	IO	DIFFIO_TX18p		T19	U26	V28	AC32			HIGH
B1	VREF0B1	IO	DIFFIO_TX18n		T20	T26	V27	AC33			HIGH
B1	VREF0B1	IO	DIFFIO_RX17p		W26	V29	Y32	AC37			HIGH
B1	VREF0B1	IO	DIFFIO_RX17n		W25	W29	Y31	AC36			HIGH
B1	VREF0B1	IO	DIFFIO_TX17p		T23	T27	W25	AC34			HIGH
B1	VREF0B1	IO	DIFFIO_TX17n		T24	U27	W26	AC35			HIGH
B1	VREF0B1	IO	DIFFIO_RX16p		Y28	Y29	Y30	AD39			HIGH
B1	VREF0B1	IO	DIFFIO_RX16n		Y27	AA29	Y29	AD38			HIGH
B1	VREF0B1	IO	DIFFIO_TX16p		T26	V26	W27	AD34			HIGH
B1	VREF0B1	IO	DIFFIO_TX16n		T25	W26	W28	AD35			HIGH
B1	VREF1B1	IO	DIFFIO_RX15p		Y26	V28	AA31	AD37			HIGH
B1	VREF1B1	IO	DIFFIO_RX15n		Y25	W28	AA30	AD36			HIGH
B1	VREF1B1	IO	DIFFIO_TX15p		U19	W24	V24	AD33			HIGH
B1	VREF1B1	IO	DIFFIO_TX15n		U20	Y24	V23	AD32			HIGH
B1	VREF1B1	IO	DIFFIO_RX14p		AA28	Y28	AB31	AE37			HIGH
B1	VREF1B1	IO	DIFFIO_RX14n		AA27	AA28	AB30	AE36			HIGH
B1	VREF1B1	IO	DIFFIO_TX14p		U24	W25	Y26	AD31			HIGH
B1	VREF1B1	IO	DIFFIO_TX14n		U23	Y25	Y25	AD30			HIGH
B1	VREF1B1	IO	DIFFIO_RX13p/RUP1		AA25	AB29	AA28	AF37			HIGH
B1	VREF1B1	IO	DIFFIO_RX13n/RDN1		AA26	AB28	AA29	AF36			HIGH
B1	VREF1B1	IO	DIFFIO_TX13p		U21	Y26	Y28	AE35			HIGH
B1	VREF1B1	IO	DIFFIO_TX13n		U22	AA26	Y27	AE34			HIGH
B1	VREF1B1	IO	DIFFIO_RX12p		AB28	AC31	AB32	AE38			HIGH
B1	VREF1B1	IO	DIFFIO_RX12n		AB27	AD31	AC31	AF39			HIGH
B1	VREF1B1	IO	DIFFIO_TX12p		V19	W23	W23	AE33			HIGH
B1	VREF1B1	IO	DIFFIO_TX12n		V20	Y23	W24	AE32			HIGH
B1	VREF1B1	VREF1B1			W20	W22	AA23	AF29			
B1	VREF1B1	IO	DIFFIO_RX11p		AB26	AE31	AD32	AF38			HIGH
B1	VREF1B1	IO	DIFFIO_RX11n		AB25	AF31	AD31	AG38			HIGH
B1	VREF1B1	IO	DIFFIO_TX11p		V24	V27	Y23	AF35			HIGH
B1	VREF1B1	IO	DIFFIO_TX11n		V23	W27	Y24	AF34			HIGH
B1	VREF1B1	IO	DIFFIO_RX10p		AC28	AC30	AC29	AG37			HIGH
B1	VREF1B1	IO	DIFFIO_RX10n		AC27	AD30	AC30	AG36			HIGH
B1	VREF1B1	IO	DIFFIO_TX10p		V22	Y27	AA25	AF33			HIGH
B1	VREF1B1	IO	DIFFIO_TX10n		V21	AA27	AA24	AF32			HIGH
B1	VREF1B1	IO	DIFFIO_RX9p		AD28	AF30	AD30	AH39			HIGH
B1	VREF1B1	IO	DIFFIO_RX9n		AD27	AE30	AD29	AH38			HIGH
B1	VREF1B1	IO	DIFFIO_TX9p		W23	AB27	AA27	AG35			HIGH
B1	VREF1B1	IO	DIFFIO_TX9n		W24	AC27	AA26	AG34			HIGH
B1	VREF1B1	IO	DIFFIO_RX8p		AE28	AG30	AE32	AH37			HIGH
B1	VREF1B1	IO	DIFFIO_RX8n		AE27	AH30	AE31	AH36			HIGH
B1	VREF1B1	IO	DIFFIO_TX8p		W21	AE27	AB27	AG33			HIGH
B1	VREF1B1	IO	DIFFIO_TX8n		W22	AD27	AB26	AG32			HIGH
B1	VREF1B1	IO	DIFFIO_RX7p			AC29	AE30	AJ39			HIGH
B1	VREF1B1	IO	DIFFIO_RX7n			AD29	AE29	AJ38			HIGH
B1	VREF2B1	IO	DIFFIO_TX7p		Y21	AG27	AC25	AH34			HIGH
B1	VREF2B1	IO	DIFFIO_TX7n		Y22	AF27	AC26	AH35			HIGH
B1	VREF2B1	IO	DIFFIO_RX6p			AE29	AF32	AJ37			HIGH
B1	VREF2B1	IO	DIFFIO_RX6n			AF29	AF31	AJ36			HIGH
B1	VREF2B1	IO	DIFFIO_TX6p		Y24	AB26	AC27	AK35			HIGH
B1	VREF2B1	IO	DIFFIO_TX6n		Y23	AC26	AC28	AK34			HIGH
B1	VREF2B1	IO	DIFFIO_RX5p			AH29	AF30	AK38			HIGH
B1	VREF2B1	IO	DIFFIO_RX5n			AG29	AF29	AK39			HIGH
B1	VREF2B1	IO	DIFFIO_TX5p		AA23	AD26	AD28	AH33			HIGH
B1	VREF2B1	IO	DIFFIO_TX5n		AA24	AE26	AD27	AH32			HIGH
B1	VREF2B1	IO	DIFFIO_RX4p			AC28	AG31	AK37			HIGH
B1	VREF2B1	IO	DIFFIO_RX4n			AD28	AG32	AK36			HIGH
B1	VREF2B1	IO	DIFFIO_TX4p			AA25	AD26	AJ35			HIGH
B1	VREF2B1	IO	DIFFIO_TX4n		U18	AB25	AD25	AJ34			HIGH
B1	VREF2B1	VREF2B1			AE26	Y22	AB25	AG29			
B1	VREF2B1	IO	DIFFIO_RX3p		AF28	AE28	AG30	AL37			HIGH
B1	VREF2B1	IO	DIFFIO_RX3n		AF27	AF28	AG29	AL36			HIGH
B1	VREF2B1	IO	DIFFIO_TX3p		AB23	AD25	AE28	AJ33			HIGH
B1	VREF2B1	IO	DIFFIO_TX3n		AB24	AC25	AE27	AJ32			HIGH
B1	VREF2B1	IO	DIFFIO_RX2p				AG25	AM39			LOW
B1	VREF2B1	IO	DIFFIO_RX2n				AG26	AM38			LOW
B1	VREF2B1	IO	DIFFIO_TX2p		AA21	AA24	AE25	AK32			HIGH
B1	VREF2B1	IO	DIFFIO_TX2n		AA22	AB24	AE26	AK33			HIGH
B1	VREF2B1	IO	DIFFIO_RX1p				AH32	AN39			LOW
B1	VREF2B1	IO	DIFFIO_RX1n				AH31	AN38			LOW
B1	VREF2B1	IO	DIFFIO_TX1p		AC25	AD24	AF27	AL33			HIGH
B1	VREF2B1	IO	DIFFIO_TX1n		AC26	AC24	AF28	AL32			HIGH
B1	VREF2B1	IO	DIFFIO_RX0p				AH29	AP38			LOW
B1	VREF2B1	IO	DIFFIO_RX0n				AG28	AP39			LOW
B1	VREF2B1	IO	DIFFIO_TX0p		AD25	AE25	AF26	AH31			HIGH
B1	VREF2B1	IO	DIFFIO_TX0n		AD26	AF25	AF25	AH30			HIGH
B1	VREF2B1	FPLL8CLKn				AG31	AB29	AL38			
B1	VREF2B1	FPLL8CLKp				AH31	AB28	AL39			
B1	VREF2B1	IO					AA22	AG30			
B1	VREF2B1	IO					AB23	AG31			
		VCCA_PLL8				AB23	AJ31	AJ30			
		GND									
		GNDA_PLL8				AA23	AJ32	AJ31			
		VCCG_PLL8				AD23	AJ30	AL31		
		GNDG_PLL8				AC23	AH30	AK31		
B8	VREF0B8	IO			AC24	AG28	AD24	AR35		
B8	VREF0B8	IO	DQ9B7		AG26	AK29	AH28	AV34	DQ3B15	DQ1B31
B8	VREF0B8	IO			AC23	AJ30	AE24	AU36		
B8	VREF0B8	IO	DQ9B6		AH26	AJ29	AK30	AU34	DQ3B14	DQ1B30
B8	VREF0B8	IO					AF24	AP33		
B8	VREF0B8	IO	DQ9B5		AG25	AJ28	AJ28	AU33	DQ3B13	DQ1B29
B8	VREF0B8	IO						AN33		
B8	VREF0B8	IO	DQ9B4		AH25	AL28	AJ29	AW33	DQ3B12	DQ1B28
B8	VREF0B8	IO			AB22	AH28	AC24	AR34		
B8	VREF0B8	IO	DQ9B3		AF25	AH27	AK29	AW34	DQ3B11	DQ1B27
B8	VREF0B8	IO					AG24	AU35		
B8	VREF0B8	IO	DQS9B		AF24	AK28	AK28	AV33		
B8	VREF0B8	VREF0B8			AD22	AB22	AH27	AJ29		
B8	VREF0B8	IO				AF26	AB24	AT35		
B8	VREF0B8	IO	DQ9B2		AG24	AL27	AL30	AV32	DQ3B10	DQ1B26
B8	VREF0B8	IO			AE25	AE24	AC23	AV36		
B8	VREF0B8	IO	DQ9B1		AE24	AJ27	AL29	AU32	DQ3B9	DQ1B25
B8	VREF0B8	IO					AG23	AR33		
B8	VREF0B8	IO	DQ9B0		AH24	AK27	AM29	AW32	DQ3B8	DQ1B24
B8	VREF0B8	IO			AD24			AN32		
B8	VREF0B8	IO				AC22	AD23	AT34		
B8	VREF0B8	IO	DQ8B7		AG23	AH26	AH26	AU31	DQ3B7	DQ1B23
B8	VREF0B8	IO					AB22	AN31		
B8	VREF0B8	IO	DQ8B6		AD23	AG26	AJ27	AV31	DQ3B6	DQ1B22
B8	VREF0B8	IO				AD22	AF23	AV35		
B8	VREF0B8	IO	DQ8B5		AF23	AK26	AL28	AW31	DQ3B5	DQ1B21
B8	VREF0B8	IO			AB21		AC22	AP32		
B8	VREF0B8	IO	DQ8B4		AH23	AL26	AK27	AW30	DQ3B4	DQ1B20
B8	VREF0B8	IO						AW36		
B8	VREF0B8	IO	DQ8B3		AE22	AH25	AJ26	AU30	DQ3B3	DQ1B19
B8	VREF0B8	IO				AC21	AE23	AT33		
B8	VREF1B8	IO	DQS8B		AE23	AJ26	AL27	AV30	DQS3B	
B8	VREF1B8	IO	DQ8B0		AG22	AL25	AK26	AW29	DQ3B0	DQ1B16
B8	VREF1B8	IO	DQ8B2		AF22	AK25	AM27	AU29	DQ3B2	DQ1B18
B8	VREF1B8	IO			AB20	AE22	AE22	AT32		
B8	VREF1B8	IO	DQ8B1		AH22	AJ25	AM28	AV29	DQ3B1	DQ1B17
B8	VREF1B8	IO					AF22	AT31		
B8	VREF1B8	IO				AA21	AD22	AR32		
B8	VREF1B8	IO						AN30		
B8	VREF1B8	IO			Y20	AD21	AA21	AW35		
B8	VREF1B8	IO	DQ7B7		AD21	AG24	AH24	AR28	DQ2B15	DQ1B15
B8	VREF1B8	IO					AG22	AN29		
B8	VREF1B8	IO	DQ7B6		AE21	AH23	AJ24	AT28	DQ2B14	DQ1B14
B8	VREF1B8	VREF1B8			AD20	AB21	AH25	AJ28		
B8	VREF1B8	IO						AP31		
B8	VREF1B8	IO	DQ7B5		AG21	AK24	AJ25	AU28	DQ2B13	DQ1B13
B8	VREF1B8	IO			AC22	AC20	AB21	AP30		
B8	VREF1B8	IO	DQ7B4		AF21	AH24	AK25	AV28	DQ2B12	DQ1B12
B8	VREF1B8	IO					AG21	AT30		
B8	VREF1B8	IO	DQ7B3		AE20	AJ23	AL25	AR27	DQ2B11	DQ1B11
B8	VREF1B8	IO				AA19	AC21	AR31		
B8	VREF1B8	IO	DQS7B		AG20	AJ24	AL26	AT27		DQS1B
B8	VREF1B8	IO						AP29		
B8	VREF1B8	IO	DQ7B2		AF20	AL24	AK24	AW28	DQ2B10	DQ1B10
B8	VREF1B8	IO					AD21	AR29		
B8	VREF1B8	IO	DQ7B1		AH21	AK23	AM25	AU27	DQ2B9	DQ1B9
B8	VREF1B8	IO						AR30		
B8	VREF1B8	IO	DQ7B0		AH20	AL23	AM26	AV27	DQ2B8	DQ1B8
B8	VREF1B8	IO						AN28		
B8	VREF1B8	IO			AC20	AD20	AG20	AM27		
B8	VREF1B8	IO	FCLK3		AC21	AF23	AE21	AT29		
B8	VREF1B8	IO	FCLK2		AC19	AF22	AF21	AN26		
B8	VREF2B8	IO	DQ6B7		AE19	AG22	AJ23	AR26	DQ2B7	DQ1B7
B8	VREF2B8	IO	DQ6B6		AD19	AH22	AL24	AT26	DQ2B6	DQ1B6
B8	VREF2B8	IO	DQ6B5		AF19	AK22	AH22	AU26	DQ2B5	DQ1B5
B8	VREF2B8	IO				AE20	AB20	AP28		
B8	VREF2B8	IO	DQ6B4		AG19	AG21	AM24	AV26	DQ2B4	DQ1B4
B8	VREF2B8	IO		PGM2	AB19	AF24	AA20	AL25		
B8	VREF2B8	IO	DQ6B3		AH19	AH21	AK23	AW26	DQ2B3	DQ1B3
B8	VREF2B8	IO					AD20	AN27		
B8	VREF2B8	IO	DQS6B		AF18	AJ22	AJ22	AU25	DQS2B	
B8	VREF2B8	IO					AE20	AM26		
B8	VREF2B8	IO	DQ6B2		AD18	AL22	AL23	AT25	DQ2B2	DQ1B2
B8	VREF2B8	IO		CRC_ERROR	AA20	AE21	AF20	AN25		
B8	VREF2B8	VREF2B8			AH18	AB20	AH23	AJ27		
B8	VREF2B8	IO	RDN8		Y19	AE23	AC20	AH24		
B8	VREF2B8	IO	RUP8		W19	AG25	AH19	AF23		
B8	VREF2B8	IO	DQ6B0		AG18	AK21	AL22	AV25	DQ2B0	DQ1B0
B8	VREF2B8	IO						AP27		
B8	VREF2B8	IO	DQ6B1		AE18	AJ21	AK22	AR25	DQ2B1	DQ1B1
B8	VREF2B8	IO	DQ5B7		AF17	AG20	AM22	AT24		
B8	VREF2B8	IO						AP26		
B8	VREF2B8	IO	DQ5B6		AG17	AH20	AJ21	AU24		
B8	VREF2B8	IO					AB19	AM25		
B8	VREF2B8	IO	DQ5B5		AE17	AK20	AK21	AV24		
B8	VREF2B8	IO				AC19	AK18	AP25		
B8	VREF2B8	IO	DQ5B4		AD17	AL20	AL21	AW24		
B8	VREF2B8	IO		RDYnBSY	AA19	AG23	AA19	AH23		
B8	VREF2B8	IO	DQ5B3		AG16	AG19	AH20	AW23		
B8	VREF2B8	IO			AB18	AD19	AD19	AM24		
B8	VREF2B8	IO	DQS5B		AH16	AJ20	AJ20	AU23		
B8	VREF2B8	IO				AE19	AJ18	AN24		
B8	VREF2B8	IO	DQ5B2		AD16	AH19	AK20	AR23		
B8	VREF3B8	IO		nCS	Y18	AF20	AC19	AL23		
B8	VREF3B8	IO	DQ5B1		AF16	AJ19	AL20	AV23
B8	VREF3B8	IO						AP24
B8	VREF3B8	IO	DQ5B0		AE16	AK19	AM20	AT23
B8	VREF3B8	IO			W18	AE18	AH18	AR24
B8	VREF3B8	IO			V18			AM23
B8	VREF3B8	IO						AN23
B8	VREF3B8	IO						AN22
B8	VREF3B8	IO						AP23
B8	VREF3B8	IO		CS	AA18	AF21	AG19	AJ23
B8	VREF3B8	IO						AR22
B8	VREF3B8	IO						AP22
B8	VREF3B8	VREF3B8				AB19	AH21	AJ26
B8	VREF3B8	IO	CLK5n		Y17	AH18	AJ19	AU22
B8	VREF3B8	CLK5p			AA17	AJ18	AK19	AT22
B8	VREF3B8	IO	CLK4n		AB17	AK18	AL19	AW22
B8	VREF3B8	CLK4p			AC17	AL18	AM19	AV22
B8	VREF3B8	PLL_ENA		PLL_ENA	AC18	AF19	AF19	AM22
B8	VREF3B8	MSEL0		MSEL0	AC16	AF18	AG18	AP21
B8	VREF3B8	MSEL1		MSEL1	W17	AG18	AE18	AG21
B8	VREF3B8	MSEL2		MSEL2	AB15	AG17	AE19	AM21
B12	VREF3B8	IO	PLL6_OUT3n		Y16	AL17	AM18	AV20
B12	VREF3B8	IO	PLL6_OUT3p		W16	AK17	AL18	AW20
B12	VREF3B8	IO	PLL6_OUT2n		AG15	AJ17	AK17	AW21
B12	VREF3B8	IO	PLL6_OUT2p		AF15	AH17	AJ17	AV21
B11	VREF3B8	IO	PLL6_FBn		AA15	AJ15	AM17	AU20
B11	VREF3B8	IO	PLL6_FBp		AA14	AH15	AL17	AT20
B11	VREF3B8	IO	PLL6_OUT1n		W15	AL15	AK16	AU21
B11	VREF3B8	IO	PLL6_OUT1p		W14	AK15	AJ16	AT21
B11	VREF3B8	IO	PLL6_OUT0n		AE15	AL16	AM16	AU19
B11	VREF3B8	IO	PLL6_OUT0p		AD15	AK16	AL16	AT19
B12		VCC_PLL6_OUTB			AB16	AC18	AB17	AH21
B11		VCC_PLL6_OUTA			AC14	AD17	AE17	AJ21
		VCCA_PLL6			AG14	AB17	AG17	AK21
		GND						
		GNDA_PLL6			AF14	AC17	AH17	AL20
		VCCG_PLL6			AA13	AD15	AD16	AJ20
		GNDG_PLL6			AB14	AD16	AB16	AH20
		VCCA_PLL12				AC14	AG16	AK19
		GND						
		GNDA_PLL12				AD14	AH16	AL19
		VCCG_PLL12				AC15	AF16	AJ19
		GNDG_PLL12				AB15	AE16	AH19
B7	VREF0B7	CLK7p			W13	AJ14	AM15	AW18
B7	VREF0B7	IO	CLK7n		Y13	AH14	AL15	AV18
B7	VREF0B7	CLK6p			AD14	AL14	AK15	AW19
B7	VREF0B7	IO	CLK6n/PLL12_OUT		AE14	AK14	AJ15	AV19
B7	VREF0B7	nCE		nCE	AB13	AF17	AF18	AN20
B7	VREF0B7	nCEO		nCEO	AC13	AF16	AH15	AP20
B7	VREF0B7	IO						AP19
B7	VREF0B7	IO						AR19
B7	VREF0B7	IO		PGM0	W12	AE17	AD18	AG20
B7	VREF0B7	nIO_PULLUP		nIO_PULLUP	Y12	AE16	AF15	AR20
