*******************************************************************								
* PT-EP1S30-3.6.txt
* PIN-OUT INFORMATION FOR EP1S30               								
* Ver. 3.6                                            								
*******************************************************************											
										
										
Bank Number	VREF Bank	Pin Name/Function	Optional Function(s)	Configuration Function	F780	B956	F1020	DQS for x16	DQS for x32	DIFFIO Speed (1)
B1	VREF1B1	IO	DIFFIO_TX8p		W21	AE27	AB27			HIGH
B1	VREF1B1	IO	DIFFIO_TX8n		W22	AD27	AB26			HIGH
B1	VREF1B1	IO	DIFFIO_RX7p		AC28	AC30	AC29			HIGH
B1	VREF1B1	IO	DIFFIO_RX7n		AC27	AD30	AC30			HIGH
B1	VREF1B1	IO	DIFFIO_TX7p		Y21	AG27	AC25			HIGH
B1	VREF1B1	IO	DIFFIO_TX7n		Y22	AF27	AC26			HIGH
B1	VREF1B1	IO	DIFFIO_RX6p		AD28	AF30	AD30			HIGH
B1	VREF1B1	IO	DIFFIO_RX6n		AD27	AE30	AD29			HIGH
B1	VREF1B1	IO	DIFFIO_TX6p		Y24	AB26	AC27			HIGH
B1	VREF1B1	IO	DIFFIO_TX6n		Y23	AC26	AC28			HIGH
B1	VREF2B1	IO	DIFFIO_RX5p		AE28	AG30	AE32			HIGH
B1	VREF2B1	IO	DIFFIO_RX5n		AE27	AH30	AE31			HIGH
B1	VREF2B1	IO	DIFFIO_TX5p		AA23	AD26	AD28			HIGH
B1	VREF2B1	IO	DIFFIO_TX5n		AA24	AE26	AD27			HIGH
B1	VREF2B1	IO	DIFFIO_RX4p		AF28	AC29	AE30			HIGH
B1	VREF2B1	IO	DIFFIO_RX4n		AF27	AD29	AE29			HIGH
B1	VREF2B1	IO	DIFFIO_TX4p		AA21	AA25	AD26			HIGH
B1	VREF2B1	IO	DIFFIO_TX4n		AA22	AB25	AD25			HIGH
B1	VREF2B1	IO	DIFFIO_RX3p			AE29	AF32			HIGH
B1	VREF2B1	IO	DIFFIO_RX3n			AF29	AF31			HIGH
B1	VREF2B1	IO	DIFFIO_TX3p		AB23	AD25	AE28			HIGH
B1	VREF2B1	IO	DIFFIO_TX3n		AB24	AC25	AE27			HIGH
B1	VREF2B1	IO	DIFFIO_RX2p			AH29	AF30			HIGH
B1	VREF2B1	IO	DIFFIO_RX2n			AG29	AF29			HIGH
B1	VREF2B1	IO	DIFFIO_TX2p			AA24	AE25			HIGH
B1	VREF2B1	IO	DIFFIO_TX2n			AB24	AE26			HIGH
B1	VREF2B1	VREF2B1			AE26	Y22	AB25			
B1	VREF2B1	IO	DIFFIO_RX1p			AC28	AG31			HIGH
B1	VREF2B1	IO	DIFFIO_RX1n			AD28	AG32			HIGH
B1	VREF2B1	IO	DIFFIO_TX1p			AD24	AF27			HIGH
B1	VREF2B1	IO	DIFFIO_TX1n			AC24	AF28			HIGH
B1	VREF2B1	IO	DIFFIO_RX0p			AE28	AG30			HIGH
B1	VREF2B1	IO	DIFFIO_RX0n			AF28	AG29			HIGH
B1	VREF2B1	IO	DIFFIO_TX0p			AE25	AF26			HIGH
B1	VREF2B1	IO	DIFFIO_TX0n			AF25	AF25			HIGH
B1	VREF2B1	FPLL8CLKn				AG31	AB29			
B1	VREF2B1	FPLL8CLKp				AH31	AB28			
B1	VREF2B1	IO					AA22			
B1	VREF2B1	IO					AB23			
		VCCA_PLL8				AB23	AJ31			
		GND								
		GNDA_PLL8				AA23	AJ32			
		VCCG_PLL8				AD23	AJ30			
		GNDG_PLL8				AC23	AH30			
B8	VREF0B8	IO			AC24	AG28	AC24		
B8	VREF0B8	IO	DQ9B7		AG26	AK29	AH28	DQ3B15	DQ1B31
B8	VREF0B8	IO			AC23	AJ30	AD24		
B8	VREF0B8	IO	DQ9B6		AH26	AJ29	AK30	DQ3B14	DQ1B30
B8	VREF0B8	IO	DQ9B5		AG25	AJ28	AJ28	DQ3B13	DQ1B29
B8	VREF0B8	IO	DQ9B4		AH25	AL28	AJ29	DQ3B12	DQ1B28
B8	VREF0B8	IO			AB22	AA21	AB24		
B8	VREF0B8	IO	DQ9B3		AF25	AH27	AK29	DQ3B11	DQ1B27
B8	VREF0B8	IO				AF26	AE24		
B8	VREF0B8	IO	DQS9B		AF24	AK28	AK28		
B8	VREF0B8	IO	DQ9B2		AG24	AL27	AL30	DQ3B10	DQ1B26
B8	VREF0B8	IO			AE25	AE24	AF24		
B8	VREF0B8	IO	DQ9B1		AE24	AJ27	AL29	DQ3B9	DQ1B25
B8	VREF0B8	IO					AC23		
B8	VREF0B8	IO	DQ9B0		AH24	AK27	AM29	DQ3B8	DQ1B24
B8	VREF0B8	IO			AD24	AC22	AE23		
B8	VREF0B8	IO				AD22	AG24		
B8	VREF0B8	IO	DQ8B7		AG23	AH26	AH26	DQ3B7	DQ1B23
B8	VREF0B8	VREF0B8			AD22	AB22	AH27		
B8	VREF0B8	IO	DQ8B6		AD23	AG26	AJ27	DQ3B6	DQ1B22
B8	VREF0B8	IO	DQ8B5		AF23	AK26	AL28	DQ3B5	DQ1B21
B8	VREF0B8	IO			AB21	AH28	AD23		
B8	VREF0B8	IO	DQ8B4		AH23	AL26	AK27	DQ3B4	DQ1B20
B8	VREF0B8	IO	DQ8B3		AE22	AH25	AJ26	DQ3B3	DQ1B19
B8	VREF0B8	IO				AE22	AF23		
B8	VREF0B8	IO	DQS8B		AE23	AJ26	AL27	DQS3B	
B8	VREF0B8	IO	DQ8B2		AF22	AK25	AM27	DQ3B2	DQ1B18
B8	VREF0B8	IO			AB20	AC21	AC22		
B8	VREF0B8	IO	DQ8B1		AH22	AJ25	AM28	DQ3B1	DQ1B17
B8	VREF0B8	IO	DQ8B0		AG22	AL25	AK26	DQ3B0	DQ1B16
B8	VREF0B8	IO					AG23		
B8	VREF1B8	IO			Y20	AD21	AB22		
B8	VREF1B8	IO	DQ7B7		AD21	AG24	AH24	DQ2B15	DQ1B15
B8	VREF1B8	IO				AC20	AD22		
B8	VREF1B8	IO	DQ7B6		AE21	AH23	AJ24	DQ2B14	DQ1B14
B8	VREF1B8	IO	DQ7B5		AG21	AK24	AJ25	DQ2B13	DQ1B13
B8	VREF1B8	IO			AC22	AD20	AF22		
B8	VREF1B8	IO	DQ7B4		AF21	AH24	AK25	DQ2B12	DQ1B12
B8	VREF1B8	IO	DQ7B3		AE20	AJ23	AL25	DQ2B11	DQ1B11
B8	VREF1B8	IO					AC21		
B8	VREF1B8	IO	DQS7B		AG20	AJ24	AL26		DQS1B
B8	VREF1B8	IO	DQ7B2		AF20	AL24	AK24	DQ2B10	DQ1B10
B8	VREF1B8	IO			AC20	AE20	AG22		
B8	VREF1B8	IO	DQ7B1		AH21	AK23	AM25	DQ2B9	DQ1B9
B8	VREF1B8	IO					AB21		
B8	VREF1B8	IO	DQ7B0		AH20	AL23	AM26	DQ2B8	DQ1B8
B8	VREF1B8	IO	DQ6B7		AE19	AG22	AJ23	DQ2B7	DQ1B7
B8	VREF1B8	IO	FCLK3		AC21	AF23	AE21		
B8	VREF1B8	IO	FCLK2		AC19	AF22	AF21		
B8	VREF1B8	VREF1B8			AD20	AB21	AH25		
B8	VREF1B8	IO	DQ6B6		AD19	AH22	AL24	DQ2B6	DQ1B6
B8	VREF1B8	IO	DQ6B5		AF19	AK22	AH22	DQ2B5	DQ1B5
B8	VREF1B8	IO				AC19	AD21		
B8	VREF1B8	IO	DQ6B4		AG19	AG21	AM24	DQ2B4	DQ1B4
B8	VREF1B8	IO		PGM2	AB19	AF24	AA20		
B8	VREF1B8	IO	DQ6B3		AH19	AH21	AK23	DQ2B3	DQ1B3
B8	VREF1B8	IO				AA19	AA21		
B8	VREF1B8	IO	DQS6B		AF18	AJ22	AJ22	DQS2B	
B8	VREF1B8	IO	DQ6B2		AD18	AL22	AL23	DQ2B2	DQ1B2
B8	VREF1B8	IO		CRC_ERROR	AA20	AE21	AF20		
B8	VREF1B8	IO	DQ6B1		AE18	AJ21	AK22	DQ2B1	DQ1B1
B8	VREF1B8	IO	DQ6B0		AG18	AK21	AL22	DQ2B0	DQ1B0
B8	VREF1B8	IO	RDN8		Y19	AE23	AC20		
B8	VREF1B8	IO	RUP8		W19	AG25	AH19		
B8	VREF1B8	IO	DQ5B7		AF17	AG20	AM22		
B8	VREF1B8	IO				AE19	AD20		
B8	VREF1B8	IO	DQ5B6		AG17	AH20	AJ21		
B8	VREF1B8	IO	DQ5B5		AE17	AK20	AK21		
B8	VREF2B8	IO				AD19	AB20		
B8	VREF2B8	IO	DQ5B4		AD17	AL20	AL21		
B8	VREF2B8	IO		RDYnBSY	AA19	AG23	AA19		
B8	VREF2B8	IO	DQ5B3		AG16	AG19	AH20		
B8	VREF2B8	IO			AB18	AE18	AE20		
B8	VREF2B8	IO	DQS5B		AH16	AJ20	AJ20		
B8	VREF2B8	IO	DQ5B2		AD16	AH19	AK20		
B8	VREF2B8	IO		nCS	Y18	AF20	AC19		
B8	VREF2B8	IO	DQ5B1		AF16	AJ19	AL20		
B8	VREF2B8	IO	DQ5B0		AE16	AK19	AM20		
B8	VREF2B8	IO					AG21		
B8	VREF2B8	IO					AG20		
B8	VREF2B8	IO			V18		AB19
B8	VREF2B8	IO			W18		AD19
B8	VREF2B8	IO		CS	AA18	AF21	AG19
B8	VREF2B8	IO					AJ18
B8	VREF2B8	IO					AH18
B8	VREF2B8	IO					AK18
B8	VREF2B8	VREF2B8			AH18	AB20	AH23
B8	VREF2B8	IO	CLK5n		Y17	AH18	AJ19
B8	VREF2B8	CLK5p			AA17	AJ18	AK19
B8	VREF2B8	IO	CLK4n		AB17	AK18	AL19
B8	VREF2B8	CLK4p			AC17	AL18	AM19
B8	VREF2B8	PLL_ENA		PLL_ENA	AC18	AF19	AF19
B8	VREF2B8	MSEL0		MSEL0	AC16	AF18	AG18
B8	VREF2B8	MSEL1		MSEL1	W17	AG18	AE18
B8	VREF2B8	MSEL2		MSEL2	AB15	AG17	AE19
B12	VREF2B8	IO	PLL6_OUT3n		Y16	AL17	AM18
B12	VREF2B8	IO	PLL6_OUT3p		W16	AK17	AL18
B12	VREF2B8	IO	PLL6_OUT2n		AG15	AJ17	AK17
B12	VREF2B8	IO	PLL6_OUT2p		AF15	AH17	AJ17
B11	VREF2B8	IO	PLL6_FBn		AA15	AJ15	AM17
B11	VREF2B8	IO	PLL6_FBp		AA14	AH15	AL17
B11	VREF2B8	IO	PLL6_OUT1n		W15	AL15	AK16
B11	VREF2B8	IO	PLL6_OUT1p		W14	AK15	AJ16
B11	VREF2B8	IO	PLL6_OUT0n		AE15	AL16	AM16
B11	VREF2B8	IO	PLL6_OUT0p		AD15	AK16	AL16
B12		VCC_PLL6_OUTB			AB16	AC18	AB17
B11		VCC_PLL6_OUTA			AC14	AD17	AE17
		VCCA_PLL6			AG14	AB17	AG17
		GND					
		GNDA_PLL6			AF14	AC17	AH17
		VCCG_PLL6			AA13	AD15	AD16
		GNDG_PLL6			AB14	AD16	AB16
B7	VREF0B7	CLK7p			W13	AJ14	AM15
B7	VREF0B7	IO	CLK7n		Y13	AH14	AL15
B7	VREF0B7	CLK6p			AD14	AL14	AK15
B7	VREF0B7	IO	CLK6n		AE14	AK14	AJ15
B7	VREF0B7	nCE		nCE	AB13	AF17	AF18
B7	VREF0B7	nCEO		nCEO	AC13	AF16	AH15
B7	VREF0B7	IO				AA16	AA18
B7	VREF0B7	IO				AA15	AC18
B7	VREF0B7	IO		PGM0	W12	AE17	AD18
B7	VREF0B7	nIO_PULLUP		nIO_PULLUP	Y12	AE16	AF15
B7	VREF0B7	VCCSEL		VCCSEL	AA12	AE15	AJ14
B7	VREF0B7	PORSEL		PORSEL	AC12	AG16	AG15
B7	VREF0B7	IO				AH16	AC15
B7	VREF0B7	IO					AB15
B7	VREF0B7	IO					AD15
B7	VREF0B7	IO					AE14
B7	VREF0B7	IO					AL14
B7	VREF0B7	IO				AE13	AK14
B7	VREF0B7	VREF0B7			AD11	AB14	AH12
B7	VREF0B7	IO		INIT_DONE	W11	AF15	AE15
B7	VREF0B7	IO			V11	AC13	AA15
B7	VREF0B7	IO	DQ4B7		AD13	AK13	AL13
B7	VREF0B7	IO	DQ4B6		AE13	AG13	AM13
B7	VREF0B7	IO		nRS	AC11	AE14	AB18
B7	VREF0B7	IO	DQ4B5		AF13	AH13	AH13
B7	VREF0B7	IO			Y11	AE12	AB14
B7	VREF0B7	IO	DQ4B4		AD12	AJ13	AJ13
B7	VREF0B7	IO	DQ4B3		AG13	AK12	AK13
B7	VREF0B7	IO		RUnLU	W10	AJ16	AF14
B7	VREF0B7	IO	DQS4B		AH13	AJ12	AJ12
B7	VREF0B7	IO			AB12	AD13	AD14
B7	VREF1B7	IO	DQ4B2		AE12	AL12	AK12
B7	VREF1B7	IO	DQ4B1		AF12	AG12	AL12		
B7	VREF1B7	IO		PGM1	AA11	AG15	AG14		
B7	VREF1B7	IO	DQ4B0		AG12	AH12	AM11		
B7	VREF1B7	IO	RDN7		AC10	AG14	AC14		
B7	VREF1B7	IO	RUP7		AB11	AF13	AF13		
B7	VREF1B7	IO	DQ3B7		AG11	AL10	AL10	DQ1B15	DQ0B31
B7	VREF1B7	IO				AE11	AA14		
B7	VREF1B7	IO	DQ3B6		AH11	AJ11	AK11	DQ1B14	DQ0B30
B7	VREF1B7	IO	DQ3B5		AE11	AK11	AL11	DQ1B13	DQ0B29
B7	VREF1B7	IO	DEV_CLRn		AC9	AF14	AH14		
B7	VREF1B7	IO	DQ3B4		AF11	AG11	AK10	DQ1B12	DQ0B28
B7	VREF1B7	IO	DQ3B3		AE10	AH11	AM9	DQ1B11	DQ0B27
B7	VREF1B7	IO				AD11	AB13		
B7	VREF1B7	IO	DQS3B		AG10	AJ10	AJ11	DQS1B	
B7	VREF1B7	IO			Y10	AD12	AD13		
B7	VREF1B7	IO	DQ3B2		AH10	AG10	AL9	DQ1B10	DQ0B26
B7	VREF1B7	IO	DQ3B1		AF10	AH10	AJ10	DQ1B9	DQ0B25
B7	VREF1B7	VREF1B7			AD9	AB13	AH10		
B7	VREF1B7	IO	DQ3B0		AD10	AK10	AH11	DQ1B8	DQ0B24
B7	VREF1B7	IO				AA13	AC13		
B7	VREF1B7	IO			AA10	AF10	AG13		
B7	VREF1B7	IO	DQ2B7		AG9	AL8	AL8	DQ1B7	DQ0B23
B7	VREF1B7	IO	FCLK5		AC8	AF12	AM14		
B7	VREF1B7	IO	FCLK4		AB10	AF11	AF12		
B7	VREF1B7	IO	DQ2B6		AF9	AK9	AJ9	DQ1B6	DQ0B22
B7	VREF1B7	IO	DQ2B5		AE9	AL9	AK9	DQ1B5	DQ0B21
B7	VREF1B7	IO			AB9	AC12	AE13		
B7	VREF1B7	IO	DQ2B4		AH8	AH8	AM8	DQ1B4	DQ0B20
B7	VREF1B7	IO	DQ2B3		AH9	AK8	AH9	DQ1B3	DQ0B19
B7	VREF1B7	IO				AG9	AG12		
B7	VREF2B7	IO	DQS2B		AE8	AJ8	AK8		DQS0B
B7	VREF2B7	IO	DQ2B2		AD8	AG8	AM7	DQ1B2	DQ0B18
B7	VREF2B7	IO			AA9	AC11	AD12		
B7	VREF2B7	IO	DQ2B1		AF8	AH9	AJ8	DQ1B1	DQ0B17
B7	VREF2B7	IO	DQ2B0		AG8	AJ9	AL7	DQ1B0	DQ0B16
B7	VREF2B7	IO				AE10	AE12		
B7	VREF2B7	IO			AB8	AE9	AC12		
B7	VREF2B7	IO	DQ1B7		AF6	AK7	AL6	DQ0B15	DQ0B15
B7	VREF2B7	IO	DQ1B6		AG7	AL7	AM6	DQ0B14	DQ0B14
B7	VREF2B7	IO			AC7	AD10	AG11		
B7	VREF2B7	IO	DQ1B5		AH7	AH6	AJ7	DQ0B13	DQ0B13
B7	VREF2B7	IO	DQ1B4		AF7	AK6	AM5	DQ0B12	DQ0B12
B7	VREF2B7	IO				AC10	AA12		
B7	VREF2B7	IO	DQ1B3		AD6	AL6	AK7	DQ0B11	DQ0B11
B7	VREF2B7	IO	DQS1B		AE7	AJ6	AH7	DQS0B	
B7	VREF2B7	IO			AD5	AG7	AE11		
