*******************************************************************								
* PT-EP1S10-3.7.txt
* PIN-OUT INFORMATION FOR EP1S10               								
* Ver. 3.7                                            								
*******************************************************************											
										
										
Bank Number	VREF Bank	Pin Name/Function	Optional Function(s)	Configuration Function	F484	B672	F672	F780	DQS for x32	DIFFIO Speed (1)
B2	VREF1B2	IO	DIFFIO_TX14p					N26		HIGH
B2	VREF1B2	IO	DIFFIO_TX14n		K17			N25		HIGH
B2	VREF1B2	IO	DIFFIO_RX13p		G22	M4	M4	L27		HIGH
B2	VREF1B2	IO	DIFFIO_RX13n		G21	M5	M5	L28		HIGH
B2	VREF1B2	IO	DIFFIO_TX13p		L17			N24		HIGH
B2	VREF1B2	IO	DIFFIO_TX13n					N23		HIGH
B2	VREF1B2	VREF1B2			J18	L8	L8	K20		
B2	VREF1B2	IO	DIFFIO_RX12p		H21	N6	N6	M25		HIGH
B2	VREF1B2	IO	DIFFIO_RX12n		H22	N7	N7	M26		HIGH
B2	VREF1B2	IO	DIFFIO_TX12p		J20	M8	M8	N22		HIGH
B2	VREF1B2	IO	DIFFIO_TX12n		J21	M9	M9	N21		HIGH
B2	VREF1B2	IO	DIFFIO_RX11p					M27		HIGH
B2	VREF1B2	IO	DIFFIO_RX11n					N28		HIGH
B2	VREF1B2	IO	DIFFIO_TX11p		K20	P8	P8	N20		HIGH
B2	VREF1B2	IO	DIFFIO_TX11n		K21	N8	N8	N19		HIGH
B2	VREF1B2	CLK0n			L22	N2	N2	N27		
B2	VREF1B2	CLK0p			L21	N3	N3	P27		
B2	VREF1B2	IO	CLK1n					P26		
B2	VREF1B2	CLK1p			L20	M1	M1	P25		
		VCCA_PLL1			K19	M3	M3	P23		
		GND								
		GNDA_PLL1			L19	N5	N5	P24		
		VCCG_PLL1			K18	M2	M2	P21		
		GNDG_PLL1			L18	N4	N4	P22		
		VCCA_PLL2			M18	P5	P5	R23		
		GND								
		GNDA_PLL2			M19	P3	P3	R24		
		VCCG_PLL2			N18	P4	P4	R21		
		GNDG_PLL2			N19	P2	P2	R22		
B1	VREF0B1	CLK2p			M21	R1	R1	R27		
B1	VREF0B1	CLK2n			M22	R2	R2	T27		
B1	VREF0B1	CLK3p			M20	R3	R3	R25		
B1	VREF0B1	IO	CLK3n					R26		
B1	VREF0B1	IO	DIFFIO_RX10p					T28		HIGH
B1	VREF0B1	IO	DIFFIO_RX10n					U27		HIGH
B1	VREF0B1	IO	DIFFIO_TX10p		N21	P6	P6	T21		HIGH
B1	VREF0B1	IO	DIFFIO_TX10n		N20	P7	P7	T22		HIGH
B1	VREF0B1	IO	DIFFIO_RX9p		R22	R6	R6	U26		HIGH
B1	VREF0B1	IO	DIFFIO_RX9n		R21	R7	R7	U25		HIGH
B1	VREF0B1	IO	DIFFIO_TX9p		P21	R8	R8	T19		HIGH
B1	VREF0B1	IO	DIFFIO_TX9n		P20	R9	R9	T20		HIGH
B1	VREF0B1	VREF0B1			P18	T8	T8	R19		
B1	VREF0B1	IO	DIFFIO_RX8p		T22	R4	R4	V27		HIGH
B1	VREF0B1	IO	DIFFIO_RX8n		T21	R5	R5	V28		HIGH
B1	VREF0B1	IO	DIFFIO_TX8p					T23		HIGH
B1	VREF0B1	IO	DIFFIO_TX8n		M17			T24		HIGH
B1	VREF0B1	IO	DIFFIO_RX7p		U21	T3	T3	V26		HIGH
B1	VREF0B1	IO	DIFFIO_RX7n		U22	T2	T2	V25		HIGH
B1	VREF0B1	IO	DIFFIO_TX7p					T26		HIGH
B1	VREF0B1	IO	DIFFIO_TX7n		N17			T25		HIGH
B1	VREF0B1	IO	DIFFIO_RX6p					W28		HIGH
B1	VREF0B1	IO	DIFFIO_RX6n					W27		HIGH
B1	VREF0B1	IO	DIFFIO_TX6p		R20	T7	T7	U19		HIGH
B1	VREF0B1	IO	DIFFIO_TX6n		R19	T6	T6	U20		HIGH
B1	VREF1B1	IO	DIFFIO_RX5p		V22	T5	T5	W26		HIGH
B1	VREF1B1	IO	DIFFIO_RX5n		V21	T4	T4	W25		HIGH
B1	VREF1B1	IO	DIFFIO_TX5p		T20	U6	U6	U24		HIGH
B1	VREF1B1	IO	DIFFIO_TX5n		T19	U5	U5	U23		HIGH
B1	VREF1B1	IO	DIFFIO_RX4p			U2	U2	Y28		HIGH
B1	VREF1B1	IO	DIFFIO_RX4n			U1	U1	Y27		HIGH
B1	VREF1B1	IO	DIFFIO_TX4p			Y6	Y6	U21		HIGH
B1	VREF1B1	IO	DIFFIO_TX4n		P17	Y5	Y5	U22		HIGH
B1	VREF1B1	IO	DIFFIO_RX3p			Y2	Y2	Y26		HIGH
B1	VREF1B1	IO	DIFFIO_RX3n			Y1	Y1	Y25		HIGH
B1	VREF1B1	IO	DIFFIO_TX3p			AA6	AA6	V19		HIGH
B1	VREF1B1	IO	DIFFIO_TX3n		P19	AA5	AA5	V20		HIGH
B1	VREF1B1	VREF1B1			R17	V7	V7	W20		
B1	VREF1B1	IO	DIFFIO_RX2p			AA2	AA2	AA28		HIGH
B1	VREF1B1	IO	DIFFIO_RX2n			AA1	AA1	AA27		HIGH
B1	VREF1B1	IO	DIFFIO_TX2p			AA4	AA4	V24		HIGH
B1	VREF1B1	IO	DIFFIO_TX2n		U18	AA3	AA3	V23		HIGH
B1	VREF1B1	IO	DIFFIO_RX1p/RUP1		W21	V6	V6	AA25		HIGH
B1	VREF1B1	IO	DIFFIO_RX1n/RDN1		W22	V5	V5	AA26		HIGH
B1	VREF1B1	IO	DIFFIO_TX1p			AB4	AB4	V22		HIGH
B1	VREF1B1	IO	DIFFIO_TX1n		T18	AB3	AB3	V21		HIGH
B1	VREF1B1	IO	DIFFIO_RX0p			AC2	AC2	AB28		HIGH
B1	VREF1B1	IO	DIFFIO_RX0n			AD1	AD1	AB27		HIGH
B1	VREF1B1	IO	DIFFIO_TX0p		U20	AC4	AC4	W23		HIGH
B1	VREF1B1	IO	DIFFIO_TX0n		U19	AC3	AC3	W24		HIGH
B8	VREF0B8	IO	DQ9B7		W20	AD5	AD5	AG26	DQ1B31	
B8	VREF0B8	IO	DQ9B6		W19	AD2	AD2	AH26	DQ1B30	
B8	VREF0B8	IO	DQ9B5		AA21	AE2	AE2	AG25	DQ1B29	
B8	VREF0B8	IO	DQ9B4		AA20	AD3	AD3	AH25	DQ1B28	
B8	VREF0B8	IO	DQ9B3		Y21	AE4	AE4	AF25	DQ1B27	
B8	VREF0B8	IO	DQS9B		Y20	AD4	AD4	AF24		
B8	VREF0B8	IO	DQ9B2		Y19	AE3	AE3	AG24	DQ1B26	
B8	VREF0B8	IO	DQ8B7		W18	AC7	AC7	AG23	DQ1B23	
B8	VREF0B8	IO	DQ9B1		AA19	AB5	AB5	AE24	DQ1B25	
B8	VREF0B8	IO	DQ8B6		AA18	AD6	AD6	AD23	DQ1B22	
B8	VREF0B8	IO	DQ9B0		AB19	AF3	AF3	AH24	DQ1B24	
B8	VREF0B8	IO	DQ8B5		AA17	AE7	AE7	AF23	DQ1B21	
B8	VREF0B8	VREF0B8			R18	AE5	AE5	AD22		
B8	VREF0B8	IO	DQ8B4		AB18	AB7	AB7	AH23	DQ1B20	
B8	VREF0B8	IO	DQ8B3		V18	AD7	AD7	AE22	DQ1B19	
B8	VREF0B8	IO	DQS8B		Y18	AE6	AE6	AE23		
B8	VREF0B8	IO	DQ8B2		W17	AA7	AA7	AF22	DQ1B18	
B8	VREF0B8	IO	DQ8B1		Y17	AF7	AF7	AH22	DQ1B17	
B8	VREF0B8	IO	DQ8B0		AB17	AF6	AF6	AG22	DQ1B16	
B8	VREF0B8	IO	DQ7B2		T16			AF20	DQ1B10	
B8	VREF0B8	IO	DQ7B7		U17			AD21	DQ1B15	
B8	VREF0B8	IO	DQ7B6		U16			AE21	DQ1B14	
B8	VREF0B8	IO	DQ7B5		V17			AG21	DQ1B13	
B8	VREF0B8	IO	DQ7B4		V16			AF21	DQ1B12	
B8	VREF0B8	IO	DQ7B3		Y16	AF8	AF8	AE20	DQ1B11	
B8	VREF0B8	IO	DQS7B		AA16			AG20	DQS1B	
B8	VREF0B8	IO			N16	Y8	Y8	AB18		
B8	VREF0B8	IO	DQ7B1		W16	W9	W9	AH21	DQ1B9	
B8	VREF0B8	IO			N13	AA8	AA8	V18		
B8	VREF0B8	IO	DQ7B0		AB16			AH20	DQ1B8	
B8	VREF0B8	IO	DQ6B7		Y15	AC9	AC9	AE19	DQ1B7	
B8	VREF1B8	IO	DQ6B6		AA15	AF9	AF9	AD19	DQ1B6	
B8	VREF1B8	IO	DQ6B5		AB15	AD10	AD10	AF19	DQ1B5	
B8	VREF1B8	IO	DQ6B4		V15	AE10	AE10	AG19	DQ1B4	
B8	VREF1B8	IO		PGM2	R15	AA9	AA9	AB19		
B8	VREF1B8	IO	FCLK3		P16	AD9	AD9	AC21		
B8	VREF1B8	IO	FCLK2		T15	AB9	AB9	AC19		
B8	VREF1B8	IO	DQ6B3		U15	AC10	AC10	AH19	DQ1B3	
B8	VREF1B8	IO	DQS6B		W15	Y10	Y10	AF18		
B8	VREF1B8	IO	DQ6B2		U14	AA10	AA10	AD18	DQ1B2	
B8	VREF1B8	IO		CRC_ERROR	N14	W10	W10	AA20		
B8	VREF1B8	IO	DQ6B1		W14	AB10	AB10	AE18	DQ1B1	
B8	VREF1B8	IO	DQ6B0		V14	AF10	AF10	AG18	DQ1B0	
B8	VREF1B8	IO	RDN8		P15	AB11	AB11	Y19		
B8	VREF1B8	IO	RUP8		N15	AE11	AE11	W19		
B8	VREF1B8	IO						W18		
B8	VREF1B8	IO		RDYnBSY	P14	AC11	AC11	AA19		
B8	VREF1B8	IO		nCS	T14	Y11	Y11	Y18		
B8	VREF1B8	IO		CS	P13	AA11	AA11	AA18		
B8	VREF1B8	VREF1B8			R16	AE9	AE9	AD20		
B8	VREF1B8	IO	CLK5n		W13	AD12	AD12	Y17		
B8	VREF1B8	CLK5p			V13	AC12	AC12	AA17		
B8	VREF1B8	IO	CLK4n		Y14	AF12	AF12	AB17		
B8	VREF1B8	CLK4p			AA14	AE12	AE12	AC17		
B8	VREF1B8	PLL_ENA		PLL_ENA	R13	W12	W12	AC18		
B8	VREF1B8	MSEL0		MSEL0	T13	Y12	Y12	AC16		
B8	VREF1B8	MSEL1		MSEL1	P12	Y13	Y13	W17		
B8	VREF1B8	MSEL2		MSEL2	R12	W13	W13	AB15		
B12	VREF1B8	IO	PLL6_OUT3n					Y16		
B12	VREF1B8	IO	PLL6_OUT3p					W16		
B12	VREF1B8	IO	PLL6_OUT2n					AG15		
B12	VREF1B8	IO	PLL6_OUT2p					AF15		
B11	VREF1B8	IO	PLL6_FBn		Y12	AB12	AB12	AA15		
B11	VREF1B8	IO	PLL6_FBp		W12	AA12	AA12	AA14		
B11	VREF1B8	IO	PLL6_OUT1n		AB12	AB14	AB14	W15		
B11	VREF1B8	IO	PLL6_OUT1p		AA12	AA14	AA14	W14		
B11	VREF1B8	IO	PLL6_OUT0n		Y13	AB13	AB13	AE15		
B11	VREF1B8	IO	PLL6_OUT0p		AA13	AA13	AA13	AD15		
B12		VCC_PLL6_OUTB						AB16		
B11		VCC_PLL6_OUTA						AC14		
B11		VCC_PLL6_OUTA			U13	AE13	AE13			
		VCCA_PLL6			T12	AD14	AD14	AG14		
		GND								
		GNDA_PLL6			U12	AC14	AC14	AF14		
		VCCG_PLL6			U11	AD13	AD13	AA13		
		GNDG_PLL6			T11	AE14	AE14	AB14		
B7	VREF0B7	CLK7p			AA11	AE15	AE15	W13		
B7	VREF0B7	IO	CLK7n					Y13		
B7	VREF0B7	CLK6p			AB11	AF15	AF15	AD14		
B7	VREF0B7	IO	CLK6n					AE14		
B7	VREF0B7	nCE		nCE	R11	Y14	Y14	AB13		
B7	VREF0B7	nCEO		nCEO	P11	W14	W14	AC13		
B7	VREF0B7	IO						Y9		
B7	VREF0B7	IO			R8			AE4		
B7	VREF0B7	IO		PGM0	N10	W15	W15	W12		
B7	VREF0B7	nIO_PULLUP		nIO_PULLUP	N9	AA15	AA15	Y12		
B7	VREF0B7	VCCSEL		VCCSEL	R10	Y15	Y15	AA12		
B7	VREF0B7	PORSEL		PORSEL	U10	W16	W16	AC12		
B7	VREF0B7	IO		INIT_DONE	P10	AC15	AC15	W11		
B7	VREF0B7	IO		nRS	T10	Y16	Y16	AC11		
B7	VREF0B7	IO		RUnLU	P9	AD15	AD15	W10		
B7	VREF0B7	IO		PGM1	M8	AC16	AC16	AA11		
B7	VREF0B7	IO	RDN7		T9	AB16	AB16	AC10		
B7	VREF0B7	IO	RUP7		N8	AD16	AD16	AB11		
B7	VREF0B7	VREF0B7			R9	AB15	AB15	AD11		
B7	VREF0B7	IO	DQ3B7		AA8	W17	W17	AG11	DQ0B31	
B7	VREF0B7	IO	DQ3B6		Y9	AE16	AE16	AH11	DQ0B30	
B7	VREF0B7	IO	DQ3B5		Y8	Y17	Y17	AE11	DQ0B29	
B7	VREF0B7	IO	DEV_CLRn		P8	AF17	AF17	AC9		
B7	VREF0B7	IO	DQ3B4		U9	AA17	AA17	AF11	DQ0B28	
B7	VREF0B7	IO	DQ3B3		V9	Y18	Y18	AE10	DQ0B27	
B7	VREF0B7	IO	DQS3B		W8	AE17	AE17	AG10		
B7	VREF0B7	IO	DQ3B2		W9	W18	W18	AH10	DQ0B26	
B7	VREF0B7	IO	DQ3B1		V8	AB17	AB17	AF10	DQ0B25	
B7	VREF0B7	IO	DQ3B0		U8	AA18	AA18	AD10	DQ0B24	
B7	VREF0B7	IO	FCLK5		T8	AC17	AC17	AC8		
B7	VREF0B7	IO	FCLK4		M7	AD17	AD17	AB10		
B7	VREF1B7	IO	DQ2B7		W7	AF18	AF18	AG9	DQ0B23	
B7	VREF1B7	IO	DQ2B6		U6			AF9	DQ0B22	
B7	VREF1B7	IO	DQ2B5		AB8	AF19	AF19	AE9	DQ0B21	
B7	VREF1B7	IO	DQ2B4		V6	Y20	Y20	AH8	DQ0B20	
B7	VREF1B7	IO	DQ2B3		AB7	AA19	AA19	AH9	DQ0B19	
B7	VREF1B7	IO	DQS2B		AA7	AB19	AB19	AE8	DQS0B	
B7	VREF1B7	IO	DQ2B2		U7			AD8	DQ0B18	
B7	VREF1B7	IO	DQ1B7		Y6	AE20	AE20	AF6	DQ0B15	
B7	VREF1B7	IO	DQ2B1		V7			AF8	DQ0B17	
B7	VREF1B7	IO	DQ1B6		V5	AA20	AA20	AG7	DQ0B14	
B7	VREF1B7	IO	DQ2B0		Y7			AG8	DQ0B16	
B7	VREF1B7	IO	DQ1B5		AA6	AB20	AB20	AH7	DQ0B13	
B7	VREF1B7	IO	DQ1B4		W6	AF21	AF21	AF7	DQ0B12	
B7	VREF1B7	IO	DQ1B3		AB6	AC20	AC20	AD6	DQ0B11	
B7	VREF1B7	IO	DQS1B		AB5	AA21	AA21	AE7		
B7	VREF1B7	IO	DQ1B2		W5	AE21	AE21	AH6	DQ0B10	
B7	VREF1B7	IO	DQ1B1		Y5	AD20	AD20	AG6	DQ0B9	
B7	VREF1B7	IO	DQ1B0		AA5	AC21	AC21	AE6	DQ0B8	
B7	VREF1B7	VREF1B7			R7	AB18	AB18	AD9		
B7	VREF1B7	IO			N7			V11		
B7	VREF1B7	IO			P7			Y11		
B7	VREF1B7	IO	DQ0B7		AA4	AE25	AE25	AF5	DQ0B7	
B7	VREF1B7	IO	DQ0B6		AB4	AF22	AF22	AH5	DQ0B6	
B7	VREF1B7	IO	DQ0B5		Y2	AF24	AF24	AF4	DQ0B5	
B7	VREF1B7	IO	DQ0B4		Y4	AE22	AE22	AG4	DQ0B4	
B7	VREF1B7	IO	DQ0B3		AA3	AB22	AB22	AG5	DQ0B3	
B7	VREF1B7	IO	DQS0B		AA2	AE23	AE23	AH3		
B7	VREF1B7	IO	DQ0B2		W3	AC23	AC23	AG3	DQ0B2	
B7	VREF1B7	IO	DQ0B1		W4	AC22	AC22	AE5	DQ0B1	
B7	VREF1B7	IO	DQ0B0		Y3	AE24	AE24	AH4	DQ0B0	
B7	VREF1B7	IO			T7	AB21	AB21	AB7		
B6	VREF0B6	IO	DIFFIO_TX43n		V4	AD25	AD25	W5		HIGH
B6	VREF0B6	IO	DIFFIO_TX43p		V3	AC24	AC24	W6		HIGH
B6	VREF0B6	IO	DIFFIO_RX43n			AD26	AD26	AB2		HIGH
B6	VREF0B6	IO	DIFFIO_RX43p			AC25	AC25	AB1		HIGH
B6	VREF0B6	IO	DIFFIO_TX42n		T5	AB24	AB24	V8		HIGH
B6	VREF0B6	IO	DIFFIO_TX42p			AB23	AB23	V7		HIGH
B6	VREF0B6	IO	DIFFIO_RX42n/RDN6		W1	U24	U24	AA3		HIGH
B6	VREF0B6	IO	DIFFIO_RX42p/RUP6		W2	U23	U23	AA4		HIGH
B6	VREF0B6	IO	DIFFIO_TX41n		U5	AA24	AA24	V6		HIGH
B6	VREF0B6	IO	DIFFIO_TX41p			AA23	AA23	V5		HIGH
B6	VREF0B6	IO	DIFFIO_RX41n			AA26	AA26	AA2		HIGH
B6	VREF0B6	IO	DIFFIO_RX41p			AA25	AA25	AA1		HIGH
B6	VREF0B6	VREF0B6			R6	Y21	Y21	AE3		
B6	VREF0B6	IO	DIFFIO_TX40n		T4	AA22	AA22	V9		HIGH
B6	VREF0B6	IO	DIFFIO_TX40p		T3	Y22	Y22	V10		HIGH
B6	VREF0B6	IO	DIFFIO_RX40n			Y26	Y26	Y4		HIGH
B6	VREF0B6	IO	DIFFIO_RX40p			Y25	Y25	Y3		HIGH
B6	VREF0B6	IO	DIFFIO_TX39n		P6	Y24	Y24	U7		HIGH
B6	VREF0B6	IO	DIFFIO_TX39p			Y23	Y23	U8		HIGH
B6	VREF0B6	IO	DIFFIO_RX39n		V2	U22	U22	Y2		HIGH
B6	VREF0B6	IO	DIFFIO_RX39p		V1	U21	U21	Y1		HIGH
B6	VREF0B6	IO	DIFFIO_TX38n		P4	T21	T21	U6		HIGH
B6	VREF0B6	IO	DIFFIO_TX38p			T20	T20	U5		HIGH
B6	VREF0B6	IO	DIFFIO_RX38n			T25	T25	W4		HIGH
B6	VREF0B6	IO	DIFFIO_RX38p			T24	T24	W3		HIGH
B6	VREF1B6	IO	DIFFIO_TX37n		R3	T19	T19	U9		HIGH
B6	VREF1B6	IO	DIFFIO_TX37p		R4	R19	R19	U10		HIGH
B6	VREF1B6	IO	DIFFIO_RX37n					W2		HIGH
B6	VREF1B6	IO	DIFFIO_RX37p					W1		HIGH
B6	VREF1B6	IO	DIFFIO_TX36n		N6			T6		HIGH
B6	VREF1B6	IO	DIFFIO_TX36p					T5		HIGH
B6	VREF1B6	IO	DIFFIO_RX36n		U1	T23	T23	V4		HIGH
B6	VREF1B6	IO	DIFFIO_RX36p		U2	T22	T22	V3		HIGH
B6	VREF1B6	IO	DIFFIO_TX35n		M6			T10		HIGH
B6	VREF1B6	IO	DIFFIO_TX35p					T9		HIGH
B6	VREF1B6	IO	DIFFIO_RX35n		T2	R22	R22	V1		HIGH
B6	VREF1B6	IO	DIFFIO_RX35p		T1	R23	R23	V2		HIGH
B6	VREF1B6	VREF1B6			P5	V20	V20	W9		
B6	VREF1B6	IO	DIFFIO_TX34n		P3	P20	P20	T7		HIGH
B6	VREF1B6	IO	DIFFIO_TX34p		P2	P21	P21	T8		HIGH
B6	VREF1B6	IO	DIFFIO_RX34n		R2	R20	R20	U4		HIGH
B6	VREF1B6	IO	DIFFIO_RX34p		R1	R21	R21	U3		HIGH
B6	VREF1B6	IO	DIFFIO_TX33n		N3	P19	P19	T4		HIGH
B6	VREF1B6	IO	DIFFIO_TX33p		N2	N19	N19	T3		HIGH
B6	VREF1B6	IO	DIFFIO_RX33n					U2		HIGH
B6	VREF1B6	IO	DIFFIO_RX33p					T1		HIGH
B6	VREF1B6	IO	CLK8n					R3		
B6	VREF1B6	CLK8p			M3	P24	P24	R4		
B6	VREF1B6	CLK9n			M1	P25	P25	T2		
B6	VREF1B6	CLK9p			M2	R26	R26	R2		
		GNDG_PLL3			N4	R25	R25	R7		
		VCCG_PLL3			N5	P23	P23	R8		
		GNDA_PLL3			M4	R24	R24	R5		
		GND								
		VCCA_PLL3			M5	P22	P22	R6		
		GNDG_PLL4			L5	N22	N22	P7		
		VCCG_PLL4			K5	N24	N24	P8		
		GNDA_PLL4			L4	N23	N23	P5		
		GND								
		VCCA_PLL4			K4	N25	N25	P6		
B5	VREF0B5	CLK10p			L3	M26	M26	P4		
B5	VREF0B5	IO	CLK10n					P3		
B5	VREF0B5	CLK11p			L2	M24	M24	P2		
B5	VREF0B5	CLK11n			L1	M25	M25	N2		
B5	VREF0B5	IO	DIFFIO_TX32n		K2	N20	N20	N10		HIGH
B5	VREF0B5	IO	DIFFIO_TX32p		K3	N21	N21	N9		HIGH
B5	VREF0B5	IO	DIFFIO_RX32n					M2		HIGH
B5	VREF0B5	IO	DIFFIO_RX32p					N1		HIGH
B5	VREF0B5	IO	DIFFIO_TX31n		J2	M18	M18	N5		HIGH
B5	VREF0B5	IO	DIFFIO_TX31p		J3	M19	M19	N6		HIGH
B5	VREF0B5	IO	DIFFIO_RX31n		H1	M20	M20	M3		HIGH
B5	VREF0B5	IO	DIFFIO_RX31p		H2	M21	M21	M4		HIGH
B5	VREF0B5	VREF0B5			J5	L19	L19	P10		
B5	VREF0B5	IO	DIFFIO_TX30n		L6			N7		HIGH
B5	VREF0B5	IO	DIFFIO_TX30p					N8		HIGH
B5	VREF0B5	IO	DIFFIO_RX30n		G2	M22	M22	L1		HIGH
B5	VREF0B5	IO	DIFFIO_RX30p		G1	M23	M23	L2		HIGH
B5	VREF0B5	IO	DIFFIO_TX29n		K6			N4		HIGH
B5	VREF0B5	IO	DIFFIO_TX29p					N3		HIGH
B5	VREF0B5	IO	DIFFIO_RX29n		F1	L22	L22	L3		HIGH
B5	VREF0B5	IO	DIFFIO_RX29p		F2	L23	L23	L4		HIGH
B5	VREF0B5	IO	DIFFIO_TX28n		H3	L21	L21	M10		HIGH
B5	VREF0B5	IO	DIFFIO_TX28p		H4	L20	L20	M9		HIGH
B5	VREF0B5	IO	DIFFIO_RX28n					K1		HIGH
B5	VREF0B5	IO	DIFFIO_RX28p					K2		HIGH
B5	VREF1B5	IO	DIFFIO_TX27n		J4	K20	K20	M6		HIGH
B5	VREF1B5	IO	DIFFIO_TX27p			K19	K19	M5		HIGH
B5	VREF1B5	IO	DIFFIO_RX27n			L25	L25	K4		HIGH
B5	VREF1B5	IO	DIFFIO_RX27p			L24	L24	K3		HIGH
B5	VREF1B5	IO	DIFFIO_TX26n		J6	G21	G21	M8		HIGH
B5	VREF1B5	IO	DIFFIO_TX26p			G22	G22	M7		HIGH
B5	VREF1B5	IO	DIFFIO_RX26n			K24	K24	J1		HIGH
B5	VREF1B5	IO	DIFFIO_RX26p			K23	K23	J2		HIGH
B5	VREF1B5	IO	DIFFIO_TX25n		G3	G23	G23	L10		HIGH
B5	VREF1B5	IO	DIFFIO_TX25p		G4	G24	G24	L9		HIGH
B5	VREF1B5	IO	DIFFIO_RX25n			G25	G25	J3		HIGH
B5	VREF1B5	IO	DIFFIO_RX25p			G26	G26	J4		HIGH
B5	VREF1B5	VREF1B5			H5	J18	J18	K9		
B5	VREF1B5	IO	DIFFIO_TX24n		G5	F23	F23	L5		HIGH
B5	VREF1B5	IO	DIFFIO_TX24p			F24	F24	L6		HIGH
B5	VREF1B5	IO	DIFFIO_RX24n			F25	F25	H1		HIGH
B5	VREF1B5	IO	DIFFIO_RX24p			F26	F26	H2		HIGH
B5	VREF1B5	IO	DIFFIO_TX23n		F5	E23	E23	L8		HIGH
B5	VREF1B5	IO	DIFFIO_TX23p			E24	E24	L7		HIGH
B5	VREF1B5	IO	DIFFIO_RX23n/RDN5		E1	J22	J22	H3		HIGH
B5	VREF1B5	IO	DIFFIO_RX23p/RUP5		E2	J21	J21	H4		HIGH
B5	VREF1B5	IO	DIFFIO_TX22n		F3	D24	D24	K7		HIGH
B5	VREF1B5	IO	DIFFIO_TX22p		F4	C25	C25	K8		HIGH
B5	VREF1B5	IO	DIFFIO_RX22n		D2	D25	D25	G1		HIGH
B5	VREF1B5	IO	DIFFIO_RX22p		D1	C26	C26	G2		HIGH
B4	VREF0B4	IO			G7	C23	C23	G7		
B4	VREF0B4	IO	DQ0T0		B3	B24	B24	A4	DQ0T0	
B4	VREF0B4	IO	DQ0T1		B2	D23	D23	A3	DQ0T1	
B4	VREF0B4	IO	DQ0T2		D3	D22	D22	B3	DQ0T2	
B4	VREF0B4	IO	DQS0T		C2	C24	C24	D5		
B4	VREF0B4	IO	DQ0T3		B4	E22	E22	B5	DQ0T3	
B4	VREF0B4	IO	DQ0T4		C3	B22	B22	B4	DQ0T4	
B4	VREF0B4	IO	DQ0T5		C4	A24	A24	C4	DQ0T5	
B4	VREF0B4	IO	DQ0T6		D4	A22	A22	A5	DQ0T6	
B4	VREF0B4	IO	DQ0T7		A4	C22	C22	C5	DQ0T7	
B4	VREF0B4	IO			J7			L11		
B4	VREF0B4	IO			K7			M11		
