*******************************************************************								
* PT-EP1S25-3.6.txt
* PIN-OUT INFORMATION FOR EP1S25               								
* Ver. 3.6                                            								
*******************************************************************											
											
											
Bank Number	VREF Bank	Pin Name/Function	Optional Function(s)	Configuration Function	B672	F672	F780	F1020	DQS for x16	DQS for x32	DIFFIO Speed (1)
B2	VREF1B2	IO	DIFFIO_RX25p		L3	L3	K26	N31			HIGH
B2	VREF1B2	IO	DIFFIO_RX25n		L2	L2	K25	N32			HIGH
B2	VREF1B2	IO	DIFFIO_TX25p		L5	L5	M24	N25			HIGH
B2	VREF1B2	IO	DIFFIO_TX25n		L4	L4	M23	N26			HIGH
B2	VREF1B2	IO	DIFFIO_RX24p				K27	P29			HIGH
B2	VREF1B2	IO	DIFFIO_RX24n				K28	P30			HIGH
B2	VREF1B2	IO	DIFFIO_TX24p		L7	L7	M20	P28			HIGH
B2	VREF1B2	IO	DIFFIO_TX24n		L6	L6	M19	P27			HIGH
B2	VREF1B2	VREF1B2			L8	L8	K20	L25			
B2	VREF1B2	IO	DIFFIO_RX23p		M6	M6	L25	P31			HIGH
B2	VREF1B2	IO	DIFFIO_RX23n		M7	M7	L26	P32			HIGH
B2	VREF1B2	IO	DIFFIO_TX23p				N26	R28			HIGH
B2	VREF1B2	IO	DIFFIO_TX23n				N25	R27			HIGH
B2	VREF1B2	IO	DIFFIO_RX22p		M4	M4	L27	R32			HIGH
B2	VREF1B2	IO	DIFFIO_RX22n		M5	M5	L28	R31			HIGH
B2	VREF1B2	IO	DIFFIO_TX22p				N24	P25			HIGH
B2	VREF1B2	IO	DIFFIO_TX22n				N23	P26			HIGH
B2	VREF1B2	IO	DIFFIO_RX21p		N6	N6	M25	R30			HIGH
B2	VREF1B2	IO	DIFFIO_RX21n		N7	N7	M26	R29			HIGH
B2	VREF1B2	IO	DIFFIO_TX21p		M8	M8	N22	R23			HIGH
B2	VREF1B2	IO	DIFFIO_TX21n		M9	M9	N21	R24			HIGH
B2	VREF1B2	IO	DIFFIO_RX20p				M27	T32			HIGH
B2	VREF1B2	IO	DIFFIO_RX20n				N28	T31			HIGH
B2	VREF1B2	IO	DIFFIO_TX20p		P8	P8	N20	R25			HIGH
B2	VREF1B2	IO	DIFFIO_TX20n		N8	N8	N19	R26			HIGH
B2	VREF1B2	CLK0n			N2	N2	N27	T30			
B2	VREF1B2	CLK0p			N3	N3	P27	T29			
B2	VREF1B2	IO	CLK1n				P26	T28			
B2	VREF1B2	CLK1p			M1	M1	P25	T27			
		VCCA_PLL1			M3	M3	P23	T25			
		GND									
		GNDA_PLL1			N5	N5	P24	T26			
		VCCG_PLL1			M2	M2	P21	R22			
		GNDG_PLL1			N4	N4	P22	T22			
		VCCA_PLL2			P5	P5	R23	U25			
		GND									
		GNDA_PLL2			P3	P3	R24	U26			
		VCCG_PLL2			P4	P4	R21	U24			
		GNDG_PLL2			P2	P2	R22	T24			
B1	VREF0B1	CLK2p			R1	R1	R27	U31			
B1	VREF0B1	CLK2n			R2	R2	T27	U32			
B1	VREF0B1	CLK3p			R3	R3	R25	U29			
B1	VREF0B1	IO	CLK3n				R26	U30			
B1	VREF0B1	IO	DIFFIO_RX19p				T28	U28			HIGH
B1	VREF0B1	IO	DIFFIO_RX19n				U27	U27			HIGH
B1	VREF0B1	IO	DIFFIO_TX19p		P6	P6	T21	V26			HIGH
B1	VREF0B1	IO	DIFFIO_TX19n		P7	P7	T22	V25			HIGH
B1	VREF0B1	IO	DIFFIO_RX18p		R6	R6	U26	V32			HIGH
B1	VREF0B1	IO	DIFFIO_RX18n		R7	R7	U25	V31			HIGH
B1	VREF0B1	IO	DIFFIO_TX18p		R8	R8	T19	V28			HIGH
B1	VREF0B1	IO	DIFFIO_TX18n		R9	R9	T20	V27			HIGH
B1	VREF0B1	IO	DIFFIO_RX17p		R4	R4	V27	V30			HIGH
B1	VREF0B1	IO	DIFFIO_RX17n		R5	R5	V28	V29			HIGH
B1	VREF0B1	IO	DIFFIO_TX17p				T23	W25			HIGH
B1	VREF0B1	IO	DIFFIO_TX17n				T24	W26			HIGH
B1	VREF0B1	VREF0B1			T8	T8	R19	V21			
B1	VREF0B1	IO	DIFFIO_RX16p		T3	T3	V26	W32			HIGH
B1	VREF0B1	IO	DIFFIO_RX16n		T2	T2	V25	W31			HIGH
B1	VREF0B1	IO	DIFFIO_TX16p				T26	W27			HIGH
B1	VREF0B1	IO	DIFFIO_TX16n				T25	W28			HIGH
B1	VREF0B1	IO	DIFFIO_RX15p				W28	W30			HIGH
B1	VREF0B1	IO	DIFFIO_RX15n				W27	W29			HIGH
B1	VREF0B1	IO	DIFFIO_TX15p		T7	T7	U19	V24			HIGH
B1	VREF0B1	IO	DIFFIO_TX15n		T6	T6	U20	V23			HIGH
B1	VREF0B1	IO	DIFFIO_RX14p		T5	T5	W26	Y32			HIGH
B1	VREF0B1	IO	DIFFIO_RX14n		T4	T4	W25	Y31			HIGH
B1	VREF0B1	IO	DIFFIO_TX14p		U6	U6	U24	Y26			HIGH
B1	VREF0B1	IO	DIFFIO_TX14n		U5	U5	U23	Y25			HIGH
B1	VREF1B1	IO	DIFFIO_RX13p		U2	U2	Y28	Y30			HIGH
B1	VREF1B1	IO	DIFFIO_RX13n		U1	U1	Y27	Y29			HIGH
B1	VREF1B1	IO	DIFFIO_TX13p		U8	U8	U21	Y28			HIGH
B1	VREF1B1	IO	DIFFIO_TX13n		U7	U7	U22	Y27			HIGH
B1	VREF1B1	IO	DIFFIO_RX12p		U4	U4	Y26	AA31			HIGH
B1	VREF1B1	IO	DIFFIO_RX12n		U3	U3	Y25	AA30			HIGH
B1	VREF1B1	IO	DIFFIO_TX12p		U9	U9	V19	W23			HIGH
B1	VREF1B1	IO	DIFFIO_TX12n		V8	V8	V20	W24			HIGH
B1	VREF1B1	IO	DIFFIO_RX11p				AA28	AB31			HIGH
B1	VREF1B1	IO	DIFFIO_RX11n				AA27	AB30			HIGH
B1	VREF1B1	IO	DIFFIO_TX11p				V24	Y23			HIGH
B1	VREF1B1	IO	DIFFIO_TX11n				V23	Y24			HIGH
B1	VREF1B1	IO	DIFFIO_RX10p/RUP1		V6	V6	AA25	AA28			HIGH
B1	VREF1B1	IO	DIFFIO_RX10n/RDN1		V5	V5	AA26	AA29			HIGH
B1	VREF1B1	IO	DIFFIO_TX10p				V22	AA25			HIGH
B1	VREF1B1	IO	DIFFIO_TX10n				V21	AA24			HIGH
B1	VREF1B1	VREF1B1			V7	V7	W20	AA23			
B1	VREF1B1	IO	DIFFIO_RX9p				AB28	AB32			HIGH
B1	VREF1B1	IO	DIFFIO_RX9n				AB27	AC31			HIGH
B1	VREF1B1	IO	DIFFIO_TX9p				W23	AA27			HIGH
B1	VREF1B1	IO	DIFFIO_TX9n				W24	AA26			HIGH
B1	VREF1B1	IO	DIFFIO_RX8p		V1	V1	AB26	AD32			HIGH
B1	VREF1B1	IO	DIFFIO_RX8n		V2	V2	AB25	AD31			HIGH
B1	VREF1B1	IO	DIFFIO_TX8p		W5	W5	W21	AB27			HIGH
B1	VREF1B1	IO	DIFFIO_TX8n		W6	W6	W22	AB26			HIGH
B1	VREF1B1	IO	DIFFIO_RX7p		V3	V3	AC28	AC29			HIGH
B1	VREF1B1	IO	DIFFIO_RX7n		V4	V4	AC27	AC30			HIGH
B1	VREF1B1	IO	DIFFIO_TX7p		W7	W7	Y21	AC25			HIGH
B1	VREF1B1	IO	DIFFIO_TX7n		W8	W8	Y22	AC26			HIGH
B1	VREF2B1	IO	DIFFIO_RX6p		W1	W1	AD28	AD30			HIGH
B1	VREF2B1	IO	DIFFIO_RX6n		W2	W2	AD27	AD29			HIGH
B1	VREF2B1	IO	DIFFIO_TX6p				Y24	AC27			HIGH
B1	VREF2B1	IO	DIFFIO_TX6n				Y23	AC28			HIGH
B1	VREF2B1	IO	DIFFIO_RX5p				AE28	AE32			HIGH
B1	VREF2B1	IO	DIFFIO_RX5n				AE27	AE31			HIGH
B1	VREF2B1	IO	DIFFIO_TX5p		Y3	Y3	AA23	AD28			HIGH
B1	VREF2B1	IO	DIFFIO_TX5n		Y4	Y4	AA24	AD27			HIGH
B1	VREF2B1	IO	DIFFIO_RX4p		W3	W3	AF28	AE30			HIGH
B1	VREF2B1	IO	DIFFIO_RX4n		W4	W4	AF27	AE29			HIGH
B1	VREF2B1	IO	DIFFIO_TX4p		Y6	Y6	AA21	AD26			HIGH
B1	VREF2B1	IO	DIFFIO_TX4n		Y5	Y5	AA22	AD25			HIGH
B1	VREF2B1	IO	DIFFIO_RX3p		Y2	Y2		AF32			HIGH
B1	VREF2B1	IO	DIFFIO_RX3n		Y1	Y1		AF31			HIGH
B1	VREF2B1	IO	DIFFIO_TX3p		AA6	AA6	AB23	AE28			HIGH
B1	VREF2B1	IO	DIFFIO_TX3n		AA5	AA5	AB24	AE27			HIGH
B1	VREF2B1	VREF2B1			Y7	Y7	AE26	AB25			
B1	VREF2B1	IO	DIFFIO_RX2p		AA2	AA2		AF30			HIGH
B1	VREF2B1	IO	DIFFIO_RX2n		AA1	AA1		AF29			HIGH
B1	VREF2B1	IO	DIFFIO_TX2p		AA4	AA4		AE25			HIGH
B1	VREF2B1	IO	DIFFIO_TX2n		AA3	AA3		AE26			HIGH
B1	VREF2B1	IO	DIFFIO_RX1p		AB2	AB2		AG31			HIGH
B1	VREF2B1	IO	DIFFIO_RX1n		AB1	AB1		AG32			HIGH
B1	VREF2B1	IO	DIFFIO_TX1p		AB4	AB4		AF27			HIGH
B1	VREF2B1	IO	DIFFIO_TX1n		AB3	AB3		AF28			HIGH
B1	VREF2B1	IO	DIFFIO_RX0p		AC2	AC2		AG30			HIGH
B1	VREF2B1	IO	DIFFIO_RX0n		AD1	AD1		AG29			HIGH
B1	VREF2B1	IO	DIFFIO_TX0p		AC4	AC4		AF26			HIGH
B1	VREF2B1	IO	DIFFIO_TX0n		AC3	AC3		AF25			HIGH
B8	VREF0B8	IO					AC24	AB24			
B8	VREF0B8	IO	DQ9B7		AD5	AD5	AG26	AH28	DQ3B15	DQ1B31	
B8	VREF0B8	IO			AC5	AC5	AC23	AC24			
B8	VREF0B8	IO	DQ9B6		AD2	AD2	AH26	AK30	DQ3B14	DQ1B30	
B8	VREF0B8	IO	DQ9B5		AE2	AE2	AG25	AJ28	DQ3B13	DQ1B29	
B8	VREF0B8	IO	DQ9B4		AD3	AD3	AH25	AJ29	DQ3B12	DQ1B28	
B8	VREF0B8	IO					AB22	AC23			
B8	VREF0B8	IO	DQ9B3		AE4	AE4	AF25	AK29	DQ3B11	DQ1B27	
B8	VREF0B8	IO						AD24			
B8	VREF0B8	IO	DQS9B		AD4	AD4	AF24	AK28		
B8	VREF0B8	IO	DQ9B2		AE3	AE3	AG24	AL30	DQ3B10	DQ1B26
B8	VREF0B8	IO					AE25	AD23		
B8	VREF0B8	IO	DQ9B1		AB5	AB5	AE24	AL29	DQ3B9	DQ1B25
B8	VREF0B8	IO						AE24		
B8	VREF0B8	IO	DQ9B0		AF3	AF3	AH24	AM29	DQ3B8	DQ1B24
B8	VREF0B8	IO			AB6	AB6	AD24	AE23		
B8	VREF0B8	IO			AC6	AC6		AF24		
B8	VREF0B8	IO	DQ8B7		AC7	AC7	AG23	AH26	DQ3B7	DQ1B23
B8	VREF0B8	VREF0B8			AE5	AE5	AD22	AH27		
B8	VREF0B8	IO	DQ8B6		AD6	AD6	AD23	AJ27	DQ3B6	DQ1B22
B8	VREF0B8	IO	DQ8B5		AE7	AE7	AF23	AL28	DQ3B5	DQ1B21
B8	VREF0B8	IO			AF5	AF5	AB21	AC22		
B8	VREF0B8	IO	DQ8B4		AB7	AB7	AH23	AK27	DQ3B4	DQ1B20
B8	VREF0B8	IO	DQ8B3		AD7	AD7	AE22	AJ26	DQ3B3	DQ1B19
B8	VREF0B8	IO						AG24		
B8	VREF0B8	IO	DQS8B		AE6	AE6	AE23	AL27	DQS3B	
B8	VREF0B8	IO	DQ8B2		AA7	AA7	AF22	AM27	DQ3B2	DQ1B18
B8	VREF0B8	IO					AB20	AB22		
B8	VREF0B8	IO	DQ8B1		AF7	AF7	AH22	AM28	DQ3B1	DQ1B17
B8	VREF0B8	IO	DQ8B0		AF6	AF6	AG22	AK26	DQ3B0	DQ1B16
B8	VREF0B8	IO						AF23		
B8	VREF1B8	IO					Y20	AA21		
B8	VREF1B8	IO	DQ7B7		AC8	AC8	AD21	AH24	DQ2B15	DQ1B15
B8	VREF1B8	IO						AB21		
B8	VREF1B8	IO	DQ7B6		AB8	AB8	AE21	AJ24	DQ2B14	DQ1B14
B8	VREF1B8	IO	DQ7B5		AD8	AD8	AG21	AJ25	DQ2B13	DQ1B13
B8	VREF1B8	IO					AC22	AD22		
B8	VREF1B8	IO	DQ7B4		AE8	AE8	AF21	AK25	DQ2B12	DQ1B12
B8	VREF1B8	IO	DQ7B3		AF8	AF8	AE20	AL25	DQ2B11	DQ1B11
B8	VREF1B8	IO						AC21		
B8	VREF1B8	IO	DQS7B		Y9	Y9	AG20	AL26		DQS1B
B8	VREF1B8	IO	DQ7B2		Y8	Y8	AF20	AK24	DQ2B10	DQ1B10
B8	VREF1B8	IO					AC20	AG23		
B8	VREF1B8	IO	DQ7B1		W9	W9	AH21	AM25	DQ2B9	DQ1B9
B8	VREF1B8	IO						AD21		
B8	VREF1B8	IO	DQ7B0		AA8	AA8	AH20	AM26	DQ2B8	DQ1B8
B8	VREF1B8	IO	DQ6B7		AC9	AC9	AE19	AJ23	DQ2B7	DQ1B7
B8	VREF1B8	IO	FCLK3		AD9	AD9	AC21	AE21		
B8	VREF1B8	IO	FCLK2		AB9	AB9	AC19	AF21		
B8	VREF1B8	VREF1B8			AE9	AE9	AD20	AH25		
B8	VREF1B8	IO	DQ6B6		AF9	AF9	AD19	AL24	DQ2B6	DQ1B6
B8	VREF1B8	IO	DQ6B5		AD10	AD10	AF19	AH22	DQ2B5	DQ1B5
B8	VREF1B8	IO						AF22		
B8	VREF1B8	IO	DQ6B4		AE10	AE10	AG19	AM24	DQ2B4	DQ1B4
B8	VREF1B8	IO		PGM2	AA9	AA9	AB19	AA20		
B8	VREF1B8	IO	DQ6B3		AC10	AC10	AH19	AK23	DQ2B3	DQ1B3
B8	VREF1B8	IO						AB20		
B8	VREF1B8	IO	DQS6B		Y10	Y10	AF18	AJ22	DQS2B	
B8	VREF1B8	IO	DQ6B2		AA10	AA10	AD18	AL23	DQ2B2	DQ1B2
B8	VREF1B8	IO		CRC_ERROR	W10	W10	AA20	AF20		
B8	VREF1B8	IO	DQ6B1		AB10	AB10	AE18	AK22	DQ2B1	DQ1B1
B8	VREF1B8	IO	DQ6B0		AF10	AF10	AG18	AL22	DQ2B0	DQ1B0
B8	VREF1B8	IO	RDN8		AB11	AB11	Y19	AC20		
B8	VREF1B8	IO	RUP8		AE11	AE11	W19	AH19		
B8	VREF1B8	IO	DQ5B7				AF17	AM22		
B8	VREF1B8	IO						AG22		
B8	VREF1B8	IO	DQ5B6				AG17	AJ21		
B8	VREF1B8	IO	DQ5B5				AE17	AK21		
B8	VREF2B8	IO						AB19		
B8	VREF2B8	IO	DQ5B4				AD17	AL21		
B8	VREF2B8	IO		RDYnBSY	AC11	AC11	AA19	AA19		
B8	VREF2B8	IO	DQ5B3				AG16	AH20		
B8	VREF2B8	IO					AB18	AD20		
B8	VREF2B8	IO	DQS5B				AH16	AJ20
B8	VREF2B8	IO	DQ5B2				AD16	AK20
B8	VREF2B8	IO		nCS	Y11	Y11	Y18	AC19
B8	VREF2B8	IO	DQ5B1				AF16	AL20
B8	VREF2B8	IO	DQ5B0				AE16	AM20
B8	VREF2B8	IO			AD11	AD11		AG21
B8	VREF2B8	IO						AG20
B8	VREF2B8	IO					V18	AE20
B8	VREF2B8	IO					W18	AD19
B8	VREF2B8	IO		CS	AA11	AA11	AA18	AG19
B8	VREF2B8	IO						AJ18
B8	VREF2B8	IO						AH18
B8	VREF2B8	IO						AK18
B8	VREF2B8	VREF2B8			W11	W11	AH18	AH23
B8	VREF2B8	IO	CLK5n		AD12	AD12	Y17	AJ19
B8	VREF2B8	CLK5p			AC12	AC12	AA17	AK19
B8	VREF2B8	IO	CLK4n		AF12	AF12	AB17	AL19
B8	VREF2B8	CLK4p			AE12	AE12	AC17	AM19
B8	VREF2B8	PLL_ENA		PLL_ENA	W12	W12	AC18	AF19
B8	VREF2B8	MSEL0		MSEL0	Y12	Y12	AC16	AG18
B8	VREF2B8	MSEL1		MSEL1	Y13	Y13	W17	AE18
B8	VREF2B8	MSEL2		MSEL2	W13	W13	AB15	AE19
B12	VREF2B8	IO	PLL6_OUT3n				Y16	AM18
B12	VREF2B8	IO	PLL6_OUT3p				W16	AL18
B12	VREF2B8	IO	PLL6_OUT2n				AG15	AK17
B12	VREF2B8	IO	PLL6_OUT2p				AF15	AJ17
B11	VREF2B8	IO	PLL6_FBn		AB12	AB12	AA15	AM17
B11	VREF2B8	IO	PLL6_FBp		AA12	AA12	AA14	AL17
B11	VREF2B8	IO	PLL6_OUT1n		AB14	AB14	W15	AK16
B11	VREF2B8	IO	PLL6_OUT1p		AA14	AA14	W14	AJ16
B11	VREF2B8	IO	PLL6_OUT0n		AB13	AB13	AE15	AM16
B11	VREF2B8	IO	PLL6_OUT0p		AA13	AA13	AD15	AL16
B12		VCC_PLL6_OUTB					AB16	AB17
B11		VCC_PLL6_OUTA					AC14	AE17
B11		VCC_PLL6_OUTA			AE13	AE13		
		VCCA_PLL6			AD14	AD14	AG14	AG17
		GND						
		GNDA_PLL6			AC14	AC14	AF14	AH17
		VCCG_PLL6			AD13	AD13	AA13	AD16
		GNDG_PLL6			AE14	AE14	AB14	AB16
B7	VREF0B7	CLK7p			AE15	AE15	W13	AM15
B7	VREF0B7	IO	CLK7n				Y13	AL15
B7	VREF0B7	CLK6p			AF15	AF15	AD14	AK15
B7	VREF0B7	IO	CLK6n				AE14	AJ15
B7	VREF0B7	nCE		nCE	Y14	Y14	AB13	AF18
B7	VREF0B7	nCEO		nCEO	W14	W14	AC13	AH15
B7	VREF0B7	IO						AA18
B7	VREF0B7	IO						AB15
B7	VREF0B7	IO		PGM0	W15	W15	W12	AD18
B7	VREF0B7	nIO_PULLUP		nIO_PULLUP	AA15	AA15	Y12	AF15
B7	VREF0B7	VCCSEL		VCCSEL	Y15	Y15	AA12	AJ14
B7	VREF0B7	PORSEL		PORSEL	W16	W16	AC12	AG15
B7	VREF0B7	IO						AA15
B7	VREF0B7	IO						AD15
B7	VREF0B7	IO						AC15
B7	VREF0B7	IO						AK14
B7	VREF0B7	IO						AC18
B7	VREF0B7	IO						AL14
B7	VREF0B7	VREF0B7			AB15	AB15	AD11	AH12
B7	VREF0B7	IO		INIT_DONE	AC15	AC15	W11	AE15
B7	VREF0B7	IO					V11	AB14
B7	VREF0B7	IO	DQ4B7				AD13	AL13
B7	VREF0B7	IO	DQ4B6				AE13	AM13
B7	VREF0B7	IO		nRS	Y16	Y16	AC11	AB18
B7	VREF0B7	IO	DQ4B5				AF13	AH13		
B7	VREF0B7	IO					Y11	AA14		
B7	VREF0B7	IO	DQ4B4				AD12	AJ13		
B7	VREF0B7	IO	DQ4B3				AG13	AK13		
B7	VREF0B7	IO		RUnLU	AD15	AD15	W10	AF14		
B7	VREF0B7	IO	DQS4B				AH13	AJ12		
B7	VREF0B7	IO			AA16	AA16	AB12	AE14		
B7	VREF1B7	IO	DQ4B2				AE12	AK12		
B7	VREF1B7	IO	DQ4B1				AF12	AL12		
B7	VREF1B7	IO		PGM1	AC16	AC16	AA11	AG14		
B7	VREF1B7	IO	DQ4B0				AG12	AM11		
B7	VREF1B7	IO	RDN7		AB16	AB16	AC10	AC14		
B7	VREF1B7	IO	RUP7		AD16	AD16	AB11	AF13		
B7	VREF1B7	IO	DQ3B7		W17	W17	AG11	AL10	DQ1B15	DQ0B31
B7	VREF1B7	IO						AD14		
B7	VREF1B7	IO	DQ3B6		AE16	AE16	AH11	AK11	DQ1B14	DQ0B30
B7	VREF1B7	IO	DQ3B5		Y17	Y17	AE11	AL11	DQ1B13	DQ0B29
B7	VREF1B7	IO	DEV_CLRn		AF17	AF17	AC9	AH14		
B7	VREF1B7	IO	DQ3B4		AA17	AA17	AF11	AK10	DQ1B12	DQ0B28
B7	VREF1B7	IO	DQ3B3		Y18	Y18	AE10	AM9	DQ1B11	DQ0B27
B7	VREF1B7	IO						AB13		
B7	VREF1B7	IO	DQS3B		AE17	AE17	AG10	AJ11	DQS1B	
B7	VREF1B7	IO					Y10	AG13		
B7	VREF1B7	IO	DQ3B2		W18	W18	AH10	AL9	DQ1B10	DQ0B26
B7	VREF1B7	IO	DQ3B1		AB17	AB17	AF10	AJ10	DQ1B9	DQ0B25
B7	VREF1B7	VREF1B7			AB18	AB18	AD9	AH10		
B7	VREF1B7	IO	DQ3B0		AA18	AA18	AD10	AH11	DQ1B8	DQ0B24
B7	VREF1B7	IO			Y19	Y19		AC13		
B7	VREF1B7	IO					AA10	AE13		
B7	VREF1B7	IO	DQ2B7		AF18	AF18	AG9	AL8	DQ1B7	DQ0B23
B7	VREF1B7	IO	FCLK5		AC17	AC17	AC8	AM14		
B7	VREF1B7	IO	FCLK4		AD17	AD17	AB10	AF12		
B7	VREF1B7	IO	DQ2B6		AE18	AE18	AF9	AJ9	DQ1B6	DQ0B22
B7	VREF1B7	IO	DQ2B5		AF19	AF19	AE9	AK9	DQ1B5	DQ0B21
B7	VREF1B7	IO					AB9	AD13		
B7	VREF1B7	IO	DQ2B4		Y20	Y20	AH8	AM8	DQ1B4	DQ0B20
B7	VREF1B7	IO	DQ2B3		AA19	AA19	AH9	AH9	DQ1B3	DQ0B19
B7	VREF1B7	IO			AD18	AD18		AG12		
B7	VREF2B7	IO	DQS2B		AB19	AB19	AE8	AK8		DQS0B
B7	VREF2B7	IO	DQ2B2		AD19	AD19	AD8	AM7	DQ1B2	DQ0B18
B7	VREF2B7	IO			AC18	AC18	AA9	AE12		
B7	VREF2B7	IO	DQ2B1		AC19	AC19	AF8	AJ8	DQ1B1	DQ0B17
B7	VREF2B7	IO	DQ2B0		AE19	AE19	AG8	AL7	DQ1B0	DQ0B16
B7	VREF2B7	IO						AC12		
B7	VREF2B7	IO			AF20	AF20	AB8	AA12		
B7	VREF2B7	IO	DQ1B7		AE20	AE20	AF6	AL6	DQ0B15	DQ0B15
B7	VREF2B7	IO	DQ1B6		AA20	AA20	AG7	AM6	DQ0B14	DQ0B14
B7	VREF2B7	IO					AC7	AD12		
B7	VREF2B7	IO	DQ1B5		AB20	AB20	AH7	AJ7	DQ0B13	DQ0B13
B7	VREF2B7	IO	DQ1B4		AF21	AF21	AF7	AM5	DQ0B12	DQ0B12
B7	VREF2B7	IO						AB11		
B7	VREF2B7	IO	DQ1B3		AC20	AC20	AD6	AK7	DQ0B11	DQ0B11
B7	VREF2B7	IO	DQS1B		AA21	AA21	AE7	AH7	DQS0B	
B7	VREF2B7	IO			AB21	AB21	AD5	AE11		
B7	VREF2B7	IO	DQ1B2		AE21	AE21	AH6	AL5	DQ0B10	DQ0B10
B7	VREF2B7	IO	DQ1B1		AD20	AD20	AG6	AK6	DQ0B9	DQ0B9
B7	VREF2B7	VREF2B7			AD21	AD21	AD7	AH8		
