"Pin Information for the Arria® GX EP1AGX90E Device Version 1.3   "								
								
								
Bank Number	VREF Group	Pin Name/Function	Optional Function(s)	Configuration Function	EP1AGX90EF1152  	"x8/x9
Mode"	"x16/x18
Mode"	"x32/x36
Mode"
B2	VREFB2N2	CLK1n	INPUT		U32			
B2	VREFB2N2	CLK1p	INPUT		U33			
		VCCD_PLL1			R27			
		VCCA_PLL1			T25			
		GNDA_PLL1			T26			
		GNDA_PLL1			R26			
		GNDA_PLL2			W26			
		GNDA_PLL2			V26			
		VCCA_PLL2			V25			
		VCCD_PLL2			W27			
B1	VREFB1N0	IO	CLK2p/DIFFIO_RX_C1p		W34			
B1	VREFB1N0	IO	CLK2n/DIFFIO_RX_C1n		V34			
B1	VREFB1N0	CLK3p	INPUT		V32			
B1	VREFB1N0	CLK3n	INPUT		V31			
B1	VREFB1N0	IO	DIFFIO_RX28p		W31			
B1	VREFB1N0	IO	DIFFIO_RX28n		W30			
B1	VREFB1N0	IO	DIFFIO_TX28p		V23			
B1	VREFB1N0	IO	DIFFIO_TX28n		W23			
B1	VREFB1N0	IO	DIFFIO_RX27p		W33			
B1	VREFB1N0	IO	DIFFIO_RX27n		W32			
B1	VREFB1N0	IO	DIFFIO_TX27p		Y24			
B1	VREFB1N0	IO	DIFFIO_TX27n		Y23			
B1	VREFB1N0	IO	DIFFIO_RX26p		Y32			
B1	VREFB1N0	IO	DIFFIO_RX26n		Y31			
B1	VREFB1N0	IO	DIFFIO_TX26p		W28			
B1	VREFB1N0	IO	DIFFIO_TX26n		Y29			
B1	VREFB1N0	IO	DIFFIO_RX25p		Y34			
B1	VREFB1N0	IO	DIFFIO_RX25n		Y33			
B1	VREFB1N0	IO	DIFFIO_TX25p		Y28			
B1	VREFB1N0	IO	DIFFIO_TX25n		Y27			
B1	VREFB1N0	VREFB1N0	VREFB1N0		AE31			
B1	VREFB1N0	IO	DIFFIO_RX24p		AA32			
B1	VREFB1N0	IO	DIFFIO_RX24n		AA31			
B1	VREFB1N0	IO	DIFFIO_TX24p		AA29			
B1	VREFB1N0	IO	DIFFIO_TX24n		AA28			
B1	VREFB1N0	IO	DIFFIO_RX23p		AB31			
B1	VREFB1N0	IO	DIFFIO_RX23n		AB30			
B1	VREFB1N0	IO	DIFFIO_TX23p		AA23			
B1	VREFB1N0	IO	DIFFIO_TX23n		AB23			
B1	VREFB1N0	IO	DIFFIO_RX22p		AB33			
B1	VREFB1N0	IO	DIFFIO_RX22n		AB32			
B1	VREFB1N0	IO	DIFFIO_TX22p		AA26			
B1	VREFB1N0	IO	DIFFIO_TX22n		AA25			
B1	VREFB1N0	IO	DIFFIO_RX21p		AA34			
B1	VREFB1N0	IO	DIFFIO_RX21n		AB34			
B1	VREFB1N0	IO	DIFFIO_TX21p		AB29			
B1	VREFB1N0	IO	DIFFIO_TX21n		AB28			
B1	VREFB1N0	IO	DIFFIO_RX20p		AC32			
B1	VREFB1N0	IO	DIFFIO_RX20n		AC31			
B1	VREFB1N0	IO	DIFFIO_TX20p		AB24			
B1	VREFB1N0	IO	DIFFIO_TX20n		AC24			
B1	VREFB1N1	IO	DIFFIO_RX19p		AC34			
B1	VREFB1N1	IO	DIFFIO_RX19n		AC33			
B1	VREFB1N1	IO	DIFFIO_TX19p		AB26			
B1	VREFB1N1	IO	DIFFIO_TX19n		AB25			
B1	VREFB1N1	IO	DIFFIO_RX18p		AD32			
B1	VREFB1N1	IO	DIFFIO_RX18n		AD31			
B1	VREFB1N1	IO	DIFFIO_TX18p		AC27			
B1	VREFB1N1	IO	DIFFIO_TX18n		AB27			
B1	VREFB1N1	IO	DIFFIO_RX17p		AE33			
B1	VREFB1N1	IO	DIFFIO_RX17n		AE32			
B1	VREFB1N1	IO	DIFFIO_TX17p		AD26			
B1	VREFB1N1	IO	DIFFIO_TX17n		AD25			
B1	VREFB1N1	IO	DIFFIO_RX16p		AD34			
B1	VREFB1N1	IO	DIFFIO_RX16n		AE34			
B1	VREFB1N1	IO	DIFFIO_TX16p		AC29			
B1	VREFB1N1	IO	DIFFIO_TX16n		AC28			
B1	VREFB1N1	IO	DIFFIO_RX15p		AF32			
B1	VREFB1N1	IO	DIFFIO_RX15n		AF31			
B1	VREFB1N1	IO	DIFFIO_TX15p		AD29			
B1	VREFB1N1	IO	DIFFIO_TX15n		AD28			
B1	VREFB1N1	VREFB1N1	VREFB1N1		AC30			
B1	VREFB1N1	IO	DIFFIO_RX14p		AF34			
B1	VREFB1N1	IO	DIFFIO_RX14n		AF33			
B1	VREFB1N1	IO	DIFFIO_TX14p		AE30			
B1	VREFB1N1	IO	DIFFIO_TX14n		AE29			
B1	VREFB1N1	IO	DIFFIO_RX13p		AG32			
B1	VREFB1N1	IO	DIFFIO_RX13n		AG31			
B1	VREFB1N1	IO	DIFFIO_TX13p		AE28			
B1	VREFB1N1	IO	DIFFIO_TX13n		AE27			
B1	VREFB1N1	IO	DIFFIO_RX12p		AG34			
B1	VREFB1N1	IO	DIFFIO_RX12n		AH34			
B1	VREFB1N1	IO	DIFFIO_TX12p		AF30			
B1	VREFB1N1	IO	DIFFIO_TX12n		AF29			
B1	VREFB1N1	IO	DIFFIO_RX11p		AH33			
B1	VREFB1N1	IO	DIFFIO_RX11n		AH32			
B1	VREFB1N1	IO	DIFFIO_TX11p		AF28			
B1	VREFB1N1	IO	DIFFIO_TX11n		AF27			
B1	VREFB1N1	IO	DIFFIO_RX10p		AJ34			
B1	VREFB1N1	IO	DIFFIO_RX10n		AJ33			
B1	VREFB1N1	IO	DIFFIO_TX10p		AG29			
B1	VREFB1N1	IO	DIFFIO_TX10n		AG28			
B1	VREFB1N2	IO	DIFFIO_RX9p		AJ32			
B1	VREFB1N2	IO	DIFFIO_RX9n		AJ31			
B1	VREFB1N2	IO	DIFFIO_TX9p		AH31			
B1	VREFB1N2	IO	DIFFIO_TX9n		AH30			
B1	VREFB1N2	IO	DIFFIO_RX8p		AL34			
B1	VREFB1N2	IO	DIFFIO_RX8n		AK34			
B1	VREFB1N2	IO	DIFFIO_TX8p		AH29			
B1	VREFB1N2	IO	DIFFIO_TX8n		AH28			
B1	VREFB1N2	IO	DIFFIO_RX7p		AK32			
B1	VREFB1N2	IO	DIFFIO_RX7n		AK31			
B1	VREFB1N2	IO	DIFFIO_TX7p		AJ30			
B1	VREFB1N2	IO	DIFFIO_TX7n		AJ29			
B1	VREFB1N2	IO	DIFFIO_RX6p		AL33			
B1	VREFB1N2	IO	DIFFIO_RX6n		AL32			
B1	VREFB1N2	VREFB1N2	VREFB1N2		Y30			
B1	VREFB1N2	FPLL8CLKn	INPUT		AM33			
B1	VREFB1N2	FPLL8CLKp	INPUT		AM34			
		GNDA_PLL8			AE26			
		GNDA_PLL8			AF25			
		VCCA_PLL8			AF26			
		VCCD_PLL8			AE25			
B8	VREFB8N0	TDI		TDI	AL31			
B8	VREFB8N0	TMS		TMS	AM32			
B8	VREFB8N0	TCK		TCK	AE24			
B8	VREFB8N0	TRST		TRST	AM31			
B8	VREFB8N0	nCONFIG		nCONFIG	AL30			
B8	VREFB8N0	VCCSEL		VCCSEL	AF24			
B8	VREFB8N0	IO		CS	AH27			
B8	VREFB8N0	IO		CLKUSR	AH26			
B8	VREFB8N0	IO		nWS	AG26			
B8	VREFB8N0	IO		nRS	AG25			
B8	VREFB8N0	IO			AC23			
B8	VREFB8N0	IO			AH25			
B8	VREFB8N0	IO			AL29			
B8	VREFB8N0	VREFB8N0	VREFB8N0		AK28			
B8	VREFB8N0	IO			AB22			
B8	VREFB8N0	IO	DQ17B		AM30	DQ8B		
B8	VREFB8N0	IO			AN31	DQ8B	DQ3B	DQ1B
B8	VREFB8N0	IO	DQ17B		AN32	DQ8B	DQ3B	
B8	VREFB8N0	IO	DQ17B		AP32	DQ8B	DQ3B	DQ1B
B8	VREFB8N0	IO	DQ17B		AP30	DQ8B	DQ3B	DQ1B
B8	VREFB8N0	IO	DQS17B		AP31			
B8	VREFB8N0	IO			AG23			
B8	VREFB8N0	IO			AD23			
B8	VREFB8N0	IO	DQ16B		AP29	DQ8B	DQ3B	DQ1B
B8	VREFB8N0	IO			AN29		DQ3B	DQ1B
B8	VREFB8N0	IO	DQ16B		AM29	DQ8B	DQ3B	DQ1B
B8	VREFB8N0	IO	DQ16B		AP28	DQ8B	DQ3B	DQ1B
B8	VREFB8N0	IO	DQ16B		AM28	DQ8B	DQ3B	DQ1B
B8	VREFB8N0	IO	DQS16B		AN28	DQS8B		
B8	VREFB8N0	IO	DQ15B		AJ27	DQ7B	DQ3B	DQ1B
B8	VREFB8N0	IO			AL28	DQ7B		DQ1B
B8	VREFB8N1	IO	DQ15B		AJ28	DQ7B	DQ3B	DQ1B
B8	VREFB8N1	IO	DQ15B		AM27	DQ7B	DQ3B	DQ1B
B8	VREFB8N1	IO	DQ15B		AP27	DQ7B	DQ3B	DQ1B
B8	VREFB8N1	IO	DQS15B		AL27		DQS3B	
B8	VREFB8N1	IO			AE23			
B8	VREFB8N1	IO	DQ14B		AN26	DQ7B	DQ3B	DQ1B
B8	VREFB8N1	IO			AL26		DQ3B	DQ1B
B8	VREFB8N1	IO	DQ14B		AJ26	DQ7B	DQ3B	DQ1B
B8	VREFB8N1	IO	DQ14B		AK26	DQ7B	DQ3B	DQ1B
B8	VREFB8N1	IO	DQ14B		AP26	DQ7B	DQ3B	DQ1B
B8	VREFB8N1	IO	DQS14B		AM26	DQS7B		
B8	VREFB8N1	IO			AC22			
B8	VREFB8N1	IO			AD22			
B8	VREFB8N1	VREFB8N1	VREFB8N1		AK25			
B8	VREFB8N1	IO			AF22			
B8	VREFB8N1	IO	DQ13B		AJ24	DQ6B		
B8	VREFB8N1	IO			AL25	DQ6B	DQ2B	
B8	VREFB8N1	IO	DQ13B		AJ25	DQ6B	DQ2B	DQ1B
B8	VREFB8N1	IO	DQ13B		AN25	DQ6B	DQ2B	DQ1B
B8	VREFB8N1	IO	DQ13B		AP25	DQ6B	DQ2B	DQ1B
B8	VREFB8N1	IO	DQS13B		AM25			DQS1B
B8	VREFB8N1	IO			AE22			
B8	VREFB8N1	IO	DQ12B		AM24	DQ6B	DQ2B	DQ1B
B8	VREFB8N1	IO			AL24		DQ2B	DQ1B
B8	VREFB8N1	IO	DQ12B		AJ23	DQ6B	DQ2B	DQ1B
B8	VREFB8N1	IO	DQ12B		AK23	DQ6B	DQ2B	DQ1B
B8	VREFB8N1	IO	DQ12B		AP24	DQ6B	DQ2B	DQ1B
B8	VREFB8N1	IO	DQS12B		AL23	DQS6B		
B8	VREFB8N1	IO			AB21			
B8	VREFB8N1	IO			AC21			
B8	VREFB8N2	IO			AB20			
B8	VREFB8N2	IO	DQ11B		AM23	DQ5B	DQ2B	DQ1B
B8	VREFB8N2	IO			AN23	DQ5B		DQ1B
B8	VREFB8N2	IO	DQ11B		AP23	DQ5B	DQ2B	DQ1B
B8	VREFB8N2	IO	DQ11B		AM22	DQ5B	DQ2B	DQ1B
B8	VREFB8N2	IO	DQ11B		AP22	DQ5B	DQ2B	DQ1B
B8	VREFB8N2	IO	DQS11B		AN22		DQS2B	
B8	VREFB8N2	IO			AC20			
B8	VREFB8N2	IO			AH21			
B8	VREFB8N2	IO			AH22			
B8	VREFB8N2	IO			AC19			
B8	VREFB8N2	IO	DQ10B		AJ22	DQ5B	DQ2B	DQ1B
B8	VREFB8N2	IO			AL22		DQ2B	DQ1B
B8	VREFB8N2	IO	DQ10B		AM21	DQ5B	DQ2B	DQ1B
B8	VREFB8N2	IO	DQ10B		AP21	DQ5B	DQ2B	DQ1B
B8	VREFB8N2	IO	DQ10B		AJ21	DQ5B	DQ2B	DQ1B
B8	VREFB8N2	IO	DQS10B		AL21	DQS5B		
B8	VREFB8N2	VREFB8N2	VREFB8N2		AK22			
B8	VREFB8N2	IO			AC18			
B8	VREFB8N2	IO			AH23			
B8	VREFB8N2	IO		RUnLU	AH18			
B8	VREFB8N2	IO		DEV_OE	AG20			
B8	VREFB8N2	IO		DEV_CLRn	AH20			
B8	VREFB8N2	IO		nCS	AJ18			
B12	VREFB8N2	IO	PLL12_FBn/OUT2n		AJ20			
B12	VREFB8N2	IO	PLL12_FBp/OUT2p		AK20			
B8	VREFB8N2	IO			AB17			
B12	VREFB8N2	IO	PLL12_OUT1n		AL20			
B12	VREFB8N2	IO	PLL12_OUT1p		AM20			
B12	VREFB8N2	IO	PLL12_OUT0n		AN20			
B12	VREFB8N2	IO	PLL12_OUT0p		AP20			
B8	VREFB8N2	IO	CLK5n		AH19			
B8	VREFB8N2	IO	CLK5p		AJ19			
B8	VREFB8N2	IO	CLK4n		AM19			
B8	VREFB8N2	IO	CLK4p		AN19			
B12		VCC_PLL12_OUT			AE20			
		VCCD_PLL12			AF20			
		VCCA_PLL12			AE18			
		GNDA_PLL12			AF18			
		GNDA_PLL12			AF19			
		GNDA_PLL6			AF17			
		VCCA_PLL6			AE16			
		VCCD_PLL6			AF16			
		GNDA_PLL6			AE17			
B10		VCC_PLL6_OUT			AG16			
B7	VREFB7N0	IO	CLK7p		AL19			
B7	VREFB7N0	IO	CLK7n		AK19			
B7	VREFB7N0	IO	CLK6p		AP18			
B7	VREFB7N0	IO	CLK6n		AP19			
B10	VREFB7N0	IO	PLL6_OUT1p		AM18			
B10	VREFB7N0	IO	PLL6_OUT1n		AL18			
B10	VREFB7N0	IO	PLL6_OUT0p		AP17			
B10	VREFB7N0	IO	PLL6_OUT0n		AN17			
B10	VREFB7N0	IO	PLL6_FBp/OUT2p		AM17			
B10	VREFB7N0	IO	PLL6_FBn/OUT2n		AL17			
B7	VREFB7N0	IO			AC17			
B7	VREFB7N0	IO			AC16			
B7	VREFB7N0	IO	DQ9B		AJ16	DQ4B		
B7	VREFB7N0	IO			AL16	DQ4B	DQ1B	DQ0B
B7	VREFB7N0	VREFB7N0	VREFB7N0		AK17			
B7	VREFB7N0	IO	DQ9B		AK16	DQ4B	DQ1B	
B7	VREFB7N0	IO	DQ9B		AN16	DQ4B	DQ1B	DQ0B
B7	VREFB7N0	IO	DQ9B		AP16	DQ4B	DQ1B	DQ0B
B7	VREFB7N0	IO	DQS9B		AM16			
B7	VREFB7N0	IO			AB16			
B7	VREFB7N0	IO			AJ17			
B7	VREFB7N0	IO	DQ8B		AH16	DQ4B	DQ1B	DQ0B
B7	VREFB7N0	IO			AM15		DQ1B	DQ0B
B7	VREFB7N0	IO	DQ8B		AH15	DQ4B	DQ1B	DQ0B
B7	VREFB7N0	IO	DQ8B		AJ15	DQ4B	DQ1B	DQ0B
B7	VREFB7N0	IO	DQ8B		AP15	DQ4B	DQ1B	DQ0B
B7	VREFB7N0	IO	DQS8B		AL15	DQS4B		
B7	VREFB7N0	IO			AC15			
B7	VREFB7N0	IO	DQ7B		AP14	DQ3B	DQ1B	DQ0B
B7	VREFB7N0	IO			AM14	DQ3B		DQ0B
B7	VREFB7N1	IO	DQ7B		AK14	DQ3B	DQ1B	DQ0B
B7	VREFB7N1	IO	DQ7B		AJ14	DQ3B	DQ1B	DQ0B
B7	VREFB7N1	IO	DQ7B		AN14	DQ3B	DQ1B	DQ0B
B7	VREFB7N1	IO	DQS7B		AL14		DQS1B	
B7	VREFB7N1	IO			AD14			
B7	VREFB7N1	IO	DQ6B		AP13	DQ3B	DQ1B	DQ0B
B7	VREFB7N1	IO			AM13		DQ1B	DQ0B
B7	VREFB7N1	IO	DQ6B		AH13	DQ3B	DQ1B	DQ0B
B7	VREFB7N1	IO	DQ6B		AJ13	DQ3B	DQ1B	DQ0B
B7	VREFB7N1	IO	DQ6B		AN13	DQ3B	DQ1B	DQ0B
B7	VREFB7N1	IO	DQS6B		AL13	DQS3B		
B7	VREFB7N1	IO			AE14			
B7	VREFB7N1	IO	DQ5B		AP12	DQ2B		
B7	VREFB7N1	IO			AM12	DQ2B	DQ0B	
B7	VREFB7N1	VREFB7N1	VREFB7N1		AK13			
B7	VREFB7N1	IO	DQ5B		AH11	DQ2B	DQ0B	DQ0B
B7	VREFB7N1	IO	DQ5B		AH12	DQ2B	DQ0B	DQ0B
B7	VREFB7N1	IO	DQ5B		AJ12	DQ2B	DQ0B	DQ0B
B7	VREFB7N1	IO	DQS5B		AL12			DQS0B
B7	VREFB7N1	IO			AC14			
B7	VREFB7N1	IO	DQ4B		AP11	DQ2B	DQ0B	DQ0B
B7	VREFB7N1	IO			AM11		DQ0B	DQ0B
B7	VREFB7N1	IO	DQ4B		AJ11	DQ2B	DQ0B	DQ0B
B7	VREFB7N1	IO	DQ4B		AK11	DQ2B	DQ0B	DQ0B
B7	VREFB7N1	IO	DQ4B		AN11	DQ2B	DQ0B	DQ0B
B7	VREFB7N1	IO	DQS4B		AL11	DQS2B		
B7	VREFB7N1	IO			AE13			
B7	VREFB7N1	IO	DQ3B		AP10	DQ1B	DQ0B	DQ0B
B7	VREFB7N1	IO			AM10	DQ1B		DQ0B
B7	VREFB7N1	IO	DQ3B		AH10	DQ1B	DQ0B	DQ0B
B7	VREFB7N1	IO	DQ3B		AJ10	DQ1B	DQ0B	DQ0B
B7	VREFB7N1	IO	DQ3B		AN10	DQ1B	DQ0B	DQ0B
B7	VREFB7N1	IO	DQS3B		AL10		DQS0B	
B7	VREFB7N2	IO			AD13			
B7	VREFB7N2	IO			AH14			
B7	VREFB7N2	IO	DQ2B		AP9	DQ1B	DQ0B	DQ0B
B7	VREFB7N2	IO			AM9		DQ0B	DQ0B
B7	VREFB7N2	IO	DQ2B		AH9	DQ1B	DQ0B	DQ0B
B7	VREFB7N2	IO	DQ2B		AH8	DQ1B	DQ0B	DQ0B
B7	VREFB7N2	IO	DQ2B		AJ9	DQ1B	DQ0B	DQ0B
B7	VREFB7N2	IO	DQS2B		AL9	DQS1B		
B7	VREFB7N2	IO			AC13			
B7	VREFB7N2	IO	DQ1B		AP8	DQ0B		
B7	VREFB7N2	IO			AM8	DQ0B		
B7	VREFB7N2	IO	DQ1B		AJ8	DQ0B		
B7	VREFB7N2	IO	DQ1B		AK8	DQ0B		
B7	VREFB7N2	IO	DQ1B		AN8	DQ0B		
B7	VREFB7N2	IO	DQS1B		AL8			
B7	VREFB7N2	VREFB7N2	VREFB7N2		AK10			
B7	VREFB7N2	IO			AG13			
B7	VREFB7N2	IO	DQ0B		AP7	DQ0B		
B7	VREFB7N2	IO			AM7			
B7	VREFB7N2	IO	DQ0B		AG8	DQ0B		
B7	VREFB7N2	IO	DQ0B		AH7	DQ0B		
B7	VREFB7N2	IO	DQ0B		AJ7	DQ0B		
B7	VREFB7N2	IO	DQS0B		AL7	DQS0B		
B7	VREFB7N2	IO			AF11			
B7	VREFB7N2	IO			AG11			
B7	VREFB7N2	IO			AG10			
B7	VREFB7N2	IO			AE10			
B7	VREFB7N2	IO			AE9			
B7	VREFB7N2	IO			AF10			
B7	VREFB7N2	PORSEL		PORSEL	AE8			
B7	VREFB7N2	nIO_PULLUP		nIO_PULLUP	AE7			
B7	VREFB7N2	PLL_ENA		PLL_ENA	AF8			
		GND			AF7			
B7	VREFB7N2	nCEO		nCEO	AF9			
B15		GXB_RX11n			AM2			
B15		GXB_RX11p			AM1			
B15		GXB_TX11n			AP5			
B15		GXB_TX11p			AP4			
B15		GXB_RX10n			AK2			
B15		GXB_RX10p			AK1			
B15		GXB_TX10n			AM5			
B15		GXB_TX10p			AM4			
B15		RREFB15			AH4			
B15		REFCLK0_B15n			AK5			
B15		REFCLK0_B15p			AK4			
B15		REFCLK1_B15n			AH2			
B15		REFCLK1_B15p			AH1			
		VCCA			AC11			
		VCCA			AA8			
		VCCA			AC9			
B15		GXB_RX8n			AF2			
B15		GXB_RX8p			AF1			
B15		GXB_TX8n			AF5			
B15		GXB_TX8p			AF4			
B15		GXB_RX9n			AD2			
B15		GXB_RX9p			AD1			
B15		GXB_TX9n			AD5			
B15		GXB_TX9p			AD4			
NC		NC			W7			
NC		NC			W8			
		VCCA			W12			
B14		GXB_RX7n			AB2			
B14		GXB_RX7p			AB1			
B14		GXB_TX7n			AB5			
B14		GXB_TX7p			AB4			
B14		GXB_RX6n			Y2			
B14		GXB_RX6p			Y1			
B14		GXB_TX6n			Y5			
B14		GXB_TX6p			Y4			
B14		RREFB14			V4			
B14		REFCLK0_B14n			V2			
B14		REFCLK0_B14p			V1			
B14		REFCLK1_B14n			U7			
B14		REFCLK1_B14p			U6			
		VCCA			W11			
		VCCA			U8			
		VCCA			W9			
B14		GXB_RX4n			R2			
B14		GXB_RX4p			R1			
B14		GXB_TX4n			R5			
B14		GXB_TX4p			R4			
B14		GXB_RX5n			N2			
B14		GXB_RX5p			N1			
B14		GXB_TX5n			N5			
B14		GXB_TX5p			N4			
B13		GXB_RX3n			L2			
B13		GXB_RX3p			L1			
B13		GXB_TX3n			L5			
B13		GXB_TX3p			L4			
B13		GXB_RX2n			J2			
B13		GXB_RX2p			J1			
B13		GXB_TX2n			J5			
B13		GXB_TX2p			J4			
B13		RREFB13			G4			
B13		REFCLK0_B13n			G2			
B13		REFCLK0_B13p			G1			
B13		REFCLK1_B13n			E5			
B13		REFCLK1_B13p			E4			
		VCCA			R11			
		VCCA			N8			
		VCCA			R9			
B13		GXB_RX0n			E2			
B13		GXB_RX0p			E1			
B13		GXB_TX0n			C5			
B13		GXB_TX0p			C4			
B13		GXB_RX1n			C2			
B13		GXB_RX1p			C1			
B13		GXB_TX1n			A5			
B13		GXB_TX1p			A4			
		GND			J8			
		GND			J7			
B4	VREFB4N0	TDO		TDO	H10			
B4	VREFB4N0	MSEL3		MSEL3	H11			
