"Pin Information for the Arria® GX EP1AGX50C/D Device Version 1.4"												
												
												
Bank Number	VREF Group	Pin Name/Function	Optional Function(s)	Configuration Function	EP1AGX50DF1152	EP1AGX50DF780	EP1AGX50CF484	x8/x9 Mode		x16/x18 Mode		x36 Mode
B2	VREFB2N2	IO	DIFFIO_TX21n		V28	R20	P15					
B2	VREFB2N2	IO	CLK0n/DIFFIO_RX_C0n		T34	R25	M21					
B2	VREFB2N2	IO	CLK0p/DIFFIO_RX_C0p		U34	R26	M22					
B2	VREFB2N2	CLK1n	INPUT		U32	T24	M19					
B2	VREFB2N2	CLK1p	INPUT		U33	T25	M20					
		VCCD_PLL1			R27	N22	K17					
		VCCA_PLL1			T25	N23	K18					
		GNDA_PLL1			T26	P23	L17					
		GNDA_PLL1			R26	P22	L18					
		GNDA_PLL2			W26	R23	M17					
		GNDA_PLL2			V26	R22	M18					
		VCCA_PLL2			V25	T23	N18					
		VCCD_PLL2			W27	T22	N17					
B1	VREFB1N0	IO	CLK2p/DIFFIO_RX_C1p		W34	U28	N22					
B1	VREFB1N0	IO	CLK2n/DIFFIO_RX_C1n		V34	U27	N21					
B1	VREFB1N0	CLK3p	INPUT		V32	U26	N20					
B1	VREFB1N0	CLK3n	INPUT		V31	U25	N19					
B1	VREFB1N0	IO	DIFFIO_RX20p		W31	V28	P22					
B1	VREFB1N0	IO	DIFFIO_RX20n		W30	W28	P21					
B1	VREFB1N0	IO	DIFFIO_TX20p		V23	T19	T15					
B1	VREFB1N0	IO	DIFFIO_TX20n		W23	U19	T14					
B1	VREFB1N0	IO	DIFFIO_RX19p		W33	Y28	P20					
B1	VREFB1N0	IO	DIFFIO_RX19n		W32	AA28	P19					
B1	VREFB1N0	IO	DIFFIO_TX19p		Y24	U20	T16					
B1	VREFB1N0	IO	DIFFIO_TX19n		Y23	V20	U16					
B1	VREFB1N0	VREFB1N0	VREFB1N0		AE31	AD23	U19					
B1	VREFB1N0	IO	DIFFIO_RX18p		Y32	W27	R22					
B1	VREFB1N0	IO	DIFFIO_RX18n		Y31	W26	T22					
B1	VREFB1N0	IO	DIFFIO_TX18p		W28	Y25	P17					
B1	VREFB1N0	IO	DIFFIO_TX18n		Y29	Y24	R16					
B1	VREFB1N0	IO	DIFFIO_RX17p		Y34	Y27	T21					
B1	VREFB1N0	IO	DIFFIO_RX17n		Y33	Y26	T20					
B1	VREFB1N0	IO	DIFFIO_TX17p		Y28	U24	V17					
B1	VREFB1N0	IO	DIFFIO_TX17n		Y27	U23	W17					
B1	VREFB1N0	IO	DIFFIO_RX16p		AA32	V26	U21					
B1	VREFB1N0	IO	DIFFIO_RX16n		AA31	V25	U20					
B1	VREFB1N0	IO	DIFFIO_TX16p		AA29	AA26	U18					
B1	VREFB1N0	IO	DIFFIO_TX16n		AA28	AA25	U17					
B1	VREFB1N0	IO	DIFFIO_RX15p		AB31	AB28	U22					
B1	VREFB1N0	IO	DIFFIO_RX15n		AB30	AB27	V22					
B1	VREFB1N0	IO	DIFFIO_TX15p		AA23	V23	R17					
B1	VREFB1N0	IO	DIFFIO_TX15n		AB23	V22	T17					
B1	VREFB1N1	IO	DIFFIO_RX14p		AB33	AC28	W22					
B1	VREFB1N1	IO	DIFFIO_RX14n		AB32	AD28	W21					
B1	VREFB1N1	IO	DIFFIO_TX14p		AA26	W21	W19					
B1	VREFB1N1	IO	DIFFIO_TX14n		AA25	Y21	W18					
B1	VREFB1N1	IO	DIFFIO_RX13p		AA34	AD26	Y22					
B1	VREFB1N1	IO	DIFFIO_RX13n		AB34	AD25	Y21					
B1	VREFB1N1	IO	DIFFIO_TX13p		AB29	AC25	Y19					
B1	VREFB1N1	IO	DIFFIO_TX13n		AB28	AC24	Y18					
B1	VREFB1N1	IO	DIFFIO_RX12p		AC32	W25	AA22					
B1	VREFB1N1	IO	DIFFIO_RX12n		AC31	W24	AB22					
B1	VREFB1N1	IO	DIFFIO_TX12p		AB24	AB22	V20					
B1	VREFB1N1	IO	DIFFIO_TX12n		AC24	AB21	V19					
B1	VREFB1N1	VREFB1N1	VREFB1N1		AC30	Y23	R20					
B1	VREFB1N1	IO	DIFFIO_RX11p		AC34	AC27	AB21					
B1	VREFB1N1	IO	DIFFIO_RX11n		AC33	AC26	AB20					
B1	VREFB1N1	IO	DIFFIO_TX11p		AB26	AE26	R19					
B1	VREFB1N1	IO	DIFFIO_TX11n		AB25	AE25	T19					
B1	VREFB1N1	IO	DIFFIO_RX10p		AD32	AB26	AB19					
B1	VREFB1N1	IO	DIFFIO_RX10n		AD31	AB25	AB18					
B1	VREFB1N1	IO	DIFFIO_TX10p		AC27	AB24	AB17					
B1	VREFB1N1	IO	DIFFIO_TX10n		AB27	AB23	AA17					
B1	VREFB1N1	IO	DIFFIO_RX9p		AE33	AE28	AA20					
B1	VREFB1N1	IO	DIFFIO_RX9n		AE32	AE27	AA19					
B1	VREFB1N1	IO	DIFFIO_TX9p		AD26	AC23	AA16					
B1	VREFB1N1	IO	DIFFIO_TX9n		AD25	AC22	Y17					
B1	VREFB1N1	IO	DIFFIO_RX8p		AD34	AF28	W20					
B1	VREFB1N1	IO	DIFFIO_RX8n		AE34	AF27	Y20					
B1	VREFB1N1	IO	DIFFIO_TX8p		AC29	AA23	AB16					
B1	VREFB1N1	IO	DIFFIO_TX8n		AC28	AA22	AB15					
B1	VREFB1N2	IO	DIFFIO_RX7p		AF32							
B1	VREFB1N2	IO	DIFFIO_RX7n		AF31							
B1	VREFB1N2	IO	DIFFIO_TX7p		AD29							
B1	VREFB1N2	IO	DIFFIO_TX7n		AD28							
B1	VREFB1N2	IO	DIFFIO_RX6p		AF34							
B1	VREFB1N2	IO	DIFFIO_RX6n		AF33							
B1	VREFB1N2	IO	DIFFIO_TX6p		AE30							
B1	VREFB1N2	IO	DIFFIO_TX6n		AE29							
B1	VREFB1N2	IO	DIFFIO_RX5p		AG32							
B1	VREFB1N2	IO	DIFFIO_RX5n		AG31							
B1	VREFB1N2	IO	DIFFIO_TX5p		AE28							
B1	VREFB1N2	IO	DIFFIO_TX5n		AE27							
B1	VREFB1N2	IO	DIFFIO_RX4p		AG34							
B1	VREFB1N2	IO	DIFFIO_RX4n		AH34							
B1	VREFB1N2	IO	DIFFIO_TX4p		AF30							
B1	VREFB1N2	IO	DIFFIO_TX4n		AF29							
B1	VREFB1N2	VREFB1N2	VREFB1N2		Y30	W23	P18					
B1	VREFB1N2	IO	DIFFIO_RX3p		AH33							
B1	VREFB1N2	IO	DIFFIO_RX3n		AH32							
B1	VREFB1N2	IO	DIFFIO_TX3p		AF28							
B1	VREFB1N2	IO	DIFFIO_TX3n		AF27							
B1	VREFB1N2	IO	DIFFIO_RX2p		AJ34							
B1	VREFB1N2	IO	DIFFIO_RX2n		AJ33							
B1	VREFB1N2	IO	DIFFIO_TX2p		AG29							
B1	VREFB1N2	IO	DIFFIO_TX2n		AG28							
B1	VREFB1N2	IO	DIFFIO_RX1p		AJ32							
B1	VREFB1N2	IO	DIFFIO_RX1n		AJ31							
B1	VREFB1N2	IO	DIFFIO_TX1p		AH31							
B1	VREFB1N2	IO	DIFFIO_TX1n		AH30							
B1	VREFB1N2	FPLL8CLKn	INPUT		AM33							
B1	VREFB1N2	FPLL8CLKp	INPUT		AM34							
B1	VREFB1N2	IO	DIFFIO_TX0p		AH29							
B1	VREFB1N2	IO	DIFFIO_TX0n		AH28							
		GNDA_PLL8			AF25							
		GNDA_PLL8			AE26							
		VCCA_PLL8			AF26							
		VCCD_PLL8			AE25							
B8	VREFB8N0	TDI		TDI	AL31	V19	AA14					
B8	VREFB8N0	TMS		TMS	AM32	W19	Y16					
B8	VREFB8N0	TCK		TCK	AE24	V17	AB13					
B8	VREFB8N0	TRST		TRST	AM31	W17	AB14					
B8	VREFB8N0	nCONFIG		nCONFIG	AL30	V16	Y15					
B8	VREFB8N0	VCCSEL		VCCSEL	AF24	W18	AB12					
B8	VREFB8N0	IO			AL29							
B8	VREFB8N0	IO		CS	AH27	AE24	Y14					
B8	VREFB8N0	IO		CLKUSR	AH26	AC21	AA11					
B8	VREFB8N0	IO		nWS	AG26	AE22	AA13					
B8	VREFB8N0	IO		nRS	AG25	AE21	AB11					
B8	VREFB8N0	IO			AH24							
B8	VREFB8N0	IO			AH25							
B8	VREFB8N0	IO	DQ17B		AM30	AF26		DQ8B	DQ3B			
B8	VREFB8N0	IO			AN31	AF25		DQ8B	DQ3B	DQ3B	DQ1B	DQ1B
B8	VREFB8N0	VREFB8N0	VREFB8N0		AK28	AD22	W16					
B8	VREFB8N0	IO	DQ17B		AN32	AG26		DQ8B	DQ3B	DQ3B	DQ1B	
B8	VREFB8N0	IO	DQ17B		AP32	AH25		DQ8B	DQ3B	DQ3B	DQ1B	DQ1B
B8	VREFB8N0	IO	DQ17B		AP30	AH26		DQ8B	DQ3B	DQ3B	DQ1B	DQ1B
B8	VREFB8N0	IO	DQS17B		AP31	AG25						
B8	VREFB8N0	IO			AE23	AD20	W15					
B8	VREFB8N0	IO			AF23							
B8	VREFB8N0	IO	DQ16B		AP29	AE20		DQ8B		DQ3B		DQ1B
B8	VREFB8N0	IO			AN29					DQ3B		DQ1B
B8	VREFB8N0	IO	DQ16B		AM29	W16		DQ8B		DQ3B		DQ1B
B8	VREFB8N0	IO	DQ16B		AP28			DQ8B		DQ3B		DQ1B
B8	VREFB8N0	IO	DQ16B		AM28	AC20		DQ8B		DQ3B		DQ1B
B8	VREFB8N0	IO	DQS16B		AN28			DQS8B				
B8	VREFB8N0	IO			AC23							
B8	VREFB8N0	IO	DQ15B		AJ27	AH24		DQ7B	DQ3B	DQ3B	DQ1B	DQ1B
B8	VREFB8N0	IO			AL28	AF23		DQ7B			DQ1B	DQ1B
B8	VREFB8N1	IO	DQ15B		AJ28	AF24		DQ7B	DQ3B	DQ3B	DQ1B	DQ1B
B8	VREFB8N1	IO	DQ15B		AM27	AF22		DQ7B	DQ3B	DQ3B	DQ1B	DQ1B
B8	VREFB8N1	IO	DQ15B		AP27	AH23		DQ7B	DQ3B	DQ3B	DQ1B	DQ1B
B8	VREFB8N1	IO	DQS15B		AL27	AG23			DQS3B	DQS3B		
B8	VREFB8N1	IO			AF22							
B8	VREFB8N1	IO			AG22							
B8	VREFB8N1	IO	DQ14B		AN26	AE19		DQ7B		DQ3B		DQ1B
B8	VREFB8N1	IO			AL26					DQ3B		DQ1B
B8	VREFB8N1	IO	DQ14B		AJ26	AB19		DQ7B		DQ3B		DQ1B
B8	VREFB8N1	IO	DQ14B		AK26			DQ7B		DQ3B		DQ1B
B8	VREFB8N1	IO	DQ14B		AP26	AC19		DQ7B		DQ3B		DQ1B
B8	VREFB8N1	IO	DQS14B		AM26			DQS7B				
B8	VREFB8N1	IO			AC22							
B8	VREFB8N1	IO	DQ13B		AJ24	AG22	W14	DQ6B	DQ2B		DQ1B	
B8	VREFB8N1	IO			AL25	AF20		DQ6B	DQ2B	DQ2B		
B8	VREFB8N1	VREFB8N1	VREFB8N1		AK25	AD19	V16					
B8	VREFB8N1	IO	DQ13B		AJ25	AH22		DQ6B	DQ2B	DQ2B	DQ1B	DQ1B
B8	VREFB8N1	IO	DQ13B		AN25	AH21		DQ6B	DQ2B	DQ2B	DQ1B	DQ1B
B8	VREFB8N1	IO	DQ13B		AP25	AF21		DQ6B	DQ2B	DQ2B	DQ1B	DQ1B
B8	VREFB8N1	IO	DQS13B		AM25	AG20					DQS1B	DQS1B
B8	VREFB8N1	IO			AB21							
B8	VREFB8N1	IO	DQ12B		AM24	AE18		DQ6B		DQ2B		DQ1B
B8	VREFB8N1	IO			AL24					DQ2B		DQ1B
B8	VREFB8N1	IO	DQ12B		AJ23	W15		DQ6B		DQ2B		DQ1B
B8	VREFB8N1	IO	DQ12B		AK23			DQ6B		DQ2B		DQ1B
B8	VREFB8N1	IO	DQ12B		AP24	AC18		DQ6B		DQ2B		DQ1B
B8	VREFB8N1	IO	DQS12B		AL23			DQS6B				
B8	VREFB8N1	IO			AC21							
B8	VREFB8N1	IO	DQ11B		AM23	AH20	Y13	DQ5B	DQ2B	DQ2B	DQ1B	DQ1B
B8	VREFB8N1	IO			AN23	AG19	Y12	DQ5B			DQ1B	DQ1B
B8	VREFB8N2	IO	DQ11B		AP23	AF19	W12	DQ5B	DQ2B	DQ2B	DQ1B	DQ1B
B8	VREFB8N2	IO	DQ11B		AM22	AF18	Y11	DQ5B	DQ2B	DQ2B	DQ1B	DQ1B
B8	VREFB8N2	IO	DQ11B		AP22	AH18		DQ5B	DQ2B	DQ2B	DQ1B	DQ1B
B8	VREFB8N2	IO	DQS11B		AN22	AH19	W13		DQS2B	DQS2B		
B8	VREFB8N2	IO			AB20							
B8	VREFB8N2	IO			AC20							
B8	VREFB8N2	IO	DQ10B		AJ22	AC17		DQ5B		DQ2B		DQ1B
B8	VREFB8N2	IO			AL22					DQ2B		DQ1B
B8	VREFB8N2	IO	DQ10B		AM21	Y17		DQ5B		DQ2B		DQ1B
B8	VREFB8N2	IO	DQ10B		AP21			DQ5B		DQ2B		DQ1B
B8	VREFB8N2	IO	DQ10B		AJ21	AB17		DQ5B		DQ2B		DQ1B
B8	VREFB8N2	IO	DQS10B		AL21			DQS5B				
B8	VREFB8N2	VREFB8N2	VREFB8N2		AK22	AD17	V14					
B8	VREFB8N2	IO			AB18							
B8	VREFB8N2	IO			AH21							
B8	VREFB8N2	IO			AH23							
B8	VREFB8N2	IO		RUnLU	AH18	AC16	T13					
B8	VREFB8N2	IO		DEV_OE	AG20	AD16	U14					
B8	VREFB8N2	IO		DEV_CLRn	AH20	AE17	U13					
B8	VREFB8N2	IO		nCS	AJ18	AF17	AB10					
B12	VREFB8N2	IO	PLL12_FBn/OUT2n		AJ20	AE16	AB9					
B12	VREFB8N2	IO	PLL12_FBp/OUT2p		AK20							
B8	VREFB8N2	IO			AC18							
B12	VREFB8N2	IO	PLL12_OUT1n		AL20							
B12	VREFB8N2	IO	PLL12_OUT1p		AM20							
B12	VREFB8N2	IO	PLL12_OUT0n		AN20							
B12	VREFB8N2	IO	PLL12_OUT0p		AP20	AF16	W11					
B8	VREFB8N2	IO	CLK5n		AH19	AB15	W10					
B8	VREFB8N2	IO	CLK5p		AJ19	AC15	Y9					
B8	VREFB8N2	IO	CLK4n		AM19	AG17	Y10					
B8	VREFB8N2	IO	CLK4p		AN19	AH17	AA10					
B12		VCC_PLL12_OUT			AE20							
		VCCD_PLL12			AF20							
		VCCA_PLL12			AE18							
		GNDA_PLL12			AF19							
		GNDA_PLL12			AF18							
		GNDA_PLL6			AE17	W13	T12					
		GNDA_PLL6			AF17	W14	U11					
		VCCA_PLL6			AE16	Y14	U12					
		VCCD_PLL6			AF16	V14	T11					
B10		VCC_PLL6_OUT			AG16	AA14	V10					
B7	VREFB7N0	IO	CLK7p		AL19	AF15	AB8					
B7	VREFB7N0	IO	CLK7n		AK19	AE15	AA8					
B7	VREFB7N0	IO	CLK6p		AP18	AH16	Y8					
B7	VREFB7N0	IO	CLK6n		AP19	AG16	W9					
B10	VREFB7N0	IO	PLL6_OUT1p		AM18	AG14	AA7					
B10	VREFB7N0	IO	PLL6_OUT1n		AL18	AF14	Y7					
B10	VREFB7N0	IO	PLL6_OUT0p		AP17	AH15	AB7					
B10	VREFB7N0	IO	PLL6_OUT0n		AN17	AH14	AB6					
B10	VREFB7N0	IO	PLL6_FBp/OUT2p		AM17	AE14	W8					
B10	VREFB7N0	IO	PLL6_FBn/OUT2n		AL17	AD14	W7					
B7	VREFB7N0	IO			AJ17							
B7	VREFB7N0	IO			AH17							
B7	VREFB7N0	IO			AC16							
B7	VREFB7N0	IO			AH14							
B7	VREFB7N0	IO	DQ9B		AJ16	AG13	U10	DQ4B	DQ1B			
B7	VREFB7N0	IO			AL16	AE13		DQ4B	DQ1B	DQ1B	DQ0B	DQ0B
B7	VREFB7N0	VREFB7N0	VREFB7N0		AK17	AB14	V11					
B7	VREFB7N0	IO	DQ9B		AK16	AC14	T8	DQ4B	DQ1B	DQ1B	DQ0B	
B7	VREFB7N0	IO	DQ9B		AN16	AC13	T9	DQ4B	DQ1B	DQ1B	DQ0B	DQ0B
B7	VREFB7N0	IO	DQ9B		AP16	AD13	T10	DQ4B	DQ1B	DQ1B	DQ0B	DQ0B
B7	VREFB7N0	IO	DQS9B		AM16	AF13						
B7	VREFB7N0	IO			AG14							
B7	VREFB7N0	IO			AF14							
B7	VREFB7N0	IO	DQ8B		AH16	Y13		DQ4B		DQ1B		DQ0B
B7	VREFB7N0	IO			AM15					DQ1B		DQ0B
B7	VREFB7N0	IO	DQ8B		AH15	W12	U8	DQ4B		DQ1B		DQ0B
B7	VREFB7N0	IO	DQ8B		AJ15	V13		DQ4B		DQ1B		DQ0B
B7	VREFB7N0	IO	DQ8B		AP15			DQ4B		DQ1B		DQ0B
B7	VREFB7N0	IO	DQS8B		AL15	AB13		DQS4B				
B7	VREFB7N0	IO			AC15							
B7	VREFB7N0	IO	DQ7B		AP14	AH13	AB4	DQ3B	DQ1B	DQ1B	DQ0B	DQ0B
B7	VREFB7N0	IO			AM14	AF12	AB5	DQ3B			DQ0B	DQ0B
B7	VREFB7N1	IO	DQ7B		AK14	AH12		DQ3B	DQ1B	DQ1B	DQ0B	DQ0B
B7	VREFB7N1	IO	DQ7B		AJ14	AG11		DQ3B	DQ1B	DQ1B	DQ0B	DQ0B
B7	VREFB7N1	IO	DQ7B		AN14	AH11	AA4	DQ3B	DQ1B	DQ1B	DQ0B	DQ0B
B7	VREFB7N1	IO	DQS7B		AL14	AE12	AA5		DQS1B	DQS1B		
B7	VREFB7N1	IO			AE14							
B7	VREFB7N1	IO			AC14							
B7	VREFB7N1	IO	DQ6B		AP13	V11		DQ3B		DQ1B		DQ0B
B7	VREFB7N1	IO			AM13	AB12				DQ1B		DQ0B
B7	VREFB7N1	IO	DQ6B		AH13			DQ3B		DQ1B		DQ0B
B7	VREFB7N1	IO	DQ6B		AJ13	W11	Y6	DQ3B		DQ1B		DQ0B
B7	VREFB7N1	IO	DQ6B		AN13			DQ3B		DQ1B		DQ0B
B7	VREFB7N1	IO	DQS6B		AL13	AC12		DQS3B				
B7	VREFB7N1	IO			AD14							
B7	VREFB7N1	IO			AF13							
B7	VREFB7N1	IO	DQ5B		AP12	AD11	Y5	DQ2B	DQ0B		DQ0B	
B7	VREFB7N1	IO			AM12	AF11		DQ2B	DQ0B	DQ0B		
B7	VREFB7N1	VREFB7N1	VREFB7N1		AK13	AC10	V8					
B7	VREFB7N1	IO	DQ5B		AH11	AF10		DQ2B	DQ0B	DQ0B	DQ0B	DQ0B
B7	VREFB7N1	IO	DQ5B		AH12	AG10		DQ2B	DQ0B	DQ0B	DQ0B	DQ0B
B7	VREFB7N1	IO	DQ5B		AJ12	AH10		DQ2B	DQ0B	DQ0B	DQ0B	DQ0B
B7	VREFB7N1	IO	DQS5B		AL12	AE11					DQS0B	DQS0B
B7	VREFB7N1	IO			AG11							
B7	VREFB7N1	IO	DQ4B		AP11			DQ2B		DQ0B		DQ0B
B7	VREFB7N1	IO			AM11	AB11				DQ0B		DQ0B
B7	VREFB7N1	IO	DQ4B		AJ11			DQ2B		DQ0B		DQ0B
B7	VREFB7N1	IO	DQ4B		AK11	Y11		DQ2B		DQ0B		DQ0B
B7	VREFB7N1	IO	DQ4B		AN11	AC11		DQ2B		DQ0B		DQ0B
B7	VREFB7N1	IO	DQS4B		AL11			DQS2B				
B7	VREFB7N1	IO			AG10							
B7	VREFB7N1	IO			AF11							
B7	VREFB7N1	IO	DQ3B		AP10	AE10	Y4	DQ1B	DQ0B	DQ0B	DQ0B	DQ0B
B7	VREFB7N1	IO			AM10	AF9		DQ1B			DQ0B	DQ0B
B7	VREFB7N2	IO	DQ3B		AH10	AH8		DQ1B	DQ0B	DQ0B	DQ0B	DQ0B
B7	VREFB7N2	IO	DQ3B		AJ10	AH9		DQ1B	DQ0B	DQ0B	DQ0B	DQ0B
B7	VREFB7N2	IO	DQ3B		AN10	AD10		DQ1B	DQ0B	DQ0B	DQ0B	DQ0B
B7	VREFB7N2	IO	DQS3B		AL10	AE9			DQS0B	DQS0B		
B7	VREFB7N2	IO			AC13							
B7	VREFB7N2	IO			AD13							
B7	VREFB7N2	IO	DQ2B		AP9			DQ1B		DQ0B		DQ0B
B7	VREFB7N2	IO			AM9					DQ0B		DQ0B
B7	VREFB7N2	IO	DQ2B		AH9	AB10		DQ1B		DQ0B		DQ0B
B7	VREFB7N2	IO	DQ2B		AH8	Y10		DQ1B		DQ0B		DQ0B
B7	VREFB7N2	IO	DQ2B		AJ9			DQ1B		DQ0B		DQ0B
B7	VREFB7N2	IO	DQS2B		AL9			DQS1B				
B7	VREFB7N2	IO			AE11							
B7	VREFB7N2	IO	DQ1B		AP8	AH7		DQ0B				
B7	VREFB7N2	IO			AM8	AG8		DQ0B				
B7	VREFB7N2	VREFB7N2	VREFB7N2		AK10	AD8	V7					
B7	VREFB7N2	IO	DQ1B		AJ8	AE7		DQ0B				
B7	VREFB7N2	IO	DQ1B		AK8	AF7		DQ0B				
B7	VREFB7N2	IO	DQ1B		AN8	AE8		DQ0B				
B7	VREFB7N2	IO	DQS1B		AL8	AF8						
B7	VREFB7N2	IO			AE10	AC8	AB3					
