Bank Number	Index within I/O Bank (1)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Soft CDR Support	GT Support	SF45	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36								
1G			GXBL1G_TX_CH4p						F44												
1G			"GXBL1G_RX_CH4n,GXBL1G_REFCLK4n"						L41												
1G			"GXBL1G_RX_CH4p,GXBL1G_REFCLK4p"						L42												
1G			GXBL1G_TX_CH3n						G41												
1G			GXBL1G_TX_CH3p						G42												
1G			"GXBL1G_RX_CH3n,GXBL1G_REFCLK3n"						M39												
1G			"GXBL1G_RX_CH3p,GXBL1G_REFCLK3p"						M40												
1G			GXBL1G_TX_CH2n						H43												
1G			GXBL1G_TX_CH2p						H44												
1G			"GXBL1G_RX_CH2n,GXBL1G_REFCLK2n"						N41												
1G			"GXBL1G_RX_CH2p,GXBL1G_REFCLK2p"						N42												
1G			GXBL1G_TX_CH1n					Yes	J41												
1G			GXBL1G_TX_CH1p					Yes	J42												
1G			"GXBL1G_RX_CH1n,GXBL1G_REFCLK1n"					Yes	P39												
1G			"GXBL1G_RX_CH1p,GXBL1G_REFCLK1p"					Yes	P40												
1G			GXBL1G_TX_CH0n					Yes	K43												
1G			GXBL1G_TX_CH0p					Yes	K44												
1G			"GXBL1G_RX_CH0n,GXBL1G_REFCLK0n"					Yes	R41												
1G			"GXBL1G_RX_CH0p,GXBL1G_REFCLK0p"					Yes	R42												
1G			REFCLK_GXBL1G_CHBp						U37												
1G			REFCLK_GXBL1G_CHBn						U38												
1F			REFCLK_GXBL1F_CHTp						W37												
1F			REFCLK_GXBL1F_CHTn						W38												
1F			GXBL1F_TX_CH5n						M43												
1F			GXBL1F_TX_CH5p						M44												
1F			"GXBL1F_RX_CH5n,GXBL1F_REFCLK5n"						T39												
1F			"GXBL1F_RX_CH5p,GXBL1F_REFCLK5p"						T40												
1F			GXBL1F_TX_CH4n						P43												
1F			GXBL1F_TX_CH4p						P44												
1F			"GXBL1F_RX_CH4n,GXBL1F_REFCLK4n"						U41												
1F			"GXBL1F_RX_CH4p,GXBL1F_REFCLK4p"						U42												
1F			GXBL1F_TX_CH3n						T43												
1F			GXBL1F_TX_CH3p						T44												
1F			"GXBL1F_RX_CH3n,GXBL1F_REFCLK3n"						V39												
1F			"GXBL1F_RX_CH3p,GXBL1F_REFCLK3p"						V40												
1F			GXBL1F_TX_CH2n						V43												
1F			GXBL1F_TX_CH2p						V44												
1F			"GXBL1F_RX_CH2n,GXBL1F_REFCLK2n"						Y39												
1F			"GXBL1F_RX_CH2p,GXBL1F_REFCLK2p"						Y40												
1F			GXBL1F_TX_CH1n						Y43												
1F			GXBL1F_TX_CH1p						Y44												
1F			"GXBL1F_RX_CH1n,GXBL1F_REFCLK1n"						W41												
1F			"GXBL1F_RX_CH1p,GXBL1F_REFCLK1p"						W42												
1F			GXBL1F_TX_CH0n						AB43												
1F			GXBL1F_TX_CH0p						AB44												
1F			"GXBL1F_RX_CH0n,GXBL1F_REFCLK0n"						AA41												
1F			"GXBL1F_RX_CH0p,GXBL1F_REFCLK0p"						AA42												
1F			REFCLK_GXBL1F_CHBp						AA37												
1F			REFCLK_GXBL1F_CHBn						AA38												
1E			REFCLK_GXBL1E_CHTp						AC37												
1E			REFCLK_GXBL1E_CHTn						AC38												
1E			GXBL1E_TX_CH5n						AD43												
1E			GXBL1E_TX_CH5p						AD44												
1E			"GXBL1E_RX_CH5n,GXBL1E_REFCLK5n"						AB39												
1E			"GXBL1E_RX_CH5p,GXBL1E_REFCLK5p"						AB40												
1E			GXBL1E_TX_CH4n					Yes	AF43												
1E			GXBL1E_TX_CH4p					Yes	AF44												
1E			"GXBL1E_RX_CH4n,GXBL1E_REFCLK4n"					Yes	AC41												
1E			"GXBL1E_RX_CH4p,GXBL1E_REFCLK4p"					Yes	AC42												
1E			GXBL1E_TX_CH3n					Yes	AH43												
1E			GXBL1E_TX_CH3p					Yes	AH44												
1E			"GXBL1E_RX_CH3n,GXBL1E_REFCLK3n"					Yes	AD39												
1E			"GXBL1E_RX_CH3p,GXBL1E_REFCLK3p"					Yes	AD40												
1E			GXBL1E_TX_CH2n						AK43												
1E			GXBL1E_TX_CH2p						AK44												
1E			"GXBL1E_RX_CH2n,GXBL1E_REFCLK2n"						AE41												
1E			"GXBL1E_RX_CH2p,GXBL1E_REFCLK2p"						AE42												
1E			GXBL1E_TX_CH1n						AM43												
1E			GXBL1E_TX_CH1p						AM44												
1E			"GXBL1E_RX_CH1n,GXBL1E_REFCLK1n"						AF39												
1E			"GXBL1E_RX_CH1p,GXBL1E_REFCLK1p"						AF40												
1E			GXBL1E_TX_CH0n						AP43												
1E			GXBL1E_TX_CH0p						AP44												
1E			"GXBL1E_RX_CH0n,GXBL1E_REFCLK0n"						AG41												
1E			"GXBL1E_RX_CH0p,GXBL1E_REFCLK0p"						AG42												
1E			REFCLK_GXBL1E_CHBp						AE37												
1E			REFCLK_GXBL1E_CHBn						AE38												
1D			REFCLK_GXBL1D_CHTp						AG37												
1D			REFCLK_GXBL1D_CHTn						AG38												
1D			GXBL1D_TX_CH5n						AR41												
1D			GXBL1D_TX_CH5p						AR42												
1D			"GXBL1D_RX_CH5n,GXBL1D_REFCLK5n"						AH39												
1D			"GXBL1D_RX_CH5p,GXBL1D_REFCLK5p"						AH40												
1D			GXBL1D_TX_CH4n						AT43												
1D			GXBL1D_TX_CH4p						AT44												
1D			"GXBL1D_RX_CH4n,GXBL1D_REFCLK4n"						AJ41												
1D			"GXBL1D_RX_CH4p,GXBL1D_REFCLK4p"						AJ42												
1D			GXBL1D_TX_CH3n						AU41												
1D			GXBL1D_TX_CH3p						AU42												
1D			"GXBL1D_RX_CH3n,GXBL1D_REFCLK3n"						AK39												
1D			"GXBL1D_RX_CH3p,GXBL1D_REFCLK3p"						AK40												
1D			GXBL1D_TX_CH2n						AV43												
1D			GXBL1D_TX_CH2p						AV44												
1D			"GXBL1D_RX_CH2n,GXBL1D_REFCLK2n"						AL41												
1D			"GXBL1D_RX_CH2p,GXBL1D_REFCLK2p"						AL42												
1D			GXBL1D_TX_CH1n						AW41												
1D			GXBL1D_TX_CH1p						AW42												
1D			"GXBL1D_RX_CH1n,GXBL1D_REFCLK1n"						AM39												
1D			"GXBL1D_RX_CH1p,GXBL1D_REFCLK1p"						AM40												
1D			GXBL1D_TX_CH0n						AY43												
1D			GXBL1D_TX_CH0p						AY44												
1D			"GXBL1D_RX_CH0n,GXBL1D_REFCLK0n"						AN41												
1D			"GXBL1D_RX_CH0p,GXBL1D_REFCLK0p"						AN42												
1D			REFCLK_GXBL1D_CHBp						AJ37												
1D			REFCLK_GXBL1D_CHBn						AJ38												
1C			REFCLK_GXBL1C_CHTp						AL37												
1C			REFCLK_GXBL1C_CHTn						AL38												
1C			GXBL1C_TX_CH5n						BA41												
1C			GXBL1C_TX_CH5p						BA42												
1C			"GXBL1C_RX_CH5n,GXBL1C_REFCLK5n"						AP39												
1C			"GXBL1C_RX_CH5p,GXBL1C_REFCLK5p"						AP40												
1C			GXBL1C_TX_CH4n						BB43												
1C			GXBL1C_TX_CH4p						BB44												
1C			"GXBL1C_RX_CH4n,GXBL1C_REFCLK4n"						AT39												
1C			"GXBL1C_RX_CH4p,GXBL1C_REFCLK4p"						AT40												
1C			GXBL1C_TX_CH3n						BC41												
1C			GXBL1C_TX_CH3p						BC42												
1C			"GXBL1C_RX_CH3n,GXBL1C_REFCLK3n"						AV39												
1C			"GXBL1C_RX_CH3p,GXBL1C_REFCLK3p"						AV40												
1C			GXBL1C_TX_CH2n						BB39												
1C			GXBL1C_TX_CH2p						BB40												
1C			"GXBL1C_RX_CH2n,GXBL1C_REFCLK2n"						AY39												
1C			"GXBL1C_RX_CH2p,GXBL1C_REFCLK2p"						AY40												
1C			GXBL1C_TX_CH1n						BD39												
1C			GXBL1C_TX_CH1p						BD40												
1C			"GXBL1C_RX_CH1n,GXBL1C_REFCLK1n"						BA37												
1C			"GXBL1C_RX_CH1p,GXBL1C_REFCLK1p"						BA38												
1C			GXBL1C_TX_CH0n						BC37												
1C			GXBL1C_TX_CH0p						BC38												
1C			"GXBL1C_RX_CH0n,GXBL1C_REFCLK0n"						AW37												
1C			"GXBL1C_RX_CH0p,GXBL1C_REFCLK0p"						AW38												
1C			REFCLK_GXBL1C_CHBp						AN37												
1C			REFCLK_GXBL1C_CHBn						AN38												
2L	47	VREFB2LN0	IO			LVDS2L_1n	No		E26	DQ0	DQ0	DQ0	DQ0								
2L	46	VREFB2LN0	IO			LVDS2L_1p	No		D26	DQ0	DQ0	DQ0	DQ0								
2L	45	VREFB2LN0	IO			LVDS2L_2n	Yes		A27	DQSn0	DQ0	DQ0	DQ0								
2L	44	VREFB2LN0	IO			LVDS2L_2p	Yes		A28	DQS0	DQ0	DQ0	DQ0								
2L	43	VREFB2LN0	IO			LVDS2L_3n	No		B27	DQ0	DQ0	DQ0	DQ0								
2L	42	VREFB2LN0	IO			LVDS2L_3p	No		B28	DQ0	DQ0	DQ0	DQ0								
2L	41	VREFB2LN0	IO			LVDS2L_4n	Yes		C26	DQSn1	DQSn0/CQn0	DQ0	DQ0								
2L	40	VREFB2LN0	IO			LVDS2L_4p	Yes		B26	DQS1	DQS0/CQ0	DQ0	DQ0								
2L	39	VREFB2LN0	IO			LVDS2L_5n	No		E27	DQ1	DQ0	DQ0	DQ0								
2L	38	VREFB2LN0	IO			LVDS2L_5p	No		D27	DQ1	DQ0	DQ0	DQ0								
2L	37	VREFB2LN0	IO			LVDS2L_6n	Yes		D28	DQ1	DQ0	DQSn0/CQn0	DQ0								
2L	36	VREFB2LN0	IO			LVDS2L_6p	Yes		C28	DQ1	DQ0	DQS0/CQ0	DQ0								
2L	35	VREFB2LN0	IO			LVDS2L_7n	No		F27	DQ2	DQ1	DQ0	DQ0								
2L	34	VREFB2LN0	IO			LVDS2L_7p	No		F28	DQ2	DQ1	DQ0	DQ0								
2L	33	VREFB2LN0	IO			LVDS2L_8n	Yes		G27	DQSn2	DQ1	DQ0	DQ0								
2L	32	VREFB2LN0	IO			LVDS2L_8p	Yes		G28	DQS2	DQ1	DQ0	DQ0								
2L	31	VREFB2LN0	IO			LVDS2L_9n	No		G25	DQ2	DQ1	DQ0	DQ0								
2L	30	VREFB2LN0	IO			LVDS2L_9p	No		H25	DQ2	DQ1	DQ0	DQ0								
2L	29	VREFB2LN0	IO	PLL_2L_CLKOUT1n		LVDS2L_10n	Yes		J27	DQSn3	DQSn1/CQn1	DQ0	DQ0								
2L	28	VREFB2LN0	IO	"PLL_2L_CLKOUT1p,PLL_2L_CLKOUT1,PLL_2L_FB1"		LVDS2L_10p	Yes		H28	DQS3	DQS1/CQ1	DQ0	DQ0								
2L	27	VREFB2LN0	IO			LVDS2L_11n	No		K27	DQ3	DQ1	DQ0	DQ0								
2L	26	VREFB2LN0	IO	RZQ_2L		LVDS2L_11p	No		J28	DQ3	DQ1	DQ0	DQ0								
2L	25	VREFB2LN0	IO	CLK_2L_1n		LVDS2L_12n	Yes		H26	DQ3	DQ1	DQ0	DQ0								
2L	24	VREFB2LN0	IO	CLK_2L_1p		LVDS2L_12p	Yes		G26	DQ3	DQ1	DQ0	DQ0								
2L	23	VREFB2LN0	IO	CLK_2L_0n		LVDS2L_13n	No		A29	DQ4	DQ2	DQ1	DQ0								
2L	22	VREFB2LN0	IO	CLK_2L_0p		LVDS2L_13p	No		A30	DQ4	DQ2	DQ1	DQ0								
2L	21	VREFB2LN0	IO			LVDS2L_14n	Yes		C31	DQSn4	DQ2	DQ1	DQSn0/CQn0								
2L	20	VREFB2LN0	IO			LVDS2L_14p	Yes		D31	DQS4	DQ2	DQ1	DQS0/CQ0								
2L	19	VREFB2LN0	IO	PLL_2L_CLKOUT0n		LVDS2L_15n	No		B30	DQ4	DQ2	DQ1	DQ0								
2L	18	VREFB2LN0	IO	"PLL_2L_CLKOUT0p,PLL_2L_CLKOUT0,PLL_2L_FB0"		LVDS2L_15p	No		B31	DQ4	DQ2	DQ1	DQ0								
2L	17	VREFB2LN0	IO			LVDS2L_16n	Yes		C29	DQSn5	DQSn2/CQn2	DQ1	DQ0								
2L	16	VREFB2LN0	IO			LVDS2L_16p	Yes		C30	DQS5	DQS2/CQ2	DQ1	DQ0								
2L	15	VREFB2LN0	IO			LVDS2L_17n	No		E31	DQ5	DQ2	DQ1	DQ0								
2L	14	VREFB2LN0	IO			LVDS2L_17p	No		E30	DQ5	DQ2	DQ1	DQ0								
2L	13	VREFB2LN0	IO			LVDS2L_18n	Yes		D29	DQ5	DQ2	DQSn1/CQn1	DQ0								
2L	12	VREFB2LN0	IO			LVDS2L_18p	Yes		E29	DQ5	DQ2	DQS1/CQ1	DQ0								
2L	11	VREFB2LN0	IO			LVDS2L_19n	No		F29	DQ6	DQ3	DQ1	DQ0								
2L	10	VREFB2LN0	IO			LVDS2L_19p	No		F30	DQ6	DQ3	DQ1	DQ0								
2L	9	VREFB2LN0	IO			LVDS2L_20n	Yes		J29	DQSn6	DQ3	DQ1	DQ0								
2L	8	VREFB2LN0	IO			LVDS2L_20p	Yes		K29	DQS6	DQ3	DQ1	DQ0								
2L	7	VREFB2LN0	IO			LVDS2L_21n	No		K30	DQ6	DQ3	DQ1	DQ0								
2L	6	VREFB2LN0	IO			LVDS2L_21p	No		K31	DQ6	DQ3	DQ1	DQ0								
2L	5	VREFB2LN0	IO			LVDS2L_22n	Yes		L29	DQSn7	DQSn3/CQn3	DQ1	DQ0								
2L	4	VREFB2LN0	IO			LVDS2L_22p	Yes		L30	DQS7	DQS3/CQ3	DQ1	DQ0								
2L	3	VREFB2LN0	IO			LVDS2L_23n	No		G31	DQ7	DQ3	DQ1	DQ0								
2L	2	VREFB2LN0	IO			LVDS2L_23p	No		G30	DQ7	DQ3	DQ1	DQ0								
2L	1	VREFB2LN0	IO			LVDS2L_24n	Yes		H30	DQ7	DQ3	DQ1	DQ0								
2L	0	VREFB2LN0	IO			LVDS2L_24p	Yes		H29	DQ7	DQ3	DQ1	DQ0								
2K	47	VREFB2KN0	IO			LVDS2K_1n	No		C33	DQ8	DQ4	DQ2	DQ1								
2K	46	VREFB2KN0	IO			LVDS2K_1p	No		D32	DQ8	DQ4	DQ2	DQ1								
2K	45	VREFB2KN0	IO			LVDS2K_2n	Yes		A32	DQSn8	DQ4	DQ2	DQ1								
2K	44	VREFB2KN0	IO			LVDS2K_2p	Yes		B32	DQS8	DQ4	DQ2	DQ1								
2K	43	VREFB2KN0	IO			LVDS2K_3n	No		A33	DQ8	DQ4	DQ2	DQ1								
2K	42	VREFB2KN0	IO			LVDS2K_3p	No		B33	DQ8	DQ4	DQ2	DQ1								
2K	41	VREFB2KN0	IO			LVDS2K_4n	Yes		C34	DQSn9	DQSn4/CQn4	DQ2	DQ1								
2K	40	VREFB2KN0	IO			LVDS2K_4p	Yes		D33	DQS9	DQS4/CQ4	DQ2	DQ1								
2K	39	VREFB2KN0	IO			LVDS2K_5n	No		D34	DQ9	DQ4	DQ2	DQ1								
2K	38	VREFB2KN0	IO			LVDS2K_5p	No		C35	DQ9	DQ4	DQ2	DQ1								
2K	37	VREFB2KN0	IO			LVDS2K_6n	Yes		E34	DQ9	DQ4	DQSn2/CQn2	DQ1								
2K	36	VREFB2KN0	IO			LVDS2K_6p	Yes		E35	DQ9	DQ4	DQS2/CQ2	DQ1								
2K	35	VREFB2KN0	IO			LVDS2K_7n	No		H35	DQ10	DQ5	DQ2	DQ1								
2K	34	VREFB2KN0	IO			LVDS2K_7p	No		G35	DQ10	DQ5	DQ2	DQ1								
2K	33	VREFB2KN0	IO			LVDS2K_8n	Yes		F33	DQSn10	DQ5	DQ2	DQ1								
2K	32	VREFB2KN0	IO			LVDS2K_8p	Yes		G33	DQS10	DQ5	DQ2	DQ1								
2K	31	VREFB2KN0	IO			LVDS2K_9n	No		F32	DQ10	DQ5	DQ2	DQ1								
2K	30	VREFB2KN0	IO			LVDS2K_9p	No		E32	DQ10	DQ5	DQ2	DQ1								
2K	29	VREFB2KN0	IO	PLL_2K_CLKOUT1n		LVDS2K_10n	Yes		G32	DQSn11	DQSn5/CQn5	DQ2	DQ1								
2K	28	VREFB2KN0	IO	"PLL_2K_CLKOUT1p,PLL_2K_CLKOUT1,PLL_2K_FB1"		LVDS2K_10p	Yes		H33	DQS11	DQS5/CQ5	DQ2	DQ1								
2K	27	VREFB2KN0	IO			LVDS2K_11n	No		H34	DQ11	DQ5	DQ2	DQ1								
2K	26	VREFB2KN0	IO	RZQ_2K		LVDS2K_11p	No		J34	DQ11	DQ5	DQ2	DQ1								
2K	25	VREFB2KN0	IO	CLK_2K_1n		LVDS2K_12n	Yes		F35	DQ11	DQ5	DQ2	DQ1								
2K	24	VREFB2KN0	IO	CLK_2K_1p		LVDS2K_12p	Yes		F34	DQ11	DQ5	DQ2	DQ1								
2K	23	VREFB2KN0	IO	CLK_2K_0n		LVDS2K_13n	No		J31	DQ12	DQ6	DQ3	DQ1								
2K	22	VREFB2KN0	IO	CLK_2K_0p		LVDS2K_13p	No		H31	DQ12	DQ6	DQ3	DQ1								
2K	21	VREFB2KN0	IO			LVDS2K_14n	Yes		J32	DQSn12	DQ6	DQ3	DQSn1/CQn1								
2K	20	VREFB2KN0	IO			LVDS2K_14p	Yes		J33	DQS12	DQ6	DQ3	DQS1/CQ1								
2K	19	VREFB2KN0	IO	PLL_2K_CLKOUT0n		LVDS2K_15n	No		L33	DQ12	DQ6	DQ3	DQ1								
2K	18	VREFB2KN0	IO	"PLL_2K_CLKOUT0p,PLL_2K_CLKOUT0,PLL_2K_FB0"		LVDS2K_15p	No		M33	DQ12	DQ6	DQ3	DQ1								
2K	17	VREFB2KN0	IO			LVDS2K_16n	Yes		K34	DQSn13	DQSn6/CQn6	DQ3	DQ1								
2K	16	VREFB2KN0	IO			LVDS2K_16p	Yes		L34	DQS13	DQS6/CQ6	DQ3	DQ1								
2K	15	VREFB2KN0	IO			LVDS2K_17n	No		M35	DQ13	DQ6	DQ3	DQ1								
2K	14	VREFB2KN0	IO			LVDS2K_17p	No		N34	DQ13	DQ6	DQ3	DQ1								
2K	13	VREFB2KN0	IO			LVDS2K_18n	Yes		L32	DQ13	DQ6	DQSn3/CQn3	DQ1								
2K	12	VREFB2KN0	IO			LVDS2K_18p	Yes		M32	DQ13	DQ6	DQS3/CQ3	DQ1								
2K	11	VREFB2KN0	IO			LVDS2K_19n	No		T32	DQ14	DQ7	DQ3	DQ1								
2K	10	VREFB2KN0	IO			LVDS2K_19p	No		U32	DQ14	DQ7	DQ3	DQ1								
2K	9	VREFB2KN0	IO			LVDS2K_20n	Yes		R31	DQSn14	DQ7	DQ3	DQ1								
2K	8	VREFB2KN0	IO			LVDS2K_20p	Yes		R30	DQS14	DQ7	DQ3	DQ1								
2K	7	VREFB2KN0	IO			LVDS2K_21n	No		T33	DQ14	DQ7	DQ3	DQ1								
2K	6	VREFB2KN0	IO			LVDS2K_21p	No		U33	DQ14	DQ7	DQ3	DQ1								
2K	5	VREFB2KN0	IO			LVDS2K_22n	Yes		P33	DQSn15	DQSn7/CQn7	DQ3	DQ1								
2K	4	VREFB2KN0	IO			LVDS2K_22p	Yes		N33	DQS15	DQS7/CQ7	DQ3	DQ1								
2K	3	VREFB2KN0	IO			LVDS2K_23n	No		P34	DQ15	DQ7	DQ3	DQ1								
2K	2	VREFB2KN0	IO			LVDS2K_23p	No		R34	DQ15	DQ7	DQ3	DQ1								
2K	1	VREFB2KN0	IO			LVDS2K_24n	Yes		T35	DQ15	DQ7	DQ3	DQ1								
2K	0	VREFB2KN0	IO			LVDS2K_24p	Yes		T34	DQ15	DQ7	DQ3	DQ1								
2J	47	VREFB2JN0	IO			LVDS2J_1n	No		AD31	DQ16	DQ8	DQ4	DQ2								
2J	46	VREFB2JN0	IO			LVDS2J_1p	No		AC31	DQ16	DQ8	DQ4	DQ2								
2J	45	VREFB2JN0	IO			LVDS2J_2n	Yes		AD32	DQSn16	DQ8	DQ4	DQ2								
2J	44	VREFB2JN0	IO			LVDS2J_2p	Yes		AD33	DQS16	DQ8	DQ4	DQ2								
2J	43	VREFB2JN0	IO			LVDS2J_3n	No		AB31	DQ16	DQ8	DQ4	DQ2								
2J	42	VREFB2JN0	IO			LVDS2J_3p	No		AB32	DQ16	DQ8	DQ4	DQ2								
2J	41	VREFB2JN0	IO			LVDS2J_4n	Yes		AA32	DQSn17	DQSn8/CQn8	DQ4	DQ2								
2J	40	VREFB2JN0	IO			LVDS2J_4p	Yes		Y32	DQS17	DQS8/CQ8	DQ4	DQ2								
2J	39	VREFB2JN0	IO			LVDS2J_5n	No		W31	DQ17	DQ8	DQ4	DQ2								
2J	38	VREFB2JN0	IO			LVDS2J_5p	No		Y31	DQ17	DQ8	DQ4	DQ2								
2J	37	VREFB2JN0	IO			LVDS2J_6n	Yes		AA30	DQ17	DQ8	DQSn4/CQn4	DQ2								
2J	36	VREFB2JN0	IO			LVDS2J_6p	Yes		Y30	DQ17	DQ8	DQS4/CQ4	DQ2								
2J	35	VREFB2JN0	IO			LVDS2J_7n	No		AE32	DQ18	DQ9	DQ4	DQ2								
2J	34	VREFB2JN0	IO			LVDS2J_7p	No		AE31	DQ18	DQ9	DQ4	DQ2								
2J	33	VREFB2JN0	IO			LVDS2J_8n	Yes		AF30	DQSn18	DQ9	DQ4	DQ2								
2J	32	VREFB2JN0	IO			LVDS2J_8p	Yes		AE30	DQS18	DQ9	DQ4	DQ2								
2J	31	VREFB2JN0	IO			LVDS2J_9n	No		AH33	DQ18	DQ9	DQ4	DQ2								
2J	30	VREFB2JN0	IO			LVDS2J_9p	No		AG33	DQ18	DQ9	DQ4	DQ2								
2J	29	VREFB2JN0	IO	PLL_2J_CLKOUT1n		LVDS2J_10n	Yes		AJ31	DQSn19	DQSn9/CQn9	DQ4	DQ2								
2J	28	VREFB2JN0	IO	"PLL_2J_CLKOUT1p,PLL_2J_CLKOUT1,PLL_2J_FB1"		LVDS2J_10p	Yes		AJ32	DQS19	DQS9/CQ9	DQ4	DQ2								
2J	27	VREFB2JN0	IO			LVDS2J_11n	No		AG32	DQ19	DQ9	DQ4	DQ2								
2J	26	VREFB2JN0	IO	RZQ_2J		LVDS2J_11p	No		AF32	DQ19	DQ9	DQ4	DQ2								
2J	25	VREFB2JN0	IO	CLK_2J_1n		LVDS2J_12n	Yes		AH31	DQ19	DQ9	DQ4	DQ2								
2J	24	VREFB2JN0	IO	CLK_2J_1p		LVDS2J_12p	Yes		AG31	DQ19	DQ9	DQ4	DQ2								
2J	23	VREFB2JN0	IO	CLK_2J_0n		LVDS2J_13n	No		V31	DQ20	DQ10	DQ5	DQ2								
2J	22	VREFB2JN0	IO	CLK_2J_0p		LVDS2J_13p	No		U31	DQ20	DQ10	DQ5	DQ2								
2J	21	VREFB2JN0	IO			LVDS2J_14n	Yes		W33	DQSn20	DQ10	DQ5	DQSn2/CQn2								
2J	20	VREFB2JN0	IO			LVDS2J_14p	Yes		W32	DQS20	DQ10	DQ5	DQS2/CQ2								
2J	19	VREFB2JN0	IO	PLL_2J_CLKOUT0n		LVDS2J_15n	No		Y34	DQ20	DQ10	DQ5	DQ2								
2J	18	VREFB2JN0	IO	"PLL_2J_CLKOUT0p,PLL_2J_CLKOUT0,PLL_2J_FB0"		LVDS2J_15p	No		W34	DQ20	DQ10	DQ5	DQ2								
2J	17	VREFB2JN0	IO			LVDS2J_16n	Yes		AA33	DQSn21	DQSn10/CQn10	DQ5	DQ2								
2J	16	VREFB2JN0	IO			LVDS2J_16p	Yes		AA34	DQS21	DQS10/CQ10	DQ5	DQ2								
2J	15	VREFB2JN0	IO			LVDS2J_17n	No		Y35	DQ21	DQ10	DQ5	DQ2								
2J	14	VREFB2JN0	IO			LVDS2J_17p	No		W35	DQ21	DQ10	DQ5	DQ2								
2J	13	VREFB2JN0	IO			LVDS2J_18n	Yes		V34	DQ21	DQ10	DQSn5/CQn5	DQ2								
2J	12	VREFB2JN0	IO			LVDS2J_18p	Yes		V33	DQ21	DQ10	DQS5/CQ5	DQ2								
2J	11	VREFB2JN0	IO			LVDS2J_19n	No		AC34	DQ22	DQ11	DQ5	DQ2								
2J	10	VREFB2JN0	IO			LVDS2J_19p	No		AD34	DQ22	DQ11	DQ5	DQ2								
2J	9	VREFB2JN0	IO			LVDS2J_20n	Yes		AC33	DQSn22	DQ11	DQ5	DQ2								
2J	8	VREFB2JN0	IO			LVDS2J_20p	Yes		AB33	DQS22	DQ11	DQ5	DQ2								
2J	7	VREFB2JN0	IO			LVDS2J_21n	No		AE34	DQ22	DQ11	DQ5	DQ2								
2J	6	VREFB2JN0	IO			LVDS2J_21p	No		AD35	DQ22	DQ11	DQ5	DQ2								
2J	5	VREFB2JN0	IO			LVDS2J_22n	Yes		AF34	DQSn23	DQSn11/CQn11	DQ5	DQ2								
2J	4	VREFB2JN0	IO			LVDS2J_22p	Yes		AF33	DQS23	DQS11/CQ11	DQ5	DQ2								
2J	3	VREFB2JN0	IO			LVDS2J_23n	No		AJ34	DQ23	DQ11	DQ5	DQ2								
2J	2	VREFB2JN0	IO			LVDS2J_23p	No		AJ33	DQ23	DQ11	DQ5	DQ2								
2J	1	VREFB2JN0	IO			LVDS2J_24n	Yes		AH35	DQ23	DQ11	DQ5	DQ2								
