Bank Number	Index within I/O Bank (1)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Soft CDR Support	RF40	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36
1D			GXBL1D_TX_CH3p					AM39				
1D			"GXBL1D_RX_CH3n,GXBL1D_REFCLK3n"					AG36				
1D			"GXBL1D_RX_CH3p,GXBL1D_REFCLK3p"					AG37				
1D			GXBL1D_TX_CH2n					AN36				
1D			GXBL1D_TX_CH2p					AN37				
1D			"GXBL1D_RX_CH2n,GXBL1D_REFCLK2n"					AH34				
1D			"GXBL1D_RX_CH2p,GXBL1D_REFCLK2p"					AH35				
1D			GXBL1D_TX_CH1n					AP38				
1D			GXBL1D_TX_CH1p					AP39				
1D			"GXBL1D_RX_CH1n,GXBL1D_REFCLK1n"					AJ36				
1D			"GXBL1D_RX_CH1p,GXBL1D_REFCLK1p"					AJ37				
1D			GXBL1D_TX_CH0n					AR36				
1D			GXBL1D_TX_CH0p					AR37				
1D			"GXBL1D_RX_CH0n,GXBL1D_REFCLK0n"					AK34				
1D			"GXBL1D_RX_CH0p,GXBL1D_REFCLK0p"					AK35				
1D			REFCLK_GXBL1D_CHBp					AG33				
1D			REFCLK_GXBL1D_CHBn					AG32				
1C			REFCLK_GXBL1C_CHTp					AJ33				
1C			REFCLK_GXBL1C_CHTn					AJ32				
1C			GXBL1C_TX_CH5n					AT38				
1C			GXBL1C_TX_CH5p					AT39				
1C			"GXBL1C_RX_CH5n,GXBL1C_REFCLK5n"					AM34				
1C			"GXBL1C_RX_CH5p,GXBL1C_REFCLK5p"					AM35				
1C			GXBL1C_TX_CH4n					AU36				
1C			GXBL1C_TX_CH4p					AU37				
1C			"GXBL1C_RX_CH4n,GXBL1C_REFCLK4n"					AP34				
1C			"GXBL1C_RX_CH4p,GXBL1C_REFCLK4p"					AP35				
1C			GXBL1C_TX_CH3n					AV38				
1C			GXBL1C_TX_CH3p					AV39				
1C			"GXBL1C_RX_CH3n,GXBL1C_REFCLK3n"					AT34				
1C			"GXBL1C_RX_CH3p,GXBL1C_REFCLK3p"					AT35				
1C			GXBL1C_TX_CH2n					AW36				
1C			GXBL1C_TX_CH2p					AW37				
1C			"GXBL1C_RX_CH2n,GXBL1C_REFCLK2n"					AR32				
1C			"GXBL1C_RX_CH2p,GXBL1C_REFCLK2p"					AR33				
1C			GXBL1C_TX_CH1n					AV34				
1C			GXBL1C_TX_CH1p					AV35				
1C			"GXBL1C_RX_CH1n,GXBL1C_REFCLK1n"					AU32				
1C			"GXBL1C_RX_CH1p,GXBL1C_REFCLK1p"					AU33				
1C			GXBL1C_TX_CH0n					AW32				
1C			GXBL1C_TX_CH0p					AW33				
1C			"GXBL1C_RX_CH0n,GXBL1C_REFCLK0n"					AV30				
1C			"GXBL1C_RX_CH0p,GXBL1C_REFCLK0p"					AV31				
1C			REFCLK_GXBL1C_CHBp					AL33				
1C			REFCLK_GXBL1C_CHBn					AL32				
2L	47	VREFB2LN0	IO			LVDS2L_1n	No	L22	DQ0	DQ0	DQ0	DQ0
2L	46	VREFB2LN0	IO			LVDS2L_1p	No	K22	DQ0	DQ0	DQ0	DQ0
2L	45	VREFB2LN0	IO			LVDS2L_2n	Yes	B23	DQSn0	DQ0	DQ0	DQ0
2L	44	VREFB2LN0	IO			LVDS2L_2p	Yes	C23	DQS0	DQ0	DQ0	DQ0
2L	43	VREFB2LN0	IO			LVDS2L_3n	No	E23	DQ0	DQ0	DQ0	DQ0
2L	42	VREFB2LN0	IO			LVDS2L_3p	No	F23	DQ0	DQ0	DQ0	DQ0
2L	41	VREFB2LN0	IO			LVDS2L_4n	Yes	J22	DQSn1	DQSn0/CQn0	DQ0	DQ0
2L	40	VREFB2LN0	IO			LVDS2L_4p	Yes	H22	DQS1	DQS0/CQ0	DQ0	DQ0
2L	39	VREFB2LN0	IO			LVDS2L_5n	No	E22	DQ1	DQ0	DQ0	DQ0
2L	38	VREFB2LN0	IO			LVDS2L_5p	No	F22	DQ1	DQ0	DQ0	DQ0
2L	37	VREFB2LN0	IO			LVDS2L_6n	Yes	C22	DQ1	DQ0	DQSn0/CQn0	DQ0
2L	36	VREFB2LN0	IO			LVDS2L_6p	Yes	D22	DQ1	DQ0	DQS0/CQ0	DQ0
2L	35	VREFB2LN0	IO			LVDS2L_7n	No	G23	DQ2	DQ1	DQ0	DQ0
2L	34	VREFB2LN0	IO			LVDS2L_7p	No	H23	DQ2	DQ1	DQ0	DQ0
2L	33	VREFB2LN0	IO			LVDS2L_8n	Yes	M23	DQSn2	DQ1	DQ0	DQ0
2L	32	VREFB2LN0	IO			LVDS2L_8p	Yes	L23	DQS2	DQ1	DQ0	DQ0
2L	31	VREFB2LN0	IO			LVDS2L_9n	No	A22	DQ2	DQ1	DQ0	DQ0
2L	30	VREFB2LN0	IO			LVDS2L_9p	No	A23	DQ2	DQ1	DQ0	DQ0
2L	29	VREFB2LN0	IO	PLL_2L_CLKOUT1n		LVDS2L_10n	Yes	A25	DQSn3	DQSn1/CQn1	DQ0	DQ0
2L	28	VREFB2LN0	IO	"PLL_2L_CLKOUT1p,PLL_2L_CLKOUT1,PLL_2L_FB1"		LVDS2L_10p	Yes	B25	DQS3	DQS1/CQ1	DQ0	DQ0
2L	27	VREFB2LN0	IO			LVDS2L_11n	No	B24	DQ3	DQ1	DQ0	DQ0
2L	26	VREFB2LN0	IO	RZQ_2L		LVDS2L_11p	No	C24	DQ3	DQ1	DQ0	DQ0
2L	25	VREFB2LN0	IO	CLK_2L_1n		LVDS2L_12n	Yes	B21	DQ3	DQ1	DQ0	DQ0
2L	24	VREFB2LN0	IO	CLK_2L_1p		LVDS2L_12p	Yes	A21	DQ3	DQ1	DQ0	DQ0
2L	23	VREFB2LN0	IO	CLK_2L_0n		LVDS2L_13n	No	D24	DQ4	DQ2	DQ1	DQ0
2L	22	VREFB2LN0	IO	CLK_2L_0p		LVDS2L_13p	No	E24	DQ4	DQ2	DQ1	DQ0
2L	21	VREFB2LN0	IO			LVDS2L_14n	Yes	C21	DQSn4	DQ2	DQ1	DQSn0/CQn0
2L	20	VREFB2LN0	IO			LVDS2L_14p	Yes	D21	DQS4	DQ2	DQ1	DQS0/CQ0
2L	19	VREFB2LN0	IO	PLL_2L_CLKOUT0n		LVDS2L_15n	No	K23	DQ4	DQ2	DQ1	DQ0
2L	18	VREFB2LN0	IO	"PLL_2L_CLKOUT0p,PLL_2L_CLKOUT0,PLL_2L_FB0"		LVDS2L_15p	No	K24	DQ4	DQ2	DQ1	DQ0
2L	17	VREFB2LN0	IO			LVDS2L_16n	Yes	H24	DQSn5	DQSn2/CQn2	DQ1	DQ0
2L	16	VREFB2LN0	IO			LVDS2L_16p	Yes	J24	DQS5	DQS2/CQ2	DQ1	DQ0
2L	15	VREFB2LN0	IO			LVDS2L_17n	No	M21	DQ5	DQ2	DQ1	DQ0
2L	14	VREFB2LN0	IO			LVDS2L_17p	No	L21	DQ5	DQ2	DQ1	DQ0
2L	13	VREFB2LN0	IO			LVDS2L_18n	Yes	A26	DQ5	DQ2	DQSn1/CQn1	DQ0
2L	12	VREFB2LN0	IO			LVDS2L_18p	Yes	B26	DQ5	DQ2	DQS1/CQ1	DQ0
2L	11	VREFB2LN0	IO			LVDS2L_19n	No	J21	DQ6	DQ3	DQ1	DQ0
2L	10	VREFB2LN0	IO			LVDS2L_19p	No	H21	DQ6	DQ3	DQ1	DQ0
2L	9	VREFB2LN0	IO			LVDS2L_20n	Yes	G21	DQSn6	DQ3	DQ1	DQ0
2L	8	VREFB2LN0	IO			LVDS2L_20p	Yes	F21	DQS6	DQ3	DQ1	DQ0
2L	7	VREFB2LN0	IO			LVDS2L_21n	No	E25	DQ6	DQ3	DQ1	DQ0
2L	6	VREFB2LN0	IO			LVDS2L_21p	No	F25	DQ6	DQ3	DQ1	DQ0
2L	5	VREFB2LN0	IO			LVDS2L_22n	Yes	G24	DQSn7	DQSn3/CQn3	DQ1	DQ0
2L	4	VREFB2LN0	IO			LVDS2L_22p	Yes	G25	DQS7	DQS3/CQ3	DQ1	DQ0
2L	3	VREFB2LN0	IO			LVDS2L_23n	No	A20	DQ7	DQ3	DQ1	DQ0
2L	2	VREFB2LN0	IO			LVDS2L_23p	No	B20	DQ7	DQ3	DQ1	DQ0
2L	1	VREFB2LN0	IO			LVDS2L_24n	Yes	D20	DQ7	DQ3	DQ1	DQ0
2L	0	VREFB2LN0	IO			LVDS2L_24p	Yes	E20	DQ7	DQ3	DQ1	DQ0
2K	47	VREFB2KN0	IO			LVDS2K_1n	No	K29	DQ8	DQ4	DQ2	DQ1
2K	46	VREFB2KN0	IO			LVDS2K_1p	No	J29	DQ8	DQ4	DQ2	DQ1
2K	45	VREFB2KN0	IO			LVDS2K_2n	Yes	M26	DQSn8	DQ4	DQ2	DQ1
2K	44	VREFB2KN0	IO			LVDS2K_2p	Yes	N26	DQS8	DQ4	DQ2	DQ1
2K	43	VREFB2KN0	IO			LVDS2K_3n	No	D25	DQ8	DQ4	DQ2	DQ1
2K	42	VREFB2KN0	IO			LVDS2K_3p	No	D26	DQ8	DQ4	DQ2	DQ1
2K	41	VREFB2KN0	IO			LVDS2K_4n	Yes	L28	DQSn9	DQSn4/CQn4	DQ2	DQ1
2K	40	VREFB2KN0	IO			LVDS2K_4p	Yes	K28	DQS9	DQS4/CQ4	DQ2	DQ1
2K	39	VREFB2KN0	IO			LVDS2K_5n	No	M29	DQ9	DQ4	DQ2	DQ1
2K	38	VREFB2KN0	IO			LVDS2K_5p	No	N29	DQ9	DQ4	DQ2	DQ1
2K	37	VREFB2KN0	IO			LVDS2K_6n	Yes	G29	DQ9	DQ4	DQSn2/CQn2	DQ1
2K	36	VREFB2KN0	IO			LVDS2K_6p	Yes	H29	DQ9	DQ4	DQS2/CQ2	DQ1
2K	35	VREFB2KN0	IO			LVDS2K_7n	No	C26	DQ10	DQ5	DQ2	DQ1
2K	34	VREFB2KN0	IO			LVDS2K_7p	No	C27	DQ10	DQ5	DQ2	DQ1
2K	33	VREFB2KN0	IO			LVDS2K_8n	Yes	D27	DQSn10	DQ5	DQ2	DQ1
2K	32	VREFB2KN0	IO			LVDS2K_8p	Yes	C28	DQS10	DQ5	DQ2	DQ1
2K	31	VREFB2KN0	IO			LVDS2K_9n	No	P29	DQ10	DQ5	DQ2	DQ1
2K	30	VREFB2KN0	IO			LVDS2K_9p	No	R29	DQ10	DQ5	DQ2	DQ1
2K	29	VREFB2KN0	IO	PLL_2K_CLKOUT1n		LVDS2K_10n	Yes	E27	DQSn11	DQSn5/CQn5	DQ2	DQ1
2K	28	VREFB2KN0	IO	"PLL_2K_CLKOUT1p,PLL_2K_CLKOUT1,PLL_2K_FB1"		LVDS2K_10p	Yes	F27	DQS11	DQS5/CQ5	DQ2	DQ1
2K	27	VREFB2KN0	IO			LVDS2K_11n	No	L25	DQ11	DQ5	DQ2	DQ1
2K	26	VREFB2KN0	IO	RZQ_2K		LVDS2K_11p	No	M25	DQ11	DQ5	DQ2	DQ1
2K	25	VREFB2KN0	IO	CLK_2K_1n		LVDS2K_12n	Yes	N28	DQ11	DQ5	DQ2	DQ1
2K	24	VREFB2KN0	IO	CLK_2K_1p		LVDS2K_12p	Yes	M28	DQ11	DQ5	DQ2	DQ1
2K	23	VREFB2KN0	IO	CLK_2K_0n		LVDS2K_13n	No	F26	DQ12	DQ6	DQ3	DQ1
2K	22	VREFB2KN0	IO	CLK_2K_0p		LVDS2K_13p	No	G26	DQ12	DQ6	DQ3	DQ1
2K	21	VREFB2KN0	IO			LVDS2K_14n	Yes	K27	DQSn12	DQ6	DQ3	DQSn1/CQn1
2K	20	VREFB2KN0	IO			LVDS2K_14p	Yes	L27	DQS12	DQ6	DQ3	DQS1/CQ1
2K	19	VREFB2KN0	IO	PLL_2K_CLKOUT0n		LVDS2K_15n	No	J25	DQ12	DQ6	DQ3	DQ1
2K	18	VREFB2KN0	IO	"PLL_2K_CLKOUT0p,PLL_2K_CLKOUT0,PLL_2K_FB0"		LVDS2K_15p	No	H26	DQ12	DQ6	DQ3	DQ1
2K	17	VREFB2KN0	IO			LVDS2K_16n	Yes	J26	DQSn13	DQSn6/CQn6	DQ3	DQ1
2K	16	VREFB2KN0	IO			LVDS2K_16p	Yes	J27	DQS13	DQS6/CQ6	DQ3	DQ1
2K	15	VREFB2KN0	IO			LVDS2K_17n	No	F30	DQ13	DQ6	DQ3	DQ1
2K	14	VREFB2KN0	IO			LVDS2K_17p	No	E30	DQ13	DQ6	DQ3	DQ1
2K	13	VREFB2KN0	IO			LVDS2K_18n	Yes	K25	DQ13	DQ6	DQSn3/CQn3	DQ1
2K	12	VREFB2KN0	IO			LVDS2K_18p	Yes	L26	DQ13	DQ6	DQS3/CQ3	DQ1
2K	11	VREFB2KN0	IO			LVDS2K_19n	No	H28	DQ14	DQ7	DQ3	DQ1
2K	10	VREFB2KN0	IO			LVDS2K_19p	No	H27	DQ14	DQ7	DQ3	DQ1
2K	9	VREFB2KN0	IO			LVDS2K_20n	Yes	G28	DQSn14	DQ7	DQ3	DQ1
2K	8	VREFB2KN0	IO			LVDS2K_20p	Yes	F28	DQS14	DQ7	DQ3	DQ1
2K	7	VREFB2KN0	IO			LVDS2K_21n	No	N27	DQ14	DQ7	DQ3	DQ1
2K	6	VREFB2KN0	IO			LVDS2K_21p	No	P27	DQ14	DQ7	DQ3	DQ1
2K	5	VREFB2KN0	IO			LVDS2K_22n	Yes	R27	DQSn15	DQSn7/CQn7	DQ3	DQ1
2K	4	VREFB2KN0	IO			LVDS2K_22p	Yes	R28	DQS15	DQS7/CQ7	DQ3	DQ1
2K	3	VREFB2KN0	IO			LVDS2K_23n	No	E29	DQ15	DQ7	DQ3	DQ1
2K	2	VREFB2KN0	IO			LVDS2K_23p	No	E28	DQ15	DQ7	DQ3	DQ1
2K	1	VREFB2KN0	IO			LVDS2K_24n	Yes	D29	DQ15	DQ7	DQ3	DQ1
2K	0	VREFB2KN0	IO			LVDS2K_24p	Yes	D30	DQ15	DQ7	DQ3	DQ1
2F	47	VREFB2FN0	IO			LVDS2F_1n	No	AT30	DQ48	DQ24	DQ12	DQ6
2F	46	VREFB2FN0	IO			LVDS2F_1p	No	AR30	DQ48	DQ24	DQ12	DQ6
2F	45	VREFB2FN0	IO			LVDS2F_2n	Yes	AH26	DQSn48	DQ24	DQ12	DQ6
2F	44	VREFB2FN0	IO			LVDS2F_2p	Yes	AJ26	DQS48	DQ24	DQ12	DQ6
2F	43	VREFB2FN0	IO			LVDS2F_3n	No	AG26	DQ48	DQ24	DQ12	DQ6
2F	42	VREFB2FN0	IO			LVDS2F_3p	No	AF26	DQ48	DQ24	DQ12	DQ6
2F	41	VREFB2FN0	IO			LVDS2F_4n	Yes	AN28	DQSn49	DQSn24/CQn24	DQ12	DQ6
2F	40	VREFB2FN0	IO			LVDS2F_4p	Yes	AM28	DQS49	DQS24/CQ24	DQ12	DQ6
2F	39	VREFB2FN0	IO			LVDS2F_5n	No	AE29	DQ49	DQ24	DQ12	DQ6
2F	38	VREFB2FN0	IO			LVDS2F_5p	No	AE28	DQ49	DQ24	DQ12	DQ6
2F	37	VREFB2FN0	IO			LVDS2F_6n	Yes	AM29	DQ49	DQ24	DQSn12/CQn12	DQ6
2F	36	VREFB2FN0	IO			LVDS2F_6p	Yes	AN29	DQ49	DQ24	DQS12/CQ12	DQ6
2F	35	VREFB2FN0	IO			LVDS2F_7n	No	AL26	DQ50	DQ25	DQ12	DQ6
2F	34	VREFB2FN0	IO			LVDS2F_7p	No	AM26	DQ50	DQ25	DQ12	DQ6
2F	33	VREFB2FN0	IO			LVDS2F_8n	Yes	AF25	DQSn50	DQ25	DQ12	DQ6
2F	32	VREFB2FN0	IO			LVDS2F_8p	Yes	AE25	DQS50	DQ25	DQ12	DQ6
2F	31	VREFB2FN0	IO			LVDS2F_9n	No	AN31	DQ50	DQ25	DQ12	DQ6
2F	30	VREFB2FN0	IO			LVDS2F_9p	No	AP30	DQ50	DQ25	DQ12	DQ6
2F	29	VREFB2FN0	IO	PLL_2F_CLKOUT1n		LVDS2F_10n	Yes	AP29	DQSn51	DQSn25/CQn25	DQ12	DQ6
2F	28	VREFB2FN0	IO	"PLL_2F_CLKOUT1p,PLL_2F_CLKOUT1,PLL_2F_FB1"		LVDS2F_10p	Yes	AR29	DQS51	DQS25/CQ25	DQ12	DQ6
2F	27	VREFB2FN0	IO			LVDS2F_11n	No	AN27	DQ51	DQ25	DQ12	DQ6
2F	26	VREFB2FN0	IO	RZQ_2F		LVDS2F_11p	No	AP27	DQ51	DQ25	DQ12	DQ6
2F	25	VREFB2FN0	IO	CLK_2F_1n		LVDS2F_12n	Yes	AK27	DQ51	DQ25	DQ12	DQ6
2F	24	VREFB2FN0	IO	CLK_2F_1p		LVDS2F_12p	Yes	AL27	DQ51	DQ25	DQ12	DQ6
2F	23	VREFB2FN0	IO	CLK_2F_0n		LVDS2F_13n	No	AR28	DQ52	DQ26	DQ13	DQ6
2F	22	VREFB2FN0	IO	CLK_2F_0p		LVDS2F_13p	No	AR27	DQ52	DQ26	DQ13	DQ6
2F	21	VREFB2FN0	IO			LVDS2F_14n	Yes	AF28	DQSn52	DQ26	DQ13	DQSn6/CQn6
2F	20	VREFB2FN0	IO			LVDS2F_14p	Yes	AF27	DQS52	DQ26	DQ13	DQS6/CQ6
2F	19	VREFB2FN0	IO	PLL_2F_CLKOUT0n		LVDS2F_15n	No	AG24	DQ52	DQ26	DQ13	DQ6
2F	18	VREFB2FN0	IO	"PLL_2F_CLKOUT0p,PLL_2F_CLKOUT0,PLL_2F_FB0"		LVDS2F_15p	No	AG25	DQ52	DQ26	DQ13	DQ6
2F	17	VREFB2FN0	IO			LVDS2F_16n	Yes	AN26	DQSn53	DQSn26/CQn26	DQ13	DQ6
2F	16	VREFB2FN0	IO			LVDS2F_16p	Yes	AP26	DQS53	DQS26/CQ26	DQ13	DQ6
2F	15	VREFB2FN0	IO			LVDS2F_17n	No	AJ27	DQ53	DQ26	DQ13	DQ6
2F	14	VREFB2FN0	IO			LVDS2F_17p	No	AH27	DQ53	DQ26	DQ13	DQ6
2F	13	VREFB2FN0	IO			LVDS2F_18n	Yes	AT28	DQ53	DQ26	DQSn13/CQn13	DQ6
2F	12	VREFB2FN0	IO			LVDS2F_18p	Yes	AU28	DQ53	DQ26	DQS13/CQ13	DQ6
2F	11	VREFB2FN0	IO			LVDS2F_19n	No	AL28	DQ54	DQ27	DQ13	DQ6
2F	10	VREFB2FN0	IO			LVDS2F_19p	No	AK28	DQ54	DQ27	DQ13	DQ6
2F	9	VREFB2FN0	IO			LVDS2F_20n	Yes	AG28	DQSn54	DQ27	DQ13	DQ6
2F	8	VREFB2FN0	IO			LVDS2F_20p	Yes	AH28	DQS54	DQ27	DQ13	DQ6
2F	7	VREFB2FN0	IO			LVDS2F_21n	No	AH24	DQ54	DQ27	DQ13	DQ6
2F	6	VREFB2FN0	IO			LVDS2F_21p	No	AJ24	DQ54	DQ27	DQ13	DQ6
2F	5	VREFB2FN0	IO			LVDS2F_22n	Yes	AJ25	DQSn55	DQSn27/CQn27	DQ13	DQ6
2F	4	VREFB2FN0	IO			LVDS2F_22p	Yes	AK25	DQS55	DQS27/CQ27	DQ13	DQ6
2F	3	VREFB2FN0	IO			LVDS2F_23n	No	AK29	DQ55	DQ27	DQ13	DQ6
2F	2	VREFB2FN0	IO			LVDS2F_23p	No	AJ29	DQ55	DQ27	DQ13	DQ6
2F	1	VREFB2FN0	IO			LVDS2F_24n	Yes	AH29	DQ55	DQ27	DQ13	DQ6
2F	0	VREFB2FN0	IO			LVDS2F_24p	Yes	AG29	DQ55	DQ27	DQ13	DQ6
2A	47	VREFB2AN0	IO		DATA0	LVDS2A_1n	No	AW21	DQ56	DQ28	DQ14	DQ7
2A	46	VREFB2AN0	IO		DATA1	LVDS2A_1p	No	AW22	DQ56	DQ28	DQ14	DQ7
2A	45	VREFB2AN0	IO		DATA2	LVDS2A_2n	Yes	AL25	DQSn56	DQ28	DQ14	DQ7
2A	44	VREFB2AN0	IO		DATA3	LVDS2A_2p	Yes	AM25	DQS56	DQ28	DQ14	DQ7
2A	43	VREFB2AN0	IO		DATA4	LVDS2A_3n	No	AT27	DQ56	DQ28	DQ14	DQ7
2A	42	VREFB2AN0	IO		DATA5	LVDS2A_3p	No	AT26	DQ56	DQ28	DQ14	DQ7
2A	41	VREFB2AN0	IO		DATA6	LVDS2A_4n	Yes	AV21	DQSn57	DQSn28/CQn28	DQ14	DQ7
2A	40	VREFB2AN0	IO		DATA7	LVDS2A_4p	Yes	AU21	DQS57	DQS28/CQ28	DQ14	DQ7
2A	39	VREFB2AN0	IO		DATA8	LVDS2A_5n	No	AT22	DQ57	DQ28	DQ14	DQ7
2A	38	VREFB2AN0	IO		DATA9	LVDS2A_5p	No	AT21	DQ57	DQ28	DQ14	DQ7
2A	37	VREFB2AN0	IO		DATA10	LVDS2A_6n	Yes	AP22	DQ57	DQ28	DQSn14/CQn14	DQ7
