Bank Number	Index within I/O Bank (1)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Non-Dedicated Tx/Rx Channel	Dedicated Tx/Rx Channel	Soft CDR Support	KF40	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36
1G			"GXBL1G_RX_CH3n,GXBL1G_REFCLK3n"						N32				
1G			"GXBL1G_RX_CH3p,GXBL1G_REFCLK3p"						N33				
1G			GXBL1G_TX_CH2n						K38				
1G			GXBL1G_TX_CH2p						K39				
1G			"GXBL1G_RX_CH2n,GXBL1G_REFCLK2n"						M34				
1G			"GXBL1G_RX_CH2p,GXBL1G_REFCLK2p"						M35				
1G			GXBL1G_TX_CH1n						L36				
1G			GXBL1G_TX_CH1p						L37				
1G			"GXBL1G_RX_CH1n,GXBL1G_REFCLK1n"						R32				
1G			"GXBL1G_RX_CH1p,GXBL1G_REFCLK1p"						R33				
1G			GXBL1G_TX_CH0n						M38				
1G			GXBL1G_TX_CH0p						M39				
1G			"GXBL1G_RX_CH0n,GXBL1G_REFCLK0n"						P34				
1G			"GXBL1G_RX_CH0p,GXBL1G_REFCLK0p"						P35				
1G			REFCLK_GXBL1G_CHBp						T31				
1G			REFCLK_GXBL1G_CHBn						T30				
1F			REFCLK_GXBL1F_CHTp						V31				
1F			REFCLK_GXBL1F_CHTn						V30				
1F			GXBL1F_TX_CH5n						N36				
1F			GXBL1F_TX_CH5p						N37				
1F			"GXBL1F_RX_CH5n,GXBL1F_REFCLK5n"						T34				
1F			"GXBL1F_RX_CH5p,GXBL1F_REFCLK5p"						T35				
1F			GXBL1F_TX_CH4n						P38				
1F			GXBL1F_TX_CH4p						P39				
1F			"GXBL1F_RX_CH4n,GXBL1F_REFCLK4n"						U32				
1F			"GXBL1F_RX_CH4p,GXBL1F_REFCLK4p"						U33				
1F			GXBL1F_TX_CH3n						R36				
1F			GXBL1F_TX_CH3p						R37				
1F			"GXBL1F_RX_CH3n,GXBL1F_REFCLK3n"						V34				
1F			"GXBL1F_RX_CH3p,GXBL1F_REFCLK3p"						V35				
1F			GXBL1F_TX_CH2n						T38				
1F			GXBL1F_TX_CH2p						T39				
1F			"GXBL1F_RX_CH2n,GXBL1F_REFCLK2n"						W32				
1F			"GXBL1F_RX_CH2p,GXBL1F_REFCLK2p"						W33				
1F			GXBL1F_TX_CH1n						U36				
1F			GXBL1F_TX_CH1p						U37				
1F			"GXBL1F_RX_CH1n,GXBL1F_REFCLK1n"						W36				
1F			"GXBL1F_RX_CH1p,GXBL1F_REFCLK1p"						W37				
1F			GXBL1F_TX_CH0n						V38				
1F			GXBL1F_TX_CH0p						V39				
1F			"GXBL1F_RX_CH0n,GXBL1F_REFCLK0n"						Y34				
1F			"GXBL1F_RX_CH0p,GXBL1F_REFCLK0p"						Y35				
1F			REFCLK_GXBL1F_CHBp						Y31				
1F			REFCLK_GXBL1F_CHBn						Y30				
1E			REFCLK_GXBL1E_CHTp						AB31				
1E			REFCLK_GXBL1E_CHTn						AB30				
1E			GXBL1E_TX_CH5n						Y38				
1E			GXBL1E_TX_CH5p						Y39				
1E			"GXBL1E_RX_CH5n,GXBL1E_REFCLK5n"						AA32				
1E			"GXBL1E_RX_CH5p,GXBL1E_REFCLK5p"						AA33				
1E			GXBL1E_TX_CH4n						AB38				
1E			GXBL1E_TX_CH4p						AB39				
1E			"GXBL1E_RX_CH4n,GXBL1E_REFCLK4n"						AA36				
1E			"GXBL1E_RX_CH4p,GXBL1E_REFCLK4p"						AA37				
1E			GXBL1E_TX_CH3n						AD38				
1E			GXBL1E_TX_CH3p						AD39				
1E			"GXBL1E_RX_CH3n,GXBL1E_REFCLK3n"						AB34				
1E			"GXBL1E_RX_CH3p,GXBL1E_REFCLK3p"						AB35				
1E			GXBL1E_TX_CH2n						AE36				
1E			GXBL1E_TX_CH2p						AE37				
1E			"GXBL1E_RX_CH2n,GXBL1E_REFCLK2n"						AC32				
1E			"GXBL1E_RX_CH2p,GXBL1E_REFCLK2p"						AC33				
1E			GXBL1E_TX_CH1n						AF38				
1E			GXBL1E_TX_CH1p						AF39				
1E			"GXBL1E_RX_CH1n,GXBL1E_REFCLK1n"						AC36				
1E			"GXBL1E_RX_CH1p,GXBL1E_REFCLK1p"						AC37				
1E			GXBL1E_TX_CH0n						AG36				
1E			GXBL1E_TX_CH0p						AG37				
1E			"GXBL1E_RX_CH0n,GXBL1E_REFCLK0n"						AD34				
1E			"GXBL1E_RX_CH0p,GXBL1E_REFCLK0p"						AD35				
1E			REFCLK_GXBL1E_CHBp						AD31				
1E			REFCLK_GXBL1E_CHBn						AD30				
1D			REFCLK_GXBL1D_CHTp						AF31				
1D			REFCLK_GXBL1D_CHTn						AF30				
1D			GXBL1D_TX_CH5n						AH38				
1D			GXBL1D_TX_CH5p						AH39				
1D			"GXBL1D_RX_CH5n,GXBL1D_REFCLK5n"						AF34				
1D			"GXBL1D_RX_CH5p,GXBL1D_REFCLK5p"						AF35				
1D			GXBL1D_TX_CH4n						AJ36				
1D			GXBL1D_TX_CH4p						AJ37				
1D			"GXBL1D_RX_CH4n,GXBL1D_REFCLK4n"						AE32				
1D			"GXBL1D_RX_CH4p,GXBL1D_REFCLK4p"						AE33				
1D			GXBL1D_TX_CH3n						AK38				
1D			GXBL1D_TX_CH3p						AK39				
1D			"GXBL1D_RX_CH3n,GXBL1D_REFCLK3n"						AH34				
1D			"GXBL1D_RX_CH3p,GXBL1D_REFCLK3p"						AH35				
1D			GXBL1D_TX_CH2n						AL36				
1D			GXBL1D_TX_CH2p						AL37				
1D			"GXBL1D_RX_CH2n,GXBL1D_REFCLK2n"						AG32				
1D			"GXBL1D_RX_CH2p,GXBL1D_REFCLK2p"						AG33				
1D			GXBL1D_TX_CH1n						AM38				
1D			GXBL1D_TX_CH1p						AM39				
1D			"GXBL1D_RX_CH1n,GXBL1D_REFCLK1n"						AK34				
1D			"GXBL1D_RX_CH1p,GXBL1D_REFCLK1p"						AK35				
1D			GXBL1D_TX_CH0n						AN36				
1D			GXBL1D_TX_CH0p						AN37				
1D			"GXBL1D_RX_CH0n,GXBL1D_REFCLK0n"						AJ32				
1D			"GXBL1D_RX_CH0p,GXBL1D_REFCLK0p"						AJ33				
1D			REFCLK_GXBL1D_CHBp						AH31				
1D			REFCLK_GXBL1D_CHBn						AH30				
1C			REFCLK_GXBL1C_CHTp						AK31				
1C			REFCLK_GXBL1C_CHTn						AK30				
1C			GXBL1C_TX_CH5n						AP38				
1C			GXBL1C_TX_CH5p						AP39				
1C			"GXBL1C_RX_CH5n,GXBL1C_REFCLK5n"						AM34				
1C			"GXBL1C_RX_CH5p,GXBL1C_REFCLK5p"						AM35				
1C			GXBL1C_TX_CH4n						AR36				
1C			GXBL1C_TX_CH4p						AR37				
1C			"GXBL1C_RX_CH4n,GXBL1C_REFCLK4n"						AL32				
1C			"GXBL1C_RX_CH4p,GXBL1C_REFCLK4p"						AL33				
1C			GXBL1C_TX_CH3n						AT38				
1C			GXBL1C_TX_CH3p						AT39				
1C			"GXBL1C_RX_CH3n,GXBL1C_REFCLK3n"						AP34				
1C			"GXBL1C_RX_CH3p,GXBL1C_REFCLK3p"						AP35				
1C			GXBL1C_TX_CH2n						AU36				
1C			GXBL1C_TX_CH2p						AU37				
1C			"GXBL1C_RX_CH2n,GXBL1C_REFCLK2n"						AN32				
1C			"GXBL1C_RX_CH2p,GXBL1C_REFCLK2p"						AN33				
1C			GXBL1C_TX_CH1n						AV38				
1C			GXBL1C_TX_CH1p						AV39				
1C			"GXBL1C_RX_CH1n,GXBL1C_REFCLK1n"						AT34				
1C			"GXBL1C_RX_CH1p,GXBL1C_REFCLK1p"						AT35				
1C			GXBL1C_TX_CH0n						AW36				
1C			GXBL1C_TX_CH0p						AW37				
1C			"GXBL1C_RX_CH0n,GXBL1C_REFCLK0n"						AV34				
1C			"GXBL1C_RX_CH0p,GXBL1C_REFCLK0p"						AV35				
1C			REFCLK_GXBL1C_CHBp						AM31				
1C			REFCLK_GXBL1C_CHBn						AM30				
2L	47	VREFB2LN0	IO			DIFFIO2L_1n		No	C26	DQ0	DQ0	DQ0	DQ0
2L	46	VREFB2LN0	IO			DIFFIO2L_1p		No	B26	DQ0	DQ0	DQ0	DQ0
2L	45	VREFB2LN0	IO			DIFFIO2L_2n		No	B24	DQSn0	DQ0	DQ0	DQ0
2L	44	VREFB2LN0	IO			DIFFIO2L_2p		No	A24	DQS0	DQ0	DQ0	DQ0
2L	43	VREFB2LN0	IO			DIFFIO2L_3n		No	B25	DQ0	DQ0	DQ0	DQ0
2L	42	VREFB2LN0	IO			DIFFIO2L_3p		No	A25	DQ0	DQ0	DQ0	DQ0
2L	41	VREFB2LN0	IO			DIFFIO2L_4n		No	E25	DQSn1	DQSn0/CQn0	DQ0	DQ0
2L	40	VREFB2LN0	IO			DIFFIO2L_4p		No	D25	DQS1	DQS0/CQ0	DQ0	DQ0
2L	39	VREFB2LN0	IO			DIFFIO2L_5n		No	E26	DQ1	DQ0	DQ0	DQ0
2L	38	VREFB2LN0	IO			DIFFIO2L_5p		No	D26	DQ1	DQ0	DQ0	DQ0
2L	37	VREFB2LN0	IO			DIFFIO2L_6n		No	C27	DQ1	DQ0	DQSn0/CQn0	DQ0
2L	36	VREFB2LN0	IO			DIFFIO2L_6p		No	B27	DQ1	DQ0	DQS0/CQ0	DQ0
2L	35	VREFB2LN0	IO			DIFFIO2L_7n		No	D24	DQ2	DQ1	DQ0	DQ0
2L	34	VREFB2LN0	IO			DIFFIO2L_7p		No	C24	DQ2	DQ1	DQ0	DQ0
2L	33	VREFB2LN0	IO			DIFFIO2L_8n		No	A27	DQSn2	DQ1	DQ0	DQ0
2L	32	VREFB2LN0	IO			DIFFIO2L_8p		No	A28	DQS2	DQ1	DQ0	DQ0
2L	31	VREFB2LN0	IO			DIFFIO2L_9n		No	D28	DQ2	DQ1	DQ0	DQ0
2L	30	VREFB2LN0	IO			DIFFIO2L_9p		No	C28	DQ2	DQ1	DQ0	DQ0
2L	29	VREFB2LN0	IO	PLL_2L_CLKOUT1n		DIFFIO2L_10n		No	B29	DQSn3	DQSn1/CQn1	DQ0	DQ0
2L	28	VREFB2LN0	IO	"PLL_2L_CLKOUT1p,PLL_2L_CLKOUT1,PLL_2L_FB1"		DIFFIO2L_10p		No	A29	DQS3	DQS1/CQ1	DQ0	DQ0
2L	27	VREFB2LN0	IO			DIFFIO2L_11n		No	B30	DQ3	DQ1	DQ0	DQ0
2L	26	VREFB2LN0	IO	RZQ_2L		DIFFIO2L_11p		No	A30	DQ3	DQ1	DQ0	DQ0
2L	25	VREFB2LN0	IO	CLK_2L_1n		DIFFIO2L_12n		No	D29	DQ3	DQ1	DQ0	DQ0
2L	24	VREFB2LN0	IO	CLK_2L_1p		DIFFIO2L_12p		No	C29	DQ3	DQ1	DQ0	DQ0
2L	23	VREFB2LN0	IO	CLK_2L_0n		DIFFIO2L_13n		No	G24	DQ4	DQ2	DQ1	DQ0
2L	22	VREFB2LN0	IO	CLK_2L_0p		DIFFIO2L_13p		No	F24	DQ4	DQ2	DQ1	DQ0
2L	21	VREFB2LN0	IO			DIFFIO2L_14n		No	M21	DQSn4	DQ2	DQ1	DQSn0/CQn0
2L	20	VREFB2LN0	IO			DIFFIO2L_14p		No	M22	DQS4	DQ2	DQ1	DQS0/CQ0
2L	19	VREFB2LN0	IO	PLL_2L_CLKOUT0n		DIFFIO2L_15n		No	J23	DQ4	DQ2	DQ1	DQ0
2L	18	VREFB2LN0	IO	"PLL_2L_CLKOUT0p,PLL_2L_CLKOUT0,PLL_2L_FB0"		DIFFIO2L_15p		No	H23	DQ4	DQ2	DQ1	DQ0
2L	17	VREFB2LN0	IO			DIFFIO2L_16n		No	J24	DQSn5	DQSn2/CQn2	DQ1	DQ0
2L	16	VREFB2LN0	IO			DIFFIO2L_16p		No	H24	DQS5	DQS2/CQ2	DQ1	DQ0
2L	15	VREFB2LN0	IO			DIFFIO2L_17n		No	L22	DQ5	DQ2	DQ1	DQ0
2L	14	VREFB2LN0	IO			DIFFIO2L_17p		No	K22	DQ5	DQ2	DQ1	DQ0
2L	13	VREFB2LN0	IO			DIFFIO2L_18n		No	G25	DQ5	DQ2	DQSn1/CQn1	DQ0
2L	12	VREFB2LN0	IO			DIFFIO2L_18p		No	F25	DQ5	DQ2	DQS1/CQ1	DQ0
2L	11	VREFB2LN0	IO			DIFFIO2L_19n		No	L23	DQ6	DQ3	DQ1	DQ0
2L	10	VREFB2LN0	IO			DIFFIO2L_19p		No	K23	DQ6	DQ3	DQ1	DQ0
2L	9	VREFB2LN0	IO			DIFFIO2L_20n		No	M24	DQSn6	DQ3	DQ1	DQ0
2L	8	VREFB2LN0	IO			DIFFIO2L_20p		No	L24	DQS6	DQ3	DQ1	DQ0
2L	7	VREFB2LN0	IO			DIFFIO2L_21n		No	F27	DQ6	DQ3	DQ1	DQ0
2L	6	VREFB2LN0	IO			DIFFIO2L_21p		No	E27	DQ6	DQ3	DQ1	DQ0
2L	5	VREFB2LN0	IO			DIFFIO2L_22n		No	H26	DQSn7	DQSn3/CQn3	DQ1	DQ0
2L	4	VREFB2LN0	IO			DIFFIO2L_22p		No	G26	DQS7	DQS3/CQ3	DQ1	DQ0
2L	3	VREFB2LN0	IO			DIFFIO2L_23n		No	K25	DQ7	DQ3	DQ1	DQ0
2L	2	VREFB2LN0	IO			DIFFIO2L_23p		No	J25	DQ7	DQ3	DQ1	DQ0
2L	1	VREFB2LN0	IO			DIFFIO2L_24n		No	M25	DQ7	DQ3	DQ1	DQ0
2L	0	VREFB2LN0	IO			DIFFIO2L_24p		No	L25	DQ7	DQ3	DQ1	DQ0
2K	47	VREFB2KN0	IO				LVDS2K_1n	No	F28	DQ8	DQ4	DQ2	DQ1
2K	46	VREFB2KN0	IO				LVDS2K_1p	No	E28	DQ8	DQ4	DQ2	DQ1
2K	45	VREFB2KN0	IO				LVDS2K_2n	Yes	C31	DQSn8	DQ4	DQ2	DQ1
2K	44	VREFB2KN0	IO				LVDS2K_2p	Yes	C32	DQS8	DQ4	DQ2	DQ1
2K	43	VREFB2KN0	IO				LVDS2K_3n	No	D30	DQ8	DQ4	DQ2	DQ1
2K	42	VREFB2KN0	IO				LVDS2K_3p	No	D31	DQ8	DQ4	DQ2	DQ1
2K	41	VREFB2KN0	IO				LVDS2K_4n	Yes	F29	DQSn9	DQSn4/CQn4	DQ2	DQ1
2K	40	VREFB2KN0	IO				LVDS2K_4p	Yes	E30	DQS9	DQS4/CQ4	DQ2	DQ1
2K	39	VREFB2KN0	IO				LVDS2K_5n	No	G30	DQ9	DQ4	DQ2	DQ1
2K	38	VREFB2KN0	IO				LVDS2K_5p	No	F30	DQ9	DQ4	DQ2	DQ1
2K	37	VREFB2KN0	IO				LVDS2K_6n	Yes	L27	DQ9	DQ4	DQSn2/CQn2	DQ1
2K	36	VREFB2KN0	IO				LVDS2K_6p	Yes	K27	DQ9	DQ4	DQS2/CQ2	DQ1
2K	35	VREFB2KN0	IO				LVDS2K_7n	No	E31	DQ10	DQ5	DQ2	DQ1
2K	34	VREFB2KN0	IO				LVDS2K_7p	No	E32	DQ10	DQ5	DQ2	DQ1
2K	33	VREFB2KN0	IO				LVDS2K_8n	Yes	H27	DQSn10	DQ5	DQ2	DQ1
2K	32	VREFB2KN0	IO				LVDS2K_8p	Yes	G27	DQS10	DQ5	DQ2	DQ1
2K	31	VREFB2KN0	IO				LVDS2K_9n	No	L28	DQ10	DQ5	DQ2	DQ1
2K	30	VREFB2KN0	IO				LVDS2K_9p	No	K28	DQ10	DQ5	DQ2	DQ1
2K	29	VREFB2KN0	IO	PLL_2K_CLKOUT1n			LVDS2K_10n	Yes	H28	DQSn11	DQSn5/CQn5	DQ2	DQ1
2K	28	VREFB2KN0	IO	"PLL_2K_CLKOUT1p,PLL_2K_CLKOUT1,PLL_2K_FB1"			LVDS2K_10p	Yes	G29	DQS11	DQS5/CQ5	DQ2	DQ1
2K	27	VREFB2KN0	IO				LVDS2K_11n	No	K26	DQ11	DQ5	DQ2	DQ1
2K	26	VREFB2KN0	IO	RZQ_2K			LVDS2K_11p	No	J26	DQ11	DQ5	DQ2	DQ1
2K	25	VREFB2KN0	IO	CLK_2K_1n			LVDS2K_12n	Yes	M26	DQ11	DQ5	DQ2	DQ1
2K	24	VREFB2KN0	IO	CLK_2K_1p			LVDS2K_12p	Yes	M27	DQ11	DQ5	DQ2	DQ1
2K	23	VREFB2KN0	IO	CLK_2K_0n			LVDS2K_13n	No	U25	DQ12	DQ6	DQ3	DQ1
2K	22	VREFB2KN0	IO	CLK_2K_0p			LVDS2K_13p	No	T25	DQ12	DQ6	DQ3	DQ1
2K	21	VREFB2KN0	IO				LVDS2K_14n	Yes	R27	DQSn12	DQ6	DQ3	DQSn1/CQn1
2K	20	VREFB2KN0	IO				LVDS2K_14p	Yes	R28	DQS12	DQ6	DQ3	DQS1/CQ1
2K	19	VREFB2KN0	IO	PLL_2K_CLKOUT0n			LVDS2K_15n	No	R25	DQ12	DQ6	DQ3	DQ1
2K	18	VREFB2KN0	IO	"PLL_2K_CLKOUT0p,PLL_2K_CLKOUT0,PLL_2K_FB0"			LVDS2K_15p	No	R26	DQ12	DQ6	DQ3	DQ1
2K	17	VREFB2KN0	IO				LVDS2K_16n	Yes	P26	DQSn13	DQSn6/CQn6	DQ3	DQ1
2K	16	VREFB2KN0	IO				LVDS2K_16p	Yes	N26	DQS13	DQS6/CQ6	DQ3	DQ1
2K	15	VREFB2KN0	IO				LVDS2K_17n	No	N27	DQ13	DQ6	DQ3	DQ1
2K	14	VREFB2KN0	IO				LVDS2K_17p	No	P28	DQ13	DQ6	DQ3	DQ1
2K	13	VREFB2KN0	IO				LVDS2K_18n	Yes	V27	DQ13	DQ6	DQSn3/CQn3	DQ1
2K	12	VREFB2KN0	IO				LVDS2K_18p	Yes	U27	DQ13	DQ6	DQS3/CQ3	DQ1
2K	11	VREFB2KN0	IO				LVDS2K_19n	No	T27	DQ14	DQ7	DQ3	DQ1
2K	10	VREFB2KN0	IO				LVDS2K_19p	No	T28	DQ14	DQ7	DQ3	DQ1
2K	9	VREFB2KN0	IO				LVDS2K_20n	Yes	V26	DQSn14	DQ7	DQ3	DQ1
2K	8	VREFB2KN0	IO				LVDS2K_20p	Yes	U26	DQS14	DQ7	DQ3	DQ1
2K	7	VREFB2KN0	IO				LVDS2K_21n	No	W28	DQ14	DQ7	DQ3	DQ1
2K	6	VREFB2KN0	IO				LVDS2K_21p	No	V28	DQ14	DQ7	DQ3	DQ1
2K	5	VREFB2KN0	IO				LVDS2K_22n	Yes	Y27	DQSn15	DQSn7/CQn7	DQ3	DQ1
2K	4	VREFB2KN0	IO				LVDS2K_22p	Yes	Y28	DQS15	DQS7/CQ7	DQ3	DQ1
2K	3	VREFB2KN0	IO				LVDS2K_23n	No	Y25	DQ15	DQ7	DQ3	DQ1
2K	2	VREFB2KN0	IO				LVDS2K_23p	No	W25	DQ15	DQ7	DQ3	DQ1
2K	1	VREFB2KN0	IO				LVDS2K_24n	Yes	Y26	DQ15	DQ7	DQ3	DQ1
2K	0	VREFB2KN0	IO				LVDS2K_24p	Yes	W26	DQ15	DQ7	DQ3	DQ1
2J	47	VREFB2JN0	IO				LVDS2J_1n	No	E20	DQ16	DQ8	DQ4	DQ2
2J	46	VREFB2JN0	IO				LVDS2J_1p	No	D20	DQ16	DQ8	DQ4	DQ2
2J	45	VREFB2JN0	IO				LVDS2J_2n	Yes	G20	DQSn16	DQ8	DQ4	DQ2
2J	44	VREFB2JN0	IO				LVDS2J_2p	Yes	F20	DQS16	DQ8	DQ4	DQ2
2J	43	VREFB2JN0	IO				LVDS2J_3n	No	E21	DQ16	DQ8	DQ4	DQ2
2J	42	VREFB2JN0	IO				LVDS2J_3p	No	D21	DQ16	DQ8	DQ4	DQ2
2J	41	VREFB2JN0	IO				LVDS2J_4n	Yes	F19	DQSn17	DQSn8/CQn8	DQ4	DQ2
2J	40	VREFB2JN0	IO				LVDS2J_4p	Yes	F18	DQS17	DQS8/CQ8	DQ4	DQ2
2J	39	VREFB2JN0	IO				LVDS2J_5n	No	G17	DQ17	DQ8	DQ4	DQ2
2J	38	VREFB2JN0	IO				LVDS2J_5p	No	F17	DQ17	DQ8	DQ4	DQ2
2J	37	VREFB2JN0	IO				LVDS2J_6n	Yes	C22	DQ17	DQ8	DQSn4/CQn4	DQ2
2J	36	VREFB2JN0	IO				LVDS2J_6p	Yes	B22	DQ17	DQ8	DQS4/CQ4	DQ2
2J	35	VREFB2JN0	IO				LVDS2J_7n	No	H18	DQ18	DQ9	DQ4	DQ2
2J	34	VREFB2JN0	IO				LVDS2J_7p	No	G19	DQ18	DQ9	DQ4	DQ2
2J	33	VREFB2JN0	IO				LVDS2J_8n	Yes	D19	DQSn18	DQ9	DQ4	DQ2
2J	32	VREFB2JN0	IO				LVDS2J_8p	Yes	C19	DQS18	DQ9	DQ4	DQ2
2J	31	VREFB2JN0	IO				LVDS2J_9n	No	C21	DQ18	DQ9	DQ4	DQ2
2J	30	VREFB2JN0	IO				LVDS2J_9p	No	B21	DQ18	DQ9	DQ4	DQ2
2J	29	VREFB2JN0	IO	PLL_2J_CLKOUT1n			LVDS2J_10n	Yes	B20	DQSn19	DQSn9/CQn9	DQ4	DQ2
2J	28	VREFB2JN0	IO	"PLL_2J_CLKOUT1p,PLL_2J_CLKOUT1,PLL_2J_FB1"			LVDS2J_10p	Yes	A20	DQS19	DQS9/CQ9	DQ4	DQ2
2J	27	VREFB2JN0	IO				LVDS2J_11n	No	B19	DQ19	DQ9	DQ4	DQ2
2J	26	VREFB2JN0	IO	RZQ_2J			LVDS2J_11p	No	A19	DQ19	DQ9	DQ4	DQ2
2J	25	VREFB2JN0	IO	CLK_2J_1n			LVDS2J_12n	Yes	A22	DQ19	DQ9	DQ4	DQ2
2J	24	VREFB2JN0	IO	CLK_2J_1p			LVDS2J_12p	Yes	A23	DQ19	DQ9	DQ4	DQ2
2J	23	VREFB2JN0	IO	CLK_2J_0n			LVDS2J_13n	No	E18	DQ20	DQ10	DQ5	DQ2
2J	22	VREFB2JN0	IO	CLK_2J_0p			LVDS2J_13p	No	E17	DQ20	DQ10	DQ5	DQ2
2J	21	VREFB2JN0	IO				LVDS2J_14n	Yes	A18	DQSn20	DQ10	DQ5	DQSn2/CQn2
2J	20	VREFB2JN0	IO				LVDS2J_14p	Yes	A17	DQS20	DQ10	DQ5	DQS2/CQ2
2J	19	VREFB2JN0	IO	PLL_2J_CLKOUT0n			LVDS2J_15n	No	D18	DQ20	DQ10	DQ5	DQ2
2J	18	VREFB2JN0	IO	"PLL_2J_CLKOUT0p,PLL_2J_CLKOUT0,PLL_2J_FB0"			LVDS2J_15p	No	C18	DQ20	DQ10	DQ5	DQ2
2J	17	VREFB2JN0	IO				LVDS2J_16n	Yes	C17	DQSn21	DQSn10/CQn10	DQ5	DQ2
2J	16	VREFB2JN0	IO				LVDS2J_16p	Yes	B17	DQS21	DQS10/CQ10	DQ5	DQ2
2J	15	VREFB2JN0	IO				LVDS2J_17n	No	B16	DQ21	DQ10	DQ5	DQ2
2J	14	VREFB2JN0	IO				LVDS2J_17p	No	A15	DQ21	DQ10	DQ5	DQ2
2J	13	VREFB2JN0	IO				LVDS2J_18n	Yes	K17	DQ21	DQ10	DQSn5/CQn5	DQ2
2J	12	VREFB2JN0	IO				LVDS2J_18p	Yes	K16	DQ21	DQ10	DQS5/CQ5	DQ2
2J	11	VREFB2JN0	IO				LVDS2J_19n	No	D16	DQ22	DQ11	DQ5	DQ2
2J	10	VREFB2JN0	IO				LVDS2J_19p	No	C16	DQ22	DQ11	DQ5	DQ2
2J	9	VREFB2JN0	IO				LVDS2J_20n	Yes	J16	DQSn22	DQ11	DQ5	DQ2
2J	8	VREFB2JN0	IO				LVDS2J_20p	Yes	H17	DQS22	DQ11	DQ5	DQ2
2J	7	VREFB2JN0	IO				LVDS2J_21n	No	K15	DQ22	DQ11	DQ5	DQ2
2J	6	VREFB2JN0	IO				LVDS2J_21p	No	J15	DQ22	DQ11	DQ5	DQ2
2J	5	VREFB2JN0	IO				LVDS2J_22n	Yes	M15	DQSn23	DQSn11/CQn11	DQ5	DQ2
2J	4	VREFB2JN0	IO				LVDS2J_22p	Yes	L15	DQS23	DQS11/CQ11	DQ5	DQ2
2J	3	VREFB2JN0	IO				LVDS2J_23n	No	H16	DQ23	DQ11	DQ5	DQ2
2J	2	VREFB2JN0	IO				LVDS2J_23p	No	G16	DQ23	DQ11	DQ5	DQ2
2J	1	VREFB2JN0	IO				LVDS2J_24n	Yes	G15	DQ23	DQ11	DQ5	DQ2
2J	0	VREFB2JN0	IO				LVDS2J_24p	Yes	F15	DQ23	DQ11	DQ5	DQ2
2I	47	VREFB2IN0	IO				LVDS2I_1n	No	AD26	DQ24	DQ12	DQ6	DQ3
2I	46	VREFB2IN0	IO				LVDS2I_1p	No	AE26	DQ24	DQ12	DQ6	DQ3
2I	45	VREFB2IN0	IO				LVDS2I_2n	Yes	AA27	DQSn24	DQ12	DQ6	DQ3
