"Pin Information for HardCopy® IV HC4GX25LF1152 Version 1.0"										
										
										
Bank Number	VREF Group	"Pin Name
/Function"	"Optional  Function(s)"	Configuration Function for Stratix IV Only (1)	"Dedicated Tx_Rx Channel (2)"	"Emulated LVDS  Output Channel (2)"	F1152	"DQ Group for  DQS X4 Mode (2)"	"DQ Group for  DQS X8/X9 Mode (2)"	"DQ Group for  DQS X16/X18 Mode (2)"
4C	VREFB4CN0	IO			DIFFIO_RX_B31p	DIFFOUT_B61p	AM13	DQS15B	DQS16B/CQ16B	
4C	VREFB4CN0	IO			DIFFIO_RX_B31n	DIFFOUT_B61n	AN13	DQSn15B	DQSn16B/DQ16B	
4C	VREFB4CN0	IO				DIFFOUT_B62p	AL15	DQ16B	DQ16B	
4C	VREFB4CN0	IO				DIFFOUT_B62n	AJ15	DQ16B	DQ16B	
4C	VREFB4CN0	IO			DIFFIO_RX_B32p	DIFFOUT_B63p	AK14	DQS16B	DQ16B/CQn16B	
4C	VREFB4CN0	IO			DIFFIO_RX_B32n	DIFFOUT_B63n	AL14	DQSn16B	DQ16B	
4C	VREFB4CN0	IO				DIFFOUT_B64p	AJ14	DQ16B	DQ16B	
4C	VREFB4CN0	IO				DIFFOUT_B64n	AM14	DQ16B	DQ16B	
4B	VREFB4BN0	IO(7)			DIFFIO_RX_B33p	DIFFOUT_B65p	AJ13	DQ17B	DQ19B	DQ20B
4B	VREFB4BN0	IO(7)			DIFFIO_RX_B33n	DIFFOUT_B65n	AK13	DQ17B	DQ19B	DQ20B
4B	VREFB4BN0	IO(7)				DIFFOUT_B66p	AG13	DQ17B	DQ19B	DQ20B
4B	VREFB4BN0	IO(7)				DIFFOUT_B66n	AH13	DQ17B	DQ19B	DQ20B
4B	VREFB4BN0	IO(7)			DIFFIO_RX_B34p	DIFFOUT_B67p	AH12	DQS17B	DQS19B/CQ19B	DQ20B
4B	VREFB4BN0	IO(7)			DIFFIO_RX_B34n	DIFFOUT_B67n	AJ12	DQSn17B	DQSn19B/DQ19B	DQ20B
4B	VREFB4BN0	IO(7)				DIFFOUT_B68p	AC14	DQ18B	DQ19B	DQ20B
4B	VREFB4BN0	IO(7)				DIFFOUT_B68n	AD14	DQ18B	DQ19B	DQ20B
4B	VREFB4BN0	IO(7)			DIFFIO_RX_B35p	DIFFOUT_B69p	AF14	DQS18B	DQ19B/CQn19B	DQS20B/CQ20B
4B	VREFB4BN0	IO(7)			DIFFIO_RX_B35n	DIFFOUT_B69n	AG14	DQSn18B	DQ19B	DQSn20B/DQ20B
4B	VREFB4BN0	IO(7)				DIFFOUT_B70p	AE14	DQ18B	DQ19B	DQ20B
4B	VREFB4BN0	IO(7)				DIFFOUT_B70n	AE13	DQ18B	DQ19B	DQ20B
4B	VREFB4BN0	IO(7)			DIFFIO_RX_B36p	DIFFOUT_B71p	AM11	DQ19B	DQ20B	DQ20B
4B	VREFB4BN0	IO(7)			DIFFIO_RX_B36n	DIFFOUT_B71n	AN11	DQ19B	DQ20B	DQ20B
4B	VREFB4BN0	IO(7)				DIFFOUT_B72p	AL12	DQ19B	DQ20B	DQ20B
4B	VREFB4BN0	IO(7)				DIFFOUT_B72n	AM12	DQ19B	DQ20B	DQ20B
4B	VREFB4BN0	IO(7)			DIFFIO_RX_B37p	DIFFOUT_B73p	AK11	DQS19B	DQS20B/CQ20B	DQ20B/CQn20B
4B	VREFB4BN0	IO(7)			DIFFIO_RX_B37n	DIFFOUT_B73n	AL11	DQSn19B	DQSn20B/DQ20B	DQ20B
4B	VREFB4BN0	IO(7)				DIFFOUT_B74p	AP11	DQ20B	DQ20B	DQ20B
4B	VREFB4BN0	IO(7)				DIFFOUT_B74n	AM10	DQ20B	DQ20B	DQ20B
4B	VREFB4BN0	IO(7)			DIFFIO_RX_B38p	DIFFOUT_B75p	AN10	DQS20B	DQ20B/CQn20B	DQ20B
4B	VREFB4BN0	IO(7)			DIFFIO_RX_B38n	DIFFOUT_B75n	AP10	DQSn20B	DQ20B	DQ20B
4B	VREFB4BN0	IO(7)				DIFFOUT_B76p	AP9	DQ20B	DQ20B	DQ20B
4B	VREFB4BN0	IO(7)				DIFFOUT_B76n	AM9	DQ20B	DQ20B	DQ20B
4A	VREFB4AN0	IO			DIFFIO_RX_B39p	DIFFOUT_B77p	Y12			
4A	VREFB4AN0	IO			DIFFIO_RX_B39n	DIFFOUT_B77n	AA12			
4A	VREFB4AN0	IO				DIFFOUT_B78p	AC12			
4A	VREFB4AN0	IO				DIFFOUT_B78n	AD13			
4A	VREFB4AN0	IO			DIFFIO_RX_B40p	DIFFOUT_B79p	AP5	DQ21B	DQ24B	
4A	VREFB4AN0	IO			DIFFIO_RX_B40n	DIFFOUT_B79n	AP6	DQ21B	DQ24B	
4A	VREFB4AN0	IO				DIFFOUT_B80p	AN7	DQ21B	DQ24B	
4A	VREFB4AN0	IO				DIFFOUT_B80n	AP7	DQ21B	DQ24B	
4A	VREFB4AN0	IO			DIFFIO_RX_B41p	DIFFOUT_B81p	AP3	DQS21B	DQS24B/CQ24B	
4A	VREFB4AN0	IO			DIFFIO_RX_B41n	DIFFOUT_B81n	AP4	DQSn21B	DQSn24B/DQ24B	
4A	VREFB4AN0	IO				DIFFOUT_B82p	AP8	DQ22B	DQ24B	
4A	VREFB4AN0	IO				DIFFOUT_B82n	AL9	DQ22B	DQ24B	
4A	VREFB4AN0	IO			DIFFIO_RX_B42p	DIFFOUT_B83p	AM8	DQS22B	DQ24B/CQn24B	
4A	VREFB4AN0	IO			DIFFIO_RX_B42n	DIFFOUT_B83n	AN8	DQSn22B	DQ24B	
4A	VREFB4AN0	IO				DIFFOUT_B84p	AL7	DQ22B	DQ24B	
4A	VREFB4AN0	IO				DIFFOUT_B84n	AL8	DQ22B	DQ24B	
4A	VREFB4AN0	IO			DIFFIO_RX_B43p	DIFFOUT_B85p	AJ10	DQ23B	DQ25B	DQ26B
4A	VREFB4AN0	IO			DIFFIO_RX_B43n	DIFFOUT_B85n	AK10	DQ23B	DQ25B	DQ26B
4A	VREFB4AN0	IO				DIFFOUT_B86p	AH11	DQ23B	DQ25B	DQ26B
4A	VREFB4AN0	IO				DIFFOUT_B86n	AJ11	DQ23B	DQ25B	DQ26B
4A	VREFB4AN0	IO			DIFFIO_RX_B44p	DIFFOUT_B87p	AF12	DQS23B	DQS25B/CQ25B	DQ26B
4A	VREFB4AN0	IO			DIFFIO_RX_B44n	DIFFOUT_B87n	AG11	DQSn23B	DQSn25B/DQ25B	DQ26B
4A	VREFB4AN0	IO				DIFFOUT_B88p	AJ9	DQ24B	DQ25B	DQ26B
4A	VREFB4AN0	IO				DIFFOUT_B88n	AG10	DQ24B	DQ25B	DQ26B
4A	VREFB4AN0	IO			DIFFIO_RX_B45p	DIFFOUT_B89p	AJ8	DQS24B	DQ25B/CQn25B	DQS26B/CQ26B
4A	VREFB4AN0	IO			DIFFIO_RX_B45n	DIFFOUT_B89n	AK8	DQSn24B	DQ25B	DQSn26B/DQ26B
4A	VREFB4AN0	IO				DIFFOUT_B90p	AH8	DQ24B	DQ25B	DQ26B
4A	VREFB4AN0	IO				DIFFOUT_B90n	AH9	DQ24B	DQ25B	DQ26B
4A	VREFB4AN0	IO			DIFFIO_RX_B46p	DIFFOUT_B91p	AD9	DQ25B	DQ26B	DQ26B
4A	VREFB4AN0	IO			DIFFIO_RX_B46n	DIFFOUT_B91n	AE9	DQ25B	DQ26B	DQ26B
4A	VREFB4AN0	IO				DIFFOUT_B92p	AE11	DQ25B	DQ26B	DQ26B
4A	VREFB4AN0	IO				DIFFOUT_B92n	AE12	DQ25B	DQ26B	DQ26B
4A	VREFB4AN0	IO			DIFFIO_RX_B47p	DIFFOUT_B93p	AD11	DQS25B	DQS26B/CQ26B	DQ26B/CQn26B
4A	VREFB4AN0	IO			DIFFIO_RX_B47n	DIFFOUT_B93n	AE10	DQSn25B	DQSn26B/DQ26B	DQ26B
4A	VREFB4AN0	IO				DIFFOUT_B94p	AB11	DQ26B	DQ26B	DQ26B
4A	VREFB4AN0	IO				DIFFOUT_B94n	AB12	DQ26B	DQ26B	DQ26B
4A	VREFB4AN0	IO	RUP4A		DIFFIO_RX_B48p	DIFFOUT_B95p	AB10	DQS26B	DQ26B/CQn26B	DQ26B
4A	VREFB4AN0	IO	RDN4A		DIFFIO_RX_B48n	DIFFOUT_B95n	AC10	DQSn26B	DQ26B	DQ26B
4A	VREFB4AN0	IO				DIFFOUT_B96p	AA10	DQ26B	DQ26B	DQ26B
4A	VREFB4AN0	IO				DIFFOUT_B96n	AA11	DQ26B	DQ26B	DQ26B
		nIO_PULLUP		nIO_PULLUP			AM6			
		nCEO		nCEO			AE8			
		DCLK		DCLK			AM5			
		nCSO		nCSO			AD8			
		ASDO		ASDO			AN5			
6C	VREFB6CN0	CLK10p	CLK10p				P1			
6C	VREFB6CN0	CLK10n	CLK10n				R1			
6C	VREFB6CN0	IO	CLK11p		DIFFIO_RX_R23p	DIFFOUT_R45p	R3			
6C	VREFB6CN0	IO	CLK11n		DIFFIO_RX_R23n	DIFFOUT_R45n	R2			
6C	VREFB6CN0	IO	PLL_R2_FB_CLKOUT0p		DIFFIO_TX_R23p	DIFFOUT_R46p	U12			
6C	VREFB6CN0	IO	PLL_R2_CLKOUT0n		DIFFIO_TX_R23n	DIFFOUT_R46n	V12			
6C	VREFB6CN0	IO			DIFFIO_RX_R24p	DIFFOUT_R47p	T5	DQ14R	DQ17R	
6C	VREFB6CN0	IO			DIFFIO_RX_R24n	DIFFOUT_R47n	T4	DQ14R	DQ17R	
6C	VREFB6CN0	IO			DIFFIO_TX_R24p	DIFFOUT_R48p	V11	DQ14R	DQ17R	
6C	VREFB6CN0	IO			DIFFIO_TX_R24n	DIFFOUT_R48n	U10	DQ14R	DQ17R	
6C	VREFB6CN0	IO			DIFFIO_RX_R25p	DIFFOUT_R49p	P4	DQS14R	DQS17R/CQ17R	
6C	VREFB6CN0	IO			DIFFIO_RX_R25n	DIFFOUT_R49n	P3	DQSn14R	DQSn17R/DQ17R	
6C	VREFB6CN0	IO			DIFFIO_TX_R25p	DIFFOUT_R50p	T9	DQ15R	DQ17R	
6C	VREFB6CN0	IO			DIFFIO_TX_R25n	DIFFOUT_R50n	T8	DQ15R	DQ17R	
6C	VREFB6CN0	IO			DIFFIO_RX_R26p	DIFFOUT_R51p	N2	DQS15R	DQ17R/CQn17R	
6C	VREFB6CN0	IO			DIFFIO_RX_R26n	DIFFOUT_R51n	N1	DQSn15R	DQ17R	
6C	VREFB6CN0	IO			DIFFIO_TX_R26p	DIFFOUT_R52p	T11	DQ15R	DQ17R	
6C	VREFB6CN0	IO			DIFFIO_TX_R26n	DIFFOUT_R52n	T10	DQ15R	DQ17R	
6C	VREFB6CN0	IO			DIFFIO_RX_R27p	DIFFOUT_R53p	M2	DQ16R	DQ18R	DQ19R
6C	VREFB6CN0	IO			DIFFIO_RX_R27n	DIFFOUT_R53n	M1	DQ16R	DQ18R	DQ19R
6C	VREFB6CN0	IO			DIFFIO_TX_R27p	DIFFOUT_R54p	T7	DQ16R	DQ18R	DQ19R
6C	VREFB6CN0	IO			DIFFIO_TX_R27n	DIFFOUT_R54n	T6	DQ16R	DQ18R	DQ19R
6C	VREFB6CN0	IO			DIFFIO_RX_R28p	DIFFOUT_R55p	N4	DQS16R	DQS18R/CQ18R	DQ19R
6C	VREFB6CN0	IO			DIFFIO_RX_R28n	DIFFOUT_R55n	N3	DQSn16R	DQSn18R/DQ18R	DQ19R
6C	VREFB6CN0	IO			DIFFIO_TX_R28p	DIFFOUT_R56p	R6	DQ17R	DQ18R	DQ19R
6C	VREFB6CN0	IO			DIFFIO_TX_R28n	DIFFOUT_R56n	R5	DQ17R	DQ18R	DQ19R
6C	VREFB6CN0	IO(7)			DIFFIO_RX_R29p	DIFFOUT_R57p	K1	DQS17R	DQ18R/CQn18R	DQS19R/CQ19R
6C	VREFB6CN0	IO(7)			DIFFIO_RX_R29n	DIFFOUT_R57n	L1	DQSn17R	DQ18R	DQSn19R/DQ19R
6C	VREFB6CN0	IO(7)			DIFFIO_TX_R29p	DIFFOUT_R58p	R12	DQ17R	DQ18R	DQ19R
6C	VREFB6CN0	IO(7)			DIFFIO_TX_R29n	DIFFOUT_R58n	R11	DQ17R	DQ18R	DQ19R
6C	VREFB6CN0	IO(7)			DIFFIO_RX_R30p	DIFFOUT_R59p	K3	DQ18R	DQ19R	DQ19R
6C	VREFB6CN0	IO(7)			DIFFIO_RX_R30n	DIFFOUT_R59n	K2	DQ18R	DQ19R	DQ19R
6C	VREFB6CN0	IO(7)			DIFFIO_TX_R30p	DIFFOUT_R60p	R8	DQ18R	DQ19R	DQ19R
6C	VREFB6CN0	IO(7)			DIFFIO_TX_R30n	DIFFOUT_R60n	R7	DQ18R	DQ19R	DQ19R
6C	VREFB6CN0	IO(7)			DIFFIO_RX_R31p	DIFFOUT_R61p	L4	DQS18R	DQS19R/CQ19R	DQ19R/CQn19R
6C	VREFB6CN0	IO(7)			DIFFIO_RX_R31n	DIFFOUT_R61n	L3	DQSn18R	DQSn19R/DQ19R	DQ19R
6C	VREFB6CN0	IO(7)			DIFFIO_TX_R31p	DIFFOUT_R62p	P7	DQ19R	DQ19R	DQ19R
6C	VREFB6CN0	IO(7)			DIFFIO_TX_R31n	DIFFOUT_R62n	P6	DQ19R	DQ19R	DQ19R
6C	VREFB6CN0	IO(7)			DIFFIO_RX_R32p	DIFFOUT_R63p	M5	DQS19R	DQ19R/CQn19R	DQ19R
6C	VREFB6CN0	IO(7)			DIFFIO_RX_R32n	DIFFOUT_R63n	M4	DQSn19R	DQ19R	DQ19R
6C	VREFB6CN0	IO(7)			DIFFIO_TX_R32p	DIFFOUT_R64p	N6	DQ19R	DQ19R	DQ19R
6C	VREFB6CN0	IO(7)			DIFFIO_TX_R32n	DIFFOUT_R64n	N5	DQ19R	DQ19R	DQ19R
6A	VREFB6AN0	IO(7)			DIFFIO_RX_R33p	DIFFOUT_R65p	J2			
6A	VREFB6AN0	IO(7)			DIFFIO_RX_R33n	DIFFOUT_R65n	J1			
6A	VREFB6AN0	IO(7)			DIFFIO_TX_R33p	DIFFOUT_R66p	M7	DQ20R		
6A	VREFB6AN0	IO(7)			DIFFIO_TX_R33n	DIFFOUT_R66n	M6	DQ20R		
6A	VREFB6AN0	IO(7)			DIFFIO_RX_R34p	DIFFOUT_R67p	J4	DQS20R		
6A	VREFB6AN0	IO(7)			DIFFIO_RX_R34n	DIFFOUT_R67n	J3	DQSn20R		
6A	VREFB6AN0	IO(7)			DIFFIO_TX_R34p	DIFFOUT_R68p	P10	DQ20R		
6A	VREFB6AN0	IO(7)			DIFFIO_TX_R34n	DIFFOUT_R68n	P9	DQ20R		
6A	VREFB6AN0	IO(7)			DIFFIO_RX_R35p	DIFFOUT_R69p	G1	DQ21R	DQ24R	
6A	VREFB6AN0	IO(7)			DIFFIO_RX_R35n	DIFFOUT_R69n	H1	DQ21R	DQ24R	
6A	VREFB6AN0	IO(7)			DIFFIO_TX_R35p	DIFFOUT_R70p	N9	DQ21R	DQ24R	
6A	VREFB6AN0	IO(7)			DIFFIO_TX_R35n	DIFFOUT_R70n	N8	DQ21R	DQ24R	
6A	VREFB6AN0	IO(7)			DIFFIO_RX_R36p	DIFFOUT_R71p	G2	DQS21R	DQS24R/CQ24R	
6A	VREFB6AN0	IO(7)			DIFFIO_RX_R36n	DIFFOUT_R71n	F1	DQSn21R	DQSn24R/DQ24R	
6A	VREFB6AN0	IO(7)			DIFFIO_TX_R36p	DIFFOUT_R72p	L7	DQ22R	DQ24R	
6A	VREFB6AN0	IO(7)			DIFFIO_TX_R36n	DIFFOUT_R72n	L6	DQ22R	DQ24R	
6A	VREFB6AN0	IO			DIFFIO_RX_R37p	DIFFOUT_R73p	H4	DQS22R	DQ24R/CQn24R	
6A	VREFB6AN0	IO			DIFFIO_RX_R37n	DIFFOUT_R73n	H3	DQSn22R	DQ24R	
6A	VREFB6AN0	IO			DIFFIO_TX_R37p	DIFFOUT_R74p	K6	DQ22R	DQ24R	
6A	VREFB6AN0	IO			DIFFIO_TX_R37n	DIFFOUT_R74n	K5	DQ22R	DQ24R	
6A	VREFB6AN0	IO			DIFFIO_RX_R38p	DIFFOUT_R75p	F2	DQ23R	DQ25R	DQ26R
6A	VREFB6AN0	IO			DIFFIO_RX_R38n	DIFFOUT_R75n	E1	DQ23R	DQ25R	DQ26R
6A	VREFB6AN0	IO			DIFFIO_TX_R38p	DIFFOUT_R76p	N11	DQ23R	DQ25R	DQ26R
6A	VREFB6AN0	IO			DIFFIO_TX_R38n	DIFFOUT_R76n	N10	DQ23R	DQ25R	DQ26R
6A	VREFB6AN0	IO			DIFFIO_RX_R39p	DIFFOUT_R77p	G4	DQS23R	DQS25R/CQ25R	DQ26R
6A	VREFB6AN0	IO			DIFFIO_RX_R39n	DIFFOUT_R77n	G3	DQSn23R	DQSn25R/DQ25R	DQ26R
6A	VREFB6AN0	IO			DIFFIO_TX_R39p	DIFFOUT_R78p	N12	DQ24R	DQ25R	DQ26R
6A	VREFB6AN0	IO			DIFFIO_TX_R39n	DIFFOUT_R78n	M11	DQ24R	DQ25R	DQ26R
6A	VREFB6AN0	IO			DIFFIO_RX_R40p	DIFFOUT_R79p	D2	DQS24R	DQ25R/CQn25R	DQS26R/CQ26R
6A	VREFB6AN0	IO			DIFFIO_RX_R40n	DIFFOUT_R79n	D1	DQSn24R	DQ25R	DQSn26R/DQ26R
6A	VREFB6AN0	IO			DIFFIO_TX_R40p	DIFFOUT_R80p	J6	DQ24R	DQ25R	DQ26R
6A	VREFB6AN0	IO			DIFFIO_TX_R40n	DIFFOUT_R80n	J5	DQ24R	DQ25R	DQ26R
6A	VREFB6AN0	IO			DIFFIO_RX_R41p	DIFFOUT_R81p	C2	DQ25R	DQ26R	DQ26R
6A	VREFB6AN0	IO			DIFFIO_RX_R41n	DIFFOUT_R81n	C1	DQ25R	DQ26R	DQ26R
6A	VREFB6AN0	IO			DIFFIO_TX_R41p	DIFFOUT_R82p	M9	DQ25R	DQ26R	DQ26R
6A	VREFB6AN0	IO			DIFFIO_TX_R41n	DIFFOUT_R82n	M8	DQ25R	DQ26R	DQ26R
6A	VREFB6AN0	IO			DIFFIO_RX_R42p	DIFFOUT_R83p	E4	DQS25R	DQS26R/CQ26R	DQ26R/CQn26R
6A	VREFB6AN0	IO			DIFFIO_RX_R42n	DIFFOUT_R83n	E3	DQSn25R	DQSn26R/DQ26R	DQ26R
6A	VREFB6AN0	IO			DIFFIO_TX_R42p	DIFFOUT_R84p	K8	DQ26R	DQ26R	DQ26R
6A	VREFB6AN0	IO			DIFFIO_TX_R42n	DIFFOUT_R84n	K7	DQ26R	DQ26R	DQ26R
6A	VREFB6AN0	IO			DIFFIO_RX_R43p	DIFFOUT_R85p	D4	DQS26R	DQ26R/CQn26R	DQ26R
6A	VREFB6AN0	IO			DIFFIO_RX_R43n	DIFFOUT_R85n	D3	DQSn26R	DQ26R	DQ26R
6A	VREFB6AN0	IO			DIFFIO_TX_R43p	DIFFOUT_R86p	F5	DQ26R	DQ26R	DQ26R
6A	VREFB6AN0	IO			DIFFIO_TX_R43n	DIFFOUT_R86n	F4	DQ26R	DQ26R	DQ26R
6A	VREFB6AN0	IO	RUP6A		DIFFIO_RX_R44p	DIFFOUT_R87p	A2			
6A	VREFB6AN0	IO	RDN6A		DIFFIO_RX_R44n	DIFFOUT_R87n	B1			
6A	VREFB6AN0	IO			DIFFIO_TX_R44p	DIFFOUT_R88p	H7			
6A	VREFB6AN0	IO			DIFFIO_TX_R44n	DIFFOUT_R88n	H6			
7A	VREFB7AN0	IO				DIFFOUT_T1n	J11	DQ1T	DQ1T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T1p	K11	DQ1T	DQ1T	DQ1T
7A	VREFB7AN0	IO	RDN7A		DIFFIO_RX_T1n	DIFFOUT_T2n	H12	DQSn1T	DQ1T	DQ1T
7A	VREFB7AN0	IO	RUP7A		DIFFIO_RX_T1p	DIFFOUT_T2p	J12	DQS1T	DQ1T/CQn1T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T3n	K12	DQ1T	DQ1T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T3p	L12	DQ1T	DQ1T	DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T2n	DIFFOUT_T4n	F8	DQSn2T	DQSn1T/DQ1T	DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T2p	DIFFOUT_T4p	G8	DQS2T	DQS1T/CQ1T	DQ1T/CQn1T
7A	VREFB7AN0	IO				DIFFOUT_T5n	H9	DQ2T	DQ1T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T5p	G9	DQ2T	DQ1T	DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T3n	DIFFOUT_T6n	G10	DQ2T	DQ1T	DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T3p	DIFFOUT_T6p	H10	DQ2T	DQ1T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T7n	F7	DQ3T	DQ2T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T7p	F6	DQ3T	DQ2T	DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T4n	DIFFOUT_T8n	D6	DQSn3T	DQ2T	DQSn1T/DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T4p	DIFFOUT_T8p	E6	DQS3T	DQ2T/CQn2T	DQS1T/CQ1T
7A	VREFB7AN0	IO				DIFFOUT_T9n	E7	DQ3T	DQ2T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T9p	D7	DQ3T	DQ2T	DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T5n	DIFFOUT_T10n	B4	DQSn4T	DQSn2T/DQ2T	DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T5p	DIFFOUT_T10p	C5	DQS4T	DQS2T/CQ2T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T11n	A5	DQ4T	DQ2T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T11p	A4	DQ4T	DQ2T	DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T6n	DIFFOUT_T12n	A3	DQ4T	DQ2T	DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T6p	DIFFOUT_T12p	B3	DQ4T	DQ2T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T13n	G11	DQ5T	DQ3T	
7A	VREFB7AN0	IO				DIFFOUT_T13p	E10	DQ5T	DQ3T	
7A	VREFB7AN0	IO			DIFFIO_RX_T7n	DIFFOUT_T14n	C8	DQSn5T	DQ3T	
7A	VREFB7AN0	IO			DIFFIO_RX_T7p	DIFFOUT_T14p	D8	DQS5T	DQ3T/CQn3T	
7A	VREFB7AN0	IO				DIFFOUT_T15n	E9	DQ5T	DQ3T	
7A	VREFB7AN0	IO				DIFFOUT_T15p	F10	DQ5T	DQ3T	
7A	VREFB7AN0	IO			DIFFIO_RX_T8n	DIFFOUT_T16n	A6	DQSn6T	DQSn3T/DQ3T	
7A	VREFB7AN0	IO			DIFFIO_RX_T8p	DIFFOUT_T16p	B6	DQS6T	DQS3T/CQ3T	
7A	VREFB7AN0	IO				DIFFOUT_T17n	A7	DQ6T	DQ3T	
7A	VREFB7AN0	IO				DIFFOUT_T17p	C6	DQ6T	DQ3T	
7A	VREFB7AN0	IO			DIFFIO_RX_T9n	DIFFOUT_T18n	A8	DQ6T	DQ3T	
7A	VREFB7AN0	IO			DIFFIO_RX_T9p	DIFFOUT_T18p	B7	DQ6T	DQ3T	
7A	VREFB7AN0	IO				DIFFOUT_T19n	L13			
7A	VREFB7AN0	IO				DIFFOUT_T19p	M13			
7A	VREFB7AN0	IO			DIFFIO_RX_T10n	DIFFOUT_T20n	C9			
7A	VREFB7AN0	IO			DIFFIO_RX_T10p	DIFFOUT_T20p	D9			
7B	VREFB7BN0	IO(7)				DIFFOUT_T21n	M15	DQ7T	DQ7T	DQ7T
7B	VREFB7BN0	IO(7)				DIFFOUT_T21p	K13	DQ7T	DQ7T	DQ7T
7B	VREFB7BN0	IO(7)			DIFFIO_RX_T11n	DIFFOUT_T22n	J14	DQSn7T	DQ7T	DQ7T
7B	VREFB7BN0	IO(7)			DIFFIO_RX_T11p	DIFFOUT_T22p	K14	DQS7T	DQ7T/CQn7T	DQ7T
7B	VREFB7BN0	IO(7)				DIFFOUT_T23n	K15	DQ7T	DQ7T	DQ7T
7B	VREFB7BN0	IO(7)				DIFFOUT_T23p	L15	DQ7T	DQ7T	DQ7T
7B	VREFB7BN0	IO(7)			DIFFIO_RX_T12n	DIFFOUT_T24n	F13	DQSn8T	DQSn7T/DQ7T	DQ7T
7B	VREFB7BN0	IO(7)			DIFFIO_RX_T12p	DIFFOUT_T24p	G13	DQS8T	DQS7T/CQ7T	DQ7T/CQn7T
7B	VREFB7BN0	IO(7)				DIFFOUT_T25n	G12	DQ8T	DQ7T	DQ7T
7B	VREFB7BN0	IO(7)				DIFFOUT_T25p	H13	DQ8T	DQ7T	DQ7T
7B	VREFB7BN0	IO(7)			DIFFIO_RX_T13n	DIFFOUT_T26n	F14	DQ8T	DQ7T	DQ7T
7B	VREFB7BN0	IO(7)			DIFFIO_RX_T13p	DIFFOUT_T26p	G14	DQ8T	DQ7T	DQ7T
7B	VREFB7BN0	IO(7)				DIFFOUT_T27n	D11	DQ9T	DQ8T	DQ7T
7B	VREFB7BN0	IO(7)				DIFFOUT_T27p	C11	DQ9T	DQ8T	DQ7T
7B	VREFB7BN0	IO(7)			DIFFIO_RX_T14n	DIFFOUT_T28n	D12	DQSn9T	DQ8T	DQSn7T/DQ7T
7B	VREFB7BN0	IO(7)			DIFFIO_RX_T14p	DIFFOUT_T28p	E12	DQS9T	DQ8T/CQn8T	DQS7T/CQ7T
7B	VREFB7BN0	IO(7)				DIFFOUT_T29n	F11	DQ9T	DQ8T	DQ7T
7B	VREFB7BN0	IO(7)				DIFFOUT_T29p	E13	DQ9T	DQ8T	DQ7T
7B	VREFB7BN0	IO(7)			DIFFIO_RX_T15n	DIFFOUT_T30n	A9	DQSn10T	DQSn8T/DQ8T	DQ7T
7B	VREFB7BN0	IO(7)			DIFFIO_RX_T15p	DIFFOUT_T30p	B9	DQS10T	DQS8T/CQ8T	DQ7T
7B	VREFB7BN0	IO(7)				DIFFOUT_T31n	A11	DQ10T	DQ8T	DQ7T
7B	VREFB7BN0	IO(7)				DIFFOUT_T31p	C10	DQ10T	DQ8T	DQ7T
7B	VREFB7BN0	IO(7)			DIFFIO_RX_T16n	DIFFOUT_T32n	A10	DQ10T	DQ8T	DQ7T
7B	VREFB7BN0	IO(7)			DIFFIO_RX_T16p	DIFFOUT_T32p	B10	DQ10T	DQ8T	DQ7T
7C	VREFB7CN0	IO				DIFFOUT_T33n	A13	DQ11T	DQ11T	
7C	VREFB7CN0	IO				DIFFOUT_T33p	A12	DQ11T	DQ11T	
7C	VREFB7CN0	IO			DIFFIO_RX_T17n	DIFFOUT_T34n	B13	DQSn11T	DQ11T	
7C	VREFB7CN0	IO			DIFFIO_RX_T17p	DIFFOUT_T34p	C13	DQS11T	DQ11T/CQn11T	
7C	VREFB7CN0	IO				DIFFOUT_T35n	C12	DQ11T	DQ11T	
7C	VREFB7CN0	IO				DIFFOUT_T35p	B12	DQ11T	DQ11T	
7C	VREFB7CN0	IO			DIFFIO_RX_T18n	DIFFOUT_T36n	C14	DQSn12T	DQSn11T/DQ11T	
7C	VREFB7CN0	IO			DIFFIO_RX_T18p	DIFFOUT_T36p	D14	DQS12T	DQS11T/CQ11T	
7C	VREFB7CN0	IO				DIFFOUT_T37n	C15	DQ12T	DQ11T	
