"Pin Information for HardCopy® IV HC4GX25LF780 Version 1.0"										
										
										
Bank Number	VREF Group	"Pin Name /Function"	"Optional 
 Function(s)"	Configuration Function for Stratix IV Only (1)	"Dedicated Tx_Rx Channel (2)"	"Emulated LVDS  Output Channel (2)"	F780 (8)	"DQ Group for  DQS X4 Mode (2)"	"DQ Group for  DQS X8/X9 Mode (2)"	"DQ Group for  DQS X16/X18 Mode (2)"
3C	VREFB3CN0	IO				DIFFOUT_B37p	AD17	DQ12B	DQ11B	
3C	VREFB3CN0	IO			DIFFIO_RX_B19n	DIFFOUT_B38n	AF19	DQ12B	DQ11B	
3C	VREFB3CN0	IO			DIFFIO_RX_B19p	DIFFOUT_B38p	AE19	DQ12B	DQ11B	
3C	VREFB3CN0	IO				DIFFOUT_B39n	AG20	DQ13B		
3C	VREFB3CN0	IO				DIFFOUT_B39p	AH20	DQ13B		
3C	VREFB3CN0	IO			DIFFIO_RX_B20n	DIFFOUT_B40n	AG18	DQSn13B		
3C	VREFB3CN0	IO			DIFFIO_RX_B20p	DIFFOUT_B40p	AF18	DQS13B		
3C	VREFB3CN0	IO				DIFFOUT_B41n	AH19	DQ13B		
3C	VREFB3CN0	IO				DIFFOUT_B41p	AH18	DQ13B		
3C	VREFB3CN0	IO			DIFFIO_RX_B21n	DIFFOUT_B42n	AG17			
3C	VREFB3CN0	IO			DIFFIO_RX_B21p	DIFFOUT_B42p	AF17			
3C	VREFB3CN0	IO	PLL_B1_CLKOUT4			DIFFOUT_B43n	Y17			
3C	VREFB3CN0	IO	PLL_B1_CLKOUT3			DIFFOUT_B43p	Y16			
3C	VREFB3CN0	IO			DIFFIO_RX_B22n	DIFFOUT_B44n	AF16			
3C	VREFB3CN0	IO			DIFFIO_RX_B22p	DIFFOUT_B44p	AE16			
3C	VREFB3CN0	IO	PLL_B1_CLKOUT0n			DIFFOUT_B45n	AA15			
3C	VREFB3CN0	IO	PLL_B1_CLKOUT0p			DIFFOUT_B45p	Y15			
3C	VREFB3CN0	IO	PLL_B1_FBn/CLKOUT2		DIFFIO_RX_B23n	DIFFOUT_B46n	AF15			
3C	VREFB3CN0	IO	PLL_B1_FBp/CLKOUT1		DIFFIO_RX_B23p	DIFFOUT_B46p	AE15			
3C	VREFB3CN0	IO	CLK5n			DIFFOUT_B47n	AH17			
3C	VREFB3CN0	IO	CLK5p			DIFFOUT_B47p	AH16			
3C	VREFB3CN0	IO	CLK4n		DIFFIO_RX_B24n	DIFFOUT_B48n	AH15			
3C	VREFB3CN0	IO	CLK4p		DIFFIO_RX_B24p	DIFFOUT_B48p	AG15			
4C	VREFB4CN0	IO	CLK6p		DIFFIO_RX_B25p	DIFFOUT_B49p	AG14			
4C	VREFB4CN0	IO	CLK6n		DIFFIO_RX_B25n	DIFFOUT_B49n	AH14			
4C	VREFB4CN0	IO	CLK7p			DIFFOUT_B50p	AH12			
4C	VREFB4CN0	IO	CLK7n			DIFFOUT_B50n	AH13			
4C	VREFB4CN0	IO	PLL_B2_FBp/CLKOUT1		DIFFIO_RX_B26p	DIFFOUT_B51p	AE14			
4C	VREFB4CN0	IO	PLL_B2_FBn/CLKOUT2		DIFFIO_RX_B26n	DIFFOUT_B51n	AF14			
4C	VREFB4CN0	IO	PLL_B2_CLKOUT0p			DIFFOUT_B52p	Y14			
4C	VREFB4CN0	IO	PLL_B2_CLKOUT0n			DIFFOUT_B52n	AA14			
4C	VREFB4CN0	IO			DIFFIO_RX_B27p	DIFFOUT_B53p	AE13			
4C	VREFB4CN0	IO			DIFFIO_RX_B27n	DIFFOUT_B53n	AF13			
4C	VREFB4CN0	IO	PLL_B2_CLKOUT3			DIFFOUT_B54p	AB13			
4C	VREFB4CN0	IO	PLL_B2_CLKOUT4			DIFFOUT_B54n	Y13			
4C	VREFB4CN0	IO			DIFFIO_RX_B28p	DIFFOUT_B55p	AF12			
4C	VREFB4CN0	IO			DIFFIO_RX_B28n	DIFFOUT_B55n	AG12			
4C	VREFB4CN0	IO				DIFFOUT_B56p	AH11	DQ14B		
4C	VREFB4CN0	IO				DIFFOUT_B56n	AG11	DQ14B		
4C	VREFB4CN0	IO			DIFFIO_RX_B29p	DIFFOUT_B57p	AG9	DQS14B		
4C	VREFB4CN0	IO			DIFFIO_RX_B29n	DIFFOUT_B57n	AH9	DQSn14B		
4C	VREFB4CN0	IO				DIFFOUT_B58p	AF11	DQ14B		
4C	VREFB4CN0	IO				DIFFOUT_B58n	AH10	DQ14B		
4C	VREFB4CN0	IO			DIFFIO_RX_B30p	DIFFOUT_B59p	AD12	DQ15B	DQ16B	
4C	VREFB4CN0	IO			DIFFIO_RX_B30n	DIFFOUT_B59n	AE12	DQ15B	DQ16B	
4C	VREFB4CN0	IO				DIFFOUT_B60p	AE9	DQ15B	DQ16B	
4C	VREFB4CN0	IO				DIFFOUT_B60n	AE11	DQ15B	DQ16B	
4C	VREFB4CN0	IO			DIFFIO_RX_B31p	DIFFOUT_B61p	AE10	DQS15B	DQS16B/CQ16B	
4C	VREFB4CN0	IO			DIFFIO_RX_B31n	DIFFOUT_B61n	AF10	DQSn15B	DQSn16B/DQ16B	
4C	VREFB4CN0	IO				DIFFOUT_B62p	AC12	DQ16B	DQ16B	
4C	VREFB4CN0	IO				DIFFOUT_B62n	AB12	DQ16B	DQ16B	
4C	VREFB4CN0	IO			DIFFIO_RX_B32p	DIFFOUT_B63p	AC11	DQS16B	DQ16B/CQn16B	
4C	VREFB4CN0	IO			DIFFIO_RX_B32n	DIFFOUT_B63n	AD11	DQSn16B	DQ16B	
4C	VREFB4CN0	IO				DIFFOUT_B64p	AB11	DQ16B	DQ16B	
4C	VREFB4CN0	IO				DIFFOUT_B64n	AA11	DQ16B	DQ16B	
4A	VREFB4AN0	IO			DIFFIO_RX_B39p	DIFFOUT_B77p	W11			
4A	VREFB4AN0	IO			DIFFIO_RX_B39n	DIFFOUT_B77n	W12			
4A	VREFB4AN0	IO				DIFFOUT_B78p	Y10			
4A	VREFB4AN0	IO				DIFFOUT_B78n	Y11			
4A	VREFB4AN0	IO			DIFFIO_RX_B40p	DIFFOUT_B79p	AB10	DQ21B	DQ24B	
4A	VREFB4AN0	IO			DIFFIO_RX_B40n	DIFFOUT_B79n	AC10	DQ21B	DQ24B	
4A	VREFB4AN0	IO				DIFFOUT_B80p	Y9	DQ21B	DQ24B	
4A	VREFB4AN0	IO				DIFFOUT_B80n	AA9	DQ21B	DQ24B	
4A	VREFB4AN0	IO			DIFFIO_RX_B41p	DIFFOUT_B81p	AB9	DQS21B	DQS24B/CQ24B	
4A	VREFB4AN0	IO			DIFFIO_RX_B41n	DIFFOUT_B81n	AC9	DQSn21B	DQSn24B/DQ24B	
4A	VREFB4AN0	IO				DIFFOUT_B82p	Y8	DQ22B	DQ24B	
4A	VREFB4AN0	IO				DIFFOUT_B82n	AA8	DQ22B	DQ24B	
4A	VREFB4AN0	IO			DIFFIO_RX_B42p	DIFFOUT_B83p	AB6	DQS22B	DQ24B/CQn24B	
4A	VREFB4AN0	IO			DIFFIO_RX_B42n	DIFFOUT_B83n	AB7	DQSn22B	DQ24B	
4A	VREFB4AN0	IO				DIFFOUT_B84p	Y7	DQ22B	DQ24B	
4A	VREFB4AN0	IO				DIFFOUT_B84n	W8	DQ22B	DQ24B	
4A	VREFB4AN0	IO			DIFFIO_RX_B43p	DIFFOUT_B85p	AD8	DQ23B	DQ25B	DQ26B
4A	VREFB4AN0	IO			DIFFIO_RX_B43n	DIFFOUT_B85n	AE8	DQ23B	DQ25B	DQ26B
4A	VREFB4AN0	IO				DIFFOUT_B86p	AC7	DQ23B	DQ25B	DQ26B
4A	VREFB4AN0	IO				DIFFOUT_B86n	AC8	DQ23B	DQ25B	DQ26B
4A	VREFB4AN0	IO			DIFFIO_RX_B44p	DIFFOUT_B87p	AE7	DQS23B	DQS25B/CQ25B	DQ26B
4A	VREFB4AN0	IO			DIFFIO_RX_B44n	DIFFOUT_B87n	AF7	DQSn23B	DQSn25B/DQ25B	DQ26B
4A	VREFB4AN0	IO				DIFFOUT_B88p	AF8	DQ24B	DQ25B	DQ26B
4A	VREFB4AN0	IO				DIFFOUT_B88n	AG8	DQ24B	DQ25B	DQ26B
4A	VREFB4AN0	IO			DIFFIO_RX_B45p	DIFFOUT_B89p	AH6	DQS24B	DQ25B/CQn25B	DQS26B/CQ26B
4A	VREFB4AN0	IO			DIFFIO_RX_B45n	DIFFOUT_B89n	AH7	DQSn24B	DQ25B	DQSn26B/DQ26B
4A	VREFB4AN0	IO				DIFFOUT_B90p	AG6	DQ24B	DQ25B	DQ26B
4A	VREFB4AN0	IO				DIFFOUT_B90n	AH8	DQ24B	DQ25B	DQ26B
4A	VREFB4AN0	IO			DIFFIO_RX_B46p	DIFFOUT_B91p	AG5	DQ25B	DQ26B	DQ26B
4A	VREFB4AN0	IO			DIFFIO_RX_B46n	DIFFOUT_B91n	AH5	DQ25B	DQ26B	DQ26B
4A	VREFB4AN0	IO				DIFFOUT_B92p	AF4	DQ25B	DQ26B	DQ26B
4A	VREFB4AN0	IO				DIFFOUT_B92n	AH4	DQ25B	DQ26B	DQ26B
4A	VREFB4AN0	IO			DIFFIO_RX_B47p	DIFFOUT_B93p	AG3	DQS25B	DQS26B/CQ26B	DQ26B/CQn26B
4A	VREFB4AN0	IO			DIFFIO_RX_B47n	DIFFOUT_B93n	AH3	DQSn25B	DQSn26B/DQ26B	DQ26B
4A	VREFB4AN0	IO				DIFFOUT_B94p	AF6	DQ26B	DQ26B	DQ26B
4A	VREFB4AN0	IO				DIFFOUT_B94n	AE6	DQ26B	DQ26B	DQ26B
4A	VREFB4AN0	IO	RUP4A		DIFFIO_RX_B48p	DIFFOUT_B95p	AE5	DQS26B	DQ26B/CQn26B	DQ26B
4A	VREFB4AN0	IO	RDN4A		DIFFIO_RX_B48n	DIFFOUT_B95n	AF5	DQSn26B	DQ26B	DQ26B
4A	VREFB4AN0	IO				DIFFOUT_B96p	AD6	DQ26B	DQ26B	DQ26B
4A	VREFB4AN0	IO				DIFFOUT_B96n	AC6	DQ26B	DQ26B	DQ26B
		nIO_PULLUP		nIO_PULLUP			AA5			
		nCEO		nCEO			V7			
		DCLK		DCLK			W7			
		nCSO		nCSO			U8			
		ASDO		ASDO			U9			
7A	VREFB7AN0	IO				DIFFOUT_T1n	C3	DQ1T	DQ1T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T1p	C4	DQ1T	DQ1T	DQ1T
7A	VREFB7AN0	IO	RDN7A		DIFFIO_RX_T1n	DIFFOUT_T2n	A3	DQSn1T	DQ1T	DQ1T
7A	VREFB7AN0	IO	RUP7A		DIFFIO_RX_T1p	DIFFOUT_T2p	B3	DQS1T	DQ1T/CQn1T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T3n	A2	DQ1T	DQ1T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T3p	B2	DQ1T	DQ1T	DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T2n	DIFFOUT_T4n	B5	DQSn2T	DQSn1T/DQ1T	DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T2p	DIFFOUT_T4p	C5	DQS2T	DQS1T/CQ1T	DQ1T/CQn1T
7A	VREFB7AN0	IO				DIFFOUT_T5n	A5	DQ2T	DQ1T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T5p	A4	DQ2T	DQ1T	DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T3n	DIFFOUT_T6n	A6	DQ2T	DQ1T	DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T3p	DIFFOUT_T6p	B6	DQ2T	DQ1T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T7n	F6	DQ3T	DQ2T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T7p	F7	DQ3T	DQ2T	DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T4n	DIFFOUT_T8n	D6	DQSn3T	DQ2T	DQSn1T/DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T4p	DIFFOUT_T8p	E6	DQS3T	DQ2T/CQn2T	DQS1T/CQ1T
7A	VREFB7AN0	IO				DIFFOUT_T9n	D7	DQ3T	DQ2T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T9p	F8	DQ3T	DQ2T	DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T5n	DIFFOUT_T10n	C8	DQSn4T	DQSn2T/DQ2T	DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T5p	DIFFOUT_T10p	C7	DQS4T	DQS2T/CQ2T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T11n	A8	DQ4T	DQ2T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T11p	D8	DQ4T	DQ2T	DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T6n	DIFFOUT_T12n	A7	DQ4T	DQ2T	DQ1T
7A	VREFB7AN0	IO			DIFFIO_RX_T6p	DIFFOUT_T12p	B8	DQ4T	DQ2T	DQ1T
7A	VREFB7AN0	IO				DIFFOUT_T13n	J7	DQ5T	DQ3T	
7A	VREFB7AN0	IO				DIFFOUT_T13p	G8	DQ5T	DQ3T	
7A	VREFB7AN0	IO			DIFFIO_RX_T7n	DIFFOUT_T14n	G6	DQSn5T	DQ3T	
7A	VREFB7AN0	IO			DIFFIO_RX_T7p	DIFFOUT_T14p	H6	DQS5T	DQ3T/CQn3T	
7A	VREFB7AN0	IO				DIFFOUT_T15n	K8	DQ5T	DQ3T	
7A	VREFB7AN0	IO				DIFFOUT_T15p	J8	DQ5T	DQ3T	
7A	VREFB7AN0	IO			DIFFIO_RX_T8n	DIFFOUT_T16n	J11	DQSn6T	DQSn3T/DQ3T	
7A	VREFB7AN0	IO			DIFFIO_RX_T8p	DIFFOUT_T16p	K10	DQS6T	DQS3T/CQ3T	
7A	VREFB7AN0	IO				DIFFOUT_T17n	J9	DQ6T	DQ3T	
7A	VREFB7AN0	IO				DIFFOUT_T17p	K9	DQ6T	DQ3T	
7A	VREFB7AN0	IO			DIFFIO_RX_T9n	DIFFOUT_T18n	H9	DQ6T	DQ3T	
7A	VREFB7AN0	IO			DIFFIO_RX_T9p	DIFFOUT_T18p	J10	DQ6T	DQ3T	
7A	VREFB7AN0	IO				DIFFOUT_T19n	L9			
7A	VREFB7AN0	IO				DIFFOUT_T19p	M9			
7A	VREFB7AN0	IO			DIFFIO_RX_T10n	DIFFOUT_T20n	L10			
7A	VREFB7AN0	IO			DIFFIO_RX_T10p	DIFFOUT_T20p	M10			
7C	VREFB7CN0	IO				DIFFOUT_T33n	G9	DQ11T	DQ11T	
7C	VREFB7CN0	IO				DIFFOUT_T33p	G11	DQ11T	DQ11T	
7C	VREFB7CN0	IO			DIFFIO_RX_T17n	DIFFOUT_T34n	F10	DQSn11T	DQ11T	
7C	VREFB7CN0	IO			DIFFIO_RX_T17p	DIFFOUT_T34p	G10	DQS11T	DQ11T/CQn11T	
7C	VREFB7CN0	IO				DIFFOUT_T35n	G12	DQ11T	DQ11T	
7C	VREFB7CN0	IO				DIFFOUT_T35p	H11	DQ11T	DQ11T	
7C	VREFB7CN0	IO			DIFFIO_RX_T18n	DIFFOUT_T36n	E11	DQSn12T	DQSn11T/DQ11T	
7C	VREFB7CN0	IO			DIFFIO_RX_T18p	DIFFOUT_T36p	F11	DQS12T	DQS11T/CQ11T	
7C	VREFB7CN0	IO				DIFFOUT_T37n	E12	DQ12T	DQ11T	
7C	VREFB7CN0	IO				DIFFOUT_T37p	F12	DQ12T	DQ11T	
7C	VREFB7CN0	IO			DIFFIO_RX_T19n	DIFFOUT_T38n	D9	DQ12T	DQ11T	
7C	VREFB7CN0	IO			DIFFIO_RX_T19p	DIFFOUT_T38p	E9	DQ12T	DQ11T	
7C	VREFB7CN0	IO				DIFFOUT_T39n	B9	DQ13T		
7C	VREFB7CN0	IO				DIFFOUT_T39p	C9	DQ13T		
7C	VREFB7CN0	IO			DIFFIO_RX_T20n	DIFFOUT_T40n	C10	DQSn13T		
7C	VREFB7CN0	IO			DIFFIO_RX_T20p	DIFFOUT_T40p	D10	DQS13T		
7C	VREFB7CN0	IO				DIFFOUT_T41n	D11	DQ13T		
7C	VREFB7CN0	IO				DIFFOUT_T41p	C11	DQ13T		
7C	VREFB7CN0	IO			DIFFIO_RX_T21n	DIFFOUT_T42n	C12			
7C	VREFB7CN0	IO			DIFFIO_RX_T21p	DIFFOUT_T42p	D12			
7C	VREFB7CN0	IO	PLL_T2_CLKOUT4			DIFFOUT_T43n	J13			
7C	VREFB7CN0	IO	PLL_T2_CLKOUT3			DIFFOUT_T43p	J12			
7C	VREFB7CN0	IO			DIFFIO_RX_T22n	DIFFOUT_T44n	C13			
7C	VREFB7CN0	IO			DIFFIO_RX_T22p	DIFFOUT_T44p	D13			
7C	VREFB7CN0	IO	PLL_T2_CLKOUT0n			DIFFOUT_T45n	H14			
7C	VREFB7CN0	IO	PLL_T2_CLKOUT0p			DIFFOUT_T45p	J14			
7C	VREFB7CN0	IO	PLL_T2_FBn/CLKOUT2		DIFFIO_RX_T23n	DIFFOUT_T46n	A10			
7C	VREFB7CN0	IO	PLL_T2_FBp/CLKOUT1		DIFFIO_RX_T23p	DIFFOUT_T46p	A9			
7C	VREFB7CN0	IO	CLK13n			DIFFOUT_T47n	A11			
7C	VREFB7CN0	IO	CLK13p			DIFFOUT_T47p	B11			
7C	VREFB7CN0	IO	CLK12n		DIFFIO_RX_T24n	DIFFOUT_T48n	A12			
7C	VREFB7CN0	IO	CLK12p		DIFFIO_RX_T24p	DIFFOUT_T48p	B12			
8C	VREFB8CN0	IO	CLK14p		DIFFIO_RX_T25p	DIFFOUT_T49p	B15			
8C	VREFB8CN0	IO	CLK14n		DIFFIO_RX_T25n	DIFFOUT_T49n	A15			
8C	VREFB8CN0	IO	CLK15p			DIFFOUT_T50p	A13			
8C	VREFB8CN0	IO	CLK15n			DIFFOUT_T50n	A14			
8C	VREFB8CN0	IO	PLL_T1_FBp/CLKOUT1		DIFFIO_RX_T26p	DIFFOUT_T51p	C14			
8C	VREFB8CN0	IO	PLL_T1_FBn/CLKOUT2		DIFFIO_RX_T26n	DIFFOUT_T51n	B14			
8C	VREFB8CN0	IO	PLL_T1_CLKOUT0p			DIFFOUT_T52p	J15			
8C	VREFB8CN0	IO	PLL_T1_CLKOUT0n			DIFFOUT_T52n	H15			
8C	VREFB8CN0	IO			DIFFIO_RX_T27p	DIFFOUT_T53p	D15			
8C	VREFB8CN0	IO			DIFFIO_RX_T27n	DIFFOUT_T53n	C15			
8C	VREFB8CN0	IO	PLL_T1_CLKOUT3			DIFFOUT_T54p	J16			
8C	VREFB8CN0	IO	PLL_T1_CLKOUT4			DIFFOUT_T54n	G16			
8C	VREFB8CN0	IO			DIFFIO_RX_T28p	DIFFOUT_T55p	D16			
8C	VREFB8CN0	IO			DIFFIO_RX_T28n	DIFFOUT_T55n	C16			
8C	VREFB8CN0	IO				DIFFOUT_T56p	A17	DQ14T		
8C	VREFB8CN0	IO				DIFFOUT_T56n	A16	DQ14T		
8C	VREFB8CN0	IO			DIFFIO_RX_T29p	DIFFOUT_T57p	C17	DQS14T		
8C	VREFB8CN0	IO			DIFFIO_RX_T29n	DIFFOUT_T57n	B17	DQSn14T		
8C	VREFB8CN0	IO				DIFFOUT_T58p	A18	DQ14T		
8C	VREFB8CN0	IO				DIFFOUT_T58n	D17	DQ14T		
8C	VREFB8CN0	IO			DIFFIO_RX_T30p	DIFFOUT_T59p	B18	DQ15T	DQ16T	
8C	VREFB8CN0	IO			DIFFIO_RX_T30n	DIFFOUT_T59n	A19	DQ15T	DQ16T	
8C	VREFB8CN0	IO				DIFFOUT_T60p	A20	DQ15T	DQ16T	
8C	VREFB8CN0	IO				DIFFOUT_T60n	B20	DQ15T	DQ16T	
8C	VREFB8CN0	IO			DIFFIO_RX_T31p	DIFFOUT_T61p	C19	DQS15T	DQS16T/CQ16T	
8C	VREFB8CN0	IO			DIFFIO_RX_T31n	DIFFOUT_T61n	C20	DQSn15T	DQSn16T/DQ16T	
8C	VREFB8CN0	IO				DIFFOUT_T62p	F17	DQ16T	DQ16T	
8C	VREFB8CN0	IO				DIFFOUT_T62n	E17	DQ16T	DQ16T	
