*******************************************************************												
* PT-EP1C4-1.3.txt
* PIN-OUT INFORMATION FOR EP1C4            												
* Ver. 1.3                                            												
*******************************************************************									
									
Bank Number	VREFB Group	Pin Name / Function	Optional Function(s)	Configuration Function	F324	F400	DQS for x8 in the F324	DQS for x8 in the F400	
B4	VREF1B4	IO	LVDS108p		U11	U12	DM0B	DM0B	
B4	VREF1B4	IO	LVDS108n		V11	V12		
B4	VREF1B4	IO	LVDS107p		V12	T13		
	VREF1B4	GND						
B4	VREF1B4	IO	LVDS107n		U12	R13		
B4	VREF0B4	IO	LVDS106p		T12	Y13	DQ0B7	DQ0B7
B4	VREF0B4	IO	LVDS106n		R12	W13	DQ0B6	DQ0B6
B4	VREF0B4	VCCIO4						
B4	VREF0B4	IO	LVDS105p		V13	U13	DQ0B5	DQ0B5
B4	VREF0B4	IO	LVDS105n		U13	V13	DQ0B4	DQ0B4
B4	VREF0B4	IO	LVDS104p		T13	R14		
B4	VREF0B4	GND						
B4	VREF0B4	IO	LVDS104n		R13	T14		
B4	VREF0B4	IO	LVDS103p		N10	W14		
B4	VREF0B4	IO	LVDS103n		M10	Y14		
B4	VREF0B4	IO	LVDS102p			U14		
B4	VREF0B4	IO	LVDS102n			V14		
B4	VREF0B4	IO	LVDS101p			V15		
	VREF0B4	GND						
B4	VREF0B4	IO	LVDS101n		P12	U15		
B4	VREF0B4	IO	VREF0B4		P13	Y15		
B4	VREF0B4	IO	DPCLK6		U14	W15	DQS0B	DQS0B
B4	VREF0B4	IO	LVDS100p		N11	T15		
B4	VREF0B4	IO	LVDS100n		M11	T16		
B4	VREF0B4	IO	LVDS99p		T14	W16	DQ0B3	DQ0B3
B4	VREF0B4	VCCIO4						
B4	VREF0B4	IO	LVDS99n		R14	V16	DQ0B2	DQ0B2
B4	VREF0B4	IO	LVDS98p		V15	V17	DQ0B1	DQ0B1
B4	VREF0B4	IO	LVDS98n		U15	U16	DQ0B0	DQ0B0
B4	VREF0B4	GND						
B4	VREF0B4	IO	LVDS97p		U16	Y17		
B4	VREF0B4	IO	LVDS97n		T15	W17		
	VREF0B4	GND						
B3	VREF2B3	GND						
B3	VREF2B3	IO	LVDS96n		T16	W18		
B3	VREF2B3	IO	LVDS96p		T17	V18		
B3	VREF2B3	IO	LVDS95n		R17	V19		
B3	VREF2B3	IO	LVDS95p		R18	U20		
B3	VREF2B3	IO	LVDS94n		R15	U18	DQ1R7	DQ1R7
B3	VREF2B3	IO	LVDS94p		R16	U19		
B3	VREF2B3	IO	VREF2B3		P16	U17		
B3	VREF2B3	VCCIO3						
B3	VREF2B3	IO			P17	T18	DQ1R6	DQ1R6
B3	VREF2B3	IO	DPCLK5		P15	T19	DQS1R	DQS1R
B3	VREF2B3	IO	LVDS93n		P14	T17	DQ1R5	DQ1R5
B3	VREF2B3	IO	LVDS93p		N14	R16	DQ1R4	DQ1R4
B3	VREF2B3	IO	LVDS92n		N18	R19		
B3	VREF2B3	IO	LVDS92p		N17	R20		
B3	VREF2B3	IO	LVDS91n		N13	R17		
B3	VREF2B3	IO	LVDS91p		N12	R18		
B3	VREF2B3	IO	LVDS90n		N16	R15		
B3	VREF2B3	IO	LVDS90p		N15	P14		
B3	VREF2B3	IO	LVDS89n		M18	P18		
B3	VREF2B3	GND						
B3	VREF2B3	IO	LVDS89p		M17	P17	DQ1R3	DQ1R3
B3	VREF2B3	IO	LVDS88p		M15	P15	DQ1R1	DQ1R1
B3	VREF2B3	IO	LVDS88n		M14	P16	DQ1R2	DQ1R2
B3	VREF2B3	VCCIO3						
B3	VREF2B3	IO	LVDS87n			P19		
B3	VREF2B3	IO	LVDS87p			P20		
B3	VREF2B3	IO			M16	N14	DQ1R0	DQ1R0
B3	VREF1B3	IO	LVDS86n		L18	N18		
B3	VREF1B3	IO	LVDS86p		L17	N17		
B3	VREF1B3	IO	LVDS85n		M13	N19		
B3	VREF1B3	IO	LVDS85p		L13	N20		
B3	VREF1B3	IO	LVDS84p		L15	N15		
B3	VREF1B3	IO	LVDS84n		L16	N16	DM1R	DM1R
B3	VREF1B3	IO	LVDS83n			M18		
B3	VREF1B3	IO	LVDS83p			M17		
B3	VREF1B3	GND						
B3	VREF1B3	IO	LVDS82p			M16		
B3	VREF1B3	IO	LVDS82n			M15		
B3	VREF1B3	IO	LVDS81n			M20		
B3	VREF1B3	VCCIO3						
B3	VREF1B3	IO	LVDS81p			M19		
B3	VREF1B3	IO			L14	M14		
B3	VREF1B3	IO	PLL2_OUTp		K15	L13		
	VREF1B3	GNDG_PLL2			J18	L15		
B3	VREF1B3	IO	PLL2_OUTn		K16	M13		
B3	VREF1B3	CLK3	LVDSCLK2n		J16	K14		
B3	VREF1B3	CONF_DONE		CONF_DONE	K17	L18		
	VREF1B3	GNDA_PLL2			K12	K20		
B3	VREF1B3	nSTATUS		nSTATUS	L12	L17		
B3	VREF1B3	CLK2	LVDSCLK2p		J15	L14		
B3	VREF1B3	TCK		TCK	K18	L19		
B3	VREF1B3	TMS		TMS	K14	L16		
B3	VREF1B3	IO	VREF1B3		J14	K19		
B3	VREF1B3	TDO		TDO	K13	L20		
B3	VREF1B3	TDI		TDI	J17	K18		
	VREF1B3	VCCA_PLL2			J12	K17		
B3	VREF1B3	IO				J13		
B3	VREF1B3	IO	LVDS80p			K15		
B3	VREF1B3	IO	LVDS80n			K16		
B3	VREF1B3	IO	LVDS79n			J18		
B3	VREF1B3	IO	LVDS79p			J17		
B3	VREF1B3	IO	LVDS78n			J14		
B3	VREF1B3	IO	LVDS78p			H14		
B3	VREF1B3	GND						
B3	VREF1B3	IO	LVDS77n			J20		
B3	VREF1B3	IO	LVDS77p			J19		
B3	VREF1B3	IO	LVDS76n		J13	J15		
B3	VREF1B3	VCCIO3						
B3	VREF1B3	IO	LVDS76p		H13	J16	DM0R	DM0R
B3	VREF1B3	IO	LVDS75n		H14	H20		
B3	VREF1B3	IO	LVDS75p		H15	H19		
B3	VREF1B3	IO	LVDS74n		H16	H17		
B3	VREF1B3	IO	LVDS74p		H17	H18		
B3	VREF0B3	IO			H18	H16	DQ0R7	DQ0R7
B3	VREF0B3	IO	LVDS73n		G18	G17	DQ0R6	DQ0R6
B3	VREF0B3	IO	LVDS73p		G17	G18	DQ0R5	DQ0R5
B3	VREF0B3	IO	LVDS72n		G13	H15	DQ0R4	DQ0R4
B3	VREF0B3	IO	LVDS72p		G14	G14		
B3	VREF0B3	IO	LVDS71n		G15	G19		
B3	VREF0B3	GND						
B3	VREF0B3	IO	LVDS71p		G16	G20		
B3	VREF0B3	IO	LVDS70n		G12	G15		
B3	VREF0B3	IO	LVDS70p		F12	G16		
B3	VREF0B3	VCCIO3						
B3	VREF0B3	IO	LVDS69p		F17	F19		
B3	VREF0B3	IO	LVDS69n		F18	F20		
B3	VREF0B3	IO	LVDS68p		F14	F16		
B3	VREF0B3	IO	LVDS68n		F13	F15		
B3	VREF0B3	IO	LVDS67n		F16	E19		
B3	VREF0B3	IO	LVDS67p		F15	E18	DQ0R3	DQ0R3
B3	VREF0B3	IO	DPCLK4		E17	F18	DQS0R	DQS0R
B3	VREF0B3	IO	LVDS66n		E16	F17	DQ0R2	DQ0R2
B3	VREF0B3	IO	LVDS66p		E15	E17	DQ0R1	DQ0R1
B3	VREF0B3	IO			D18	D20	DQ0R0	DQ0R0
B3	VREF0B3	IO	VREF0B3		E14	D17		
B3	VREF0B3	IO	LVDS65n		D16	D19		
B3	VREF0B3	IO	LVDS65p		D15	D18		
B3	VREF0B3	IO	LVDS64n		C17	C19		
B3	VREF0B3	IO	LVDS64p		D17	C18		
B3	VREF0B3	GND						
B3	VREF0B3	VCCIO3						
	VREF0B2	GND						
B2	VREF0B2	IO	LVDS63n		C16	C17		
B2	VREF0B2	IO	LVDS63p		B16	B18		
B2	VREF0B2	VCCIO2						
B2	VREF0B2	IO	LVDS62n		B15	B17	DQ0T0	DQ0T0
B2	VREF0B2	IO	LVDS62p		A15	A17	DQ0T1	DQ0T1
B2	VREF0B2	IO	LVDS61n		C15	C16	DQ0T2	DQ0T2
B2	VREF0B2	GND						
B2	VREF0B2	IO	LVDS61p		D14	B16	DQ0T3	DQ0T3
B2	VREF0B2	IO	LVDS60n		G11	D16		
B2	VREF0B2	IO	LVDS60p		F11	E16		
B2	VREF0B2	IO	DPCLK3		B14	C15	DQS0T	DQS0T
B2	VREF0B2	IO	VREF0B2		C14	D15		
B2	VREF0B2	IO	LVDS59n		E13	B15		
	VREF0B2	GND						
B2	VREF0B2	IO	LVDS59p			A15		
B2	VREF0B2	IO	LVDS58n		G10	E15		
B2	VREF0B2	IO	LVDS58p		F10	F14		
B2	VREF0B2	IO	LVDS57n			A14		
B2	VREF0B2	IO	LVDS57p			B14		
B2	VREF0B2	IO	LVDS56n		B13	E14		
B2	VREF0B2	VCCIO2						
B2	VREF0B2	IO	LVDS56p		A13	E13		
B2	VREF0B2	IO	LVDS55n		D13	C14	DQ0T4	DQ0T4
B2	VREF0B2	IO	LVDS55p		C13	D14	DQ0T5	DQ0T5
B2	VREF0B2	GND						
B2	VREF0B2	IO	LVDS54n		D12	A13	DQ0T6	DQ0T6
B2	VREF0B2	IO	LVDS54p		C12	B13	DQ0T7	DQ0T7
B2	VREF1B2	IO	LVDS53n		B12	C13		
	VREF1B2	GND						
B2	VREF1B2	IO	LVDS53p		A12	D13		
B2	VREF1B2	IO	LVDS52n		C11	E12		
B2	VREF1B2	IO	LVDS52p		D11	F12		
B2	VREF1B2	IO	LVDS51n		B11	A12		
B2	VREF1B2	IO	LVDS51p		A11	B12	DM0T	DM0T
B2	VREF1B2	IO	LVDS50n		E11	D12		
	VREF1B2	GND						
B2	VREF1B2	IO	LVDS50p			C12		
B2	VREF1B2	IO				E11		
B2	VREF1B2	IO	LVDS49n		C10	A11		
B2	VREF1B2	VCCIO2						
B2	VREF1B2	IO	LVDS49p		D10	B11		
B2	VREF1B2	IO	LVDS48n		B10	D11		
B2	VREF1B2	IO	LVDS48p		A10	C11		
B2	VREF1B2	GND						
B2	VREF1B2	IO	LVDS47n			D10		
B2	VREF1B2	IO	LVDS47p			C10		
B2	VREF1B2	IO	VREF1B2		E10	F10		
B2	VREF1B2	IO	LVDS46n		G9	A10		
B2	VREF1B2	IO	LVDS46p		F9	B10		
B2	VREF1B2	IO	LVDS45n			E10		
B2	VREF1B2	IO	LVDS45p			E9		
B2	VREF1B2	IO	LVDS44n		D9	C9	DM1T	DM1T
B2	VREF1B2	IO	LVDS44p		C9	D9		
B2	VREF1B2	IO	LVDS43n		A9	A9		
	VREF1B2	GND						
B2	VREF1B2	IO	LVDS43p		B9	B9		
B2	VREF1B2	IO	LVDS42n		D8	C8		
B2	VREF1B2	IO	LVDS42p		C8	D8		
B2	VREF1B2	VCCIO2						
B2	VREF1B2	IO	LVDS41n		A8	A8		
B2	VREF1B2	IO	LVDS41p		B8	B8		
B2	VREF2B2	IO	LVDS40n		E8	E8	DQ1T0	DQ1T0
B2	VREF2B2	GND						
B2	VREF2B2	IO	LVDS40p		E7	F8	DQ1T1	DQ1T1
B2	VREF2B2	IO	LVDS39n		A7	C7	DQ1T2	DQ1T2
B2	VREF2B2	IO	LVDS39p		B7	D7	DQ1T3	DQ1T3
B2	VREF2B2	IO	LVDS38n		D7	A7		
B2	VREF2B2	IO	LVDS38p		C7	B7		
B2	VREF2B2	IO	LVDS37n		E6	E7		
	VREF2B2	GND						
B2	VREF2B2	IO	LVDS37p		D6	F7		
B2	VREF2B2	IO	LVDS36n		B6	A6		
B2	VREF2B2	IO	LVDS36p		C6	B6		
B2	VREF2B2	IO	VREF2B2		A6	E6		
B2	VREF2B2	IO	DPCLK2		B5	C6	DQS1T	DQS1T
B2	VREF2B2	IO	LVDS35n		F8	B5		
B2	VREF2B2	VCCIO2						
B2	VREF2B2	IO	LVDS35p		G8	C5		
B2	VREF2B2	IO	LVDS34n		C5	D6	DQ1T4	DQ1T4
B2	VREF2B2	IO	LVDS34p		D5	D5	DQ1T5	DQ1T5
B2	VREF2B2	GND						
B2	VREF2B2	IO	LVDS33n		A4	A4	DQ1T6	DQ1T6
B2	VREF2B2	IO	LVDS33p		B4	B4	DQ1T7	DQ1T7
B2	VREF2B2	IO	LVDS32n	DEV_OE	B3	B3		
B2	VREF2B2	IO	LVDS32p	DEV_CLRn	C4	C4		
		VCCINT			A17	A19		
		VCCINT			A2	A2		
		VCCINT			B1	B1		
		VCCINT			B18	B20		
		VCCINT				H10		
		VCCINT				H12		
		VCCINT				J11		
		VCCINT				J9		
		VCCINT			H10	K10		
		VCCINT			J9	K12		
		VCCINT			K10	L11		
		VCCINT			L9	L9		
		VCCINT				M10		
		VCCINT				M12		
		VCCINT				N11		
		VCCINT				N9		
		VCCINT			U1	W1		
		VCCINT			U18	W20		
		VCCINT			V17	Y19		
		VCCINT			V2	Y2		
		VCCIO1				E1		
		VCCIO1			E1	H8		
		VCCIO1			G7	K8		
		VCCIO1			M7	N8		
		VCCIO1			P1	T1		
		VCCIO4				R10		
		VCCIO4			P11	R12		
		VCCIO4			P8	R8		
		VCCIO4			V14	Y16		
		VCCIO4			V5	Y5		
		VCCIO3				E20		
		VCCIO3			E18	H13		
		VCCIO3			H12	K13		
		VCCIO3			M12	N13		
		VCCIO3			P18	T20		
		VCCIO2				A16		
		VCCIO2			A14	A5		
		VCCIO2			A5	F11		
		VCCIO2			E12	F13		
		VCCIO2			E9	F9		
		GND			A1	A1		
		GND			A16	A18		
		GND			A18	A20		
		GND			A3	A3		
		GND			B17	B19		
		GND			B2	B2		
		GND			C1	C1		
		GND			C18	C20		
		GND				G10		
		GND				G11		
		GND				G12		
		GND				G13		
		GND			H11	G8		
		GND			H8	G9		
		GND			H9	H11		
		GND			J10	H9		
		GND			J11	J10		
		GND			J8	J12		
		GND			K11	K11		
		GND			K8	K9		
		GND			K9	L10		
		GND			L10	L12		
		GND			L11	M11		
		GND			L8	M9		
		GND				N10		
		GND				N12		
		GND				P10		
		GND				P11		
		GND			T1	P12		
		GND			T18	P13		
		GND			U17	P8		
		GND			U2	P9		
		GND			V1	V1		
		GND			V16	V20		
		GND			V18	W19		
		GND			V3	W2		
		GND				Y1		
		GND				Y18		
		GND				Y20		
		GND				Y3		
