*******************************************************************												
* PT-EP1C3T144-1.4.txt
* PIN-OUT INFORMATION FOR EP1C3T144             												
* Ver. 1.4                                            												
*******************************************************************							
							
Bank Number	VREFB Group	Pin Name / Function	Optional Function(s)	Configuration Function	T144	DQS for x8 in the T144	
B3	VREF0B3	IO	VREF0B3		104		
B3	VREF0B3	IO	LVDS17n		105		
B3	VREF0B3	IO	LVDS17p		106		
B3	VREF0B3	IO	LVDS16n		107		
B3	VREF0B3	IO	LVDS16p		108		
B2	VREF0B2	IO	LVDS15n		109		
B2	VREF0B2	IO	LVDS15p		110		
B2	VREF0B2	IO	LVDS14n		111	DQ0T0	
B2	VREF0B2	IO	LVDS14p		112	DQ0T1	
B2	VREF0B2	IO	LVDS13n		113	DQ0T2	
B2	VREF0B2	IO	LVDS13p		114	DQ0T3	
B2	VREF0B2	VCCIO2			115		
B2	VREF0B2	GND			116		
	VREF0B2	VCCINT			117		
	VREF0B2	GND			118		
B2	VREF0B2	IO	DPCLK3		119	DQS0T	
B2	VREF0B2	IO	VREF0B2		120		
B2	VREF0B2	IO	LVDS12n		121		
B2	VREF1B2	IO	LVDS12p		122		
B2	VREF1B2	IO	LVDS11n		123	DM0T	
B2	VREF1B2	IO	LVDS11p		124		
B2	VREF1B2	IO	VREF1B2		125		
B2	VREF1B2	IO	LVDS10n		126		
B2	VREF1B2	IO	LVDS10p		127		
B2	VREF1B2	IO	LVDS9n		128		
B2	VREF1B2	IO	LVDS9p		129		
B2	VREF2B2	IO	LVDS8n		130		
B2	VREF2B2	IO	LVDS8p		131		
B2	VREF2B2	IO			132		
B2	VREF2B2	IO	VREF2B2		133		
B2	VREF2B2	IO	DPCLK2		134	DQS1T	
	VREF2B2	VCCINT			135		
	VREF2B2	GND			136		
B2	VREF2B2	VCCIO2			137		
B2	VREF2B2	GND			138		
B2	VREF2B2	IO	LVDS7n		139	DQ0T4	
B2	VREF2B2	IO	LVDS7p		140	DQ0T5	
B2	VREF2B2	IO	LVDS6n		141	DQ0T6	
B2	VREF2B2	IO	LVDS6p		142	DQ0T7	
B2	VREF2B2	IO	LVDS5n	DEV_OE	143		
B2	VREF2B2	IO	LVDS5p	DEV_CLRn	144		
							
							
							
							
							
							
							
							
							
							
							
							
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
