Bank Number	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Emulated LVDS Output Channel	F484		
B5	VREFB5N0	IO			DIFFIO_R27p	U21		
B5	VREFB5N0	IO			DIFFIO_R26n	R18		
B5	VREFB5N0	IO			DIFFIO_R26p	R19		
B5	VREFB5N0	IO				N16		
B5	VREFB5N0	IO			DIFFIO_R25n	R22		
B5	VREFB5N0	IO			DIFFIO_R25p	R21		
B5	VREFB5N0	IO	VREFB5N0			P20		
B5	VREFB5N0	IO			DIFFIO_R24n	P22		
B5	VREFB5N0	IO			DIFFIO_R24p	P21		
B5	VREFB5N0	IO			DIFFIO_R23n	N20		
B5	VREFB5N0	IO			DIFFIO_R23p	N19		
B5	VREFB5N0	IO			DIFFIO_R22n	N17		
B5	VREFB5N0	IO			DIFFIO_R22p	N18		
B5	VREFB5N0	IO		DEV_OE	DIFFIO_R21n	N22		
B5	VREFB5N0	IO		DEV_CLRn	DIFFIO_R21p	N21		
B5	VREFB5N0	IO			DIFFIO_R20n	M22		
B5	VREFB5N0	IO			DIFFIO_R20p	M21		
B5	VREFB5N0	IO			DIFFIO_R19n	M20		
B5	VREFB5N0	IO			DIFFIO_R19p	M19		
B5	VREFB5N0	IO				M16		
B5	VREFB5N0	CLK7	DIFFCLK_3n			T22		
B5	VREFB5N0	CLK6	DIFFCLK_3p			T21		
B6	VREFB6N1	CLK5	DIFFCLK_2n			G22		
B6	VREFB6N1	CLK4	DIFFCLK_2p			G21		
B6	VREFB6N1	CONF_DONE		CONF_DONE		M18		
B6	VREFB6N1	MSEL0		MSEL0		M17		
B6	VREFB6N1	MSEL1		MSEL1		L18		
B6	VREFB6N1	MSEL2		MSEL2		L17		
B6	VREFB6N1	MSEL3		MSEL3		K20		
B6	VREFB6N1	IO			DIFFIO_R18n	L16		
B6	VREFB6N1	IO			DIFFIO_R18p	L15		
B6	VREFB6N1	IO		INIT_DONE	DIFFIO_R17n	L22		
B6	VREFB6N1	IO		CRC_ERROR	DIFFIO_R17p	L21		
B6	VREFB6N1	IO				K15		
B6	VREFB6N1	IO	VREFB6N1			K19		
B6	VREFB6N1	IO				J15		
B6	VREFB6N1	IO		nCEO	DIFFIO_R16n	K22		
B6	VREFB6N1	IO		CLKUSR	DIFFIO_R16p	K21		
B6	VREFB6N1	IO			DIFFIO_R15n	J22		
B6	VREFB6N1	IO			DIFFIO_R15p	J21		
B6	VREFB6N1	IO			DIFFIO_R14n	J16		
B6	VREFB6N1	IO			DIFFIO_R14p	K16		
B6	VREFB6N1	IO			DIFFIO_R13n	H22		
B6	VREFB6N1	IO			DIFFIO_R13p	H21		
B6	VREFB6N1	IO			DIFFIO_R12n	K17		
B6	VREFB6N1	IO			DIFFIO_R12p	K18		
B6	VREFB6N1	IO				J18		
B6	VREFB6N1	IO			DIFFIO_R11n	F22		
B6	VREFB6N0	IO			DIFFIO_R11p	F21		
B6	VREFB6N0	IO			DIFFIO_R10n	H20		
B6	VREFB6N0	IO			DIFFIO_R10p	H19		
B6	VREFB6N0	IO			DIFFIO_R9n	E22		
B6	VREFB6N0	IO			DIFFIO_R9p	E21		
B6	VREFB6N0	IO	VREFB6N0			H18		
B6	VREFB6N0	IO			DIFFIO_R8n	J17		
B6	VREFB6N0	IO			DIFFIO_R8p	H16		
B6	VREFB6N0	IO			DIFFIO_R7n	D22		
B6	VREFB6N0	IO			DIFFIO_R7p	D21		
B6	VREFB6N0	IO			DIFFIO_R6n	F20		
B6	VREFB6N0	IO			DIFFIO_R6p	F19		
B6	VREFB6N0	IO			DIFFIO_R5n	G18		
B6	VREFB6N0	IO			DIFFIO_R5p	H17		
B6	VREFB6N0	IO			DIFFIO_R4n	C22		
B6	VREFB6N0	IO			DIFFIO_R4p	C21		
B6	VREFB6N0	IO			DIFFIO_R3n	B22		
B6	VREFB6N0	IO			DIFFIO_R3p	B21		
B6	VREFB6N0	IO			DIFFIO_R2n	C20		
B6	VREFB6N0	IO			DIFFIO_R2p	D20		
B6	VREFB6N0	IO			DIFFIO_R1n	F17		
B6	VREFB6N0	IO			DIFFIO_R1p	G17		
B7	VREFB7N0	IO			DIFFIO_T32n	F16		
B7	VREFB7N0	IO			DIFFIO_T32p	E16		
B7	VREFB7N0	IO			DIFFIO_T31n	F15		
B7	VREFB7N0	IO			DIFFIO_T31p	G16		
B7	VREFB7N0	IO			DIFFIO_T30n	G15		
B7	VREFB7N0	IO			DIFFIO_T30p	F14		
B7	VREFB7N0	IO				G14		
B7	VREFB7N0	IO	VREFB7N0			D17		
B7	VREFB7N0	IO			DIFFIO_T29n	C19		
B7	VREFB7N0	IO			DIFFIO_T29p	D19		
B7	VREFB7N0	IO	PLL2_CLKOUTn			A20		
B7	VREFB7N0	IO	PLL2_CLKOUTp			B20		
B7	VREFB7N0	IO				C17		
B7	VREFB7N0	IO			DIFFIO_T28n	H15		
B7	VREFB7N0	IO			DIFFIO_T28p	H14		
B7	VREFB7N0	IO	RUP4			B19		
B7	VREFB7N0	IO	RDN4			A19		
B7	VREFB7N0	IO			DIFFIO_T27n	A18		
B7	VREFB7N0	IO			DIFFIO_T27p	B18		
B7	VREFB7N0	IO			DIFFIO_T26n	D15		
B7	VREFB7N0	IO			DIFFIO_T26p	E15		
B7	VREFB7N1	IO				G13		
B7	VREFB7N1	IO			DIFFIO_T25n	A17		
B7	VREFB7N1	IO			DIFFIO_T25p	B17		
B7	VREFB7N1	IO			DIFFIO_T24n	A16		
B7	VREFB7N1	IO			DIFFIO_T24p	B16		
B7	VREFB7N1	IO	VREFB7N1			C15		
B7	VREFB7N1	IO			DIFFIO_T23n	E14		
B7	VREFB7N1	IO			DIFFIO_T23p	F12		
B7	VREFB7N1	IO			DIFFIO_T22n	H13		
B7	VREFB7N1	IO			DIFFIO_T22p	H12		
B7	VREFB7N1	IO			DIFFIO_T21n	G12		
B7	VREFB7N1	IO			DIFFIO_T21p	F13		
B7	VREFB7N1	IO			DIFFIO_T20n	A15		
B7	VREFB7N1	IO			DIFFIO_T20p	B15		
B7	VREFB7N1	IO			DIFFIO_T19n	C13		
B7	VREFB7N1	IO			DIFFIO_T19p	D13		
B7	VREFB7N1	IO				E13		
B7	VREFB7N1	IO			DIFFIO_T18n	A14		
B7	VREFB7N1	IO			DIFFIO_T18p	B14		
B7	VREFB7N1	IO			DIFFIO_T17n	A13		
B7	VREFB7N1	IO			DIFFIO_T17p	B13		
B7	VREFB7N1	IO				E12		
B7	VREFB7N1	IO			DIFFIO_T16n	E11		
B7	VREFB7N1	IO			DIFFIO_T16p	F11		
B7	VREFB7N1	CLK8	DIFFCLK_5n			A12		
B7	VREFB7N1	CLK9	DIFFCLK_5p			B12		
B8	VREFB8N0	CLK10	DIFFCLK_4n			A11		
B8	VREFB8N0	CLK11	DIFFCLK_4p			B11		
B8	VREFB8N0	IO				H11		
B8	VREFB8N0	IO			DIFFIO_T15n	D10		
B8	VREFB8N0	IO			DIFFIO_T15p	E10		
B8	VREFB8N0	IO			DIFFIO_T14n	A10		
B8	VREFB8N0	IO			DIFFIO_T14p	B10		
B8	VREFB8N0	IO			DIFFIO_T13n	A9		
B8	VREFB8N0	IO			DIFFIO_T13p	B9		
B8	VREFB8N0	IO				C10		
B8	VREFB8N0	IO				G11		
B8	VREFB8N0	IO		DATA2	DIFFIO_T12n	A8		
B8	VREFB8N0	IO		DATA3	DIFFIO_T12p	B8		
B8	VREFB8N0	IO			DIFFIO_T11n	A7		
B8	VREFB8N0	IO		DATA4	DIFFIO_T11p	B7		
B8	VREFB8N0	IO			DIFFIO_T10n	A6		
B8	VREFB8N0	IO			DIFFIO_T10p	B6		
B8	VREFB8N0	IO	VREFB8N0			E9		
B8	VREFB8N0	IO			DIFFIO_T9n	C8		
B8	VREFB8N0	IO			DIFFIO_T9p	C7		
B8	VREFB8N0	IO			DIFFIO_T8n	G10		
B8	VREFB8N0	IO			DIFFIO_T8p	G9		
B8	VREFB8N0	IO			DIFFIO_T7n	H10		
B8	VREFB8N0	IO			DIFFIO_T7p	H9		
B8	VREFB8N0	IO		DATA5		A5		
B8	VREFB8N1	IO				B5		
B8	VREFB8N1	IO			DIFFIO_T6n	F9		
B8	VREFB8N1	IO		DATA6	DIFFIO_T6p	F10		
B8	VREFB8N1	IO		DATA7		C6		
B8	VREFB8N1	IO			DIFFIO_T5n	A4		
B8	VREFB8N1	IO			DIFFIO_T5p	B4		
B8	VREFB8N1	IO			DIFFIO_T4n	F8		
B8	VREFB8N1	IO			DIFFIO_T4p	G8		
B8	VREFB8N1	IO			DIFFIO_T3n	A3		
B8	VREFB8N1	IO			DIFFIO_T3p	B3		
B8	VREFB8N1	IO	VREFB8N1			D6		
B8	VREFB8N1	IO				E7		
B8	VREFB8N1	IO			DIFFIO_T2n	C3		
B8	VREFB8N1	IO			DIFFIO_T2p	C4		
B8	VREFB8N1	IO			DIFFIO_T1n	F7		
B8	VREFB8N1	IO			DIFFIO_T1p	G7		
B8	VREFB8N1	IO	PLL3_CLKOUTn			E6		
B8	VREFB8N1	IO	PLL3_CLKOUTp			E5		
		GND				L10		
		GND				L11		
		GND				M10		
		GND				M11		
		GND				L12		
		GND				L13		
		GND				M12		
		GND				M13		
		GND				N11		
		GND				K11		
		GND				N12		
		GND				K12		
		GND				K13		
		GND				N13		
		GND				N10		
		GND				K10		
		GND				J9		
		GND				D7		
		GND				J5		
		GND				H8		
		GND				A1		
		GND				C5		
		GND				C9		
		GND				C11		
		GND				C12		
		GND				C14		
		GND				C16		
		GND				A22		
		GND				E20		
		GND				G20		
		GND				L20		
		GND				P19		
		GND				V20		
		GND				Y20		
		GND				AB22		
		GND				Y18		
		GND				Y16		
		GND				Y12		
		GND				Y11		
		GND				Y9		
		GND				Y5		
		GND				AB1		
		GND				N3		
		GND				U3		
		GND				W3		
		GND				D3		
		GND				F3		
		GND				K3		
		GND				AA2		
		GND				H3		
		GND				R3		
		GND				AB6		
		GND				Y15		
		GND				T20		
		GND				J19		
		GND				C18		
		GND				D8		
		GND				C1		
		GND				C2		
		GND				AA17		
		GND				AB17		
		GND				AA1		
		GNDA1				U5		
		GNDA2				E18		
		GNDA3				F5		
		GNDA4				V18		
		VCCD_PLL1				U6		
		VCCD_PLL2				E17		
		VCCD_PLL3				F6		
		VCCD_PLL4				V17		
		VCCIO1				D4		
		VCCIO1				F4		
		VCCIO1				K4		
		VCCIO1				H4		
		VCCIO2				N4		
		VCCIO2				U4		
		VCCIO2				W4		
		VCCIO2				R4		
		VCCIO3				AB2		
		VCCIO3				W5		
		VCCIO3				W9		
		VCCIO3				W11		
		VCCIO3				AA6		
		VCCIO4				AB21		
		VCCIO4				W12		
		VCCIO4				W16		
		VCCIO4				W18		
		VCCIO4				Y14		
		VCCIO5				P18		
		VCCIO5				V19		
		VCCIO5				Y19		
		VCCIO5				T19		
		VCCIO6				E19		
		VCCIO6				G19		
		VCCIO6				L19		
		VCCIO6				J20		
		VCCIO7				A21		
		VCCIO7				D12		
		VCCIO7				D14		
		VCCIO7				D16		
		VCCIO7				D18		
		VCCIO8				A2		
		VCCIO8				D5		
		VCCIO8				D9		
		VCCIO8				D11		
		VCCIO8				E8		
		VCCA1				T6		
		VCCA2				F18		
		VCCA3				G6		
		VCCA4				U18		
		VCCINT				J11		
		VCCINT				J12		
		VCCINT				L14		
		VCCINT				M14		
		VCCINT				P11		
		VCCINT				P12		
		VCCINT				L9		
		VCCINT				M9		
		VCCINT				J13		
		VCCINT				J14		
		VCCINT				K14		
		VCCINT				J10		
		VCCINT				K9		
		VCCINT				N9		
		VCCINT				P9		
		VCCINT				P10		
		VCCINT				P13		
		VCCINT				U16		
		VCCINT				U17		
		VCCINT				T13		
		VCCINT				J8		
								
Notes:								
"(1) If the p pin or n pin is not available for the package, the particular differential pair is not supported."								
"(2) For more information about pin definition and pin connection guidelines, refer to the "								
Cyclone 10 LP Device Family Pin Connection Guidelines.								


"Pin Information for the Intel® Cyclone®10 10CL016 Device
 Version 2017.05.19 
Notes (1), (2)"								
						
