Bank Number	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Emulated LVDS Output Channel	E144 (3)		
B4	VREFB4N0	IO	PLL4_CLKOUTp			71		
B4	VREFB4N0	IO	PLL4_CLKOUTn			72		
B5	VREFB5N0	IO	RUP3			76		
B5	VREFB5N0	IO	RDN3			77		
B5	VREFB5N0	IO	VREFB5N0			80		
B5	VREFB5N0	IO			DIFFIO_R11p	83		
B5	VREFB5N0	IO			DIFFIO_R10p	85		
B5	VREFB5N0	IO		DEV_OE	DIFFIO_R9n	86		
B5	VREFB5N0	IO		DEV_CLRn	DIFFIO_R9p	87		
B5	VREFB5N0	CLK7	DIFFCLK_3n			88		
B5	VREFB5N0	CLK6	DIFFCLK_3p			89		
B6	VREFB6N0	CLK5	DIFFCLK_2n			90		
B6	VREFB6N0	CLK4	DIFFCLK_2p			91		
B6	VREFB6N0	CONF_DONE		CONF_DONE		92		
B6	VREFB6N0	MSEL0		MSEL0		94		
B6	VREFB6N0	MSEL1		MSEL1		96		
B6	VREFB6N0	MSEL2		MSEL2		97		
B6	VREFB6N0	IO		INIT_DONE	DIFFIO_R5n	98		
B6	VREFB6N0	IO		CRC_ERROR	DIFFIO_R5p	99		
B6	VREFB6N0	IO				100		
B6	VREFB6N0	IO		nCEO	DIFFIO_R4n	101		
B6	VREFB6N0	IO		CLKUSR	DIFFIO_R4p	103		
B6	VREFB6N0	IO	VREFB6N0			105		
B6	VREFB6N0	IO			DIFFIO_R1n	106		
B7	VREFB7N0	IO			DIFFIO_T22p	111		
B7	VREFB7N0	IO	PLL2_CLKOUTn			112		
B7	VREFB7N0	IO	PLL2_CLKOUTp			113		
B7	VREFB7N0	IO	RUP4			114		
B7	VREFB7N0	IO	RDN4			115		
B7	VREFB7N0	IO	VREFB7N0			119		
B7	VREFB7N0	IO			DIFFIO_T19n	120		
B7	VREFB7N0	IO			DIFFIO_T17p	121		
B7	VREFB7N0	IO			DIFFIO_T13p	125		
B7	VREFB7N0	CLK8	DIFFCLK_5n			126		
B7	VREFB7N0	CLK9	DIFFCLK_5p			127		
B8	VREFB8N0	CLK10	DIFFCLK_4n			128		
B8	VREFB8N0	CLK11	DIFFCLK_4p			129		
B8	VREFB8N0	IO		DATA2	DIFFIO_T10n	132		
B8	VREFB8N0	IO		DATA3	DIFFIO_T10p	133		
B8	VREFB8N0	IO		DATA4	DIFFIO_T9p	135		
B8	VREFB8N0	IO	VREFB8N0			136		
B8	VREFB8N0	IO		DATA5		137		
B8	VREFB8N0	IO			DIFFIO_T2p	141		
B8	VREFB8N0	IO				142		
B8	VREFB8N0	IO	PLL3_CLKOUTn			143		
B8	VREFB8N0	IO	PLL3_CLKOUTp			144		
		GND				19		
		GND				27		
		GND				41		
		GND				48		
		GND				57		
		GND				63		
		GND				82		
		GND				95		
		GND				118		
		GND				123		
		GND				131		
		GND				140		
		GND				4		
		GND				79		
		GND				30		
		GND				64		
		GND				104		
		GND				110		
		GNDA1				36		
		GNDA2				108		
		GNDA3				2		
		GNDA4				74		
		VCCD_PLL1				37		
		VCCD_PLL2				109		
		VCCD_PLL3				1		
		VCCD_PLL4				73		
		VCCIO1				17		
		VCCIO2				26		
		VCCIO3				40		
		VCCIO3				47		
		VCCIO4				56		
		VCCIO4				62		
		VCCIO5				81		
		VCCIO6				93		
		VCCIO7				117		
		VCCIO7				122		
		VCCIO8				130		
		VCCIO8				139		
		VCCA1				35		
		VCCA2				107		
		VCCA3				3		
		VCCA4				75		
		VCCINT				5		
		VCCINT				29		
		VCCINT				34		
		VCCINT				38		
		VCCINT				45		
		VCCINT				61		
		VCCINT				70		
		VCCINT				78		
		VCCINT				84		
		VCCINT				102		
		VCCINT				116		
		VCCINT				124		
		VCCINT				134		
		VCCINT				138		
								
Notes:								
"(1) If the p pin or n pin is not available for the package, the particular differential pair is not supported."								
"(2) For more information about pin definition and pin connection guidelines, refer to the "								
Cyclone 10 LP Device Family Pin Connection Guidelines.								
(3) The E144 package has an exposed pad at the bottom of the package.								
This exposed pad is a ground pad that must be connected to the ground plane on your PCB.								
"This exposed pad is used for electrical connectivity, and not for thermal purposes."								


"Pin Information for the Intel® Cyclone®10 10CL025 Device
 Version 2017.05.19 
Notes (1), (2)"								
						
