Bank Number	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Emulated LVDS Output Channel	F484		
B2	VREFB2N1	IO			DIFFIO_L27p	U2		
B2	VREFB2N1	IO			DIFFIO_L27n	U1		
B2	VREFB2N1	IO			DIFFIO_L28p	V2		
B2	VREFB2N1	IO			DIFFIO_L28n	V1		
B2	VREFB2N1	IO			DIFFIO_L29p	P5		
B2	VREFB2N1	IO			DIFFIO_L29n	N6		
B2	VREFB2N1	IO			DIFFIO_L30p	R4		
B2	VREFB2N1	IO			DIFFIO_L30n	R3		
B2	VREFB2N1	IO			DIFFIO_L31p	W2		
B2	VREFB2N1	IO			DIFFIO_L31n	W1		
B2	VREFB2N1	IO			DIFFIO_L32p	Y2		
B2	VREFB2N1	IO			DIFFIO_L32n	Y1		
B2	VREFB2N1	IO	VREFB2N1			T3		
B2	VREFB2N2	IO	RUP1			V4		
B2	VREFB2N2	IO	RDN1			V3		
B2	VREFB2N2	IO	VREFB2N2			R5		
B2	VREFB2N2	IO			DIFFIO_L35p	T4		
B2	VREFB2N2	IO			DIFFIO_L35n	T5		
B3	VREFB3N2	IO			DIFFIO_B1n	V5		
B3	VREFB3N2	IO			DIFFIO_B3p	Y4		
B3	VREFB3N2	IO			DIFFIO_B3n	Y3		
B3	VREFB3N2	IO				Y6		
B3	VREFB3N2	IO	PLL1_CLKOUTp			AA3		
B3	VREFB3N2	IO	PLL1_CLKOUTn			AB3		
B3	VREFB3N2	IO			DIFFIO_B4p	W6		
B3	VREFB3N2	IO				AA4		
B3	VREFB3N2	IO	VREFB3N2			AB4		
B3	VREFB3N2	IO			DIFFIO_B5p	AA5		
B3	VREFB3N2	IO			DIFFIO_B5n	AA6		
B3	VREFB3N2	IO			DIFFIO_B6p	AB6		
B3	VREFB3N2	IO			DIFFIO_B6n	AB5		
B3	VREFB3N2	IO			DIFFIO_B7p	W7		
B3	VREFB3N2	IO			DIFFIO_B7n	Y7		
B3	VREFB3N2	IO			DIFFIO_B8p	U9		
B3	VREFB3N2	IO			DIFFIO_B8n	V8		
B3	VREFB3N2	IO				W8		
B3	VREFB3N1	IO			DIFFIO_B10p	AA7		
B3	VREFB3N1	IO			DIFFIO_B10n	AB7		
B3	VREFB3N1	IO			DIFFIO_B11p	Y8		
B3	VREFB3N1	IO	VREFB3N1			V9		
B3	VREFB3N1	IO			DIFFIO_B15p	V10		
B3	VREFB3N0	IO			DIFFIO_B16n	U10		
B3	VREFB3N0	IO			DIFFIO_B17p	AA8		
B3	VREFB3N0	IO			DIFFIO_B17n	AB8		
B3	VREFB3N0	IO			DIFFIO_B18p	AA9		
B3	VREFB3N0	IO			DIFFIO_B18n	AB9		
B3	VREFB3N0	IO	VREFB3N0			U11		
B3	VREFB3N0	IO				V11		
B3	VREFB3N0	IO			DIFFIO_B22p	W10		
B3	VREFB3N0	IO			DIFFIO_B22n	Y10		
B3	VREFB3N0	IO			DIFFIO_B23p	AA10		
B3	VREFB3N0	IO			DIFFIO_B23n	AB10		
B3	VREFB3N0	CLK15	DIFFCLK_6p			AA11		
B3	VREFB3N0	CLK14	DIFFCLK_6n			AB11		
B4	VREFB4N2	CLK13	DIFFCLK_7p			AA12		
B4	VREFB4N2	CLK12	DIFFCLK_7n			AB12		
B4	VREFB4N2	IO			DIFFIO_B25p	AA13		
B4	VREFB4N2	IO			DIFFIO_B25n	AB13		
B4	VREFB4N2	IO			DIFFIO_B27p	AA14		
B4	VREFB4N2	IO			DIFFIO_B27n	AB14		
B4	VREFB4N2	IO	VREFB4N2			V12		
B4	VREFB4N2	IO			DIFFIO_B28p	W13		
B4	VREFB4N2	IO			DIFFIO_B28n	Y13		
B4	VREFB4N2	IO			DIFFIO_B29p	AA15		
B4	VREFB4N2	IO			DIFFIO_B29n	AB15		
B4	VREFB4N2	IO			DIFFIO_B30p	U12		
B4	VREFB4N2	IO			DIFFIO_B31p	Y14		
B4	VREFB4N2	IO			DIFFIO_B31n	Y15		
B4	VREFB4N1	IO			DIFFIO_B32p	AA16		
B4	VREFB4N1	IO			DIFFIO_B32n	AB16		
B4	VREFB4N1	IO			DIFFIO_B33p	V13		
B4	VREFB4N1	IO			DIFFIO_B33n	W14		
B4	VREFB4N1	IO			DIFFIO_B35p	V14		
B4	VREFB4N1	IO			DIFFIO_B35n	U14		
B4	VREFB4N1	IO			DIFFIO_B36p	U15		
B4	VREFB4N1	IO			DIFFIO_B36n	V15		
B4	VREFB4N1	IO			DIFFIO_B37p	W15		
B4	VREFB4N1	IO			DIFFIO_B38n	T15		
B4	VREFB4N1	IO				AB18		
B4	VREFB4N1	IO	VREFB4N1			AA18		
B4	VREFB4N0	IO	RUP2			AA19		
B4	VREFB4N0	IO	RDN2			AB19		
B4	VREFB4N0	IO			DIFFIO_B40p	W17		
B4	VREFB4N0	IO			DIFFIO_B40n	Y17		
B4	VREFB4N0	IO			DIFFIO_B41p	AA20		
B4	VREFB4N0	IO			DIFFIO_B41n	AB20		
B4	VREFB4N0	IO	VREFB4N0			V16		
B4	VREFB4N0	IO			DIFFIO_B44p	U16		
B4	VREFB4N0	IO			DIFFIO_B44n	U17		
B4	VREFB4N0	IO	PLL4_CLKOUTp			T16		
B4	VREFB4N0	IO	PLL4_CLKOUTn			R16		
B4	VREFB4N0	IO			DIFFIO_B45p	R14		
B5	VREFB5N2	IO			DIFFIO_R41n	AA22		
B5	VREFB5N2	IO			DIFFIO_R41p	AA21		
B5	VREFB5N2	IO	RUP3			T17		
B5	VREFB5N2	IO	RDN3			T18		
B5	VREFB5N2	IO				W20		
B5	VREFB5N2	IO	VREFB5N2			W19		
B5	VREFB5N2	IO			DIFFIO_R40n	Y22		
B5	VREFB5N2	IO			DIFFIO_R40p	Y21		
B5	VREFB5N2	IO			DIFFIO_R39n	U20		
B5	VREFB5N2	IO			DIFFIO_R39p	U19		
B5	VREFB5N2	IO			DIFFIO_R37n	W22		
B5	VREFB5N2	IO			DIFFIO_R37p	W21		
B5	VREFB5N1	IO			DIFFIO_R36n	T20		
B5	VREFB5N1	IO			DIFFIO_R36p	T19		
B5	VREFB5N1	IO			DIFFIO_R35n	R17		
B5	VREFB5N1	IO			DIFFIO_R34n	V22		
B5	VREFB5N1	IO			DIFFIO_R34p	V21		
B5	VREFB5N1	IO			DIFFIO_R33n	R20		
B5	VREFB5N1	IO			DIFFIO_R32n	U22		
B5	VREFB5N1	IO			DIFFIO_R32p	U21		
B5	VREFB5N1	IO			DIFFIO_R31n	R18		
B5	VREFB5N1	IO			DIFFIO_R31p	R19		
B5	VREFB5N1	IO			DIFFIO_R29n	R22		
B5	VREFB5N1	IO			DIFFIO_R29p	R21		
B5	VREFB5N1	IO	VREFB5N1			P20		
B5	VREFB5N0	IO			DIFFIO_R27n	P22		
B5	VREFB5N0	IO			DIFFIO_R27p	P21		
B5	VREFB5N0	IO			DIFFIO_R25n	N20		
B5	VREFB5N0	IO	VREFB5N0			N19		
B5	VREFB5N0	IO			DIFFIO_R24p	N18		
B5	VREFB5N0	IO		DEV_OE	DIFFIO_R23n	N22		
B5	VREFB5N0	IO		DEV_CLRn	DIFFIO_R23p	N21		
B5	VREFB5N0	IO			DIFFIO_R22n	M22		
B5	VREFB5N0	IO			DIFFIO_R22p	M21		
B5	VREFB5N0	IO			DIFFIO_R21n	M20		
B5	VREFB5N0	IO			DIFFIO_R21p	M19		
B5	VREFB5N0	IO				M16		
B5	VREFB5N0	CLK7	DIFFCLK_3n			T22		
B5	VREFB5N0	CLK6	DIFFCLK_3p			T21		
B6	VREFB6N2	CLK5	DIFFCLK_2n			G22		
B6	VREFB6N2	CLK4	DIFFCLK_2p			G21		
B6	VREFB6N2	CONF_DONE		CONF_DONE		M18		
B6	VREFB6N2	MSEL0		MSEL0		M17		
B6	VREFB6N2	MSEL1		MSEL1		L18		
B6	VREFB6N2	MSEL2		MSEL2		L17		
B6	VREFB6N2	MSEL3		MSEL3		K20		
B6	VREFB6N2	IO		INIT_DONE	DIFFIO_R20n	L22		
B6	VREFB6N2	IO		CRC_ERROR	DIFFIO_R20p	L21		
B6	VREFB6N2	IO	VREFB6N2			K19		
B6	VREFB6N2	IO		nCEO	DIFFIO_R19n	K22		
B6	VREFB6N2	IO		CLKUSR	DIFFIO_R19p	K21		
B6	VREFB6N2	IO			DIFFIO_R18n	J22		
B6	VREFB6N2	IO			DIFFIO_R18p	J21		
B6	VREFB6N2	IO			DIFFIO_R17n	H22		
B6	VREFB6N2	IO			DIFFIO_R17p	H21		
B6	VREFB6N2	IO			DIFFIO_R16n	K18		
B6	VREFB6N2	IO			DIFFIO_R16p	J18		
B6	VREFB6N1	IO			DIFFIO_R14n	F22		
B6	VREFB6N1	IO			DIFFIO_R14p	F21		
B6	VREFB6N1	IO			DIFFIO_R13n	J20		
B6	VREFB6N1	IO			DIFFIO_R13p	J19		
B6	VREFB6N1	IO			DIFFIO_R12n	H20		
B6	VREFB6N1	IO			DIFFIO_R12p	H19		
B6	VREFB6N1	IO			DIFFIO_R11n	E22		
B6	VREFB6N1	IO			DIFFIO_R11p	E21		
B6	VREFB6N1	IO	VREFB6N1			H18		
B6	VREFB6N1	IO			DIFFIO_R10n	D22		
B6	VREFB6N1	IO			DIFFIO_R10p	D21		
B6	VREFB6N1	IO			DIFFIO_R9n	F20		
B6	VREFB6N1	IO			DIFFIO_R9p	F19		
B6	VREFB6N1	IO			DIFFIO_R8n	G18		
B6	VREFB6N1	IO			DIFFIO_R8p	H17		
B6	VREFB6N0	IO			DIFFIO_R6n	C22		
B6	VREFB6N0	IO			DIFFIO_R6p	C21		
B6	VREFB6N0	IO			DIFFIO_R5n	B22		
B6	VREFB6N0	IO			DIFFIO_R5p	B21		
B6	VREFB6N0	IO			DIFFIO_R4n	C20		
B6	VREFB6N0	IO	VREFB6N0			D20		
B6	VREFB6N0	IO			DIFFIO_R1n	F17		
B7	VREFB7N0	IO			DIFFIO_T46n	E16		
B7	VREFB7N0	IO			DIFFIO_T46p	F15		
B7	VREFB7N0	IO			DIFFIO_T45p	F14		
B7	VREFB7N0	IO			DIFFIO_T44n	C18		
B7	VREFB7N0	IO			DIFFIO_T44p	D18		
B7	VREFB7N0	IO	VREFB7N0			D17		
B7	VREFB7N0	IO			DIFFIO_T42n	C19		
B7	VREFB7N0	IO			DIFFIO_T42p	D19		
B7	VREFB7N0	IO	PLL2_CLKOUTn			A20		
B7	VREFB7N0	IO	PLL2_CLKOUTp			B20		
B7	VREFB7N0	IO			DIFFIO_T40p	C17		
B7	VREFB7N1	IO	RUP4			B19		
B7	VREFB7N1	IO	RDN4			A19		
B7	VREFB7N1	IO			DIFFIO_T39n	A18		
B7	VREFB7N1	IO			DIFFIO_T39p	B18		
B7	VREFB7N1	IO			DIFFIO_T38n	D15		
B7	VREFB7N1	IO			DIFFIO_T38p	E15		
B7	VREFB7N1	IO			DIFFIO_T36n	A17		
B7	VREFB7N1	IO			DIFFIO_T36p	B17		
B7	VREFB7N1	IO			DIFFIO_T35n	A16		
B7	VREFB7N1	IO			DIFFIO_T35p	B16		
B7	VREFB7N1	IO	VREFB7N1			C15		
B7	VREFB7N1	IO			DIFFIO_T33n	E14		
B7	VREFB7N1	IO			DIFFIO_T33p	F13		
B7	VREFB7N1	IO			DIFFIO_T32n	A15		
B7	VREFB7N1	IO			DIFFIO_T32p	B15		
B7	VREFB7N2	IO			DIFFIO_T31n	C13		
B7	VREFB7N2	IO			DIFFIO_T31p	D13		
B7	VREFB7N2	IO	VREFB7N2			E13		
B7	VREFB7N2	IO			DIFFIO_T27n	A14		
B7	VREFB7N2	IO			DIFFIO_T27p	B14		
B7	VREFB7N2	IO			DIFFIO_T26n	A13		
B7	VREFB7N2	IO			DIFFIO_T26p	B13		
B7	VREFB7N2	IO				E12		
B7	VREFB7N2	IO			DIFFIO_T25n	E11		
B7	VREFB7N2	IO			DIFFIO_T25p	F11		
B7	VREFB7N2	CLK8	DIFFCLK_5n			A12		
B7	VREFB7N2	CLK9	DIFFCLK_5p			B12		
B8	VREFB8N0	CLK10	DIFFCLK_4n			A11		
B8	VREFB8N0	CLK11	DIFFCLK_4p			B11		
B8	VREFB8N0	IO			DIFFIO_T24n	D10		
B8	VREFB8N0	IO			DIFFIO_T23n	A10		
B8	VREFB8N0	IO			DIFFIO_T23p	B10		
B8	VREFB8N0	IO			DIFFIO_T22n	A9		
B8	VREFB8N0	IO			DIFFIO_T22p	B9		
B8	VREFB8N0	IO	VREFB8N0			C10		
B8	VREFB8N0	IO		DATA2	DIFFIO_T19n	A8		
B8	VREFB8N0	IO		DATA3	DIFFIO_T19p	B8		
B8	VREFB8N0	IO			DIFFIO_T18n	A7		
B8	VREFB8N0	IO		DATA4	DIFFIO_T18p	B7		
B8	VREFB8N0	IO			DIFFIO_T17n	A6		
B8	VREFB8N0	IO			DIFFIO_T17p	B6		
B8	VREFB8N1	IO			DIFFIO_T16n	E9		
B8	VREFB8N1	IO			DIFFIO_T15n	C8		
B8	VREFB8N1	IO			DIFFIO_T15p	C7		
B8	VREFB8N1	IO			DIFFIO_T14n	D8		
B8	VREFB8N1	IO			DIFFIO_T14p	E8		
B8	VREFB8N1	IO		DATA5	DIFFIO_T13p	A5		
B8	VREFB8N1	IO	VREFB8N1			B5		
B8	VREFB8N1	IO		DATA6	DIFFIO_T12p	F10		
B8	VREFB8N1	IO		DATA7	DIFFIO_T11n	C6		
B8	VREFB8N1	IO			DIFFIO_T11p	D7		
B8	VREFB8N1	IO			DIFFIO_T10n	A4		
B8	VREFB8N1	IO			DIFFIO_T10p	B4		
B8	VREFB8N1	IO			DIFFIO_T9n	F8		
B8	VREFB8N1	IO			DIFFIO_T7n	A3		
B8	VREFB8N2	IO			DIFFIO_T7p	B3		
B8	VREFB8N2	IO	VREFB8N2			D6		
B8	VREFB8N2	IO			DIFFIO_T6n	E7		
B8	VREFB8N2	IO			DIFFIO_T3n	C3		
B8	VREFB8N2	IO			DIFFIO_T3p	C4		
B8	VREFB8N2	IO			DIFFIO_T2n	F7		
B8	VREFB8N2	IO			DIFFIO_T2p	G7		
B8	VREFB8N2	IO				F9		
B8	VREFB8N2	IO	PLL3_CLKOUTn			E6		
B8	VREFB8N2	IO	PLL3_CLKOUTp			E5		
		GND				L10		
		GND				L11		
		GND				M10		
		GND				M11		
		GND				L12		
		GND				L13		
		GND				M12		
		GND				M13		
		GND				N11		
		GND				K11		
		GND				N12		
		GND				K12		
		GND				K13		
		GND				N13		
		GND				N10		
		GND				K10		
		GND				J9		
		GND				F12		
		GND				H12		
		GND				H13		
		GND				J15		
		GND				K16		
		GND				L15		
		GND				N15		
		GND				R13		
		GND				R11		
		GND				R9		
		GND				P8		
		GND				H14		
		GND				H10		
		GND				H8		
		GND				N8		
		GND				R7		
		GND				T8		
		GND				T12		
		GND				P16		
		GND				L8		
		GND				G17		
		GND				M7		
		GND				F16		
		GND				H16		
		GND				G15		
		GND				G13		
		GND				G11		
		GND				E10		
		GND				G9		
		GND				K7		
		GND				P6		
		GND				U7		
		GND				V6		
		GND				T10		
		GND				U13		
		GND				T14		
		GND				N17		
		GND				A1		
		GND				C5		
		GND				C9		
		GND				C11		
		GND				C12		
		GND				C14		
		GND				C16		
		GND				A22		
		GND				E20		
		GND				G20		
		GND				L20		
		GND				P19		
		GND				V20		
		GND				Y20		
		GND				AB22		
		GND				Y18		
		GND				Y16		
		GND				Y12		
		GND				Y11		
		GND				Y9		
		GND				Y5		
		GND				AB1		
		GND				N3		
		GND				U3		
		GND				W3		
		GND				D3		
		GND				F3		
		GND				K3		
		GND				AA2		
		GND				AA1		
		GND				C1		
		GND				C2		
		GND				AA17		
		GND				AB17		
		GNDA1				U5		
		GNDA2				E18		
		GNDA3				F5		
		GNDA4				V18		
		VCCD_PLL1				U6		
		VCCD_PLL2				E17		
		VCCD_PLL3				F6		
		VCCD_PLL4				V17		
		VCCIO1				D4		
		VCCIO1				F4		
		VCCIO1				K4		
		VCCIO2				N4		
		VCCIO2				U4		
		VCCIO2				W4		
		VCCIO3				AB2		
		VCCIO3				W5		
		VCCIO3				W9		
		VCCIO3				W11		
		VCCIO4				AB21		
		VCCIO4				W12		
		VCCIO4				W16		
		VCCIO4				W18		
		VCCIO5				P18		
		VCCIO5				V19		
		VCCIO5				Y19		
		VCCIO6				E19		
		VCCIO6				G19		
		VCCIO6				L19		
		VCCIO7				A21		
		VCCIO7				D12		
		VCCIO7				D14		
		VCCIO7				D16		
		VCCIO8				A2		
		VCCIO8				D5		
		VCCIO8				D9		
		VCCIO8				D11		
		VCCA1				T6		
		VCCA2				F18		
		VCCA3				G6		
		VCCA4				U18		
		VCCINT				J11		
		VCCINT				J12		
		VCCINT				L14		
		VCCINT				M14		
		VCCINT				P11		
		VCCINT				P12		
		VCCINT				L9		
		VCCINT				M9		
		VCCINT				J13		
		VCCINT				J14		
		VCCINT				K14		
		VCCINT				J10		
		VCCINT				K9		
		VCCINT				N9		
		VCCINT				P9		
		VCCINT				P10		
		VCCINT				P13		
		VCCINT				P14		
		VCCINT				N14		
		VCCINT				J16		
		VCCINT				K15		
		VCCINT				L16		
		VCCINT				M15		
		VCCINT				R12		
		VCCINT				R10		
		VCCINT				R8		
		VCCINT				H9		
		VCCINT				G12		
		VCCINT				J8		
		VCCINT				M8		
		VCCINT				T7		
		VCCINT				T9		
		VCCINT				T13		
		VCCINT				P15		
		VCCINT				H15		
		VCCINT				H11		
		VCCINT				K8		
		VCCINT				P17		
		VCCINT				L7		
		VCCINT				N16		
		VCCINT				K17		
		VCCINT				J17		
		VCCINT				G16		
		VCCINT				G14		
		VCCINT				G10		
		VCCINT				G8		
		VCCINT				J7		
		VCCINT				N7		
		VCCINT				P7		
		VCCINT				R6		
		VCCINT				U8		
		VCCINT				V7		
		VCCINT				T11		
		VCCINT				R15		
								
Notes:								
"(1) If the p pin or n pin is not available for the package, the particular differential pair is not supported."								
"(2) For more information about pin definition and pin connection guidelines, refer to the "								
Cyclone 10 LP Device Family Pin Connection Guidelines.								


"Pin Information for the Intel® Cyclone®10 10CL080 Device 
Version 2017.05.19
 Notes (1), (2)"								
						
