Bank Number	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Emulated LVDS Output Channel	M164		
		GNDA2				B15		
		GNDA3				B1		
		GNDA4				P15		
		VCCD_PLL1				P2		
		VCCD_PLL2				B14		
		VCCD_PLL3				B2		
		VCCD_PLL4				P14		
		VCCIO1				F4		
		VCCIO2				J4		
		VCCIO3				M5		
		VCCIO3				M6		
		VCCIO4				M9		
		VCCIO4				N9		
		VCCIO5				L13		
		VCCIO6				D13		
		VCCIO7				C10		
		VCCIO7				C11		
		VCCIO8				B5		
		VCCIO8				C5		
		VCCA1				R1		
		VCCA2				A15		
		VCCA3				A1		
		VCCA4				R15		
		VCCINT				D3		
		VCCINT				D6		
		VCCINT				N2		
		VCCINT				D10		
		VCCINT				F12		
		VCCINT				H12		
		VCCINT				M8		
		VCCINT				M11		
		VCCINT				D8		
		VCCINT				L3		
		VCCINT				P3		
		VCCINT				K12		
								
Notes:								
"(1) If the p pin or n pin is not available for the package, the particular differential pair is not supported."								
"(2) For more information about pin definition and pin connection guidelines, refer to the "								
Cyclone 10 LP Device Family Pin Connection Guidelines.								


"Pin Information for the Intel® Cyclone®10 10CL016 Device 
Version 2017.05.19 
Notes (1), (2)"								
						
